data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5129360,356,IND50459,50459,"13 April 2019",2019,1,Riots,"Violent demonstration","Rioters (India)","BJD: Biju Janata Dal",5,"Rioters (India)",,5,55,"Southern Asia",India,Odisha,Puri,Brahmagiri,Bijipur,19.9465,85.6643,1,"Orissa TV",National,"On 13 April, residents of Bijipur village of Brahmagiri in Puri district (Odisha) clashed with BJD workers during a demonstration against BJD MLA, Sanjay Das Burma over chit funds. [size=no report]",0,1555409436,IND
5129379,356,IND50466,50466,"13 April 2019",2019,1,Riots,"Mob violence","Rioters (India)","BJP: Bharatiya Janata Party",5,"Rioters (India)","JD(U): Janata Dal (United)",5,55,"Southern Asia",India,Bihar,Vaishali,Hajipur,Hajipur,25.6861,85.2143,1,"Early Times (India)",National,"On 13 April, workers of BJP and JDU clashed with each other seeking a mandate for the construction ahead of the launch of poll manifesto in Hajipur in Vaishali district (Bihar). [size=no report]",0,1555409436,IND
5129436,356,IND50463,50463,"13 April 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Health Workers (India)",6,,,0,60,"Southern Asia",India,Punjab,Bathinda,Bathinda,Bathinda,30.2108,74.9452,1,"Chandigarh Tribune",Subnational,"On 13 April, doctors affiliated with the Punjab Civil Medical Services shouted slogans and demonstrated at the Civil Hospital in Bathinda city (Punjab) to demand action against the person who assaulted ER doctors the previous day. [size=no report]",0,1555409436,IND
5129437,356,IND50469,50469,"13 April 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Hindu Group (India)",6,,,0,60,"Southern Asia",India,Kerala,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,8.4855,76.9492,1,"Economic Times (India)",National,"On 13 Apr, in Thiruvananthapuram (Thiruvananthapuram, Kerala), activists of Hindu organizations, including Kolathur Adavaitha Ashram, held a 'namajapa' protest by chanting Lord Ayyappa hymns near the god's picture in front of the Secretariat. The protesters are against the alleged mass imposition of cases against them in connection with the Sabarimala agitation. [size=no report]",0,1555409436,IND
5129450,356,IND50470,50470,"13 April 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","JKNC: Jammu and Kashmir National Conference",6,,,0,60,"Southern Asia",India,"Jammu and Kashmir",Ramban,Banihal,Banihal,33.4369,75.1937,1,"Kashmir News Service",Subnational,"On 13 Apr, the JKNC staged a protest in Banihal town (Ramban, J&K) against a new government regulation restricting civilian traffic on the national highway on Wednesdays and Sundays. [size=massive]",0,1555409436,IND
5129460,356,IND50465,50465,"13 April 2019",2019,1,Protests,"Protest with intervention","Protesters (India)","KKU: Kirti Kisan Union; Farmers (India)",6,"Police Forces of India (2014-)",,1,16,"Southern Asia",India,Punjab,Patiala,Patiala,Patiala,30.3362,76.3922,1,"Chandigarh Tribune",Subnational,"On 13 April, hundreds of KKU affiliated farmers held a demonstration march towards the CM's residence, but were stopped by the police at Polo Ground in Patiala city (Punjab). Demonstrators shouted slogans to press for a series of demands including the sowing of paddy from June 1. [size=hundreds]",0,1555409436,IND
5129478,356,IND50471,50471,"13 April 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"Southern Asia",India,"Jammu and Kashmir",Udhampur,Majalta,Majalta,32.7307,75.173,1,"Daily Excelsior",Subnational,"On 13 Apr, PHE workers staged a protest at Majalta town (Udhampur, J&K), demanding the release of unpaid wages. [size=large number]",0,1555409436,IND
5129488,356,IND50462,50462,"13 April 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"Southern Asia",India,"NCT of Delhi","New Delhi",,"Delhi-New Delhi",28.6357,77.2244,1,"Hindustan Times (India)",National,"On 13 April, employees of Jet Airways demonstrated outside the Indira Gandhi International Airport in Delhi (NCT of Delhi) to demand the release of pending salaries. [size=no report]",0,1555409436,IND
5129601,356,IND50468,50468,"13 April 2019",2019,1,Protests,"Protest with intervention","Protesters (India)","Teachers (India); Labour Group (India)",6,"Police Forces of India (2014-)",,1,16,"Southern Asia",India,Telangana,Hyderabad,Hyderabad,Hyderabad,17.384,78.4563,1,"Hans India",Subnational,"On 13 Apr, in Hyderabad (Hyderabad, Telangana), civil society organisations, including Democratic Teachers Federation, staged a protest at TNGOs Bhavan at Nampally demanding the release of writer Vara Vara Rao from jail. The police took some teachers into custody. [size=no report]",0,1555409436,IND
5129619,356,IND50472,50472,"13 April 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Unidentified Armed Group (India)",6,,,0,60,"Southern Asia",India,"Jammu and Kashmir",Shopian,Shopian,"Rawal Pora",33.7063,74.8849,1,"Kashmir Observer",Subnational,"On 13 Apr, mourners raised pro-separatist slogans during the funeral of a slain militant at Rawal Pora village (Shopian, J&K). Militants reportedly offered gun salutes at the scene. [size=no report]",0,1555409436,IND
