title,url,content
UN agency praises India on minimising loss of life from Cyclone Fani,https://timesofindia.indiatimes.com/india/un-agency-praises-india-on-minimising-loss-of-life-from-cyclone-fani/articleshow/69172691.cms,"UNITED NATIONS: The UN agency for disaster reduction has commended the Indian Meteorological Department's ""almost pinpoint accuracy"" of early warnings that helped authorities conduct a well-targeted evacuation plan and minimise the loss of life as extremely severe cyclonic storm Fani made landfall near the coastal city ofPuri.The powerful cyclone, strongest to hit India in 20 years, made landfall at around 8am in India's eastern state ofOdisha, killing at least eight people.Large areas in the seaside pilgrim town of Puri and other places were submerged as heavy rains battered the entire coastal belt of the state affecting about 11 lakh people.TheIndia Meteorological Department(IMD) has classified Fani as an ""extremely severe cyclonic storm"".UN agencies are monitoring Fani's movements closely and taking measures to protect families living in refugee camps in Bangladesh, which is on alert.The Cyclone lashed the coast with maximum wind speeds of up to 175 kilometres per hour, heavy rainfall and coastal flooding, with 28 million people living along the route of the massive storm.""India's zero casualty approach to managing extreme weather events is a major contribution to the implementation of the #SendaiFramework and the reduction of loss of life from such events,"" Mami Mizutori, the Special Representative of the United Nations Secretary-General (SRSG) for Disaster Risk Reduction, and head of the Geneva-based UN Office for Disaster Risk Reduction (UNISDR), said.Mizutori was referring to the Sendai Framework for Disaster Risk Reduction 2015-2030, the first major agreement of the post-2015 development agenda. It is a 15-year, voluntary, non-binding agreement which recognises that the state has the primary role to reduce disaster risk but that responsibility should be shared with other stakeholders including the local government, the private sector and other stakeholders.Highlighting the zero-casualty cyclone preparedness policy of the Indian government, a spokesperson for UNISDR, Denis McClean said: ""the almost pinpoint accuracy of the early warnings from the Indian Meteorological Department had enabled the authorities to conduct a well-targeted evacuation plan, which had involved moving more than one million people into storm shelters"".UNISDR also tweeted about the advisory distributed by India's National Disaster Management Authority and local authorities days before Fani made landfall in an effort to minimise loss of life and injury.Local authorities are accommodating evacuees in over 4,000 shelters, including 880 specially designed to withstand cyclones.""Schools were shut, airports closed and transport suspended, and although damage to infrastructure was expected to be severe, there were no reports of any deaths,"" McClean said.According to preliminary reports, eight people have been killed due to the cyclone, which has the potential to cause widespread loss of life.UN Secretary-General Antonio Guterres' spokesperson Stéphane Dujarric told reporters that the UN humanitarian agencies in India have met ahead of the storm's arrival to take stock of preparedness measures.With Fani threatening devastation in India and Mozambique still reeling from Cyclone Idai, one of the worst tropical cyclones,Unicefraised alarm about impact of climate change on children.The UN children's agency said the cyclone currently hammering India and the back-to-back cyclones that tore through Mozambique in March and April have caused serious damage to the lives of thousands of children. They should be an urgent wake-up call to world leaders on the serious risks that extreme weather events pose to the lives of children.In Odisha, 28 million people, including 10 million children, are in the path ofCyclone Fani, Unicef said.""Children will bear the brunt of these disasters,"" said Gautam Narasimhan, Unicef Senior Adviser on Climate Change.He said climate change is linked to rising sea levels and the increase in rainfall associated with cyclones, causing more devastation in coastal but also inland areas.""In the short term, the most vulnerable children are at the risk of drowning and landslides, deadly diseases including cholera and malaria, malnutrition from reduced agricultural production, and psychological trauma – all of which are compounded when health centers and schools are impacted,"" he said.Narasimhan warned that in the long term, cycles of poverty can linger for years and limit the capacity of families and communities to adapt to climate change and to reduce the risk of disasters.According to the World Metereological Organization (WMO), the forecast on Friday was that Cyclone Fani ""would move north-northeast towards Bangladesh where there were concerns about the effects of potential coastal flooding"".World Meteorological Organizationspokesperson Clare Nullis said the impact the cyclone is expected to be less severe in areas such as Bangladesh's Cox's Bazar which is home to the world's largest refugee camp, populated mainly by Rohingyas who have fled Myanmar.Meanwhile, Americares, a health-focused relief and development organization, said its India arm Americares India is preparing to deliver medicine and relief supplies to assist survivors, including tarps, water cans and water purification tablets for up to 3,000 families.Americares India Managing Director Shripad Desai said: ""We anticipate thousands of families will need shelter and medical care in the coming days"".Download The Times of IndiaNews Appfor LatestIndiaNews.#ElectionsWithTimesTOI Campaign  TrackerData StoriesPoll  ShotsOpinion"
RK Studios to give way to apartments,https://timesofindia.indiatimes.com/india/rk-studios-to-give-way-to-apartments/articleshow/69169587.cms,"MUMBAI:Godrej Propertieson Friday announced its plan to redevelop the 2.2-acre RK Studios atChemburin Mumbai into residential apartments and luxury retail space. The site is located on the main Sion-Panvel Road.Market sources said that the transaction was sealed at Rs 180 crore, although none of the two parties mentioned the actual sale price.Pirojsha Godrej, executive chairman, Godrej Properties, said, “We are happy to add this iconic site in Chembur to our development portfolio. This fits well with our strategy of deepening our presence in key locations across India’s leading cities.”Veteran actorRandhir Kapoor, whose family owned the studio, said, “This property in Chembur has been of tremendous significance to me and my family over the many decades that RK Studios has operated from there. We are very excited to have chosen Godrej Properties to script a new chapter for this location and build upon its rich history.”Download The Times of IndiaNews Appfor LatestIndiaNews.#ElectionsWithTimesTOI Campaign  TrackerData StoriesPoll  ShotsOpinion"
"Cyclone Fani: PM Modi to visit Odisha on May 6, discusses situation with CM, Governor",https://timesofindia.indiatimes.com/india/cyclone-fani-pm-modi-to-visit-odisha-on-may-6-discusses-situation-with-cm-governor/articleshow/69171804.cms,"NEW DELHI: As the cyclone,Faniwreaked havoc in Odisha on Friday leaving a trail of destruction behind it, Prime Minister Narendra Modi discussed the situation with Odisha chief minister Naveen Patnaik and Governor Ganeshi Lal and assured all support from the Central government. The PM will also visit Odisha on May 6 to 'take stock of the situation'.""Spoke toOdisha CM Naveen PatnaikJi and discussed the situation prevailing due tocyclone Fani. Assured continuous support from the Central Government in the wake of the cyclone. The entire nation stands in solidarity with all those affected by the cyclone in different parts,"" tweeted Prime Minister Narendra Modi.Spoke to Odisha CM Naveen Patnaik Ji and discussed the situation prevailing due to Cyclone Fani. Assured continuous… https://t.co/dRL9YTxGhl&mdash; Chowkidar Narendra Modi (@narendramodi)1556937761000""Had a discussion with Odisha Governor Professor Ganeshi Lal Ji on the situation in the state due to Cyclone Fani. Assured all possible help from the Centre to the sisters and brothers of Odisha, who are showing exemplary courage in the face of a natural disaster,"" said PM in a subsequent tweet.Spoke to Shri Keshari Nath Tripathi Ji, the Governor of West Bengal on the situation due to Cyclone Fani. Reiterate… https://t.co/cwhQFz8IMe&mdash; Chowkidar Narendra Modi (@narendramodi)1556941591000Day after tomorrow, on the 6th morning, I will be going to Odisha to take stock of the situation arising in the wake of Cyclone Fani.&mdash; Chowkidar Narendra Modi (@narendramodi)1556944024000Also, in the wake up of the fact that cyclone Fani reached West Bengal, PM held discussion with West Bengal Governor over the same.""Spoke to Shri Keshari Nath Tripathi Ji, the Governor of West Bengal on the situation due to Cyclone Fani. Reiterated the Centre's readiness to provide all help needed to cope with the cyclone. Also conveyed my solidarity with the people of Bengal in the wake of Cyclone Fani,"" he tweeted.""Severe Cyclone FANI weakened into a Cyclonic Storm and lay centred at 60 km NW of Kolkata at 0530 IST of 4th May. To weaken into Deep Depression and move into Bangladesh by noon,"" tweeted IMD.Severe Cyclone FANI weakened into a Cyclonic Storm and lay centered at 60 km NW of Kolkata at 0530 IST of 4th May.… https://t.co/efAZJJdgx8&mdash; India Met. Dept. (@Indiametdept)1556938973000Chief Minister Naveen Patnaik held a review meeting with senior officials on the destruction caused by Fani in the state last night. Patnaik said in the last 24 hours, over 12 lakh people have been evacuated from vulnerable districts to safer locations.""Just now, I reviewed the cyclone situation with the chief secretary and other senior officers. Our first priority is to evacuate people living in vulnerable areas, including kutcha houses. In the last 24 hours, 12 lakh people have been evacuated to safer locations and they are being taken care of in shelters. As we speak, Fani (pronounced Foni) is still passing through Odisha, and an assessment of damage will be possible only after it crosses the state,"" he said.Patnaik said Puri, where the cyclone made landfall, has suffered the most amount of damage.""Restoration of electricity is a challenge. Electricity supply will be restored in Ganjam by tomorrow. Restoration of communication has been completed in Ganjam and Gajapati districts,"" he added.According to the India Meteorological Department (IMD), Fani moved north-northeastwards at 20 kmph in the last six hours and weakened into a ""severe cyclonic storm"".Cyclone Fani made landfall in the morning of May 3 and wreaked havoc in the state of Odisha. It has claimed three lives and left more than 160 injured, besides causing large scale destruction of property.Download The Times of IndiaNews Appfor LatestIndiaNews.#ElectionsWithTimesTOI Campaign  TrackerData StoriesPoll  ShotsOpinion"
"Cyclone Fani moving towards Bangladesh, no major impact in Bengal",https://timesofindia.indiatimes.com/india/cyclone-fani-moving-towards-bangladesh-no-major-impact-in-bengal/articleshow/69172256.cms,"KOLKATA: People ofWest Bengalheaved a sigh of relief as severe cyclonic storm Fani weakened on Saturday morning and was moving towards neighbouring Bangladesh, a senior official of the regional meteorological centre said.The city witnessed wind speeds of 30-40 kmph with moderate to heavy rainfall overnight, he said.There was no report of any casualty or major damage in the districts through which the cyclone passed, officials said.""Fani is likely to continue to move north-northeastwards and weaken further over the next six hours.""""It is very likely to move further north-northeastwards and enter Bangladesh around noon as a deep depression with wind speeds of 50-60 kmph, gusting to 70 kmph,"" deputy director general of the Regional Meteorological Centre here Sanjib Bandyopadhyay told PTI.The very severe cyclonic storm weakened into a severe cyclonic storm over the Odisha coast, before moving further north-northeastwards and entering West Bengal throughKharagpurin West Midnapore around 12.30 am on Saturday.""It has moved to Arambagh in Hooghly and is now in Nadia district...and is moving towards Murshidabad district,"" Bandyopadhyay said.A senior official said apart from a few mud houses collapsing and tress falling, there were no reports of casualties from any of the districts. ""However, we are awaiting further details,"" he added.Kolkata Mayor Firhad Hakim, along with senior engineers of the civic body and local councillors, was on a night-long vigil in and around the city to keep a tab on the situation.""We had made arrangements to act on an emergency basis had Fani hit the city. But thank god nothing major has happened,"" Hakim told PTI.Meanwhile, flight operations resumed at the Kolkata airport at 9.57 am on Saturday, an Airports Authority of India (AAI) official said.Flight services were suspended at the airport from 3 pm on Friday.Train services on the Sealdah and Howrah sections were also getting back to normal, the officials said.Five persons were injured when a portion of the roof of a hutment collapsed on Friday night in the central part of the city's Beniatola Lane, police said.All the five injured persons were released after treatment.The West Bengal government had taken precautionary measures in East and West Midnapore, North and South 24 Pargana districts, besides Howrah, Hooghly, Jhargram, Kolkata and theSundarbans.The cyclone barrelled through Odisha on Friday, unleashing copious rain and windstorm that gusted up to 175 kmph, killing at least eight people, blowing away thatched houses and swamping towns and villages. Cyclone Fani moving towards Bangladesh, no major impact in Bengal.Download The Times of IndiaNews Appfor LatestIndiaNews.#ElectionsWithTimesTOI Campaign  TrackerData StoriesPoll  ShotsOpinion"
Rafale defence deal: Centre files affidavit against review petition,https://timesofindia.indiatimes.com/india/rafale-defence-deal-centre-files-affidavit-against-review-petition/articleshow/69171945.cms,"NEW DELHI: The Centre on Saturday filed a fresh affidavit in Rafale deal in theSupreme Court, saying that the well-reasoned order of December 14, 2018, in which the apex court gave a clean chit to the government, could not be relooked merely on the basis of some stolen documents revealing incomplete file notings.The affidavit was filed after the top court issued a formal notice to Centre on review petitions filed against its December-14 judgment on Rafale deal in which it had refused to order a probe into the deal of procuring 36 Rafale fighter jets from France.The Centre told the court that all files relating to the procurement of 36 fully loaded Rafale jets were submitted to CAG, which after a thorough audit has returned a finding that the price is 2.86% cheaper than the proposed deal during UPA government.The Centre accused the review petitioners — Prashant Bhushan,Arun Shourieand Yashwant Sinha — of relying on subsequent information, which are nothing but unsubstantiated media reports and/or part internal file notings deliberately projected in a selective manner and said it cannot form the basis for a review.""A non-existent distinction is sought to be created between an inquiry by the CBI and by the Court by playing on words. Once the Court has held that perceptions of individuals cannot be the basis of a fishing and roving inquiry by this Court, there is no basis for a fishing and roving inquiry by the CBI,"" Centre said.On December 14, the Supreme Court had dismissed all petitions seeking court-monitored probe into the Rafale fighter jet deal with France, saying that there was no occasion to doubt the decision-making process in the deal.The top court said it was not its job to go into the issue of pricing. The bench, headed by Chief Justice of India (CJI)Ranjan Gogoi, said that there is no need to conduct an investigation into details of Rafale pricing.Thereafter petitioners in Rafale fighter jet deal case - Yashwant Sinha, Arun Shourie and Prashant Bhushan - in January moved the Supreme Court for review of the Rafale judgment.The petition stated that the verdict contains several errors and also it relies upon patently incorrect claims made by the Government in an unsigned note given in a sealed cover to the court, which is a violation of the principle of natural justice.Download The Times of IndiaNews Appfor LatestIndiaNews.#ElectionsWithTimesTOI Campaign  TrackerData StoriesPoll  ShotsOpinion"
"Fani affects PM Modi, Mamata’s rallies in West Bengal and Jharkhand",https://timesofindia.indiatimes.com/india/fani-affects-pm-modi-mamatas-rallies-in-west-bengal-and-jharkhand/articleshow/69169583.cms,"Cyclone Fani not only disrupted normal life on Friday, it also led to the rescheduling and cancellation of several poll rallies of political biggies like PMNarendra Modi, BJP chiefAmit ShahandWest BengalCMMamata Banerjeeacross West Bengal and Jharkh- and. Modi’s poll meeting at Ben- gal’sJhargramstadium on May 5 was postponed to May 6.Download The Times of IndiaNews Appfor LatestIndiaNews.#ElectionsWithTimesTOI Campaign  TrackerData StoriesPoll  ShotsOpinion"
"Apologised to Supreme Court, not BJP or Modi: Rahul Gandhi",https://timesofindia.indiatimes.com/india/apologised-to-supreme-court-not-bjp-or-modi-rahul-gandhi/articleshow/69172091.cms,"NEW DELHI: Congress presidentRahul Gandhion Friday clarified that his apology was to Supreme Court and not to BJP or Prime MinisterNarendra Modi.""Process is going on in Supreme Court and I made a comment attributed to SC so I apologised. I did not apologise to BJP or Modi ji. 'Chowkidar Chor hai' will remain our slogan,"" the Congress chief said while addressing a press conference early on Saturday.Last month, the Supreme Court had issued a notice to the Congress president asking him to explain his contemptuous ""chowkidar chor hai"" remark, which the apex court said was wrongly attributed to it.The Congress president, in the press conference, asserted that his party's assessment is predicting that the BJP is going to lose the ongoing Lok Sabha polls.In the early morning press conference, the Congress chief said that as the general elections reach the halfway mark it is becoming increasingly clear that BJP has ""failed"" to deliver on its promises and is ""not going to win"".""The biggest issue right now is unemployment and the way Modi ji has destroyed the economy. The country is asking that Modi ji you promised us two crore jobs, what about that? He doesn't speak a word on jobs or farmers as he has nothing to say,"" Rahul said.Rahul also slammed the Prime Minister for labelling the surgical strike claims of the Congress party ""video games"". ""When he says that surgical strikes during UPA were done in video games then he is not insulting Congress but the Army,"" he said.Earlier this week, Prime Minister Modi at a rally in Sikar mocked the Congress over its claim of having conducted surgical strikes during the UPA regime telling the party that it is not a video game. The Congress had claimed that during the UPA rule as many as six surgical strikes were conducted.""The Army, Air Force or Navy are not personal properties of Narendra Modi ji like he thinks,"" Rahul said.In Video:Apologised to Supreme Court, not BJP or Modi, clarifies Rahul GandhiDownload The Times of IndiaNews Appfor LatestIndiaNews.#ElectionsWithTimesTOI Campaign  TrackerData StoriesPoll  ShotsOpinion"
SC refuses to dilute stringent provisions against pre-natal sex-determination test,https://timesofindia.indiatimes.com/india/sc-refuses-to-dilute-stringent-provisions-against-pre-natal-sex-determination-test/articleshow/69169609.cms,"NEW DELHI: Observing that a fall in sex ratio has not only demographic impact, but also leads to trafficking of women and bride-buying, the Supreme Court on Friday refused to dilute stringent provisions of the PNDT Act under which a medical practitioner could be sent to jail for up to three years for even anomalies in paperwork and not keeping records of patients.A bench of Justices Arun Mishra and Vineet Saran dismissed a petition filed by Federation of Obstetrics and Gynaecological Societies of India (FOGSI) which challenged the validity of Sections 23(1) and 23(2) of Pre-conception and Pre-natal Diagnostic Techniques (Prohibition of Sex Selection) Act which says that criminal proceedings would be initiated against geneticist or gynaecologist in case of any violation of the Act and their registration could be suspended indefinitely during the pendency of trial.The Federation said the law was being misused as criminal cases were being launched even in cases of clerical errors in maintaining records of patients and pleaded that the provision should be read down and licence of doctors should be suspended only after conviction under the Act. It said authorities seal the sonography machine and file a criminal case even if there were mere anomalies in paperwork.“Suspension of medical licence at the stage of framing of charges is highly improper and harsh, which results in loss of livelihood of not only the members of the Society (FOGSI), but also their dependents ... The provision is unconstitutional as it assumes the guilt of an alleged accused even before conviction,” it contended.The court, however, refused its plea and said, “Considering the evils sought to be remedied it cannot be said that the imposition in the Act in question is disproportionate. The restrictions and the provisions of punishment have close nexus with the object sought to be achieved. It is not possible to term action as merely clerical one as that is pre-requisite for the test/procedure and that is what is intended by the Act, if it is given a go-bye under the guise of clerical error, the Act would be rendered otiose”.Referring toUnited Nationsreport, the court said that more than 4.6 lakh girls went missing at birth on an average annually during the period 2001-12 as a result of sex selective abortions and justifies the stringent provisions under the Act to maintain sex ratio and social balance in the society.Download The Times of IndiaNews Appfor LatestIndiaNews.#ElectionsWithTimesTOI Campaign  TrackerData StoriesPoll  ShotsOpinion"
"BJP cites survey, says Indians feel safer now",https://timesofindia.indiatimes.com/india/bjp-cites-survey-says-indians-feel-safer-now/articleshow/69169377.cms,"NEW DELHI: BJP on Friday said Amethi will show the door to Rahul Gandhi and dismissed the Congress chief’s claim that he had “dismantled” the image of Prime MinisterNarendra Modias it cited a Gallup survey report which showed that over 70 per cent of Indians feel the country is safe under the current leadership.“How do you claim to have succeeded in damaging the image of a powerful personality where Prime Minister Modi’s acceptability ratings are close to 70% and Rahul is finding it difficult to even breach the 20% mark?” asked finance minister Arun Jaitley referring to Gandhi’s statement quoted in media that he had “dismantled Modi’s image”.According to a recent Gallup poll, seven in 10 Indians feel safe walking alone at night in the areas they reside, up by 17 percentage points since 2014 when the Modi government took charge. The survey was conducted in India during October-December 2018.He said it is clear that Rahul Gandhi concocts falsehood, as in the Rafale case, starts believing his falsehood to be true and eventually dreams that the falsehood has destroyed his opponent. “He does not gauge public opinion. Rahul’s attitude is at complete variance with the traditional Congress way of doing things. His revenge against Prime Minister Modi may not succeed. It may well turn out to be a revenge against the Congress,” the FM added.Addressing a press conference, Union ministerPiyush Goyalsaid Rahul visited Amethi like a “tourist” and Congress had “betrayed” the constituency by keeping it mired in poverty and underdevelopment. BJP's attack on the Congress chief came a day before its scheduled road show in the constituency, which will be attended by party chiefAmit Shah. Amethi goes to polls on May 6.Goyal took a dig atPriyanka Gandhifor her comment that Congress had put up candidates in UP to eat into BJP’s votes, saying she might have her family members in mind.Rejecting Congress' claim that the BJP government worked for the rich, he said everybody knows who supported the opposition party in Mumbai, an apparent reference to endorsement of Congress candidate Milind Deora by some leading industrialists, including Mukesh Ambani.The railway minister said due to Modi's policy, major global powers have backed India while Pakistan was isolated. “Some opposition leaders are upset and raising questions,” he said referring to designation of Jaish chief Masood Azhar as a ‘global terrorist’ by the UN.Download The Times of IndiaNews Appfor LatestIndiaNews.#ElectionsWithTimesTOI Campaign  TrackerData StoriesPoll  ShotsOpinion"
4 states likely to get heavy rain today,https://timesofindia.indiatimes.com/india/4-states-likely-to-get-heavy-rain-today/articleshow/69169560.cms,"At least six persons were killed and hundreds left homeless as Cyclone Fani hitOdishaon Friday morning, making landfall nearPuriand unleashing its full force with wind speed going up to 175 kmph. Though various government authorities confirmed six deaths, PTI put the toll at 8.The cyclone made landfall south of Puri coast around 8am and then got into Khurda district, of which Bhubaneswar is a part, triggering heavy rainfall along its way, weather officials said. Fani hit Bengal after 10.30pm, hitting the Digha coast with a peak wind speed of 115 kmph. It was scheduled to enter Kolkata’s neighbourhood viaKharagpurwith a wind speed of up to 80kmph a little after midnight. It will exit Bengal through Nadia andMurshidabadon Saturday afternoon and sail towardsBangladesh.According to Central Water Commission officials, Odisha, Bengal,Andhra Pradeshand Assam face a high risk of “receiving extremely heavy rain” in the next 24 hours.The cyclone lashed Bhubaneswar for five hours with wind speeds of over 100 kmph, damaging power and telecommunication lines. Most arterial roads in the city were blocked by uprooted trees and many low-lying areas remained inundated. It could take up to three days to restore power supply completely in Bhubaneswar.Download The Times of IndiaNews Appfor LatestIndiaNews.#ElectionsWithTimesTOI Campaign  TrackerData StoriesPoll  ShotsOpinion"
