title,url,keywords,imageUrl,content
"Jokowi Naikkan Gaji PNS, Sandiaga Singgung Kartu Pra-Kerja",https://finance.detik.com/berita-ekonomi-bisnis/d-4470438/jokowi-naikkan-gaji-pns-sandiaga-singgung-kartu-pra-kerja,,https://awsimages.detik.net.id/community/media/visual/2018/08/16/9d508d87-9fb7-4f3b-8cc9-5ab39e644eed_169.jpeg?w=700&q=80,"Jakarta - President Joko Widodo (Jokowi) has officially signed a rule on the 2019 civil servant (PNS) assessment of an average of 5%. This becomes a breath of fresh air for civil servants. The improvement of PNS is stated in Government Regulation (PP) Number 15 of 2019 concerning the Eighteenth Amendment to Government Regulation Number 7 of 1977 concerning Regulations on Salaries of Civil Servants. Quoting from the copy of PP, Saturday (3/16) 2019), this rule was signed by Jokowi on March 13, 2019. In consideration of increasing the usability and yield and welfare of Civil Servants, the government needs to increase the basic salary of Civil Servants. These provisions take effect on January 1, 2019.googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1535944306169-0&#39;);}); &quot;This Government Regulation shall come into force on the date of promulgation, &quot;said the regulation as quoted by Finance on Saturday (03/16/2019). Furthermore, soon enough or in a matter of days the Ministry of Finance will issue regulations or technical instructions in the form of PMK along with Circular (SE) from the Directorate General of Treasury as a basis for repayments or increases PNS salaries for 2019. In addition to raising civil servants&#39; salaries, the other most popular news is Sandiaga Sanggar Pre-employment Cards and Chinese Workers on Debates. Here are 5 of the most popular news stories in Finland throughout Saturday (03/16/2019). The magnitude of PNS salaries in the attachment of PP is stated, the lowest salary of civil servants (group I / a working period of 0 years) becomes Rp 1,560,800 (previously Rp. 1,486,500). While the highest salary of civil servants (group IV / 2 over 30 years of work) becomes IDR 5,901,200 (previously IDR 5,620,300). For class II PNS (II / a 0 year work period), now the lowest salary is IDR 2,022,200 (formerly Rp. 1,926,000), the highest (II / d 33 years working period) becomes Rp. 3,820,000 (previously Rp. 3,638,200). Group III (III / a tenure of 0 years), now the lowest salary is Rp. 2,579,400 (previously Rp. 2,456,700), the highest (III / d working period of 32 years) became Rp 4,797,000 (previously Rp 4,568,000). While the lowest salary of PN IV class (IV / a tenure of 0 years) became Rp 3,044. 300 (previously Rp. 2,899,500), and the highest (IV / e 32 years work period) becomes Rp. 5,901,200 (previously Rp. 5,620,300). &quot;This Government Regulation shall come into force on the date of promulgation,&quot; read Article II Government Regulation Number 15 of 2019. Cigarette and Steaming Exports of Cigarettes up to Rp. 13 Trillion Tobacco Products Industry (IHT) is one of the manufacturing sectors that is able to contribute the amount of foreign exchange revenues, namely through the export of cigarette and cigar products. In 2018, the value of exports of cigarettes and cigars reached US $ 931.6 million or around Rp. 13 trillion (exchange rate of Rp. 14,000) which increased 2.98% compared to 2017 of US $ 904.7 million. &quot;The tobacco industry can also be regarded as a sector local wisdom that has global competitiveness, &quot;said Minister of Industry Airlangga Hartarto in his statement on Saturday (03/16/2019). During this time, according to Airlangga, the domestic cigarette industry has increased the added value of local raw materials in the form of plantation products such as tobacco and cloves. This labor-intensive and export-oriented sector also contributed significantly to state revenues through excise. Along 2018, cigarette excise revenues penetrated up to Rp 153 trillion or higher than the acquisition in 2017 of Rp 147 trillion. Cigarette excise receipts last year contributed 95.8% to national excise. American Airlines Setop Serves Flights to Venezuela American Airlines suspended temporary flights from and to Venezuela on Friday (15/3). The country is now increasingly isolated. The American Pilot Association got the news after a warning from the Department of Foreign Affairs. The US also attracted its diplomats from Venezuela. Most of the US airlines serving flights to Venezuela were affected by political and economic turmoil in the Latin American country. American Airlines is the last major US airline to fly to Venezuela and sell tickets from Miami to Caracas and to Maracaibo. &quot;The safety and security of our members is always number one,&quot; American Airlines said in a statement quoted from CNBC on Saturday (03/16/2019 ). Venezuelan President Nicolas Maduro cut ties with the US in January after the recognition of opposition leader Juan Guaido as President. The United States along with 50 other countries recognize Guaido as President of Venezuela. &quot;Do not travel to Venezuela because of crime, riots and abuse against US citizens,&quot; the US State Department wrote. The pilots were also ordered to refuse if assigned to Venezuela. However, American Airlines did not respond to the request. Magelang Could Be an Example of Provision of Land for Flat Housing The Ministry of Public Works and Public Housing (PUPR) appreciated the City Government (Pemkot) of Magelang which had provided land for simple rental apartments (rusunawa). Because the land is one of the obstacles faced in the construction of rusunawa. For that, what the City Government of Magelang, Central Java can do is exemplified by other regions to provide rusunawa development land. &quot;Maybe it could be an example in other areas that bent land can be used as an asset to build home for low-income communities, &quot;said Director General of Housing Provision of the Ministry of Public Works and Housing Khalawi Abdul Hamid on the sidelines of the inauguration of 5 rusunawa and a special house in Rusunawa Kota Magelang, Saturday (03/16/2019). ; Rusun Kelurahan Tamanagung, Muntilan District, Magelang Regency; Manggong MBR Flats, Ngadirejo District, Temanggung Regency; The MBR towers of Magelang, Sanggrahan Kelurahan, Wates of Magelang City, STTP Tegalrejo Flats, Magelang Regency and the Flats of API Tegalrejo Ponpes, Magelang Regency. The construction of these flat towers, he said, is intended for those who need them. Then, the beneficiaries were amazed by the existence of rusunawa. &quot;Indeed the beneficiaries were shocked. So indeed we increased the quality continuously. The last thing we tried was the floor, then the facilities in which the furniture could be seen and so on,&quot; he said. he said, as instructed by President Joko Widodo (Jokowi) to help the community. &quot;This is what it is for? The President said to help completely, especially for small communities, low-income people or our employees who have assignments everywhere,&quot; he said. Sandiaga Sanggar Pre-Work Cards and Chinese Workers in Debate National Winning Body (BPN) Prabowo-Sandiaga said that his party did not have special ammunition related to labor issues that would be raised during the Cawapres debate on March 17 2019. BPN Expert Council member Dradjad Wibowo said Sandiaga did not prepare ammunition specifically for the debate later. Instead, Dradjad assessed, the incumbent would be troubled to prepare a lot of bullets related to labor issues. &quot;There is no need for special ammunition. The government actually provides a lot of ammunition that is detrimental to incumbents,&quot; Drajad told the Finance Minister, Jakarta, Saturday (03/16/2019) Dradjad also estimated that Vice President number 01 Ma&#39;ruf Amin discussed the Pre-Work Card program. &quot;Starting from the Pre-Work Card which was rejected by many people to the waste of funds in infrastructure that did not absorb labor and many foreign workers especially from China. &quot;The poor performance of the government itself coupled with the low partiality of the national workers who spoke,&quot; he continued. Dradjad also revealed, Sandiaga will only be able to explain a number of solutions that will be offered from the labor problems currently being faced. various bad notes above, &quot;said Drajad. (fdl / ara) jokow igaji pnsgaji pns rose by 5 percent guarded unodebat cawapres"
Wiranto: Rakyat Diancam dengan Hoax Itu Terorisme!,https://news.detik.com/berita/d-4475823/wiranto-rakyat-diancam-dengan-hoax-itu-terorisme,,https://awsimages.detik.net.id/community/media/visual/2018/12/17/e2f3ff9e-0e07-4f48-9848-e25662db120b_169.jpeg?w=780&q=90,"Jakarta - Coordinating Minister for Politics, Law and Security (Coordinating Minister for Political, Legal and Security Affairs) Wirantomenurance that elections take place safely and peacefully. He was surprised if there were issues that mentioned the existence of riots during the election. &quot;Regarding the issue and why the election will be riotous, before the election there will be a mass movement, the elections will be power people, I myself wonder why the issue was thrown, even though the situation was peaceful &quot;The situation also does not have anything extreme that suggests such an existence,&quot; Wiranto said in his office, Jalan Medan Merdeka Barat, Central Jakarta, Wednesday (03/20/2019). Wiranto said that election organizers and law enforcement officials had detailed plans for prevent potential threats to the election. He asked the public not to easily swallow the false news or ifoax.googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); Also read: Wiranto: 593,812 TNI Personnel -Polri Ready to Secure the 2019 Election &quot;Don&#39;t believe, then take your own steps. Use your voting rights. You have the right to vote as citizens to lead the next 5 years. Don&#39;t waste that opportunity so we expect no more abstentions the opportunity to vote was only due to takuthoax, &quot;Wiranto said. Wiranto even called the spreaders as terrorists of the community. For this reason, Wiranto said that the spreaders could also be charged with rules on terrorism. &quot;There is an ITE Law, the criminal is there. But I explained that tadihoaxini is terrorizing the community. Terrorism is physical and non-physical. Terrorism causes fear in the community. with the fear of being afraid to come to the polling station, it is already a threat, that is terrorism. So of course we are the Law of Terrorism, &quot;Wiranto said. (abw / dhn) the female terrorist spreads the 2019 election in 2019"
Pengacara Ratna: Cuitan Twitter hingga Konpers Prabowo Bukan Keonaran,https://news.detik.com/berita/d-4455924/pengacara-ratna-cuitan-twitter-hingga-konpers-prabowo-bukan-keonaran,,https://awsimages.detik.net.id/community/media/visual/2019/03/06/9904732a-e76c-44d6-9e2d-087dd1d98496_169.jpeg?w=780&q=90,"Jakarta - The team of lawyers Ratna Sarumpaet stressed that the prosecutor&#39;s charges regarding disobedience to accusations were incorrect. Because the hoax financing is called a lawyer that does not cause confusion in the community. &quot;That a series of false stories contained in the Twitter session of Mr. Rizal Ramli and Mr. Rocky Gerung, witness Facebook account Nanik Sudaryati and press conference of Prabowo Subianto, speeches made by several people at Dunkin &#39; Donuts Menteng, Central Jakarta, which supports the recognition of the defendant about the story of the persecution, and the Lentera Muda Nusantara demonstration held on October 3, 2018 on Jalan Gatot Subroto, cannot be said to be troublesome, as referred to in Article 14 paragraph 1 of Law No. 1 of 1946, &quot;The lawyer, Sarna Sarumpaet, read the objection (exception) in a follow-up session at the South Jakarta District Court, Jl Ampera Raya on Wednesday (3/3/2019). Poems and demonstrations that arose after the circulation of a dark and swollen face image of Ratsna Sarumpaet, called the lawyer team, not a riot category. googletag.cmd.push (function () {googletag.display (&#39;div-gpt -ad-1547837152118-0 &#39;); }); Also read: Charges Protested by Lawyers, Permanent Prosecutors Believing Ratna Sarumpaet Makes Onar &quot;Because of the protest and demonstration it was not riots, riots or troubles that had occurred in the community that required police action to stop it,&quot; said the lawyer. what is meant in confusion as Article 14 paragraph 1 of Law Number 1 of 1946 is the lawyer&#39;s version of the riots in May 1998, the Malari riots, and the July 27, 1996 riots &quot;Riots which generally require police action to stop them,&quot; said the lawyer. City Rejected by Judge, This is the Response of Ratna SarumpaetATatna Sarumpaet was charged with making a lewath of fraudulent financing. Ratna spread the news to a number of people through WhatsApp messages, including sending a facial image of bruising and swelling that was claimed to be mistreatment. While the condition of swelling on the face, Ratna Sarumpaet was the effect of plastic surgery at the Bina Estetika Hospital, Menteng. The prosecutor revealed that Ratna photographed herself while undergoing medical treatment, then distributed the photos plus a statement of the persecution. Also read: Mothers, Atiqah Bring the Name Mahfud Md: Not Make Confusion &quot;That due to a series of false stories the persecution was accompanied by by sending photos of the faces of the defendants in bruised and swollen conditions that also caused noise and / or disturbance among the community, both on social media and also demonstrations, &quot;said the prosecutor. Regarding his actions, Ratna Sarumpaet was charged with Article 14 paragraph 1 of the Act Number 1 of 1946 concerning Criminal Law Regulations and / or Article 28 paragraph 2 in conjunction with Article 45 A paragraph (2) of Law No. 19 of 2016 concerning ITE. Also watch the video &#39;Dakwaan Ratna Sarumpaet: Make Onar Through the Hoax&#39;: [Gambas: Video 20 seconds] (fdn / fdn) ratna sarumpaetsidang ratna sarumpaethoax ratna sarumpaetsidang hoax ratna sarumpaethoax persecution ratna sarumpaetpn jaksel"
Saat Atiqah Hasiholan Membela Ibunda yang Terjerat Kasus Hoax,https://www.haibunda.com/mom-life/d-4456413/saat-atiqah-hasiholan-membela-ibunda-yang-terjerat-kasus-hoax,,,"Jakarta-Atiqah Hasiholan proves itself as a child who is devoted to parents. This film star Share Husband always accompanies his beloved mother, Ratna Sarumpaet, who is undergoing a legal process. He also loudly defended his defense. On Wednesday (3/3/2019), Ratna Sarumpaet went on a trial following a case of spreading hoaxes in the South Jakarta District Court. Atiqah seemed to be present to provide support to his mother, who was known as an activist and theater artist. Tiqah also cast a plea, the mother was not the cause of the troubles caused by the persecution. &quot;For me, it is not riots, troubles,&quot; he said, quoted from detikcom. Also read: Faithful Atiqah Hasiholan Accompanied Ratna Sarumpaet at the Court The wife of actor Rio Dewantoini also confirmed that her mother had submitted an apology to the public. He believes Ratna Sarumpaet is ready to face the rewards for what he has done. Like Mother knows, Ratna Sarumpaet was charged with making a hoax because of spreading hoaxes of financing. The 69-year-old woman was called to make noise through stories and photos of her face bruised and swollen, which she claimed was being persecuted. Aiqah Hasiholan and Ratna Sarumpaet / Photo: Kanavino / detikcom However, prosecutors said that the face was thick. The mother of four children was charged with Article 14 paragraph 1 of Law Number 1 of 1946 concerning Criminal Law Regulations and / or Article 28 of Law No. 19 of 2016 concerning ITE. &quot;As I said, criminal experts out there, there are several yes, one of them is Prof. Andi Hamzah, Mahfud Md, they said that this indictment was not right, &quot;said Atiqah. The mother of Salma Jihane also hopes that the objection read by the lawyer team Ratna Sarumpaet was accepted by the panel of judges. &quot;I hope our exception will be accepted,&quot; he added. Read also: Salma Jihane, Little Princess of Rio Dewanto who likes to read books. Of course, yes, Mother, what Atiqah did to Ratna Sarumpaet. Even though the mother was caught in a legal case, as a child she should continue to provide support. Especially considering Ratna Sarumpaet has entered old age. However, a child and family psychologist, Dr. Rose Mini Agoes Salim, reminded that this support did not make the child experience a setback. Meanwhile, parents who are entangled in the case must also see how much support the child is giving. &quot;Don&#39;t always say I&#39;m right, or get stuck. There is still a side to see if this might be wrong, consequently I am like this, and don&#39;t do it again , &quot;said the psychologist who is familiarly called Mother Romi. Mother, see also the following video, when Atiqah requested that Ratna Sarumpaet become a city prisoner: [Gambas: Video 20 seconds] (muf / rdn) <!--// <![CDATA[
OA_show('newstag'); 
// ]]> --><!--// <![CDATA[
OA_show('hiddenquiz'); 
// ]]> -->"
Kisah Perjalanan Huawei yang Kini Dituduh Jadi Mata-mata China,https://news.detik.com/bbc-world/d-4458166/kisah-perjalanan-huawei-yang-kini-dituduh-jadi-mata-mata-china,,https://awsimages.detik.net.id/community/media/visual/2019/03/08/dc1c23b1-45ed-402f-9a6b-5ada15148a1d.jpeg?w=780&q=90,
"Didakwa Makar, Pemimpin Etnis Rakhine Divonis Penjara 20 Tahun di Myanmar",https://news.detik.com/internasional/d-4474946/didakwa-makar-pemimpin-etnis-rakhine-divonis-penjara-20-tahun-di-myanmar,,https://awsimages.detik.net.id/community/media/visual/2019/03/19/15ac5ea1-f804-49f2-95a1-2cbd5d3685ce_169.jpeg?w=780&q=90,"Naypyitaw- A prominent figure who is also an ethnic leader in Rachinedijat was sentenced to 20 years imprisonment by the Maya court over treason. This verdict has the potential to further heat up the fierce fighting that is taking place between ethnic groups in Rakhine and the Myanmar military. As reported by AFP, Tuesday (03/19/2019), the verdict against Aye Maung, former Chair of the National Arakan Party, was read out in Sittwe, Rakhine Tuesday (3/19) local time. Myanmar security forces are trying to appease hundreds of Aye Maung supporters who waited outside the court when he was taken to a police car after being convicted. During his time as politician and party leader, Aye Maung was known for his hard-line views on Muslim minorities Rohingyadi Rakhine. The Rakhine ethnic group led by Aye Maung is an ethnic Buddha.googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); By a Myanmar court, he was found guilty of charges treason and indictment made slander related to an incitementous speech in January 2018, the day before deadly riots broke out in Rakhine. Read also: Bangladesh Will Move Rohingya Refugees to Remote Islands At that time, government-backed Myanmar national media called Aye Maung a demonstration against the central government called treating ethnic Rakhine as &#39;slaves&#39; and declaring this &#39;the right time&#39; for the people of Rakhine to launch armed resistance. Last night after Aye Maung&#39;s call, the demonstrators at Rakhine had occupied the government building. The police opened fire at that time and killed seven people. Aye Maung and his colleague, writer Wai Hin Aung - who also gave a speech at the same rally - were detained a few days later. &quot;Both Dr. Aye Maung and writer Wai Hin Aung were each sentenced to 20 years in prison ... for high treason charges and each two years in prison for slandering the country, &quot;said lawyer Wai Hin Aung, Aye Nu Sein, to theAFP. The Rakhine region continued to be beset by violence and hatred. A brutal military operation in 2017 forced 740 thousand Rohingya Muslim minorities to flee to Bangladesh. Read also: 35 Rohingya Refugees Found Stranded on Malaysian Beaches But Buddhist ethnic groups in Rakhine - some of whom are accused of helping Myanmar soldiers in anti-Rohingya operations - also feeling marginalized by the central government of Myanmar. The verdict imposed by the Myanmar court was protested by supporters of Aye Maung who are still influential by ethnic Buddhists in Rakhine. &quot;This is unfair. This is the oppression and bullying of the Rakhine ethnic people,&quot; shouted one of the female supporters in court. In recent weeks, the Myanmar military fought fiercely with Arakan Army (AA), an armed group that claims to represent the Rakhine ethnic group. AA launched an attack on police posts in early January that killed 13 police. A similar attack earlier this month killed 9 other police officers. (Nvc / fdn) rakhinemyanmarrakhine statemakar"
Jaksa Siap Buktikan soal Keonaran Akibat Hoax Penganiayaan Ratna Sarumpaet,https://news.detik.com/berita/d-4463146/jaksa-siap-buktikan-soal-keonaran-akibat-hoax-penganiayaan-ratna-sarumpaet,,https://awsimages.detik.net.id/community/media/visual/2019/03/06/525f0db8-e96e-4543-8a65-d8c2170f883d_169.jpeg?w=780&q=90,"Jakarta - South Jakarta District Prosecutor&#39;s Office (Kejari) prepared a response regarding the objection memorandum or exception of Ratna Sarumpaet in the financing investigation. The prosecutor believed Ratna&#39;s actions had caused confusion. &quot;Yes (denies Ratna&#39;s exception),&quot; prosecutor Sarwoto said via a text message on Monday (11/3/2019). Read also: Questioning Lawyer for SARA Elements in the Case of Hoax Ratna Sarumpaet In the previous trial, lawyer Ratna , Desmihardi, asserted that the prosecutor&#39;s charges regarding disobedience to accusations were inappropriate. Sarwoto claimed to be ready to prove related to the troubles caused by the actions of Ratna.googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); &quot;In our opinion, there is confusion and will it is proven in the subject matter, &quot;he said. Read also: Lawyer Ratna: Cuitan Twitter to Prabowo Conpersion Is Not Intrigue. The follow-up session on the trial of Ratna Sarumpaet will be held at South Jakarta District Court today. The agenda of this session was the prosecutor&#39;s response regarding the objection or exception note conveyed by Ratna. Read also: Indictment Protested by Lawyer, Permanent Prosecutor Confident Ratna Sarumpaet Made OnarTim lawyer Ratna Sarumpaet confirmed the prosecutor&#39;s charges about disputes about accusations were incorrect. Because, hoaxing is called a lawyer that does not cause confusion in the community. &quot;That a series of false stories found in the Twitter session of Mr. Rizal Ramli and Mr. Rocky Gerung, witness witness Nanik Sudaryati&#39;s Facebook account, and press conference of Prabowo Subianto, speeches made by several people at Dunkin &#39;Donuts Menteng, Central Jakarta which supports the recognition of the defendant about the story of the persecution, and the Lentera Muda Nusantara demonstration held on October 3, 2018 on Jalan Gatot Subroto, cannot be said to be troublesome, as referred to in Article 14 paragraph 1 of Law No. 1 of 1946 , &quot;said lawyer Ratna Sarumpaet reading the objection (exception) in a follow-up session at the South Jakarta District Court, Jl Ampera Raya on Wednesday (03/06/2019). Poems and demonstrations that arose after the circulation of a photo of a bruised and swollen face Ratna Sarumpaet, called the lawyer team, not the category of riots. &quot;Because of the whistle and the demonstration it was not k &quot;riots, riots, or confusion that have occurred in the community that require police action to stop it,&quot; said the lawyer. The complaints referred to in confusion as Article 14 paragraph 1 of Law No. 1 of 1946 were the riots in May 1998, the Malari riots, and the riots of July 27, 1996. &quot;The riots that generally required police action to stop him,&quot; said the lawyer. Watch also the video &#39;Ratna Sarumpaet Again Posing Two Fingers&#39;: [Gambas: Video 20 seconds] (knv / dwia) jakseljaksaratna sarumpaethoax ratna sarumpaetkasus ratna sarumpaetsidang ratna sarumpaetratna sarumpaet lies"
American Airlines Setop Layani Penerbangan ke Venezuela,https://finance.detik.com/berita-ekonomi-bisnis/d-4470086/american-airlines-setop-layani-penerbangan-ke-venezuela,,https://awsimages.detik.net.id/community/media/visual/2018/09/07/d19ea331-28e5-49f4-ba53-6e202be79fdc_169.jpeg?w=700&q=80,"Jakarta-American Airlines yesterday suspended temporary flights from and to Venezuela. The country is now increasingly isolated. The American Pilot Association got the news after a warning from the Department of Foreign Affairs. The US also attracted its diplomats from Venezuela. Most of the US airlines serving flights to Venezuela were affected by political and economic turmoil in the Latin American country. American Airlines is the last major US airline to fly to Venezuela and sell tickets from Miami to Caracas and to the Maracaibo.googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1535944306169-0&#39;);} ) &quot;The safety and security of our members is always number one,&quot; American Airlines said in a statement quoted from CNBC on Saturday (03/16/2019). Read also: Venezuela is dark because of a power source disabotated Venezuelan President Nicolas Maduro severed ties with the US in January after the recognition of opposition leader Juan Guaido as President. The United States along with 50 other countries recognize Guaido as President of Venezuela. &quot;Do not travel to Venezuela because of crime, riots and abuse against US citizens,&quot; the US State Department wrote. The pilots were also ordered to refuse if assigned to Venezuela. However, American Airlines did not respond to the request. Read also: Trump Will Sanction Banks that Support the Maduro Association. Professional Aviation Officers (APFAs) representing 25,000 US flight attendants say they support the pilot union&#39;s decision. &quot;Of course without flight pilots not operating, &quot;said APFA President Lori Bassani. (ara / fdl) american airlinesvenezuelakrisis venezuela"
Ratna Sarumpaet ke Hakim: Sudah Lama Ditahan Masih Nggak Percaya Juga?,https://news.detik.com/berita/d-4455990/ratna-sarumpaet-ke-hakim-sudah-lama-ditahan-masih-nggak-percaya-juga,,https://awsimages.detik.net.id/community/media/visual/2019/03/06/6fe6d5a9-3829-4f93-8a23-615388e9caa0_169.jpeg?w=780&q=90,"Jakarta-Ratna Sarumpaetheran the request for city detention was rejected by the judge. Ratna claimed to have been ill while being detained in the Metro Jaya Regional Police Detention Center. &quot;In the first two months I was sick, seriously ill,&quot; said Ratna Sarumpaets after attending a follow-up session with an objection reading in the South Jakarta District Court, Jl Ampera Raya on Wednesday (6 /3/2019). For now, Ratna Sarumpaet admitted that I was in prison. But Ratna still questioned the decision of the panel of judges - chaired by Joni - refused the detention request for the city. Googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); Read also: Lawyer Ratna: Cuitan Twitter to Prabowo&#39;s Conpersion Is Not a Joke &quot;It has been held for a long time still not believing too? Can the person detained because of fear of removing evidence and others. Cook, I want to run away? Where do you go? People are all held. KTP I am in the police, everything is held, so where do you want to run away? &quot; Ratna said. Gatna Sarumpaet through a lawyer questioned the prosecutor&#39;s indictment. Lawyers refer to the application of the first indictment, namely Article 14 paragraph 1 of Law Number 1 of 1946 not appropriate. Read also: Judges Refuse Ratna SarumpaetHoax City Prisoners&#39; Appeals, according to lawyers, do not cause confusion in the community. and swollen and called beaten two people. Even though Ratna Sarumpaet underwent plastic surgery at the Bina Estetika Hospital, Menteng, Central Jakarta. &quot;Because of the scandal and the demonstration it was not riots, riots or troubles that had occurred in the community that required police action to stop it,&quot; said the lawyer. Dua Jari, Ratna Sarumpaet: This is a Symbol of GueSimak Also &#39;Request To Be Prisoner of City Ratna Sarumpaet Denied!&#39;: [Gambas: Video 20 seconds] (fdn / fdn) ratna sarumpaetsidang ratna sarumpaethoax ratna sarumpaetsidang hoax ratna sarumpaethoax persecution ratna sarumpaet"
Wiranto Tegaskan Tak Ada Kerusuhan Besar Pasca-Pemilu 2019,https://news.detik.com/berita/d-4467127/wiranto-tegaskan-tak-ada-kerusuhan-besar-pasca-pemilu-2019,,https://awsimages.detik.net.id/community/media/visual/2019/01/29/45eaac8d-635c-4035-8138-a8af899a85dc_169.jpeg?w=780&q=90,"Jakarta-Coordinating Minister for Politics and Security, Wirantah, denied the issue of major riots ahead of and post-Election 2019. According to Wiranto, there were no major riots occurring in the 2019 Election. &quot;However, we indicated that there were even many issues as if before and after the election there would be a big riot. Adapeople was up to date. I stated here from intelligence reports there was no riot,&quot; said Wiranto after a ministerial-level closed meeting in his office, Jalan Medan Merdeka West, Jakarta, Thursday (03/14/2019) .googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); Also read: Wiranto Holds Coordination Meeting Preparations for the Open Campaign for the closed 2019 Election Election discussed the government&#39;s preparations ahead of the open campaign for the 2019 Election. Officials who attended were Head of the National Cyber and Password System (BSSN) Djoko Setiadi, Asop s TNI Commander Maj. Gen. Ganip Warsito, Asops National Police Chief Insp. Gen. Rudy Sufahriadi Chairperson of the Election Supervisory Body Abhan, and KPU Chairperson Arief Budiman. Wiranto stressed that currently the conditions of elections are under control until post-election. He asked the public not to fret about the issue. &quot;The situation is still well controlled until now hopefully until the election so that people do not need to fret don&#39;t believe there is this issue,&quot; said Wiranto.Read also: Wiranto Give a Picture of the Weakness of the Indonesian National Police Wiranto was asked to remain in Indonesia and did not need to believe the issue. The former ABRI commander said that the community continued to carry out the obligation to elect candidates and candidates in the election. &quot;To the extent that they would leave Indonesia to avoid riots. Because there were no riots, we asked the people to stay in place to fulfill their choice of presidential candidates and elected legislators. &quot;Yes,&quot; he explained. Also witnessed the video &#39;North Aceh Police Precinct Holds 2019 Election Riot Simulation&#39;: [Gambas: 20-second video] (fai / idn) wirantopemilu 2019pilpres 2019"
