title,og_title,url,lang,content,publishedDate,dateObject
"Completed Plenary Meeting, Jokowi-Ma'ruf Unggul in Banjar City","Rapat Pleno Selesai, Jokowi-Ma'ruf Unggul di Kota Banjar",https://news.detik.com/berita-jawa-barat/d-4531316/rapat-pleno-selesai-jokowi-maruf-unggul-di-kota-banjar,id,"Banjar City - West Java City Banjar KPU has finished conducting a plenary meeting recapitulating the vote count results of the 2019 Election and Presidential Election in the Tanjungsukur Logistics Warehouse, Tuesday (30/4/2019) afternoon. The results of the vote counting recapitulation for the Presidential Election in Banjar City, the pair 01 of Jokowi-Ma&#39;ruf excelled by obtaining 63,295 votes. While the pair 02 Prabowo-Sandi won 55,732 votes, or a difference of 7,563 votes. During the process of the plenary meeting of the Banjar KPU recapitulation held since Sunday (4/28/2019), there were no protests from the two witnesses. All accept these results. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); The process of the recapitulation plenary meeting was escorted from the ranks of the Banjar Regional Police. Even Banjar Police Chief AKBP Yulian Perdana directly monitored the process of the recapitulation plenary meeting. &quot;Alhamdulillah, the plenary meeting proceeded safely and smoothly from the beginning to the end. All of them did not object to this result, all agreed,&quot; said Banjar KPU Chairman Dani Danial Muhklis when met after the meeting. According to Danial, during the General Election and Presidential Election took place from the initial stages to the end of the plenary level at the City, there was no striking dynamics, unlike in other regions. This indicates that the Banjar residents are mature in facing the election. &quot;During this election Banjar is quite gentle, although the dynamics are always there but the levels are not as dynamic as other regions. All are smooth according to expectations. The election in Banjar is not only quality but credibility,&quot; explained Danial. Also read: Pray for KPPS that died, the Karawang KPU Plenary Meeting Lasted Haru According to Danial, the results of the recapitulation plenary meeting will immediately be reported sent to the Province on Tuesday (30/4/2019) night. Meanwhile, the Chairman of the BPD Prabowo-Sandi Banjar Hendra Gunawan acknowledged the superiority of the 01 pair. The party received field data on the results. The results of the recapitulation show the reality of democracy in Banjar City. &quot;We recognize and realize, this is true democracy, for in Banjar we are truly defeated. God willing, we have no suspicion of fraud. I think all organizers have carried out their duties in accordance with the provisions, starting from polling stations, PPK officials to KPU. keep maintaining conducivity, &quot;he explained. Also read: Incorrect Situng KPU Input Ended Bawaslu Report Meanwhile, the Regional Campaign Team of the 01 Jokowi-Ma&#39;ruf City of Banjar Abdul Gofar, also received the results of the recapitulation plenary meeting. There were no complaints, according to him the results were very satisfying for Team 01. &quot;Thank you to the Election organizers who have carried out the Election as well as possible, have worked according to the Law,&quot; he explained. Gofar said, the elections in Banjar were fair. He understands if there are deficiencies during the process. Because human error is like fatigue, because this is the first time a simultaneous election has been held with 5 ballots at once. (ern / ern) 2019 presidential election 2019 plenary meeting of the banjo kpu city",30 Apr 2019,2019-04-30 21:26:00
"Because KRI Tjiptadi's crew knew, their shot was awaited","Karena Kru KRI Tjiptadi Tahu, Tembakan Mereka Sudah Ditunggu",https://news.detik.com/berita/d-4531280/karena-kru-kri-tjiptadi-tahu-tembakan-mereka-sudah-ditunggu,id,,30 Apr 2019,2019-04-30 21:00:00
Protest Society of the Polish Museum Banning Banana Themed Art Work,Masyarakat Protes Museum Polandia yang Larang Karya Seni Bertema Pisang,https://food.detik.com/info-kuliner/d-4530670/masyarakat-protes-museum-polandia-yang-larang-karya-seni-bertema-pisang,id,"Jakarta - Polish artists and politicians protested after the government banned banana-themed artwork. The authorities consider this fruit to contain pornographic elements. Reporting from FoxNews (30/4) the National Museum in Warsaw issued an art video titled &quot;Consumer Art from the museum. The reason is because in this video there is a scene of the famous artist Natalia LL who is eating and enjoying bananas. The head of the museum, Jerzy Miziolek is then called by the local Ministry of Culture to issue the video from the list of museum collections, in an interview, Miziolek said he was very opposed to works that could disturb young people who were sensitive to sensual matters. Have 5 Benefits This is googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1535944413357-0&#39;);}); whereas before this video has been in the museum for years. only the video that enlarges the banana-eating scene, the museum also released another video created in 2005. This video shows the female artist, Katarzyna Kozyra walking and two men dressed as dogs. Two video-shaped artworks that were dropped from the museum collection then invited public protest. Photos: special Many people, including actresses, protest by uploading photos when holding or eating bananas. Polish actress Magdalena Cielecka takes a photo holding a banana which is directed at her head like a gun. Disputes over restrictions on artworks have been recorded since 2015 where the new government held a power stick. Culture Minister Piotr Glienski issued a policy several times to cut the budget for art festivals. He even once fired a director who displayed works containing satire for the government. Photos: Read special too: Wow! This Online Shopping Site Sells 1 Kg Banana Rp. 18 Million This community of Twitter and Facebook users roll out and post photos of eating bananas as a protest step. &quot;An artist, to create a work must be free,&quot; Cielecka said. (DVS / ODI) Banana Protest Banana Poland Polish Museum",30 Apr 2019,2019-04-30 14:30:00
"Wouw, There Are McD Plastic Straws For Sale Up To Rp. 18.4 Million!","Wouw, Sedotan Plastik McD Ada yang Dijual Sampai Rp 18,4 Juta!",https://food.detik.com/info-kuliner/d-4530704/wouw-sedotan-plastik-mcd-ada-yang-dijual-sampai-rp-184-juta,id,"Jakarta - Intending to replace plastic straws, some McDonald&#39;s fans (McD) just don&#39;t accept it. Some even sell McD plastic straws up to a dozen million! People generally don&#39;t like change. Not only about the composition of food recipes, changes in eating utensils can actually make them uncomfortable. A real example occurred when McD in England replaced all of its plastic straws with an environmentally friendly version. Quoted from LAD Bible (30/4), McD&#39;s noble initiatives for a better environment were not in line with what many of his fans wanted. They assess the replacement of plastic straws into paper straws to make the taste of drinks change. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1535944413357-0&#39;);}); Photo: iStock They seem to not care about the impact of plastic straw waste that is very disturbing to the environment. To the extent that a McD fan started selling iconic plastic straws on the internet. Also Read: These Reasons You Should Stop Drinking with Plastic Straws An eBay user even offers a super fantastic price of 1000 pounds sterling for McD plastic straws. It&#39;s more dramatic because he gives the statement, &quot;SUPER RARE McDonalds Plastic Straws.&quot; EBay users also wrote this plastic straw will soon become a rare item because it will not be circulated again. &quot;Imagine the next 50 years, when you tell your granddaughter how to get this plastic straw from McD and they will look at you like a god,&quot; he wrote again. Photo: Special At the end of the description, he advised everyone to sign the petition if he wanted McD to return to producing plastic straws. The eBay user said, &quot;So you don&#39;t need to spend money on my offer.&quot; The petition has now been signed by nearly 40,000 people. Many people apparently want to go back to enjoying McD drinks with plastic straws. One of them wrote, &quot;Straws (paper) do not function for drinking, they must consider biodegradable plastic straws made from natural products.&quot; Photo: iStock There are also those who say that paper straws leave a thin layer in the mouth that creates a strange feeling. Despite all these protests, McD has continued to implement a plastic straw removal policy since last year. At that time, McDonald&#39;s UK and Ireland CEO Paul Pomroy said: &quot;Our customers tell us they want to see a change to straws, but want this not to sacrifice their experience when visiting our restaurant.&quot; Also Read: Cool! There are Vietnam-based Wild Grass Eco-Friendly Straws (adr / odi) Mcdonald&#39;s straws paper straws",30 Apr 2019,2019-04-30 15:00:00
"Viral, Daenerys Wax Statue Called Lucius Malfoy in Harry Potter","Viral, Patung Lilin Daenerys Disebut Mirip Lucius Malfoy di Harry Potter",https://wolipop.detik.com/entertainment-news/d-4531076/viral-patung-lilin-daenerys-disebut-mirip-lucius-malfoy-di-harry-potter,id,,30 Apr 2019,2019-04-30 18:12:00
Vice President JK: Indonesia-Vietnam EEZ Border Still Negotiated,Wapres JK: Perbatasan ZEE Indonesia-Vietnam Masih Dirundingkan,https://news.detik.com/berita/d-4530675/wapres-jk-perbatasan-zee-indonesia-vietnam-masih-dirundingkan,id,"Jakarta - Vice President Jusuf Kalla (JK) said the border of the exclusive economic zone (EEZ) between Indonesia and Vietnam was still negotiated. According to him, this is one of the causes of the &#39;friction&#39; of Indonesian Navy ships with Vietnamese fisheries inspectors in Natuna waters. &quot;The Indonesia-Vietnam border is still negotiating, the continental boundary is still being discussed. That is what happened, Indonesia claims, Vietnam claims. So, there is a clash,&quot; JK Vice President said at the Jakarta Vice Presidential Palace on Tuesday (4/30). 2019). The failure to reach a border agreement resulted in Indonesia and Vietnam trying to defend themselves in their respective positions. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); Read also: There Is Overlapping of EEZ Claims at Vietnam Ship Locations Hit KRI In connection with the accidental collision incident by the Vietnam Fisheries Supervision Vessel on the Indonesian Navy KRI Tjiptadi-381 in the North Natuna Sea, the Vice President said that the matter was resolved properly through summons Vietnam Ambassador to Indonesia Hoang Anh Tuan by Foreign Minister Retno Marsudi. &quot;The Minister of Foreign Affairs has protested, we called the ambassador here and it was also resolved well,&quot; JK said. Previously, Commander of the Armed Forces Command (Pangkoarmada) I Rear Admiral TNI Yudo Margono explained that the incident of the collision of the two ships occurred on Saturday (27/4) at around 14:45 WIB in the North Natuna Sea. The incident began when KRI Tjiptadi-381 caught the Foreign Fish Boat (KIA) Vietnam BD 979 for having carried out illegal fishing in Indonesian waters. Also read: Hit KRI Tjiptadi, Vietnam Vessels rated as violating international law The ship owned by the Navy which was driving the KIA Vietnam was accidentally hit by the Vietnam Fisheries Supervision Ship to cause KIA BD 979 to sink. Aquatic Supervisors of Vietnam feel that the BD 979 ship is innocent and claims that the vessel is conducting fish searches in their country&#39;s territorial territory. &quot;The Vietnamese also claim that the area is Vietnamese waters,&quot; Yudo said. A total of 12 crew members (ABK) BD 979 were secured to KRI Tjiptadi-381 and taken to Lanal Ranai to undergo legal proceedings. &quot;Related to the actions taken by KRI Tjiptadi-381, it was correct to refrain from minimizing the occurrence of tensions or worse incidents between the two countries. This incident will be resolved through government to government,&quot; he said. Also See &#39;Vietnam Claims of Indonesian Navy Vessels to Pass the Waters, Minister of Defense: Look at GPS!&#39;: [Gambas: Video 20 seconds]",30 Apr 2019,2019-04-30 14:43:00
Prabowo-Sandi Nyungsep's voice in the City of Proclamator,Suara Prabowo-Sandi Nyungsep di Kota Proklamator,https://news.detik.com/berita-jawa-timur/d-4531310/suara-prabowo-sandi-nyungsep-di-kota-proklamator,id,"Blitar - In the results of the vote recapitulation of the Blitar City Election Commission, the Joko Widodo-Ma&#39;ruf amin pair received 73,660 votes. While the pair Prabowo Subianto-Sandiaga Uno only won 21,086 votes. &quot;We read the final recapitulation results of the vote for the vice presidential presidential election. Jokowi-Ma&#39;ruf Amin&#39;s vote number was 73,660. And Prabowo-Sandi&#39;s vote was 21,086,&quot; said Head of Blitar City KPU Setyo Budiono reading the plenary results, Selas (30/4 / 2019). The results were based on valid votes of 94,746 and 2,387 invalid votes. So that the total ballots used were 97,133. Also read: Recapitulation of the City of Kediri Kelar, Presidential Candidate 01 Excellence 143,991 Votes During the implementation of the plenary meeting, PPK from three sub-districts made improvements. Most repairs are made to the number of DPT, invalid ballots and ballots used. In addition to these improvements, the Sukorejo Sub-district PPK also made a shift in the vote acquisition of the Provincial DPRD candidates and the Blitar City DPRD. A witness from PPP had asked the difference of one vote for Blitar City DPRD candidates between candidate number 1 and number 2 candidates. There was a difference in DAA data submitted by Bawaslu by plano at the KDP level. In response to this question, the Blitar City Election Commission appreciated the data submitted by Bawaslu. But in the plenary it was determined based on authentic evidence. Either from political parties or bawaslu. Also read: Political Party Protests Color the Opening of the Kediri City KPU Open Plenary Meeting at 16.24 West Indonesia Time, the difference in one vote was found at TPS 8 in Karangsari Village. After about one hour of tracking, PPK straightened data input. &quot;So we conveyed that the improvement of data input was PPP with party votes 421, added one to 422. For candidate number 2 with votes 231 to 232,&quot; said PPK Sukorejo Chairman Dibyo Suhermanto. Blitar City KPU claimed that the level of participation in the simultaneous elections this year was 83.79 percent. This figure rose quite significantly compared to the level of participation in the 2014 legislative elections, which was only 78 percent. (sun / bdh) birojatim recapitulation of blitar kpu city of blitar",30 Apr 2019,2019-04-30 21:15:00
Head of Regional Police Unplug Kabag of Ops of South Halmahera Regional Police After the Honor Protests,Kapolda Copot Kabag Ops Polres Halmahera Selatan Buntut Aksi Protes Honor,https://news.detik.com/berita/d-4530750/kapolda-copot-kabag-ops-polres-halmahera-selatan-buntut-aksi-protes-honor,id,"South Halmahera - North Maluku (North Maluku) Regional Police Chief Brig. Gen. Suroto removed the Head of the South Halmahera Regional Police (Halsel) Ops, AKP Roy B Simangunsong following a demonstration carried out by hundreds of Halsel Regional Police personnel related to election security funds. &quot;The Regional Police Chief has issued a takedown letter to the Head of the Ops of the Halsel Regional Police and will be withdrawn to the North Maluku Regional Police,&quot; said the North Sumatra Police Chief of Public Relations AKBP Hendri Badar quoted by Antara on Tuesday (4/30/2019). AKBP Hendri Badar explained that the position of the Head of Ops District Police of Halsel was issued according to the secret telegram (STR) issued by North Maluku Regional Police Chief Brigadier General Suroto in accordance with STR Number: ST-946 / 1V / KEP / 2019 / ROSDM dated 29 April 2019. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); Also read: Propam will summon the Chief of Police in North Maluku about Election Honor Protest Members In the letter, the position of the Head of South Kalimantan Regional Police Ops AKP Roy Berman Simangunsong will be filled by AKP Stevan Robin Pattuju with the old position Danki Dalmas Ditsamabta North Sumatra Regional Police occupying a new position as Halsel District Police Chief. In addition, the North Maluku Regional Police deployed an investigation team led by North Maluku Regional Police Chief and the Head of Propam District. The Regional Police Chief has also left for South Kalimantan to check the current situation of South Kalimantan which has been gradually normal. &quot;The Regional Police Chief Brigadier General Suroto has been in Halsel Regency looking closely at the community service activities and securing the vote counting of the 2019 Election in South Kalimantan and ensuring that all stages of the 2019 election remain safe,&quot; he said. See Also &#39;The National Police Speak Up on Police Videos Protesting Election Safeguards&#39;: [Gambas: 20-second video] (fdn / fdn) North Maluku South Halmahera South Halmahera Police Election 2019",30 Apr 2019,2019-04-30 15:32:00
"Recapitulation of the City of Kediri Kelar, Presidential Candidate 01 Superior 143,991 Votes","Rekapitulasi Kota Kediri Kelar, Capres 01 Unggul 143.991 Suara",https://news.detik.com/berita-jawa-timur/d-4531216/rekapitulasi-kota-kediri-kelar-capres-01-unggul-143991-suara,id,"Kediri - Plenary Meeting of Recapitulation of Kediri City Election Commission finished. As a result, presidential and vice-presidential candidate number 01, Joko Widodo-KH Ma&#39;ruf Amin excelled. &quot;Thank God, all the witnesses did not protest, so everything went smoothly. The results of the Presidential Election in the City of Kediri, pair number 1 (Jokowi-Ma&#39;ruf), received 143,991 votes, while the pair number two (Prabowo-Sandi) received 38,955 vote, &quot;said Agus Kedrik, Head of the Kediri City KPU in Kediri, Tuesday (04/30/2019). Kediri City KPU has completed the recapitulation process at the KPU level. Data from three sub-districts, namely Kecamatan Kota, Pesantren and Mojoroto have been recapitulated. In Kota Kediri, the number of permanent voter lists (DPT) is 201,850. That number does not include the additional voter list (DPTb) which was decided as many as 8,731 voters. Also read: In the Deposits Difference, KPU Plenary Meeting Surabaya Had Suspended 2 Hours Known valid votes reached 182,946 and the invalid was 3,852 votes, so that the total valid and invalid votes reached 186,798 votes. Henceforth, Gus Rofik said that the KPU immediately conveyed to the witnesses the results of the 2019 Election. They got the official report from the number one presidential candidate pair and the number two presidential candidate. &quot;We also conveyed to Bawaslu after it was sent to the province for the types of elections recapitulated to the province. If we have directly established the City Council of Kediri in the form of a decree and will also be sent to the Republic of Indonesia KPU through the East Java Province for national election results,&quot; said he. He also added that for now it was not yet at the stage of determining the elected candidates but on the results of the vote. Later it will be carried out nationally. The election results are determined by the KPU RI, and the selection of elected candidates and seats is made. Meanwhile, Kapiriresta Kediri AKBP Anthon Haryadi said the simultaneous elections for the Polresta Kediri jurisdiction were relatively safe and conducive. Also read: Recapitulation Results of Blitar Regency, Jokowi&#39;s Voice Wins Out 83% &quot;I also express my gratitude to the TNI, all because of all participation so that the 2019 Election in the City of Kediri can be safe and conducive,&quot; he said. He added, all witnesses had also agreed on the results of the decision of the Kediri City KPU. However, security is still carried out until the stages of the electoral process are complete. &quot;All have agreed to both the election participants and witnesses. It has been determined the results of the recapitulation in the City of Kediri and tonight will be sent. We remain in accordance with the SOP for escorting the TNI to completion,&quot; he said. Regarding the personnel deployed in securing the recapitulation carried out in one of the Kediri City hotels, the Kapolresta said deploying 70 personnel where 50 of them were from the police and the rest were TNI. (bdh / bdh) 2019 election election recapitulation",30 Apr 2019,2019-04-30 19:45:00
"Hit KRI Tjiptadi, Vietnam Vessels rated as violating international law","Tabrak KRI Tjiptadi, Kapal Vietnam Dinilai Langgar Hukum Internasional",https://news.detik.com/berita/d-4530280/tabrak-kri-tjiptadi-kapal-vietnam-dinilai-langgar-hukum-internasional,id,"Jakarta - The incident of the KRI Tjiptadi-381 crash by a Vietnamese fishing vessel in the Natuna Sea was highlighted by Professor of Diponegoro International Law University, Semarang, Professor Eddy Pratomo. He explained, Vietnamese ships had committed violations. &quot;The actions of the Vietnamese ship which carried out the &#39;collision&#39; against the KRI Tjiptadi-381 clearly violated international law,&quot; Eddy said in a press statement on Tuesday (04/30/2019). Also read: Long Tail of Indonesian Warship Crash in the Natuna Strait International law violated is the International Regulations for Preventing Collisions at Sea 1972 (COLREGS), and the International Convention for the Safety of Life at Sea (Convention International for the Safety of Life on the Sea) 1974 (SOLAS). googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); &quot;Thus, the Ministry of Foreign Affairs&#39; protests are appropriate if directed at this action,&quot; Eddy said. Also read: Indonesian Navy Ship Protests Crashed, Ministry of Foreign Affairs Called Officials of the Vietnamese Embassy of the Indonesian Navy on the KRI Tjiptadi-381 refrained from attempting to provoke a Vietnam fisheries watchdog. The Navy does not use its power. The attitude of the Indonesian Navy soldiers is stated to be in accordance with international law. &quot;KRI Tjiptadi-381&#39;s actions that hold back are also right because based on international law, especially in the case of Guyana v Suriname (in the UNCLOS Arbitral Tribunal forum in 2004), use of use of force can only be justified if it fulfills three conditions: unavoidable, fairness (reasonableness) and keharus (necessity), &quot;said Eddy Eddy inviting the public and officials to not conclude the location of the incident was the territory of the Republic of Indonesia. Need further exploration to ensure this. There is a possibility of the occurrence of events in the Exclusive Economic Zone (EEZ) area which both parties claim, both Indonesia and Vietnam. If so, the two parties are equally entitled to patrol and obstruct law enforcement by other countries. Also read: Indonesian Navy Ship Hit, Member of Commission I: RI Can Request Compensation to Vietnam &quot;The Indonesian government should have a joint guideline standard in areas with overlapping claims like this, so that law enforcement is not always equated with other clearly defined EEZ areas,&quot; said Eddy. In 1982, UNCLOS or the United Nations Convention on the Law of the Sea had required the creation of interim regulations for territorial waters which had not yet been agreed upon. The use of such temporary regulations is to prevent conflicts, including the incident on April 27 in the Natuna Sea. He also mentioned that there had been a similar incident in the Republic of Indonesia-Malaysia border area on April 3, 2019. Previously reported, the Minister of Defense (Defense Minister) Ryamizard Ryacudu also took an interest in this. Minister of Defense assessed that the attitude of the Indonesian Navy which was not provoked by the attitude of the Vietnamese ship crews was right. Ryamizard said that the problem of boundary boundaries is based on the global positioning system (GPS). He asserted that the crash incident clearly occurred in the NKRI region. &quot;Look at GPS, now it&#39;s modern, everyone knows. You can&#39;t admit it. It&#39;s not far from Natuna,&quot; Ryamizard said when met by reporters at the Presidential Palace Complex in Jakarta on Monday (4/29) yesterday. Also See &#39;Vietnam Claims of Indonesian Navy Vessels Pass the Waters, Minister of Defense: Look at GPS!&#39;: [Gambas: Video 20 seconds] (dnu / fdn) The ship is being hit by a Vietnamese boat tni al hit by coast guard Vietnam-Indonesia-Vietnam relations exclusive economic zone",30 Apr 2019,2019-04-30 10:54:00
