title,og_title,url,lang,content,publishedDate,dateObject
Netherlands Aims for Clean Water Investment in South Sulawesi,Belanda Bidik Investasi Air Bersih di Sulawesi Selatan,https://finance.detik.com/infrastruktur/d-4521470/belanda-bidik-investasi-air-bersih-di-sulawesi-selatan,id,"Makassar - Governor of South Sulawesi (South Sulawesi) Nurdin Abdullah accepts Dutch businessmen who are exploring investment in South Sulawesi. One of the targets is clean water installation. Nurdin offers the potential for clean water management in Pangkep, Wajo, and Soppeng and other areas. Nurdin also guarantees that investment in South Sulawesi is very easy. &quot;All permits are completed 30 minutes completed and do not use fees,&quot; Nurdin Abdullah said in Makassar on Tuesday (4/23/2019) Also read: Investors are asked not to worry, BPN: There is no riots The Dutch investors are led by Deputy Economic Affairs of the Dutch Embassy for Indonesia Joos Nuitjen. The entrepreneurs who met Nurdin included Boskalis Manager Hans Mooij, Deltaras Manager Peter Letitre, Robert Nemmers, MDF Director Rini Azis Marien, Founding OASA Bas Spruijtenburg and Director of Port of Rotterdam Willem Dedden. Companies interested in investing in South Sulawesi include Boskalis, Deltares, Engeldot Water, MDF Pacific Indonesia, OASA Architects, PT Pelabuhan Rotterdam, Royal Haskoning Indonesia, Royal IHC, Simavi and Vestagen Spices. Also read: Want Post-Election Investment But Are You Still Confused? This guide Nurdin Abdullah considers the arrival of prospective investors is an opportunity that must be captured by South Sulawesi. &quot;I just received a delegation from the Netherlands all explained to me, starting from architects, agriculture, fisheries and catching and even water treatment,&quot; Nurdin Abdullah said. In addition to meeting with Governor Nurdin Abdullah on the first day of the mission, the delegation also planned to meet the Mayor of Makassar, Mohammad Ramdhan Pomanto. The purpose of the two visits was to discuss developments in South Sulawesi and the city of Makassar. (fiq / hns) investment South Sulawesi Makassar Netherlands",23 Apr 2019,2019-04-23 14:07:00
Recognition of Issuers Issues Provocation May 22 Rescued Detained in Makassar,Pengakuan Penyebar Isu Provokasi 22 Mei Rusuh yang Ditangkap di Makassar,https://news.detik.com/berita/d-4530338/pengakuan-penyebar-isu-provokasi-22-mei-rusuh-yang-ditangkap-di-makassar,id,"Makassar - The man with the initials SA (50) in South Sulawesi (South Sulawesi) was arrested for spreading the issue of provocation about the possibility of riots on May 22. Police called the SA itself making up the issue. &quot;The suspect himself fabricated the issue of the May 22 riot,&quot; said the Director of the Special Criminal (Dirkrimsus) of South Sulawesi Regional Police, Commissioner Yudhiawan Wibisono, Tuesday (04/30/2019). According to Yudhiawan, the video uploaded to the perpetrator&#39;s Instagram account was recorded in Makassar. SA is assisted by one other person who is currently a witness. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); &quot;The motives are still in our development,&quot; he said. Also read: Spread Provocation Issues May 22 Rushed, Men in Makassar Arrested Police Police confirmed the SA video was disturbing the community. Moreover, continued Yudhiawan, SA had been able to bang the TNI with the National Police in the video. In the video, SA called the KPU will announce the results of the presidential election and the results were not as expected by Prabowo-Sandiaga&#39;s partner. Therefore, SA said that on May 22, the entire community would take to the streets and ask President Jokowi to step down from his position. The police ensnared the SA with the ITE Law. While SA said the upload video was personal analysis. He denied that anyone had asked him to do a provocation. See Also &#39;Spread the Issue May 22 Will Be Rushed, Men in Makassar Arrested&#39;: [Gambas: Video 20 seconds] (fiq / fdn) Makassar Police Sulsel Sulsel Hoax",30 Apr 2019,2019-04-30 11:19:00
Male Spreader of Provocation Issues May 22 Rush Threatened 6 Years in Prison,Pria Penyebar Isu Provokasi 22 Mei Rusuh Terancam 6 Tahun Penjara,https://news.detik.com/berita/d-4530403/pria-penyebar-isu-provokasi-22-mei-rusuh-terancam-6-tahun-penjara,id,"Makassar - Men with the initials SA (50) face a maximum sentence of 6 years in prison. SA was named a suspect for spreading the issue of provocation of the May 22 riots during the determination of the Presidential Election recapitulation. SA was charged with Article 28 paragraph 2 of Law Number 11 Year 2018 concerning Information on Electronic Transactions. In addition, SA was charged with Article 14 paragraph 2 and Article 15 of Law Number 1/1946 concerning Criminal Law Regulations. Article 28 paragraph 2 regulates criminal threats for people who intentionally and without the right to disseminate information intended to cause hatred or hostility of certain individuals and / or groups based on ethnicity, religion, race, and intergroup (SARA). Arranged in Article 45 of the ITE Law, the criminal threat for Article 28 paragraph 2 is a maximum of 6 years in prison. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); Also read: Recognition of Provocation Issue Issues May 22 Rush Arrested in Makassar SA was arrested on Sunday (28/4) by a team of Cyber Crime Ditreskrimsus Subdistricts. Initially the police investigated the Instagram account &quot;suararakyat1&quot; which contained posts violating the ITE Law. In the video, the SA who was driving a car gave a statement about the message of the worst case scenario on May 22 regarding the announcement of the results of the KPU Presidential Election recapitulation not as expected, which could cause hatred or hostility towards SARA. See Also &#39;Issue Issues May 22 Will Be Rushed, Men in Makassar Arrested&#39;: [Gambas: Video 20 seconds] (fdn / fdn) Makassar Police Sulsel Sulsel Hoax",30 Apr 2019,2019-04-30 12:03:00
"Many died, should KPPS officers be registered with insurance?","Banyak yang Meninggal, Perlukah Petugas KPPS Didaftarkan Asuransi?",https://finance.detik.com/moneter/d-4518970/banyak-yang-meninggal-perlukah-petugas-kpps-didaftarkan-asuransi,id,"Jakarta - The Indonesian General Insurance Association (AAUI) considers that officers of the Voting Organizing Group (KPPS) need to be covered by insurance. Moreover, by looking at the fact that many KPPS officers died while tasked with the success of the 2019 Concurrent Election. &quot;I think it needs to be insured with personal accident cover and treatment and natural death because there are riots, accidents on the streets and special elections this time there is a new risk of fatigue , &quot;said AAUI Deputy Chairman Julian Noor when contacted by detikFinance, Jakarta, Sunday (04/21/2019). AAUI Executive Director Dody AS Dalimunthe was contacted separately saying, in this case KPU was the one who needed to be responsible for the personal accident insurance. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1535944306169-0&#39;);}); &quot;Well, because this is a collective task, namely the KPU, and the KPU is exposed to its members, the KPU can be a liability here. So KPU will insure its members including being submitted later who will report the claim to the insurance parties,&quot; he said. Also read: Many Died, KPPS Officers Are Not Registered by TK BPJS KPPS officers themselves work on a seasonal basis, which is only during the election process. For that suitable insurance is a personal accident. The premium is paid at the beginning. &quot;This is a personal accident, a personal accident is not an installment, but a premium paid directly in front,&quot; he explained. &quot;So the nature of personal accident insurance is protection rather than investment. So its nature is protection, so it guarantees that if something happens, insurance will pay for it,&quot; he added. (dna / dna) kpps kpps member dies insurance",21 Apr 2019,2019-04-21 17:15:00
Expert in the Session of the Ratna Call the article of confusion with lies still relevant,Ahli di Sidang Ratna Sebut Pasal Keonaran dengan Kebohongan Masih Relevan,https://news.detik.com/berita/d-4524613/ahli-di-sidang-ratna-sebut-pasal-keonaran-dengan-kebohongan-masih-relevan,id,"Jakarta - Criminal expert Dr. Metty Rahmawati Argo stressed that the article about the spread of lies which caused confusion in Article 14 paragraph 1 of Law Number 1 of 1946 is still relevant. Because there has been no decision to revoke or cancel the law. &quot;Until now the Act is still there and still exists as long as there is no deception,&quot; said Dr Metty Rahmawati when consulted as an expert presented by the public prosecutor in a follow-up hearing Ratna Sarumpaet, at the South Jakarta District Court, Jl Ampera Raya, South Jakarta , Thursday (04/25/2019). Dr. Metty explained Act No. 1 of 1946 issued during the reign of President Soekarno. According to him, the Law was issued so that there was no confusion caused by demonstrations because at that time a new government was formed. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); Also read: Ratna Sarumpaet: Language Experts Somewhat Uncertain, Digital Experts Are Not Very Powerful &quot;In the history of President Soekarno, he made it so that there were no demonstrations because at that time there was still independence,&quot; he said. Dr. Metty said the confusion referred to in the Act was the emergence of a situation that was not conducive. Situations that make life uneasy. &quot;The emergence of a riot or a situation that makes conditions uneasy. This is because of the pros and cons. There are two groups or groups that do not find a meeting point and the spread is not conducive,&quot; he continued. Prosecutors also asked about troubles caused by the spread of false news. According to him, if the spread of false news is done intentionally and then causes confusion, it can be sentenced to criminal. &quot;If you look at the contents of the norm, it tells lies by deliberately giving trouble. In that context, if people broadcast false news and make the issue a material offense, it could be punished,&quot; he explained. Also read: This Fill in the Conversation WA Ratna Sarumpaet to Fadli Zon-Said Iqbal Ratna Sarumpaet was charged with making trouble by spreading the news of the persecution hoax. Ratna is said to deliberately make noise through stories and photos of a bruised and swollen face called persecution. As a result of Ratna Sarumpaet&#39;s actions, according to the prosecutor, there was a commotion in the community. There were also a number of demonstrations due to the Ratna hoax case. Ratna was charged with violating Article 14 paragraph 1 of Act Number 1 of 1946 concerning Criminal Law Regulations. Also watch the video &#39;Revealed! This Fill in the WhatsApp Ratna with Fadli Zon and Said Iqbal &#39;: [Gambas: 20-second video] (ibh / fdn) ratna sarumpaet trial ratna sarumpaet hoax ratna sarumpaet hoax persecution ratna sarumpaet pn jaksel",25 Apr 2019,2019-04-25 15:50:00
"KPU Boyolali Does Not Hold PSU on TPS with Viral Videos, This Is the Reason","KPU Boyolali Tak Gelar PSU di TPS yang Videonya Viral, Ini Alasannya",https://news.detik.com/berita-jawa-tengah/d-4523417/kpu-boyolali-tak-gelar-psu-di-tps-yang-videonya-viral-ini-alasannya,id,"Ali Fahrudin (Photo: Ragil Ajiyanto / AFP) Boyolali - Bawaslu Boyolali recommends a repeat voting (PSU) at polling station 8 in Winong Hamlet, Karangjati, Wonosegoro, Boyolali, Central Java. However, the local KPU decided not to hold a repeat election there. &quot;There is not enough reason to do the PSU as Article 372 of Law No. 7 of 2017 concerning Elections,&quot; said Chairman of KPU Boyolali, Ali Fahrudin, told AFP Wednesday (04/24/2019). He explained, referring to Law No. 7 of 2017 concerning Elections in article 372 stated that voting at polling stations could be repeated if natural disasters occur and / or riots that resulted in the results of the voting being unable to be used or vote counting not being possible. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); In the case at TPS 8 Karangjati Village, it was alleged that it did not meet the criteria for the TPS supervisor&#39;s error. In the article, it was mentioned four criteria for errors in the TPS supervisors that met the requirements of the PSU. Also read: In Boyolali There Are Intruders Choosing, KPPS Nyoblos &#39;Representing&#39; First Citizens is the opening of ballot boxes or voting and counting counting files not carried out according to the procedures stipulated in the law. Secondly, KPPS officers ask voters to give special marks, sign, or write names or addresses on the ballots that have been used. Then third, KPPS officers damage more than one ballot that has been used by voters so that the ballot becomes invalid. Fourth, voters who do not have electronic identity cards and are not registered in the additional voter list. &quot;While in TPS 8, Winong Hamlet has no violations in accordance with the provisions in those articles,&quot; Ali explained. Also read: Bawaslu Clarifies KPPS to Help Election Voters in Boyolali Meanwhile the Division of Enforcement, Public Relations and Inter-Institutional Relations of Boyolali Bawaslu, Rubiyanto, stated that Bawaslu remained in its decision to recommend TPS 8 in Karangjati Village to be carried out by PSU. The PSU recommendation has also been through a study conducted by Boyolali Election Supervisory Body. &quot;For us, the principle is still adhering to our recommendations. We have conducted a study and decided that PSU, recommend to the KPU. Yes, it is up to the KPU,&quot; said Rubiyanto. Rubi said, in Law No. 7 of 2017 concerning Elections, it was regulated about the duties and authorities of the KPU. &quot;One of the KPU&#39;s tasks in Law Number 7/2017, Article 18 letter i, is to immediately follow up the findings and reports submitted by the regency / city Bawaslu,&quot; he said. Boyolali Bawaslu recommended PSU at TPS 8 Karangjati Village, because a local KPPS official was known to cast a number of voters. In fact, the video recording of KPPS is being cast on these voters, also viral on social media. (mbr / mbr) 2019 election presidential election 2019 re-election kpu boyolali",24 Apr 2019,2019-04-24 18:40:00
Ballot Events Burned by Puncak Jaya Papua Residents Occur April 23,Peristiwa Surat Suara Dibakar Warga Puncak Jaya Papua Terjadi 23 April,https://news.detik.com/berita/d-4522751/peristiwa-surat-suara-dibakar-warga-puncak-jaya-papua-terjadi-23-april,id,"Jakarta - KPU has obtained the facts from a viral video of a ballot letter burned by residents in Puncak Jaya, Papua. The incident occurred on April 23, 2019 at one of the polling stations in the Tiginambut district. &quot;Related to this incident, I confirmed to the Chairperson of the KPU Papua. The incident occurred yesterday on April 23, 2019, in the district of Tiginambut,&quot; said KPU commissioner Ilham Saputra to reporters on Wednesday (04/24/2019). Even so, Ilham said that overall the elections in Papua went smoothly. He said the ballot boxes and ballots were stored in a number of district offices. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); &quot;The election ran smoothly, the ballot box was already stored in the district office. According to the Head of the Puncak Jaya KPU, via the Chairman of the KPU Papua,&quot; he said. Also read: KPU-Bawaslu Checks Viral Videos Ballots Burned Residents in Puncak Jaya Papua Until now Ilham claimed his party was still searching for the perpetrators of the ballot burning. He said his side had not received information regarding the location of the polling station in the viral video. &quot;Now it is being investigated who is the perpetrator of the arson, how many polling stations, boxes and ballots are burned,&quot; Ilham explained. Previously reported, in a viral video that lasted approximately 5 minutes and 7 seconds, it was seen a pile of letters and a city of sound that was on fire and allegedly as logistics for the 2019 election. In addition, a mother and child were also throwing a number of ballots towards the pile that is. Also read: Viral Election Riot Videos in Sampang, Police: Hoaks, That&#39;s the 2018 Event Puncak Jaya Police Chief AKBP Ari Purwanto gave an explanation of the burned ballot. According to information obtained by the police, the recapitulation documents from the burning ballots were certainly safe. &quot;They admitted that indeed the video happened in Tingginambut, but they said that what was burned by the residents was documents that were no longer needed, because important state documents such as recapitulation, district news, C1 plano and others were all taken to Mulia for recapitulation recapitulation, &quot;Ari said. Later, the police stated that the ballots burned were the remainder of the voting with the noken system. The ballot is no longer needed and burned to prevent abuse. The destruction was also recorded in the minutes. Also read: National Police: Ballots in Puncak Jaya Burned Remnants of Noken System Shot Watch also video &#39;KKB Threatens to Cancel Elections in Papua, Wiranto Gives Warning&#39;: [Gambas: 20-second video] (zap / imk) 2019 election 2019 presidential election ballots burned Papua Regency is a glorious peak",24 Apr 2019,2019-04-24 12:16:00
KPU-Bawaslu Checks Viral Video Ballots Burned Residents in Puncak Jaya Papua,KPU-Bawaslu Cek Video Viral Surat Suara Dibakar Warga di Puncak Jaya Papua,https://news.detik.com/berita/d-4522686/kpu-bawaslu-cek-video-viral-surat-suara-dibakar-warga-di-puncak-jaya-papua,id,"Jayapura - The Election Supervisory Board (Bawaslu) of the Papua Province checks the truth of the information on the burning of boxes and ballots allegedly in the Tingginambut District, Puncak Jaya Regency. The video is viral on social media. In the video that lasts about 5 minutes and 7 seconds, you can see a pile of letters and a city of sound that is on fire and allegedly as the logistics of the 2019 election. In addition, you can also see a mother and child who are throwing a number of ballots in the direction of the stack. There is also the voice of the person who recorded the video. The person said the arson was carried out because of disappointment the 2019 Presidential Election ballot papers were punched by the regent. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); Also read: Viral Election Riot Videos in Sampang, Police: Hoaks, It&#39;s Genesis 2018 &quot;Good afternoon. This is the place for burning ballot boxes and ballots in Tingginambut District. People burn, help friends viral on social media,&quot; said the man in video. &quot;In Puncak Jaya Regency, there is no presidential election. In villages, in all districts ballots are tied together by a regent,&quot; the man added. Papua Bawaslu receives information about the video via the WhatsApp (WA) Bawaslu group. The Bawaslu of Papua then assigned the Election Supervisory Body of Puncak Jaya Regency to check. &quot;We are checking,&quot; said Amandus Sitomorang, coordinator of the Papua Province Bawaslu&#39;s enforcement division, as reported by Antara on Wednesday (4/24/2019). Also read: Viral Open Sound Box, Pandeglang Election Supervisory Body Give Explanation Regarding this, he said, the Papua Provincial Election Supervisory Body has ordered its staff in the field in this case Puncak Jaya Bawaslu to conduct investigations regarding the video that has become viral. &quot;Just received it, we have already checked the Puncak Jaya Bawaslu and they just said they also know. Well, investigation. This is the step we took,&quot; he said. When confirmed separately, KPU Commissioner, Ilham Saputra, said it was also still checking the facts behind the video. &quot;It&#39;s being checked. You haven&#39;t got a clue,&quot; Ilham said. Later, the police stated that the ballots burned were the remainder of the voting with the noken system. The ballot is no longer needed and burned to prevent abuse. The destruction was also recorded in the minutes. Also read: National Police: Ballots in Puncak Jaya Burned Remnants of Noken System Shot Watch also video &#39;KKB Threatens to Cancel Elections in Papua, Wiranto Gives Warning&#39;: [Gambas: Video 20 seconds] (imk / fjp) 2019 election 2019 presidential election burned",24 Apr 2019,2019-04-24 11:41:00
"Spread Provocation Issues May 22 Rush, Men in Makassar Arrested by Police","Sebarkan Isu Provokasi 22 Mei Rusuh, Pria di Makassar Ditangkap Polisi",https://news.detik.com/berita/d-4528830/sebarkan-isu-provokasi-22-mei-rusuh-pria-di-makassar-ditangkap-polisi,id,"Makassar - A man in South Sulawesi (South Sulawesi) was arrested for spreading the issue of provocation that there will be riots on May 22, 2019. The man with the initials SA (50) spreads the issue of SARA through his social media accounts. &quot;He uttered hate speech posted on video. The speech of hatred that there would be riots on May 22 which disturbed the community,&quot; said Head of South Sulawesi Regional Police Public Relations Commissioner Dicky Sondhani at South Sulawesi Regional Police Headquarters, Makassar, Monday (04/29/2019) . Also read: This is the Motif of the Mother Hoaks Video Spreader Labrak KPU Jombang SA was arrested on Friday (26/4) in Makassar. He uploaded the video through his Instagram account, @ reaksirakyat1, on the same day. In the video, he said the KPU would announce the results of the presidential election and the results were not as expected by the Prabowo-Sandiaga pair. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); Therefore, he said on May 22, the entire community would take to the streets and ask President Jokowi to step down from his position. &quot;This provoked so that there will be riots on May 22 and hit the TNI and Polri,&quot; he asserted. The police ensnared SA with the ITE Law with the threat of 6 years imprisonment and a maximum fine of Rp. 1 billion. The police will also develop the case to find out who is behind the making of the video. Also read: Communication and Information: Congratulations from the UN Secretary General to the Hoax Hoax Meanwhile, when asked for confirmation, SA said the upload video was his personal analysis. He denied that anyone had asked him to do a provocation. &quot;Nobody told me. This is private,&quot; he said. (tfq / idh) Makassar&#39;s hoax South Sulawesi regional election 2019 presidential election",29 Apr 2019,2019-04-29 10:47:00
Ma'ruf Amin volunteer held a tribute to the success of the election,Relawan Ma'ruf Amin Gelar Tasyakuran atas Keberhasilan Pemilu,https://news.detik.com/berita/d-4525754/relawan-maruf-amin-gelar-tasyakuran-atas-keberhasilan-pemilu,id,"Jakarta - Indonesian New Flow Volunteers (ARBI) held a tribute to the achievement of peaceful elections. The event was also grateful for the quick count results of several survey institutions and KPU real counts, the majority of which favored Joko Widodo-Ma&#39;ruf Amin. &quot;So it is indeed a mandate from KH Ma&#39;ruf, this is a volunteer friend and network of Ma&#39;ruf Amin. The mandate that we do is a safe and peaceful presidential election. Until April 17, there will be no riots, in the sense that it is safe and peace, &quot;said ARBI Chairman Lukmanul Hakim at the thanksgiving location at the Grand Cempaka Hotel, Cempaka Putih, Central Jakarta, Friday (4/26/2019). Lukmanul Hakim (Photo: Eva Safitri / detikcom) &quot;Then in a quick count, 01 won, and KPU&#39;s estate is still superior, but we are still waiting for the KPU. This is also good news that the good news is 01 superior, and real &quot;The superior KPU certainly must be grateful for. Every little good news must be grateful for,&quot; continued the Chairperson of the Economic MUI. googletag.cmd.push (function () {googletag.display (&#39;div-gpt-ad-1547837152118-0&#39;);}); Read also: TKN Jokowi: Alumni Declaration for Presidential Candidates for New Indonesian Politics Flow Lukman reminded volunteers not to be affected by the issues raised by the faction 02 Prabowo Subianto-Sandiaga Uno as there would be a period of mobilization or people power. Ma&#39;ruf, said Lukman, did not want his volunteers to participate in the activity, because it could damage the nation&#39;s children. &quot;Because when there was a mobilization of the masses and 02 also conducted a mass mobilization for example the issue of people power. We also have a mass when we meet the masses and the masses who clash with the masses, and that is the nation&#39;s children. a big loss for the Indonesian people, &quot;he said. Also read: Prevent Hoax for Jokowi, Chairperson of MUI Participates in TKN Campaign in Aceh Therefore, Lukman asks all supporters to remain patient while waiting for the recapitulation of KPU vote count to be completed. &quot;The election is finished, we leave it to the KPU. Leave it there is a mechanism that applies in a constitutional manner, do not have a rival KPU or rival Bawaslu,&quot; Lukman said. See also &#39;Update on Real Count 2019 Presidential Election!&#39;: [Gambas: 20-second video] (eva / elz) jokowi volunteers jokowi-maufruf 2019 presidential election 2019",26 Apr 2019,2019-04-26 12:53:00
