title,og_title,url,lang,content,publishedDate,dateObject,src
Kishtwar sees protest over RSS leader’s killing,Kishtwar sees protest over RSS leader’s killing,https://www.thehindu.com/news/national/kishtwar-sees-protest-over-rss-leaders-killing/article26968185.ece,en,"A violent demonstration was held by members of the Sanatan Dharam Sabha (SDS) on Saturday in Kishtwar in protest against “the failure of the police” in arresting the killers of Rashtriya Swayamsevak Sangh (RSS) leader Chandarkant Sharma.
He was shot dead along with his personal security officer on April 9. The police said suspected militants were behind the attack.
Official said the SDS members barged into the office of Deputy Commissioner, Kishtwar, and ransacked the office. Electronic gadgets and vehicles were damaged by the activists, said the police sources.
The SDS had called for a shutdown over the “callous attitude of the government” in probing the killing. The protesters assembled at Char Chinar area and sought the transfer of the top police and administrative officials of the district.",27 Apr 2019,2019-04-27 22:43:46,thehindu
BSNL employees demand allocation of 4G spectrum,BSNL employees demand allocation of 4G spectrum,https://www.tribuneindia.com/news/ludhiana/bsnl-employees-demand-allocation-of-4g-spectrum/764709.html,,"Tribune News Service
Ludhiana, April 27
Members of the BSNL Employees’ Union today organised a road march in support of their pending demands in Ludhiana. A large number of BSNL employees took part in the march and raised slogans against the government for failing to meet their demands.
The protesting BSNL employees demanded allotment of 4G spectrum to BSNL, wage revision for BSNL employees from January 1, 2017 and stopping of undue favour to the private telecom companies, including Reliance JIO, by the government.
While addressing the protesting BSNL employees, BSNL Employees union circle secretary comrade Balbir Singh and district secretary Avtar Singh Jhande said the private telecom companies started 4G service around four years back but BSNL had been lagging behind in this technology due to non-allotment of 4G spectrum by the government.
Jhande said various unions and associations of BSNL have been on path of struggle for last two years for settlement of their demands but the government has failed to meet their demands. Comrade Balbir Singh said BSNL was in profit to the tune of Rs 10,000 crore till the financial year of 2005-06 but after that BSNL became the victim of wrong policies of the government and it had been facing losses while private telecom companies were making huge profits.
The union leaders said the private telecom companies were posing a threat to BSNL and were looting people of the country. The union leaders demanded public support for BSNL in their own interest. They asked the public to pressurise the government to allot 4G spectrum to BSNL. The union leaders said if the government did not allot 4G spectrum to BSNL in the near future, they would further strengthen their struggle.
Their demands
The protesting BSNL employees have demanded allocation of 4G spectrum to BSNL, wage revision for BSNL employees from January 1, 2017 and stopping of undue favour to the private telecom companies, including Reliance JIO, by the government. The union leaders said the private telecom companies were posing a threat to BSNL and were looting the people of the country.",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
Non-teaching staff of PAU up in arms over demands,Non-teaching staff of PAU up in arms over demands,https://www.tribuneindia.com/news/ludhiana/non-teaching-staff-of-pau-up-in-arms-over-demands/764500.html,,"Tribune News Service
Ludhiana, April 26
The PAU Employees Union, along with PAU Class Four Workers Union, held a protest in front of Thapar Hall today. The rally was staged as start of an agitation against the authorities of the Punjab Agricultural University for the unfulfilment of demands of the non-teaching employees.
The main demands of the employees are to reduce the experience period for promotion of technical staff, to increase the number of posts of car/jeep drivers’ supervisors, regularisation of the contractual employees without any written test, to settle the pending cases with the committee of line of promotion, to manage the problems being faced by employees in the Local Audit and to restore the promotions of eligible employees which have been stopped by the authorities without any valid reason.
Baldev Singh Walia, president of PAU Employees Union, said the authorities of the university were not fulfilling certain genuine demands of the non-teaching staff. He further stated if these demands were not met soon, the agitation would take an ugly shape.",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
Expressway blocked over driver’s death,Expressway blocked over driver’s death,https://www.tribuneindia.com/news/expressway-blocked-over-driver-s-death/764235.html,,"Sonepat, April 26
Jagan Nath, a truck driver from Himachal, was killed when his vehicle hit a truck parked on the Kundli-Ghaziabad-Palwal Expressway on Friday.
Angry, truck drivers blocked the expressway for about two hours. The police persuaded the drivers to lift the blockade. A case has been registered against an unidentified driver of the parked truck, who reportedly escaped after the incident, the police said. — OC",27 Apr 2019,2019-04-27 06:20:00,tribuneindia
MC team attacked during anti-encroachment drive,MC team attacked during anti-encroachment drive,https://www.tribuneindia.com/news/jalandhar/mc-team-attacked-during-anti-encroachment-drive/764046.html,,"Hariana (Hoshiarpur) Apr 25
A team of employees of the Municipal Council, Hariana, on Thursday, conducted a anti-encroachment drive on a main road of the town. Though the team was accompanied by police personnel, when they tried to remove a vend of a vegetable seller, a group of people attacked them and they had to run away to save themselves. Later, the police controlled the situation.
During the drive to remove encroachments made by shopkeepers in the town, goods kept in front of shops on roads were removed by the officials of he Municipal Council. — OC",26 Apr 2019,2019-04-26 09:03:00,tribuneindia
YAD leaders protest assault on female MC inspector,YAD leaders protest assault on female MC inspector,https://www.tribuneindia.com/news/ludhiana/yad-leaders-protest-assault-on-female-mc-inspector/763998.html,,"Our Correspondent
Ludhiana, April 25
Led by district president Meetpal Singh Dugri and core committee member Gurdeep Singh Gosha, activists of the Youth Akali Dal (YAD), today held a protest against alleged assault on a woman building inspector of the Municipal Corporation by realtor Gurnam Singh, allegedly enjoying patronage of the ruling Congress.
Addressing the protesters, Dugri alleged that the accused coloniser, who was developing an illegal colony on Tajpur Road, was backed by the sitting Congress MP and a cabinet minister.
“In a shameful manner, the accused had slapped and abused the lady building inspector and other MC officials accompanying her,” he said while demanding that the accused be arrested immediately.
The YAD leaders maintained that this was not the first incident when Congress leaders had misbehaved with woman officials.
“Earlier, Cabinet Minister Bharat Bhushan Ashu had misbehaved with District Education Officer, a Congress MLA Davinder Singh Ghubaya had maltreated a woman SHO and now again, a coloniser claiming proximity to Congress leaders, had made an assault on a female MC official,” they alleged
The party activists wondered that if the government officials and particularly, female officials were not safe in the state then how the people were going to have a sense of safety and security in Punjab.",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
MC officer’s assault triggers political storm in Ludhiana,MC officer’s assault triggers political storm in Ludhiana,https://timesofindia.indiatimes.com/city/ludhiana/mc-officers-assault-triggers-political-storm-in-ludhiana/articleshow/69048148.cms,en,"representative image
Download The Times of India News App for Latest City
LUDHIANA: A day after MC officer was assaulted by a real estate developer, political parties joined the bandwagon to criticize the state government, alleging security lapse.SAD-BJP candidate Maheshinder Singh Grewal and Lok Insaaf Party MLA Balwinder Bains extended support to protesting MC employees and joined their dharna at the MC zone D office on Thursday.Both the leaders condemned the attack on the woman employee and attacked the Congress government for poor law and order situation that has left even government employees unsafe. Grewal said when police could register an FIR against the developer and 8 other, then why can’t they arrest him.He alleged that developer enjoyed patronage of Congress MP Ravneet Bittu and cabinet minister Bharat Bhushan and this is the reason why he attacked government employees.SAD district president Ranjit Dhillon along with former councillor Bhupinder Bhinda and a few other party workers also visited zone D to support MC employees. Congress councillor Parvinder Lapran also visited employees in the morning. Former cabinet minister Bikram Majithia also condemned the incident.Meanwhile, leaders of Youth Akali Dal (YAD) alleged that developer Gurnam Singh was affiliated to Congress and he is very close to Punjab chief minister Amarinder Singh.The YAD leaders also highlighted a few past incidents where women employees had been attacked during the Congress regime in the past two years and claimed that neither women employees in the government nor other women in the state are safe under the Congress rule.The YAD leaders also staged a protest outside the temporary residence of developer in Shaheed Bhagat Singh Nagar. YAD district presidents Gurdeep Gosha and Meetpal Singh Dugri alleged that the realtor enjoyed support from many senior Congress leaders, including MP Ravneet Bittu and cabinet minister Bharat Bhushan Ashu. They claimed that there are pictures of realtor with CM Amarinder Singh.The leaders alleged that women are not safe in Congress rule as it was not the first incident of assault and misbehaviour with women officials. They said earlier, cabinet minister Bharat Bhushan Ashu had misbehaved with district education officer; Congress MLA Davinder Singh Ghubaya misbehaved with female SHO. Now, an “office-bearer” of Congress slapped and misbehaved with lady officer, they alleged. They added that if officials were not safe in the state, then how will common people feel safe in Punjab.The leaders claimed that they were supposed to stage a protest outside residence of developer in BRS Nagar, but that house is under construction and he is living in SBS Nagar but the house was locked when they reached there to protest.The protesters including Meetpal Singh Dugri, Gurdeep Singh Gosha, Prabhjot Singh Dhaliwal, Tanvir Singh Dhaliwal and many others sat on a dharna outside the locked house and demanded immediate arrest of the developer.However, mayor Balkar Sandhu said, “A businessman is affiliated to power and it does not matter to him which party is heading the state. Similar is the case with Gurnam Singh and such pictures do not prove anything.” He said the YAD leaders were trying to use it in the elections to help their candidate as they do not have anything else to give a strong fight to Congress’s MP and candidate Ravneet Bittu.",04 May 2019,2019-05-04 15:18:57,timesofindia.indiatimes
"Bajrang Dal protests outside SCD College, demands principal’s arrest","Bajrang Dal protests outside SCD College, demands principal’s arrest",https://www.tribuneindia.com/news/ludhiana/bajrang-dal-protests-outside-scd-college-demands-principal-s-arrest/763235.html,,"Tribune News Service
Ludhiana, April 24
Demanding the arrest of the SCD Government College principal in the FIR registered under Section 295-A of the IPC at Division No 8 police station, the Bajrang Dal activists held a protest outside the college today.
Led by activist Chetan Malhotra, they raised slogans against the Ludhiana police for failing to arrest the principal of the college. They also raised slogan against the college principal for hurting the religious sentiments of the community.
“We are holding a protest outside the college as the police have failed to arrest the accused involved in the FIR. We were assured by ACP Mandeep Singh that the accused would be held within two days due to which we lifted the dharna. But if the police fails to arrest the accused, we will lay a siege at the Bharat Nagar Chowk,” Chetan said. He also alleged that police was deliberately delaying the arrest of the accused in the case thereby giving time to them to get bail from the court.
On April 15, Division No 8 police registered a case under Section 295-A (Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion) of the IPC. As per the complaint given by Bajrang Dal, principal Dharam Singh Sandhu, professor Neelam Bhardwaj and the students were responsible for staging a play in the college campus that insulted the Hindu gods by speaking disrespectful dialogues against them.",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
Farmers led by INLD nominee gherao SDM,Farmers led by INLD nominee gherao SDM,https://www.tribuneindia.com/news/haryana/farmers-led-by-inld-nominee-gherao-sdm/763215.html,,"Protest over non-procurement of mustard in M’garh
Tribune News Service
Mahendragarh, April 24
Some farmers led by INLD candidate from Bhiwani-Mahendragarh Balwan Fouzi on Wednesday gheraoed Mahendragarh SDM Vinesh Kumar at a makeshift grain market here.
They were protesting non-procurement and non-lifting of mustard produce. Some of them did not let the SDM leave and allegedly misbehaved with him. The police were called to disperse the gathering.
The SDM later filed a complaint with Deputy Commissioner Garima Mittal, demanding appropriate action against the protesters, said sources.
She said the complaint filed by the SDM was marked for inquiry to the Chief Executive Officer of the Zila Parishad. “Action will be taken as per the inquiry report,” she said.
The sources said the SDM came to the grain market in the morning to resolve farmers’ complaints about non-procurement and non-lifting of mustard.
After taking stock of the situation, he assured farmers of procured mustard getting lifted soon. Fouzi and others reached the spot and gheraoed the SDM when he was about to leave, the sources added.
Talking to mediapersons, Fouzi said he had come to the grain market on getting messages from farmers that neither was mustard being procured nor was procured mustard being lifted.
“I raised the issue with the SDM, but he did not pay any heed. Farmers gheraoed him and stood in front of his car. Some people manhandled my personal assistant and misbehaved with me,” he said.
He claimed that a false case was lodged with the intention of gaining political mileage. He said he did not fear such action and would launch an agitation if the authorities failed to resolve farmers’ grievances.",20 Apr 2019,2019-04-20 00:00:00,tribuneindia
Bahu Fort inhabitants protest against PHE Deptt,Bahu Fort inhabitants protest against PHE Deptt,https://www.dailyexcelsior.com/bahu-fort-inhabitants-protest-against-phe-deptt/,en,"Excelsior Correspondent
JAMMU, Apr 24: Residents of Bahu Fort today held a protest against PHE Department at Boria Pumping Station, Kalika Colony, Gorkha Nagar, Jammu.
Around hundred people including women of Bahu Fort led by Sham Lal Basson, Corporator, Ward No 48, assembled at Boria Pumping Station and staged a sit-in protest. Raising slogans against the PHE authorities while waving placards in their hands, people alleged that they have been facing water scarcity for last five decades but the authorities are unmoved on the issue.
While speaking on the occasion, Sham Lal Basson said people of this area are facing water scarcity for last many years but for last three years, they have been getting contaminated water. He said that most of the water supply lines are decades old which have been damaged and need to be replaced immediately.
Basson said that even this contaminated water is supplied by the PHE Department on alternate days and in an unscheduled manner. He said that due to unscheduled supply of water, people are facing many problems. Basson said that as Corporator he moved from pillar to post to solve the water supply problem in the area but Department remained unmoved.
The protestors dispersed later after concerned PHE Executive Engineer, JP Singh, assured to take up the matter with higher authorities so that people may not suffer for want of drinking water.",24 Apr 2019,2019-04-24 21:39:06,dailyexcelsior
