title,url,keywords,imageUrl,content
"Pondicherry University Administration Meets Protesting Students, Agitation Called Off",https://www.ndtv.com/education/pondicherry-university-administration-meets-protesting-students-agitation-called-off-2013486,The Pondicherry University authorities had met with the Students Council office bearers and students representatives at 3.30 P.M on Tuesday.,https://c.ndtvimg.com/2019-03/ea0gbhgg_pondicherry-university_625x300_27_March_19.jpg,"The Pondicherry University authorities had met with the Students Council office bearers and students representatives at 3.30 P.M on Tuesday. After detailed deliberations, according to an official statement from the varsity, it has been decided to consider placing of all the demands of the students before the Vice-Chancellor and relevant bodies of the University for necessary action. ""Accordingly, the student agitation is called off,"" added the statement.The Joint Action Committee (of all various student organisations in the campus) said in another statement that it will follow up the movements of the administration regarding their assurances and will be in constant engagement with the authorities on these issues that have been raised.""If the demands are not fulfilled, the next stage of protests will be decided by the Joint Action Committee and it will be informed to the larger student community of Pondicherry University,"" the Committee said.The students in their agitation which included boycotting classes demanded a roll back on the fee hike, allocation of University hostel facilities to SC/ST students of Pondicherry UT, external evaluation system and the simplification of revaluation procedure and ensuring the 25% reservation for the Pondicherry natives.""After a five hours agitation in front of the administration, the University authorities called for a meeting with the JAC representatives at the Council Hall. The JAC met the VC in charge, Registrar, Finance Officer and other Directors and put forth the demands. The 16 representatives were from the various organizations and the Student's Council,"" the statement said.""As students have boycotted their classes in solidarity with the protest, we have demanded that there should not be any kind of disciplinary actions taken against the students and the Authorities have agreed upon that and if there is any actions taken against the students it can be reported to the Joint Action Committee,"" it added.Click here for moreEducation NewsGet the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
JNU Students Continue Protest Against Introduction Of 'Expensive MBA Course',https://www.ndtv.com/education/jnu-protest-jawaharlal-nehru-university-students-continue-hunger-strike-2013482,"""We have been sitting on hunger strike; this is the eighth day of our strike,"" said Sarika Chaudhary, VP Jawaharlal Nehru University Students Union.",https://i.ndtvimg.com/i/2018-02/jnu_650x400_41518829867.jpg,"Jawaharlal Nehru University (JNU) students on Tuesday continued their indefinite hunger strike for the eighth dayagainst the introduction of expensive MBA course in the varsity. ""We have been sitting on hunger strike; this is the eighth day of our strike against many issues but primarily against the management course which will be inducted from this academic session,"" Sarika Chaudhary, Vice president Jawaharlal Nehru University Students Union (JNUSU) said.""The course has the highest ever fee structure that is Rs 12 lakh which is higher than any private college. How many can afford this fee for the course?,"" she said.JNU Vice-Chancellor Mamidala Jagadesh Kumar said, ""A discussion cannot happen when 500 people are standing and shouting at you. It happens in a peaceful atmosphere. Right from the beginning, they are against opening the management school in the campus. If the fee is so high then why are students applying for course from all over the country? We have just 50 seats but a large number of people who have qualified CAT exam have applied for our program.""""We cannot remain frogs in the well in today's time. The university has to expand its programmes in order to become the best university in the world and contribute to the country. We are following all the rules and regulations of UGC. All these decisions are taken after a long discussion with our executive and academic councils. I don't see any point why anyone should oppose these kinds of expansion of such program which is good for University,"" Mr. Kumar added.Speaking on the fee structure of the course, Mr. Kumar said, ""The fee structure is the same as anywhere in India whether it is IIMs or IITs. We are not charging anything abnormally. The course will be inducted from coming academic session starting from July. We have already started the engineering course and the selection process is through JEE.""Another student sitting on hunger strike here, Aejaz Ahmed said, ""We have been sitting here for indefinite hunger strike but neither the vice-chancellor nor anyone from JNU administration came to meet us. Instead the VC accused us of barging into his house and threatening his wife. Nothing of that sort happened. We were doing a protest which is within the ambit of our constitutional rights.""On Monday evening, hundreds of JNU students allegedly barged into the residence of the VC and allegedly confined his wife inside the residence for hours before she was safely rescued by security staff and others.Delhi Police: There was a call for march till the JNU VC's house today. Students reached his house and tried to enter. They were stopped by the security staff. So far most of the students have gone back to their hostel. Few of them are still there. Situation is under control.The incident took place when about 200 students marched towards the VC's residence but were stopped by the security staff at the residence gate. However, the protesters smashed the gates and allegedly barged into the residence after quarrelling with the security guards.JNU Vice-Chancellor said he will not file a police complaint against the students who ""barged "" into his house on Monday, but strict disciplinary action will be taken against them as per the varsity rules.Click here for moreEducation NewsGet the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
"Amid Row Over 'PhD On National Priorities' Order, Kerala Professor Quits",https://www.ndtv.com/kerala-news/amid-row-over-phd-on-national-priorities-order-kerala-professor-meena-pillai-quits-2012254,Congress Chief Rahul Gandhi on Sunday took a jab at Human Resource Development Minister Prakash Javadekar over the circular on research topics in PhD.,,"A professor from Kerala, Meena T Pillai, has quit the Board of Studies of Central University of Kerala in protest against a circular from the university asking the departments to admit students for PhD only if they have subjects related to ""national priorities"".The circular dated March 13 reads: ""All the Heads of the Department are hereby directed to convene the meeting of faculties and to prepare a shelf of projects to be taken for research study pertaining to their subject considering national priorities. The student can opt from the shelf of projects.""It also states ""...discourage research in irrelevant areas. When fellows are being admitted for PhDs, the topic for PhDs should be in accordance to national priorities. Allotting privilege topics to students should be dispensed with.""""I was absolutely shocked when I read this circular. How can a circular like this be passed to all departments, and remain unnoticed. The only thing I could do is resign from board. I thought it was a very insignificant act on my behalf, but the only thing I could do. Who decides what are national priorities? And why should research be restricted to just that?"" Professor Pillai, who resigned from the Board of Studies of English and Comparative Literature, told NDTV.Congress President Rahul Gandhi on Sunday took a jab at Education Minister Prakash Javadekar over the circular on research topics in PhD.Mr Gandhi shared a report on Facebookabout the HRD ministry's order on PhDs. ""Now, self-attested wise minister (Javadekar) of a very wise Prime Minister (Narendra Modi) will tell the intellectuals of the country how they should do their work. It has been rightly said that 'a little knowledge is a dangerous thing',"" he posted in Hindi.Congress member of parliament from Thiruvananthpuram Shashi Tharoor on Twitter asked people to join her protest: ""Disgraceful HRD instruction that researchers can pursue PhDs only on topics of 'national interest' prompts Kerala professor to quit. The rest of us can join her protest by voting the  troglodytes out!"" he tweeted.The Central University of Kerala comes under the Ministry of Human Resource Development but it's not clear on whose direction the circular was issued. The circular was signed by the university registrar.However, after the professor's resignation, the university issued a clarification saying: ""It came to the notice of the Central University of Kerala administration that a circular issued by the University dated 13.03.2019 is highly misinterpreted in some of the media.""The usage of ""National Priority"" in the circular pertains to the topics that would benefit the economic, social and technological advancement of the nation and society, the university said.The research areas may include latest developments in nano technology, nano medicine, artificial intelligence, space research, nuclear science, sustainable development, climate change, organic farming among others, it added.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
HD Deve Gowda To Contest Lok Sabha Polls From Karnataka's Tumakuru: Party,https://www.ndtv.com/india-news/hd-deve-gowda-tumkur-to-contest-lok-sabha-elections-2019-from-karnatakas-tumakuru-2011795,"With the announcement of Mr Deve Gowda's candidacy, three of the eight seats the JD-S managed to wrest from coalition partner Congress will go to the Gowda family.",https://c.ndtvimg.com/2019-03/veveeshk_hd-deve-gowda-pti-_625x300_23_March_19.jpg,"After weeks of suspense, the announcement was finally made on Saturday. Former Prime Minister HD Deve Gowda will contest the 2019 Lok Sabha elections from the Tumakuru constituency in Karnataka as the candidate for the Janata Dal-Secular (JD-S) and Congress alliance, his party said.Last week, Mr Deve Gowda had handed over his seat - Hassan in southern Karnataka - to grandson Prajwal Revanna at a public event in the parliamentary constituency in a moment that had leaders from thethree generations of the JD-S in tears.Mandya, the other seat which is right now represented by the JD-S in parliament, too was given to another grandson of Mr Deve Gowda - Nikhil Kumaraswamy, son of Karnataka Chief Minister HD Kumaraswamy. This had raised the question about where HD Deve Gowda would choose to contest from.With the announcement ofMr Deve Gowda's candidacyby his party, three of the eight seats the JD-S managed to wrest from coalition partner Congress will go to the Gowda family. After long-drawn negotiations, the Congress and the JD-S had come to a20-8 seat sharing agreement last week.However, Saturday's decision immediately triggered a protest from the Congress lawmaker who represents Tumakuru. ""I'm a sitting MP from here and I have delivered at the floor of the house. Why have you denied me the ticket? It is not correct,"" SP Muddahanumegowda said.""Elected representatives and all local leaders want me to contest. That's why on Monday we will start a procession from BGS Circle to DC Office and I'll file the nomination with the support of all our leaders as the Congress candidate for Tumakuru,"" he was quoted as saying by news agency ANI.Voting for the 28 Lok Sabha seats in Karnataka will be held in two phases on April 18 and 23. Results will be declared on May 23.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
"""No Short Skirts"": Maharashtra College's Diktat Upsets Students",https://www.ndtv.com/mumbai-news/no-shorts-skirts-maharashtras-jj-hospitals-grant-medical-college-issues-diktat-to-students-2012156,Students wore ankle-length clothes and covered their faces in protest towards the the diktat issued by the college.,https://i.ndtvimg.com/i/2017-05/skirts_650x400_81495105645.jpg,"Students of a medical college in Maharashtra have launched a protest after authorities allegedly asked them to not wear short skirts and sit apart from men during events.Authorities of Mumbai's JJ Hospital's Grant Medical College came up with the set of instructions after a Holi event on March 21, students said. Today, students wore ankle-length clothes and covered their faces in protest towards the circular issued by the college.""The instructions were issued by Dean Dr Ajay Chandanwale and Warden Shilpa Patil. They said women must not wear short skirts, should sit apart from men at events and return to their hostels before 10 pm,"" students said.""We condemn this decision of the college administration. It unnecessarily encroaches on our right to dress the way we want. Why should everyone be punished for the actions unruly students.""In response to students' allegations, Dean Dr Ajay Chandanwale said, """"The expectation from female students is that they dress appropriately. This alone was my message to the students. There was some chaos during Holi. If there is any grudge or objection, we will hear the students out,"" he said.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
Paris Police Ban 'Yellow Vest' Protests On Champs-Elysees On Saturday,https://www.ndtv.com/world-news/paris-police-ban-yellow-vest-protests-on-champs-elysees-on-saturday-2011466,"Protests will also be outlawed in much of the southern city of Nice, where Chinese President Xi Jinping will meet his French counterpart Emmanuel Macron on Sunday.",https://c.ndtvimg.com/2019-02/poptorgk_yellow-vest-gilets-jaunes-afp_625x300_10_February_19.jpg,"Paris police said Friday that ""yellow vest"" protests would be banned on the Champs-Elysees on Saturday, a week after hundreds of anti-government demonstrators rioted and looted shops on the iconic Paris avenue.Protesters will also be stopped from entering streets surrounding the Arc de Triomphe, at the top of the avenue, as well as several nearby areas, including the presidential Elysee Palace and the National Assembly, theParis prefect's officesaid.""There are serious reasons to believe that violence and damages are likely during the scheduled demonstrations,"" the office said.Similar bans were planned in other major cities, including Toulouse, in southwestern France, where officials said the main city square will be out of bounds for demonstrators.Protests will also be outlawedin much of the southern city of Nice, where Chinese President Xi Jinping will meet his French counterpart Emmanuel Macron on Sunday.The Paris prefect's office said anyone defying the bans would face fines, part of tough new measures vowed by the government to prevent another flare-up of violence.In other areas of Paris, ""the right to demonstrate, which is a fundamental freedom, will be allowed"", but ""any riotous groups will be immediately dispersed,"" police warned.Last Saturday, police appeared to hang back as hundreds of violent protesters rampaged along theChamps-Elysees, burning and looting more than 100 businesses in unrest that cost the Paris police chief his job.Addressing the new Paris police chief Didier Lallement on Thursday, Interior Minister Christophe Castaner demanded a ""zero tolerance"" approach towards violent demonstrators.""Black blocs belong in prison, not on the Champs-Elysees,"" he said, referring to the black-clad anarchists that overran the Champs-Elysees on Saturday.The weekly Saturday protests began on November 17 over fuel tax increases and quickly ballooned into ananti-government rebellion against Macron's policies, seen by the protesters as geared towards the rich.Although several of the initial protests ended in rioting, the clashes with police had eased as participation dwindled in recent weeks.Destruction of property is estimated to have cost 200 million euros ($227 million) so far over the 18 weeks of protests, according to Economy Minister Bruno Le Maire.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
More Than 100 Tamil Nadu Farmers To Fight Polls Against PM From Varanasi,https://www.ndtv.com/india-news/lok-sabha-elections-2019-more-than-100-farmers-to-fight-polls-against-pm-narendra-modi-in-varanasi-2011770,Lok Sabha Elections 2019: Tamil Nadu farmers' leader P Ayyakannu said Saturday that 111 farmers from the state will contest against PM Modi from Varanasi.,https://c.ndtvimg.com/2019-03/7go5cgck_narendra-modi-pti_625x300_23_March_19.jpg,"After taking their protests to the national capital to highlight their demands, Tamil Nadu's farmers are gearing up for an electoral battle and will file 111 nominations from the Varanasi Lok Sabha constituency from where Prime Minister Narendra Modi is contesting.Tamil Nadu farmers' leader P Ayyakannu said Saturday that 111 farmers from the state will contest against PM Modi from Varanasi.Mr Ayyakannu, who is also president of the National South Indian Rivers Inter-Linking Farmers Association, said the decision to contest the polls from Uttar Pradesh was to urge the BJP to include in their manifesto their demands, including ""profitable prices for farm produce,"" would be fulfilled.Speaking to PTI, the leader, who spearheaded agitations in Delhi in 2017 for over 100 days, said the ""moment they assure in their manifesto that our demands will be fulfilled, we will drop our decision to contest against Modi.""In the event of that not happening, he said they would go ahead and contest against PM Modi.The decision to contest polls has the support of farmers everywhere and the All India Kisan Sangharsh Coordination Committee, Mr Ayyakannu said.Asked why they were raising the demand with BJP alone and not other parties like the Congress to include it in their manifestos, he said the BJP was still the ruling party and PM Modi the Prime Minister.Parties like the DMK and the Amma Makkal Munnetra Kazhagam have assured full loan waiver, which is also one of the farmers'' demands, in their manifestos, he said.""We are not against the BJP or our PM Modi. Before assuming power, Modi ji promised fulfilling our demands and assured to double our income. Even today he is our Prime Minister and the BJP is the ruling party and that is why we are making this demand to them.""The leader wondered as to what stopped the party from giving an assurance.Already, he said, he has booked train tickets for 300 farmers to go to Varanasi.Farmers from districts, including Tiruvannamalai and Tiruchirappalli, will reach Varanasi, he said.The BJP-led government at the centre had promised to fulfill their demands including profitable prices for farm produce, loan waiver from all banks including nationalised, and cooperative and Rs 5,000 pension for farmers over 60, Ayyakannu said.""At the least, let the lone BJP MP from Tamil Nadu Pon Radhakrishnan commit that our promises will be honoured in the manifesto, we may think about reconsidering our decision,"" he said.In November 2018, farmers led by Ayyakannu had gone to Delhi with two ""skulls,"" to take part in a kisan rally, saying it belonged to their colleagues who had allegedly committed suicide over debt.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
"Italy Bus Hijacker ""Heard Voices"" Of Drowned Migrant Children: Report",https://www.ndtv.com/world-news/italy-bus-hijacker-heard-voices-of-drowned-migrant-children-report-2011576,"Armed with two petrol canisters and a cigarette lighter, he threatened the youngsters, took their telephones and told the adults to tie them up with electric cable.",https://c.ndtvimg.com/2019-03/ekd9lgr8_italy-school-bus-burnt-reuters_625x300_20_March_19.jpg,"The driver of a school bus who torched the vehicle to protest Mediterranean migrant deaths claimed on Friday he acted after hearing the voices of drowned children urging him on, media reports said.Insisting again that he did not want to hurt anyone, the 47-year-old of Senegalese origin, reportedly told investigators: ""I heard the voices of the children in the sea who were telling me 'do something spectacular for us without hurting the children'.""Earlier Friday other reports quoted Sy as saying he planned to use his young passengers as human shields and escape to Africa.""I wanted to get to the runway at (Milan's) Linate airport using the children as human shields and from there head to Africa by plane,"" Corriere della Sera daily quoted Ousseynou Sy as telling investigators.Sy on Wednesday hijacked a bus while taking 12-13 year-olds from a gym to school in Crema, east of Milan.Armed with two petrol canisters and a cigarette lighter, he threatened the youngsters, took their telephones and told the adults to tie them up with electric cable.Their 40-minute ordeal ended when police managed to smash windows open and get those onboard out just as Sy set fire to the vehicle.He now faces having his Italian citizenship, obtained through marriage in 2004, revoked.According to the Corriere della Sera, Sy has told investigators he hates white people for having ""invaded and colonised"" Africa, forcing Africans to emigrate and ""die in the Mediterranean"".""Africa rise up""Alberto Nobili, head of Milan's counter terrorism police, said Sy had posted a video on Youtube with the message: ""Africa, rise up.""Media reports quoted him as saying he had no regrets as ""it was something I had to do and would do again, 100 times. Why did I do it? To send a signal to Africa"".He reportedly told investigators that Italy's impounding Tuesday of migrant rescue ship ""Mare Jonio"" off the Italian island of Lampedusa with 48 people aboard had been a tipping point for him.Quoting three students on the bus, Messagero daily reported Sy had first attempted a hijack on Monday, two days earlier.""He tried to change the route but a teacher intervened and said 'what are you doing? Stick to the right route'.""That day, the trio said, Sy appeared very nervous, shouting insults at one child.The government, in the shape of deputy prime minister, Luigi di Maio, and far-right Interior Minister Matteo Salvini, say Rome could now revoke Sy's passport.The debate has become increasingly heated in a country where Salvini's tough anti-immigration stance is popular with conservatives.In February last year, Italy was similarly rocked when far-right militant Luca Traini fired on a dozen African migrants in the central town of Macerata, injuring six. The attack was an apparent response to the killing of a young Italian woman, allegedly by a Nigerian drug dealer.Brenton Tarrant, accused of last week's Christchurch massacre in New Zealand, had scrawled Traini's name on one of his weapons.Anti-mafia state prosecutor Cafiero de Raho warned La Stampa daily the time had come to ""tone down"" the rhetoric, citing the danger of people further feeding on existing extremism and racial hatred.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
"Driver Hijacks, Sets School Bus On Fire In Italy, Children Escape Unhurt",https://www.ndtv.com/world-news/driver-in-italy-sets-school-bus-full-of-children-on-fire-2010570,All the children managed to escape unhurt before the bus was engulfed in flames. Police said the driver was an Italian of Senegalese origin.,https://c.ndtvimg.com/2019-03/ekd9lgr8_italy-school-bus-burnt-reuters_625x300_20_March_19.jpg,"A bus full of schoolchildren was hijacked and set on fire by its own driver on Wednesday in an apparent protest against migrant drownings in the Mediterranean, Italian authorities said.All 51 children managed to escape unhurt before the bus was engulfed in flames on the outskirts of Milan, Italy's business capital. Police named the driver as Ousseynou Sy, a 47-year-old Italian citizen of Senegalese origin.""He shouted, 'Stop the deaths at sea, I'll carry out a massacre',"" police spokesman Marco Palmieri quoted Sy as telling police after his arrest.A video posted on Italian news sites showed the driver ramming the bus into cars on a provincial highway before the fire took hold. Children can be seen running away from the vehicle screaming and shouting ""escape"".One of the children told reporters that the driver had threatened to pour petrol over them and set them alight. One of group managed to call the police, who rushed to the scene and broke the bus windows to get everyone to safety.Palmieri said some children were taken to hospital as a precautionary measure because they had bruises or were in a state of shock, but none suffered serious injuries.A teacher who was with the middle school children was quoted by Ansa news agency as saying that the driver had said he wanted to get to the runway at Milan's Linate airport.An unnamed girl was also quoted as saying that Sy blamed deputy prime ministers Matteo Salvini and Luigi Di Maio for the deaths of African migrants at sea.The United Nations estimates that some 2,297 migrants drowned or went missing in the Mediterranean in 2018 as they tried to reach Europe.A Libyan security official said on Tuesday that at least 10 migrants died when their boat sank off the Libyan coast near the western town of Sabratha.The Italian government has closed its ports to charity rescue ships that pick up migrants off the Libyan coast. Salvini says this has helped reduce deaths because far fewer people are now putting to sea.Human rights groups say deaths might have increased with hardly any boats now searching for the would-be refugees.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
Watch: Bulgarian Police Pepper Spray Themselves Instead Of Protestors,https://www.ndtv.com/offbeat/viral-video-bulgarian-police-pepper-spray-themselves-instead-of-protestors-2010169,Over 2.95 million views for the video,https://c.ndtvimg.com/2019-03/coq7olgk_bulgaria-sofia_625x300_20_March_19.jpg,"Over the weekend, protestors gathered at the Bulgarian capital of Sofia to demand early elections. When the Bulgarian police tried to disperse them by using pepper spray, however, something quite unexpected happened - they managed to pepper spray themselves instead. Footage that has racked up millions of views on Twitter shows a police officer spraying directly into the air, failing to take into account the direction of the wind. As protestors remain largely unharmed, the pepper spray blows back into the faces of the police officers.Many cops were seen rinsing their eyes out with water in the viral clip. According tolocal reports, the incident took place outside the parliament in Sofia after protestors tried to block the streets.""Bulgaria is a peaceful country, where protests very rarely go more violent than a bit of pushing. This explains the inexperience of the police with things like pepper spray,"" explained Jasper Neve, who shared the clip on Twitter.Watch the incident unfold below:Bulgarian police used pepper spray against protesters in front of parliament, but didn't take the wind direction into accountpic.twitter.com/B8b7uQyIEGSince being shared online, the video has collected over 2.95 million views and thousands of reactions.""Pro tip for protestors: always conduct your protests upwind of the police,"" laughed one person in the comments section. ""Replace 'Bulgarian police' with 'Bungling police'"" another quipped.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
