title,url,keywords,imageUrl,content
Paris Stores Looted In New ''Yellow Vest'' Riots,https://www.ndtv.com/world-news/paris-stores-looted-in-new-yellow-vest-riots-2008689,"A Boss menswear store and the upscale Fouquet's restaurant -- a brasserie popular with politicians and film stars - were among the premises to have their windows smashed by groups of hooded demonstrators in scenes reminiscent of the worst ""yellow vest"" riots in Paris in December.",https://c.ndtvimg.com/2019-03/smif8h2o_yellow-vest-protests_625x300_16_March_19.jpg,"Demonstrators looted and torched shops and businesses on the famed Champs-Elysees avenue in Paris on Saturday, on the 18th straight weekend of ""yellow vest"" protests, characterised by an uptick in violence after weeks of dwindling turnout.A Boss menswear store and the upscale Fouquet's restaurant -- a brasserie popular with politicians and film stars - were among the premises to have their windows smashed by groups of hooded demonstrators in scenes reminiscent of the worst ""yellow vest"" riots in Paris in December.The demonstrators also set fire to a bank situated on the ground floor of an apartment building, which was engulfed by flames. The fire service evacuated the residents and extinguished the blaze. Eleven people, including two fire fighters, suffered minor injuries, according to BFM news channel.Interior Minister Christophe Castaner in a tweet accused the arsonists of being ""neither demonstrators, nor trouble-makers"" but ""murderers.""The protests came a day after President Emmanuel Macron arrived in the southwestern Pyrenees mountains with his wife Brigitte for a short ski break, an AFP photographer reported.""I'm going to spend two to three days here to rest and rediscover landscapes and faces that are dear to me,"" Macron told La Depeche du Midi newspaper.'Ultra-violent' minoritySaturday's turnout is a test for the ""yellow vest"" movement, which began in November over fuel tax hikes and quickly ballooned into a anti-government rebellion but has struggled lately to mobilise large numbers of protesters.Last week, only around 28,000 people demonstrated nationwide, according to the authorities, a tenth of the numbers that turned out for the inaugural protest on November 17.The rally coincides with the end of the public debates called by President Emmanuel Macron to try take the heat out of the protests and give voters a forum to propose policy changes.Around half a million people turned out at townhall-style meetings held around the country over the past two months,But many ""yellow vests"" dismissed the consultation as a smoke-screen.The police on Saturday used tear gas and water cannon to repel protesters who gathered at the foot of the Arc de Triomphe war memorial, which was sacked by protesters on December 1 in scenes that drew international condemnation.A newsstand also went up in smoke as groups of mostly black-clad demonstrators pelted the security forces with stones and erected barricades.""There are a number of people who have come just to smash things,"" Castaner said, estimating that some 1,500 ""ultra violent"" activists had infiltrated the crowd of ""between 7,000 and 8,000"".On social media, ""yellow vest"" leaders had hinted at the arrival of sympathisers from Italy, Belgium, the Netherlands and even Poland.""Macron, we're coming to get you at home,"" some of the protesters chanted, referring to the presidential palace situated near the Champs-Elysees.Forty-four people had been arrested by the early afternoon, the police said.'We want results'From early morning protesters began pouring into the capital by train and car from around the country for what they called an ""ultimatum"" to Macron.Over 5,000 police were deployed, along with several armoured police vehicles, and several metro stations were closed.Macron, who was caught off guard when grassroots protesters began occupying traffic roundabouts in November over fuel taxes, has loosened the state's purse strings to the tune of 10 billion euros ($11.2 billion) to try defuse the protests.He also travelled the length and breadth of the country, engaging in marathon debates with local politicians and voters.But the measures failed to quell the anger of the demonstrators, who accuse the former investment banker, of being in the pocket of the rich.Laurent Casanova, an engineer who was among the protesters on Saturday, told AFP he wanted to mark the end of the debates.""We have been patient but now we want results,"" he said.The protest was one of several planned in Paris on Saturday, where climate campaigners also gathered in their thousands to demand Macron go further on greening the economy.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
"Paris Luxury Stores Looted, Burned In ""Yellow Vest"" Riots",https://www.ndtv.com/world-news/paris-luxury-stores-looted-burned-in-yellow-vest-riots-2008739,The rioters also looted several clothing stores and set fire to barricades in scenes reminiscent of the worst yellow-vest riots in Paris in December.,https://c.ndtvimg.com/2019-03/sbh512sg_yellow-vest-protesters-luxury-stores-paris-afp-650_625x300_17_March_19.jpg,"Rioters looted and torched shops and businesses on the famed Champs-Elysees avenue in Paris on Saturday, on the 18th weekend of French ""yellow vest"" protests, characterised by a sharp increase in violence after weeks of dwindling turnout.President Emmanuel Macron cut short a skiing trip in the Pyrenees to return to Paris for a crisis meeting, as hooded protesters went on the rampage in Paris, leaving a trail of destruction in the touristic heart of the city.The police appeared overrun as protesters swarmed the Champs-Elysees, vandalising and later setting fire to Fouquet's brasserie, a favourite hangout of the rich and famous for the past century -- as well as luxury handbag store Longchamp, a bank, another restaurant and several news stands.The rioters also looted several clothing stores and set fire to barricades in scenes reminiscent of the worst yellow-vest riots in Paris in December.French anti-riot policemen stand outside the restaurant ""Le Fouquet's"" which was partially burnt down on the Champs-Elysees in Paris""Like the vast majority of French people, I feel very angry today,"" tweeted French Prime Minister Edouard Philippe, who visited the scene.""Today's actions are not the work of protesters, but of looters, arsonists and criminals. No cause justifies this violence,"" he added.In a statement, the national police denounced the ""mindless violence, cowardly attacks"" and stressed their determination to guarantee public order against ""provocateurs and vandals"".Bank blazeSaturday's turnout was seen a test of the ongoing strength of the movement, which began in November over fuel tax hikes and quickly ballooned into a rebellion against Macron's policies, seen by the protesters as geared towards the rich.In recent weeks, the protests have dwindled in size. But the interior ministry estimated the turnout in Paris Saturday at 10,000, out of around 32,300 nationwide.That is a fraction of the 282,000 people they said took part in the inaugural demonstrations across France on November 17, but more than the previous weekend.Saturday's protests were markedly more violent than in recent weeks. Police said close to 240 people were arrested, while prosecutors said more than 100 had been taken into custody.Jewellery that was partially destroyed and looted during clashes between Yellow Vest protesters and riot police forces on the Champs-Elysees in ParisThe bank set alight was on the ground floor of an apartment building, and fire firefighters had to quickly evacuate the residents, including a nine-month-old baby.Eleven people suffered minor injuries in the bank blaze, the fire service told AFP.The violence left 17 members of the police injured, and 42 protesters, said police.'Ultra-violent' minorityMacron was due to hold an emergency meeting at the interior ministry on Saturday evening, his office said.The rally coincides with the end of the public debates called by the president to try take the heat out of the protests and give voters a forum to propose policy changes.Around half a million people turned out at townhall-style meetings held around the country over the past two months.But many ""yellow vests"" dismissed the consultation exercise as a smoke-screen.Outside the restaurant ""Le Fouquet's"" set on fire during clashes with riot police forces on the Champs-Elysees in ParisOn Saturday, the police used tear gas, stun grenades and water cannon to try repel protesters who gathered at the foot of the Arc de Triomphe war memorial, which was sacked by protesters on December 1.But for seven hours they continued to be pelted with paving stones by mostly black-clad demonstrators.""There are a number of people who have come just to smash things,"" Interior Minister Christophe Castaner said, estimating that some 1,500 ""ultra-violent"" activists had infiltrated the crowd.""We have been too nice, that's why it's violent today. I'm not in favour (of violence) but we are ruled by corrupt people who dare to lecture us,"" Jean-Francois Bernard, a landscape gardener who was among the protesters, told AFP.The presidency later announced that Macron was returning home from La Mongie ski resort where he and his wife Brigitte arrived Thursday to spend the weekend.A statement from his office said he would attend a crisis meeting on the violence at the interior ministry later Saturday.'We want results'Protesters streamed into the capital by train and car for a rally they called an ""ultimatum"" to the president. Over 5,000 police were deployed, along with several armoured police vehicles.Macron was caught off guard when grassroots protesters began occupying traffic roundabouts in November over fuel taxes. He has loosened the state's purse strings to the tune of 10 billion euros ($11.2 billion) to try defuse the protests.Destroyed Hugo Boss shop window on the Champs-Elysees in ParisBut the measures failed to quell the anger of the demonstrators, who accuse the former investment banker of being elitist and favouring the rich.The Paris protest was one of several in the capital on Saturday, where tens of thousands of climate campaigners also held a demonstration to demand that the French government uphold its commitments on reducing emissions.Yellow vest protests also took place several other French cities. At Bordeaux, in the southwest, police clashed with protesters and a bank was damaged.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
"Tamil Nadu Sex Abuse Case: Students' Stir Continues, Local Colleges Shut",https://www.ndtv.com/tamil-nadu-news/pollachi-sex-abuse-case-students-stir-continues-local-colleges-shut-2007657,"On Wednesday, scores of students, lawyers and members of women's organisations took to the streets demanding action against the accused.",https://c.ndtvimg.com/2018-10/2j46hlug_police-generic_625x300_27_October_18.jpg,"Authorities on Thursday declared holidays in local colleges over the issue of sexual abuse of nearly 60 women in Pollachi fearing violence following the surfacing of explosive details, a day after the Tamil Nadu government gave its nod for a CBI probe.The Madras High Court on Thursday rejected a plea for a special investigation team probe, saying the Central Bureau of Investigation has already been told to probe the case.The CBI will investigate the two cases which were originally registered at the Pollachi East Police Station, Coimbatore district, last month.On Wednesday, scores of students, lawyers and members of women's organisations took to the streets demanding action against the accused. Students boycotted classes and staged sit-ins demanding stringent punishment.Advocates practicing in Coimbatore staged a demonstration outside the court complex seeking an inquiry committee with a woman judge of the Madras High Court as its head to probe the case.The district administration ordered closure of colleges in the town, 535 km from Chennai, to prevent a repeat of yesterday's protest by students demanding action against the culprits -- Thirunavukkarasu, Sabarirajan, Vasanthakumar, Satish -- now in custody and also others who are still out.For days, rumours and video clips have been doing rounds on social media as to how scores of women from college teachers, students, even working professionals and others weresexually assaulted, harassed and blackmailedby the gang.Students of Sri GVG Visalakshi College for Women in nearby Udumalaipettai protested on Thursday hit the streets shouting 'We want justice.' ""The culprits should be tortured. The culprits should be given the harshest punishment,"" said a student.The students are demanding the arrest of three more persons allegedly involved in the crime.MDMK leader Vaiko told reporters in Chennai that the Madras High Court should have taken cognisance of the crime.Expelled AIADMK member A Nagaraj who was arrested and let out on bail for attacking the brother of a girl who had complained to the police, told reporters in Coimbatore, ""I am not in hiding. I want to clarify that I am not in the video that started circulating sometime back.""Videos have also emerged that apparently show that the victims were lured to secluded spots and molested, filmed in the process, and blackmailed for money.On Wednesday, the Madras High Court had slammed the media over coverage of the crime.The AIADMK government decided to hand over the investigation to the CBI, soon after theprobe was transferred to the Crime Branch-Crime Investigation Department(CBCID) from the Coimbatore police, said an official.The government's move came as the probe involves analysis of mobile phones, social media posts of the four accused and the affected women.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
Nineteen Plastic Bags With Human Remains Found In Mexico,https://www.ndtv.com/world-news/nineteen-plastic-bags-with-human-remains-found-in-mexico-2008386,"Authorities found the bags on Thursday in a wastewater river in the municipality of Ixtlahuacan de los Membrillos, some 41 km (25 miles) south of the state capital, Guadalajara.",https://c.ndtvimg.com/2019-03/cd2oq1cg_bags-of-human-remains-mexico-city-reuters-650_625x300_16_March_19.jpg,"Mexican prosecutors said on Friday they were investigating the discovery of 19 plastic bags containing human remains in Jalisco, a western state that has been battered by surging levels of gang violence.The attorney general's office of Jalisco said forensic experts were working to establish whether the bags contained complete bodies and whether the victims had been reported missing.Authorities found the bags on Thursday in a wastewater river in the municipality of Ixtlahuacan de los Membrillos, some 41 km (25 miles) south of the state capital, Guadalajara.Search efforts were suspended on Thursday night for security reasons and resumed on Friday morning, an official at the attorney general's office said, speaking on condition of anonymity.Jalisco has in recent years been ravaged by the Jalisco New Generation Cartel, one of the most powerful drug gangs in Mexico.Fighting between gangs helped push the number of murders to record levels in Mexico last year, and violence has remained high in the first few months of the presidency of Andres Manuel Lopez Obrador.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
New Zealand Mosque Attacker's Plan Began And Ended Online,https://www.ndtv.com/world-news/new-zealand-mosque-shooting-attackers-plan-began-and-ended-online-2008291,"The attacker plays music as he drives to the mosque, including a British grenadiers march and a Serbian anti-Muslim hate anthem called ""Remove Kebab"".",https://c.ndtvimg.com/2019-03/c8noadb8_new-zealand-mosque-shooting-reuters_650x400_15_March_19.jpg,"Online accounts linked to gun attacks that killed 49 people and wounded at least 20 at two New Zealand mosques on Friday had in recent days circulated white supremacist imagery and extreme right-wing messages celebrating violence against Muslims and minorities on social media and message boards.A gunman broadcast live footage on Facebook of theattack on one of the mosques. Police later said four people, who they did not identify, were in custody and one had been charged with murder over the country's worst ever mass shooting.On Wednesday, the Twitter handle @brentontarrant tweeted pictures of one of the guns later used in the mosque attacks in the city of Christchurch. It was covered in white lettering, featuring the names of others who had committed race- or religion-based killings; Cyrillic, Armenian and Georgian references to historical figures and events; and the phrase: ""Here's Your Migration Compact"".The number ""14"" was written on the side of the rifle as well, a reference to the ""fourteen words"", a white supremacist mantra.Other tweets from the same user on that day included references to declining white fertility rates, articles about right-wing extremists in various countries and stories about purported crimes by illegal immigrants.The Twitter profile had 63 tweets, 218 followers and was created last month.A person involved with the attacks also appeared to post regularly to the ""/pol/ - Politically Incorrect"" forum on 8chan, a online discussion site known for allowing virtually any content, including hate speech.About 1:30 p.m. on Friday, the anonymous user told the group ""I will carry out and attack against the invaders, and willeven livestream the attack via Facebook""; approving responses to the post included Nazi images and memes.The post featured a link to a 74-page manifesto that said he was motivated by ""white genocide"", a term white supremacists use to describe immigration and the growth of minority populations. It also linked to a Facebook page for a user called brenton.tarrant.9, where the attack was livestreamed.The @brentontarrant Twitter account was suspended not long after the shooting on Friday, as was the brenton.tarrant.9 Facebook page.""Police alerted us to a video onFacebook shortly after the livestreamcommenced and we quickly removed both the shooter's Facebook and Instagram accounts and the video,"" Facebook tweeted. ""We're also removing any praise or support for the crime and the shooter or shooters as soon as we're aware.""YouTube, which is owned by Google, tweeted: ""Our hearts are broken over today's terrible tragedy in New Zealand.""A Twitter representative said the social media company was ""deeply saddened"" by the shootings.""Twitter has rigorous processes and a dedicated team in place for managing exigent and emergency situations such as this,"" the company said in an emailed statement. ""We also cooperate with law enforcement to facilitate their investigations as required.""Nolwenn Bervas, lead terrorism analyst at the Risk Advisory Group, said the were numerous places around the internet for people such as the Christchurch attacker to congregate.""The amount of information and propaganda linked to the far-right, far-left or jihadism is extensive and accessible,"" Bervas said. ""One of the Christchurch perpetrators posted his manifesto online before the attack where he wrote that he received/researched/developed his beliefs on the Internet, adding 'You will not find the truth anywhere else'. He cited people like Dylan Roof or Anders Breivik as inspirations, who also researched and developed their beliefs online.""Anwita Basu, an analyst at the Economist Intelligence Unit, said social media had shifted global security risks. ""More than anything, social media has provided a platform for sharing extremist views.""No remorseWhen the attack began on Friday, one anonymous 8chan user remarked: ""actually happening. delete this thread now or its gonna be the end of 8pol.""A few minutes later, another said ""this sounds fun"". ""Nice shootin Tex,"" another commented.The Facebook livestream of the attack, apparently recorded with a head-mounted camera, began about 1:40 p.m. local time. The attacker plays music as he drives to the mosque, including a British grenadiers march and a Serbian anti-Muslim hate anthem called ""Remove Kebab"".Once he arrives in the Hagley Park district of Christchurch, the attacker parks the car and opens the rear hatch, revealing a cache of guns, ammunition and what appear to be red fuel containers.Picking up two guns, both covered in names and slogans, he walks around the corner to the entrance of a mosque and begins shooting.The livestream ended less than 20 minutes later. The suspected shooter was arrested about 3 p.m.""Do you feel any remorse for the attack""? the author asks self-referentially in the manifesto. ""No. I only wish I could have killed more invaders, and more traitors as well.""Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
Lok Sabha Polls Will See More Money And Violence: Ex-Poll Panel Chief,https://www.ndtv.com/india-news/ex-poll-panel-chief-ts-krishnamurthy-says-lok-sabha-polls-will-see-more-money-and-violence-2004678,"""Every conceivable complication will take place because of the way in which political parties are fighting amongst themselves,"" T S Krishnamurthy said",https://c.ndtvimg.com/2019-03/1br99vo8_tskrishnamurthyexcec650_625x300_08_March_19.jpg,"The coming Lok Sabha election will be marked by ""more money, violence and hatred"" given the way political parties fight amongst themselves, former chief election commissioner (CEC) T S Krishnamurthy warned today.Mr Krishnamurthy, who oversaw the 2004 Lok Sabha election, rejected suggestions from some leaders of Opposition parties who raised questions on the Election Commission (EC) for not announcing the poll dates yet.""More money will be spent, more violence will be there, more hatred will be there, I suppose,"" Mr Krishnamurthy told news agency PTI when asked about the upcoming general election.""Every conceivable complication will take place because of the way in which political parties are fighting amongst themselves,"" the former CEC said.In this kind of situation, he said, the big challenge for the EC would be the implementation of the model code of conduct.Mr Krishnamurthy, however, expressed confidence that the EC was capable of facing the challenges.On the Opposition raising question on the EC for the delay in announcing dates for the general election, he said: ""There is a date by which the House has to be constituted. So long as the schedule is such that it ensures constitution of (the) Lok Sabha, we have to leave it to the discretion of the EC to decide, because they have to take into considerations conditions in various states.""Institutions should be allowed to function and as long as they do their job, there is no point in questioning, Mr Krishnamurthy said.Senior Congress leader Ahmed Patel had last Monday raised questions on the EC not announcing dates for the general elections and asked whether it was waiting for Prime Minister Narendra Modi''s ""official travel programme"" to conclude.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
Anti-Encroachment Drive Triggers Violence In Meerut; 150 Shanties Burnt,https://www.ndtv.com/meerut-news/meerut-violence-anti-encroachment-drive-triggers-violence-in-meerut-150-shanties-burnt-2004097,"Over two dozen cars, two-wheelers, eight or nine state buses were damaged in the violence triggered due to an attempt by the Cantonment Board and the police to remove encroachments in the area",https://c.ndtvimg.com/2019-03/akkda1go_meerutbhusamandifire650_625x300_07_March_19.jpg,"Over 150 shanties were burnt down and several vehicles damaged by mob that went on a rampage after local authorities tried to remove encroachments in Meerut's Sadar Bazar area.The police said their men were also fired at from the rooftops, but, there were no casualties.Over two dozen cars, two-wheelers, eight or nine Uttar Pradesh roadways buses were damaged in the violence triggered when the Cantonment Board and the police tried to remove encroachments in the city's Bhusa Mandi area.The police said unidentified people set some jhuggies on fire, after they arrested four men.People from communities blamed each other for starting the fire, escalating tension. The situation was later brought under control, the police said.A magisterial inquiry has been ordered, District Magistrate Anil Dhingra told news agency PTI adding, the situation was ""tense but under control"".Asked about the reason behind the incident, he said it would be clear after enquiry.Trouble began when Meerut Cantonment Board members along with a police team reached Bhusa Mandi area to remove illegal encroachments from the market, said officials.Agitated over the actions of the civic authorities, the unidentified people resorted to stone pelting, snatched a wireless set from a policeman and a mobile phone from one of the Cantonment Board members.It led police to lathi-charge the mob in order to disperse them, the officials said.Broken pieces of some bottles too were found in the troubled area, giving rise to doubts that the accused also used patrol bombs, say reportsReacting to the police action, the anti-social elements in the agitating crowd set a few nearby jhuggis on fire, which spread rapidly. Shopkeepers shut their shops and a police force was deployed, they said.Meerut district magistrate and police superintendent patrolled the area. As a precautionary measure, the police diverted traffic on Delhi Road and blocked all roads leading to the affected area.A local bus driver Sunil Kumar told news agency PTI that his bus was attacked by a mob of over 100, who injured nearly 30 passengers, including a woman and her child.Mr Kumar said he kept on calling police on police control number 100, but failed to get any response, while the mob indulged in rioting and looting passengers of several buses.""Local movie theatre cancelled its show midway and a stampede like situation cropped up with the movie goers rushing out of the cinema hall amid the reports of fire,"" eyewitnesses said.According to reports, broken pieces of some bottles too were found in the troubled area, giving rise to doubts that the accused also used patrol bombs.For more Meerut news, clickhereGet the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
"PM Modi Sends Message On Pak National Day Eve, Imran Khan Tweets",https://www.ndtv.com/india-news/need-to-work-together-for-peaceful-region-pm-modi-to-imran-khan-2011500,The message by PM Modi comes along with greetings to his Pakistani counterpart on the eve of Pakistan's National Day.,,"Weeks after the worst escalation between New Delhi and Islamabad since the 1999 Kargil War, Prime Minister Narendra Modi sent Pakistan Prime Minister Imran Khan greetings on the eve of Pakistan's National Day, sources said. Mr Khan, in a tweet, said PM Modi told him that it is time for people of the subcontinent to work together ""for a peaceful and prosperous region, in an atmosphere free of terror and violence"".Mr Khan said he welcomes PM Modi's message and that he believes it is time to begin a comprehensive dialogue with India to address and resolve all issues. He said the two countries ""need to forge a new relationship based on peace and prosperity for all our people.""Pakistan Day is celebrated to mark the Lahore Resolution on March 23 each year.Received msg from PM Modi: ""I extend my greetings & best wishes to the people of Pakistan on the National Day of Pakistan. It is time that ppl of Sub-continent work together for a democratic, peaceful, progressive & prosperous region, in an atmosphere free of terror and violence""While Islamabad will celebrate the day today, the Pakistan High Commission in New Delhi organised events yesterday. India, however, did not send any representatives to the event as separatists from Jammu and Kashmir were also invited.""The decision was taken after Pakistan High Commission decided to call Hurriyat leader to the reception. In February we were very clear, any attempt by Pakistan High Commission or Pakistani leadership to engage with Hurriyat leaders will not be taken lightly,"" Foreign Ministry spokesperson Raveesh Kumar said.Indian officials reportedly stood outside the Pakistan High Commission and were seen discouraging Indian guests from attending the event.None of the separatists from Kashmir, however, attended the event this year as most of them either are in jail or under house arrest after amajor crackdown by the government last month. The ones who are not jailed fear their arrest or another crackdown.Kashmiri human rights activist Mohammed Ahsan Untoo was briefly detained when he was going for the reception.In the past too, New Delhi has insisted that Pakistan hold talks with India directly on differences over Kashmir and other issues, and has discouraged Islamabad from having direct contact with the Hurriyat leaders.In the earlier years, India sent a minister to the Pakistan High Commission for the reception every year even though separatists were invited.Tensions between the two countries have been heightened after the terror attack last month in Jammu and Kashmir's Pulwama which 40 Central Reserve Police Force or CRPF soldiers were killed. The attack had been claimed by Pak-based terror group Jaish-e-Mohammed which is led by Masood Azhar.India then carried out ""non-military, pre-emptive"" air strikes on a Jaish terror training camp in Pakistan's Balakot. A day later, when Pakistan targeted Indian military establishments, the two countries engaged in aerial combat for the first time in nearly 50 years.Indian Air Force pilot Abhinandan Varthamanwas captured by Pakistan after his MiG-21 fighter was shot down; he returned to India after two days in Pakistani captivity.India has since then mounted diplomatic pressure to isolate Pakistan.With inputs from agenciesGet the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
Trinamool Congress Terrorising My Supporters: Arjun Singh,https://www.ndtv.com/india-news/trinamool-congress-terrorising-my-supporters-arjun-singh-2008863,"Arjun Singh crossed over to the BJP on March 14, after Trinamool refused him the Barrackpore seat candidacy.",https://c.ndtvimg.com/2019-03/362uh57k_arjun-singh-pti_625x300_14_March_19.jpg,"West Bengal leader Arjun Singh, who joined the BJP recently, today accused his former party, the Trinamool Congress, of fomenting violence and terrorising his supporters, and claimed that despite his new avatar, workers of West Bengal's ruling party will vote for him from Barrackpore constituency.""Since Saturday morning there has been disturbance in my Assembly constituency. False FIRs are being filed against my loyalists. People will file FIR against this FIR government on the day of the polling,"" Mr Singh sai.""Even the Trinamool workers will vote for me,"" he said.The four-time legislator from Bhatpapra constituency said if the Election Commission can ensure free and fair polls,"" then these (Trinamool) leaders cannot even save the security deposit of their candidate from Barrackpore (Dinesh Trivedi).Mr Singh crossed over to the BJP on March 14, after Trinamool refused him the Barrackpore seat candidacy.Taking pot shots at Chief Minister and Trianmool chief Mamata Banerjee, Mr Singh said: ""If I (read Banerjee) have carried out so much development work, then what was the need for looting all booths during the Panchayat elections?""Nobody was allowed to cast their vote during the Panchayat polls. We were under instruction then to intimidate voters. We were assured the police won't act.""Denying his allegations, the Trinamool countered that it was Mr Singh who was trying to terrorise Trinamool councillors.""Majority of the councillors who owed allegiance to Arjun have said they are with Mamata Banerjee. They say Arjun is trying to terrorise them,"" said state Food and Supplies Minister and North 24 Parganas district Trinamool Congress chief Jyotipriyo Mullick.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
"No Deaths In Police Firing During Protests, Says Arunachal Home Minister",https://www.ndtv.com/india-news/no-deaths-in-police-firing-during-protests-says-arunachal-home-minister-1999837,Arunachal Pradesh Home Minister Kumar Waii also said he wasn't aware of deployment of additional companies of the ITBP and the CRPF in the state capital,https://c.ndtvimg.com/2019-02/1bc0dv2g_arunachal-violence_625x300_24_February_19.jpg,"Expressing dismay over  violence that broke out in Arunachal Pradesh over granting permanent residence to six non-Arunachal Pradesh Scheduled Tribe (APSTs) communities, Home Minister Kumar Waii on Tuesday denied reports that three people were killed in police firing during the protests.The minister also claimed he wasn't aware of deployment of additional companies of the ITBP and the CRPF in the state capital, fuelling speculations of a rift within the Pema Khandu-led government.""I am deeply shocked to learn about the death of three youths, but none of them was killed in police firing. I had directed DGP SBK Singh and SP (Itanagar) M Harsh Vardhan to arrest trouble mongers,"" Mr Waii said.Protests had broken out in Itanagar and Naharlagun town on Saturday after the ruling BJP government announced that it was considering issuing permanent resident certificate (PRC) to six non-Arunachalee communities, prompting the administration to clamp curfew and suspend internet services.The agitation, which raged on for three days despite the curfew, subsided after Chief Minister Pema Khandu announced Monday that his government wouldn't pursue the issue any longer.An official said the curfew was lifted Tuesday morning but the internet services continued to remain suspended for the fourth consecutive day.Mr Waii said people should cooperate with the police to ensure their safety and security. He added that it wasn't possible to pin blame on any particular group or community for the protests.Asked about Chief Minister Pema Khandu's decision to constitute a peace committee, Mr Waii said he would follow instructions as and when he was asked to. The Home Minister added that he had sent messages to the Chief Minister, requesting him to call a cabinet meeting. He said he wasn't officially informed about the meeting.Get the latestelection news, live updates andelection scheduleforLok Sabha Elections 2019on ndtv.com/elections. Like us onFacebookor follow us onTwitterandInstagramfor updates from each of the 543 parliamentary seats for the 2019 Indian general elections."
