title,og_title,url,lang,content,publishedDate,dateObject
'Google Walkout For Real Change' Group Announces Sit-In Protest,'Google Walkout For Real Change' Group Announces Sit-In Protest,https://gadgets.ndtv.com/others/news/google-walkout-for-real-change-group-announces-sit-in-protest-2031467,en,,01 May 2019,2019-05-01 00:00:00
"Kamal Nath Wants To Identify ""Biased"" Election Officials, BJP Protests","Kamal Nath Wants To Identify ""Biased"" Election Officials, BJP Protests",https://www.ndtv.com/india-news/lok-sabha-elections-2019-kamal-nath-wants-to-identify-biased-election-officials-bjp-protests-2031591,en,"Madhya Pradesh Chief Minister Kamal Nath has instructed Congress workers and candidates contesting the Lok Sabha elections to report government officials on poll duty who may be acting in a ""biased"" manner to the state Congress committee. The BJP, however, is not happy with the directive. ""You know that the Lok Sabha elections 2019 are being held in different phases. The Election Commission has directed that the polls be conducted in an impartial manner. Congress workers have worked with diligence and dedication in the last phase of the polls (on April 29). You are asked to submit details such as names, positions and departments of any official or employee found to be careless or biased during poll duty to the Madhya Pradesh Congress Committee,"" a letter dated April 30, signed by Kamal Nath as the state Congress president, read. The BJP termed this is as a clear violation of the Model Code of Conduct. ""It is the Election Commission's responsibility to conduct elections in a free-and-fair manner, but the chief minister is trying to pressurise poll officers. The Congress makes a big fuss if (former Chief Minister) Shivraj Singh Chouhan calls up the collector, but Kamal Nath is clearly threatening them. The people will take revenge by polling against the Congress,"" said BJP spokesperson Rahul Kothari. The Congress, however, maintained that Kamal Nath had done nothing wrong by sending the letter. ""The BJP is raising a question, but why? Do they not want the elections to be conducted in a free-and-fair manner? Nobody is being threatened in the letter. He is only seeking details on poll officials who support a particular ideology instead of ensuring free-and-fair elections,"" said party spokesperson Narendra Saluja. As many as 23 seats in Madhya Pradesh will vote in the next three phases of the Lok Sabha elections, to be held on May 6, 12 and 19. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",01 May 2019,2019-05-01 00:00:00
"In Peaceful Protest, Jet Airways Staff Requests Centre To Save Airline","In Peaceful Protest, Jet Airways Staff Requests Centre To Save Airline",https://www.ndtv.com/india-news/jet-airways-staff-requests-centre-to-save-airline-in-in-peaceful-protest-2031300,en,"On Labour Day, the Jet Airways employees also organised a peaceful protest and requested the government's interference to save the airline. Krishna Rama Naidu, an employee in the cargo department of Jet Airways said, ""On Labour Day, we have gathered for a peaceful protest. We did not get our salaries for two months. Our mediclaim policy had also lapsed."" In a letter, Rahul Taneja, an officer with the Jet Airways, on Tuesday said, ""In the absence of any emergency funding from the lenders or any other source of funds forthcoming in the near future, we find ourselves facing a situation where we are not able to fund the premium of our group mediclaim policy. The group mediclaim policy lapses on the midnight of April 30, 2019."" Sushma Shetty, who has been associated with the airline carrier for 11 years, also sought government's interference. ""We are doing peace march to request the government to save the Jet Airways and the families of 22,000 staff. A staff member also attempted to commit suicide,"" she said. Last week, a senior technician with the Jet Airways allegedly committed suicide in Maharashtra. While the police say he had depression as he was suffering from cancer, the functionaries of Jet Airways Staff and Employees Association, claimed that Mr Singh was facing ""financial constraints"" as employees of the grounded airline have not got salaries for a long time. Jet Airways, on April 17, cancelled all flights, including its international flights temporarily, after failing to secure emergency funds from its lenders, according to a statement by the airlines. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",01 May 2019,2019-05-01 00:00:00
"Military Vehicle Rams Protesters In Venezuela Clashes, Shows TV Footage","Military Vehicle Rams Protesters In Venezuela Clashes, Shows TV Footage",https://www.ndtv.com/world-news/military-vehicle-rams-protesters-in-venezuela-clashes-shows-tv-footage-2031090,en,"Venezuelan security forces used an armored vehicle to ram demonstrators during rioting outside an army base in Caracas on Tuesday in support of what the government called an attempted coup, TV images showed. The incident left several people injured on the ground who were helped up by other demonstrators. It happened as security forces tried to break up rioting outside the La Carlota air base, where opposition leader Juan Guaido earlier called on troops inside to join efforts to oust President Nicolas Maduro. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",01 May 2019,2019-05-01 00:00:00
5 Villages In UP Threaten To Boycott Polls To Protest Water Shortage,5 Villages In UP Threaten To Boycott Polls To Protest Water Shortage,https://www.ndtv.com/india-news/lok-sabha-elections-2019-5-villages-in-uttar-pradesh-threaten-to-boycott-polls-to-protest-water-shor-2029922,en,"Facing acute water shortage throughout the year owing to government apathy, voters of five villages in the Jhansi-Lalitpur constituency of Uttar Pradesh have threatened to boycott elections on April 29. Villagers complain that the administration has failed to make use of various water sources and dams present in the region, forcing five villages in this district to face the worst water crisis every year. They say the situation has also triggered migration of families to nearby urban centres. ""The villagers of Lalaun, Gulenda, Chakra, Kasa and Rajpur in Jhansi-Lalitpur constituency have decided to boycott the elections on April 29,"" Mahendra Singh, a villager from Gulenda, told PTI. These five villages have about 5,000 voters, he says. Mr Singh says villagers are often forced to remain awake throughout the night, awaiting their turn to use hand pumps to fetch a bucket of water. Lalitpur district comes under the Jhansi-Lalitpur seat which goes to polls on April 29. The area under the Bundelkhand region is prone to draughts and poor groundwater level as it has a predominant granite base, which does not allow recharging of groundwater. The Bundelkhand region in Uttar Pradesh has four parliamentary seats, including Jhansi-Lalitpur, and 19 assembly constituencies. All these seats are currently held by the ruling BJP. Call it irony, Lalitpur district has 13 dams to harness seven rivers which flow through the region. ""We have decided not to vote in the elections. We have been seeking a solution to our water issues, but the district administration has been passing the buck,"" Mr Singh says. He says a solution is not difficult as there is a rivulet which catches seepage water from Rajghat canal, making it brimming with water throughout the year. ""We are seeking a small lift canal (where water is pumped from lower area to canal on a higher land) from that rivulet to be brought here. It will help recharge groundwater and also solve our irrigation problem,"" says the villager. Mr Singh, who works as a contractor in Lalitpur district, says a survey was conducted to bring water from the rivulet by the previous Samajwadi Party government, but no progress was made in the matter under the present Yogi Adityanath government. These villages also have a large concentration of Saharia tribals who were given over four acres of land by the government. While some of it is rocky, the remaining land also has limited use due to scarce water sources, prompting members of the community to migrate. Manibu, 65, is one such Saharia tribal whose son and family moved to Indore where they do masonry, leaving behind the elderly parents in the village. ""The only problem is water. If we get water, we can cultivate our land here,"" she says. Shiv Gopal of Parmarth, a voluntary organisation working in the field of water conservation, says water level rises during night time in the summers because of moisture from seepage coming from nearby water bodies. He says women wait for their chance to fetch water. ""The water can only be found at 50 feet depth which is basically surface water. Since the base is of granite, there is no groundwater in the region. During summer, this surface water, which is used up through hand pumps, also dries,"" says Sanjay Singh, founder of Parmarth. He claims the entire situation is ""man-made"" because of poor planning and implementation of schemes. ""There are water sources and damns, but water is being diverted to power plants in the region. Farmers are not on the priority list of government officers here,"" he adds. Sanjay, who has been working on the issue of water scarcity in the region, says more creativity and study of the area can help frame better solutions to meet the water shortage. He cites the example of reviving 1,000-year-old huge ponds built by Chandela Kings. He also suggests building check dams to hold rainwater and small canals to divert water to small villages. The Parmarth founder also asserts that all these steps could have been taken using funds under the Mahatma Gandhi National Rural Employment Generation scheme. ""MNREGA was a very effective scheme till 2012, but after the SP government and change in the central dispensation, its efficacy dipped because of corruption,"" he alleges. Sanjay's father was reportedly murdered in broad day light for fighting against corruption in MNREGA. Similar was the fate of Rs 7,000 crore relief package for the region between 2010 and 2015. The funds helped to improve irrigation and tap water systems, but the package was later plagued by corruption, he says. Sanjay and other villagers rue that such crucial issues are not finding a mention in the political discourse this election. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",28 Apr 2019,2019-04-28 00:00:00
Uber US Drivers Plan Protest Over Pay Ahead of IPO,Uber US Drivers Plan Protest Over Pay Ahead of IPO,https://gadgets.ndtv.com/apps/news/uber-us-drivers-plan-protest-over-pay-ahead-of-ipo-2030616,en,,30 Apr 2019,2019-04-30 00:00:00
Key Hearing In Harvey Weinstein Sex Abuse Case To Be Held In Secret,Key Hearing In Harvey Weinstein Sex Abuse Case To Be Held In Secret,https://www.ndtv.com/world-news/key-hearing-in-harvey-weinstein-sex-abuse-case-to-be-held-in-secret-2029291,en,"A New York judge on Friday ordered that a key hearing in the rape and sexual assault case against Hollywood producer Harvey Weinstein be held behind closed doors, prompting protests from US media. The hearing is important for a trial that has become emblematic of the #MeToo anti-harassment movement, as it will determine whether other women accusing the former mogul of sexual abuse can give evidence, aside from the two whose accusations led to the prosecution. Any testimony from other alleged victims of 67-year-old Weinstein -- one of the most powerful men in Hollywood before a cascade of sexual misconduct allegations precipitated his downfall -- could increase his chances of being convicted. Prosecutor Joan Orbon-Illuzzi said a private hearing was necessary to preserve the confidentiality of accusers whose testimony she wants to present. Weinstein's lawyers maintain that publicly releasing their names and allegations would hurt his chances of getting a fair trial when the case comes to court on June 3. But a lawyer representing 13 media organizations -- including The New York Times and New Yorker magazine, which first broke the news of the accusations against Weinstein in October 2017 -- said the hearing should be public in the interests of press freedom. The lawyer argued that most of the charges against Weinstein had already been discussed in the press and on social media, and said he would immediately appeal the decision. Judge James Burke however said there was ""no alternative method"" and confirmed that the session would be held behind closed doors. Since October 2017, Weinstein has been accused of sexual harassment and assault by more than 80 women, including prominent actresses such as Ashley Judd, Angelina Jolie and Salma Hayek. The case brought in New York -- focused on the alleged assaults on two women -- is however the only one that has resulted in criminal proceedings against Weinstein. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",27 Apr 2019,2019-04-27 00:00:00
Google Walkout Organisers Claim to Face Retaliation at Work: Report,Google Walkout Organisers Claim to Face Retaliation at Work: Report,https://gadgets.ndtv.com/others/news/google-walkout-organisers-claim-to-face-retaliation-at-work-report-2027461,en,,23 Apr 2019,2019-04-23 00:00:00
Punjab Students Allegedly Made To Strip In Hostel Over A Sanitary Pad,Punjab Students Allegedly Made To Strip In Hostel Over A Sanitary Pad,https://www.ndtv.com/cities/protests-erupt-after-students-in-bathinda-forced-to-strip-over-a-sanitary-pad-2031132,en,"Four employees, including two hostel wardens, at the Akal University in Bathinda in Punjab have been terminated amid protests at the university after girls in one of the hostels on the campus were allegedly asked to strip by a warden. The hostel warden asked the girls to strip ""to check who among them had dumped a used sanitary pad in the hostel washroom"", news agency ANI reported. The university administration terminated two security guards and two hostel wardens as large number of students gathered at the university campus on Tuesday; the university had erupted into protests against the incident which reportedly happened last week. Last year, Punjab Chief Minister Amarinder Singh had ordered transfer of two teachers at a government school in Fazilka district for stripping school girls in a similar incident. A video clip showed some girls crying and complaining that teachers stripped them in the school in Kundal village. The girls were stripped after the teachers found a used sanitary pad discarded in the school's toilet. The state government ordered action after the chief minister was informed that instead of educating the girls about proper disposal of sanitary pads, the teachers decided to strip them. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",01 May 2019,2019-05-01 00:00:00
"""Making Personal Sacrifice, BJP Has My Support"", Says Vinod Khanna's Wife","""Making Personal Sacrifice, BJP Has My Support"", Says Vinod Khanna's Wife",https://www.ndtv.com/india-news/lok-sabha-elections-2019-making-personal-sacrifice-bjp-has-my-support-says-vinod-khannas-wife-kavita-2029647,en,"Kavita Khanna, the wife of late actor-turned-politician Vinod Khanna, on Saturday said she would support the BJP though she has made her protest clear on not being given a BJP ticket to contest the national election from Gurdaspur seat. The ticket has gone to actor Sunny Deol. ""It is my decision that I'm not going to make this a personal issue. I am making a personal sacrifice and will put my entire might and support behind Prime Minister Narendra Modi,"" Ms Kavita told reporters in New Delhi, news agency ANI reported. ""The BJP and my Prime Minister have my support, but at the same time I have to insist that what has happened with me can absolutely not happen again,"" she said. Upset over the party not giving a ticket to her, Ms Khanna said she was told to prepare for fighting the election, only to miss the ticket. ""Everyone agreed that what the party did to me was wrong, they all felt it was my right to contest (from Gurdaspur). I felt very hurt. I understand it is the party's right to decide who the candidate will be, but there is a way of doing it,"" she said. ""They didn't even inform me that they had chosen another candidate. I felt abandoned, rejected and was made to feel insignificant,"" said Ms Kavita, ANI reported. ""It was very upsetting that I was asked to make all preparations but in the end, the ticket was given to someone else. For one and a half month I was with the cadre, I got my papers ready. I had faith in the Prime Minister and party chief that whatever decision they take would be in line with the nation,"" she said. Ms Kavita said she was approached by many national parties after the BJP ""sidelined"" her. ""But I am not one of those people who will take advantage of a particular situation. I would have definitely won from Gurdaspur had I contested as an independent candidate. But this is not about me. I want the BJP''s candidate to win, I want Gurdaspur to go to the Prime Minister's kitty,"" she added. Vinod Khanna won four Lok Sabha elections - in 1998, 1999, 2004 and 2014 - from Gurdaspur constituency on a BJP ticket. He died in April 2017, and in the by-election held the same year, the Congress's Sunil Jakhar won. Punjab will vote on May 19 in the last phase of the national election. Results will be out on May 23. With inputs from ANI Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",27 Apr 2019,2019-04-27 00:00:00
