title,og_title,url,lang,content,publishedDate,dateObject
Paris Police Clash With Protesters Ahead Of May Day March,Paris Police Clash With Protesters Ahead Of May Day March,https://www.ndtv.com/world-news/paris-police-clash-with-protesters-ahead-of-may-day-march-2031459,en,"Paris riot police fired teargas as they squared off against hardline demonstrators among tens of thousands of May Day protesters, who flooded the city Wednesday in a test for France's zero-tolerance policy on street violence. Tensions were palpable as a heady mix of labour unionists, ""yellow vest"" demonstrators and anti-capitalists gathered in the French capital, putting security forces on high alert. Ahead of the main march, the city was on lockdown with more than 7,400 police and gendarmes deployed with orders from President Emmanuel Macron to take an ""extremely firm stance"" if faced with violence. Clashes briefly erupted on Montparnasse Boulevard, where hundreds of anti-capitalist ""black bloc"" activists pushed to the front of the gathering crowd, hurling bottles and other projectiles at police, who fired tear gas and stingball grenades, an AFP correspondent said. Used at ground level, the grenades release scores of rubber pellets that cause an intense stinging to the legs. Authorities had warned this year's marches would likely spell trouble, coming barely a week after leaders of the yellow vest anti-government movement angrily dismissed a package of tax cuts by President Emmanuel Macron. And with some agitators vowing on social media to turn Paris into ""the capital of rioting"", the government moved to deploy security on an ""exceptional scale"" throughout the capital. Last year, officials were caught off guard by some 1,200 troublemakers who ran amok in Paris, vandalising businesses and clashing with police. By early afternoon, thousands had flocked to the Montparnasse area, many wearing the hi-visibility jackets that gave the name to the yellow vest protesters. Since November, the city has struggled to cope with the weekly yellow vest protests, which have often descended into chaos with a violent minority smashing up and torching shops, restaurants and newspaper stands. Across the city on Wednesday, streets were barricaded and shops had boarded up their windows, with police ordering the closure of all businesses along the route of the main march. ""We are not afraid of the union marches but of the black blocs,"" local restaurant owner Serge Tafanel told AFP. ""Capital of rioting"" Interior Minister Christophe Castaner said several groups on social media had urged protesters to transform Paris into ""the capital of rioting"", with police gearing up for the arrival of up to 2,000 activists bristling for a fight. Many are anti-capitalist youths, often known as black blocs, who dress in black and wear face masks. Nearly 200 motorcycle units have been deployed across the capital to respond quickly to flare-ups of violence, and drones are being used to track protesters' movements. Castaner said police would carry out pre-emptive searches of anyone planning to march, a new tactic allowed under a security law passed recently in response to the yellow vest violence. From the early hours of Wednesday, several dozen police officers could be seen at the city's main train stations, carrying out bag random searches, AFP journalists said. By early afternoon, police said 165 people had been detained for questioning. Sidelined, unions seek visibility Last Thursday, in a major policy speech aimed at calming the yellow vest anger, Macron promised a string of reforms including tax cuts worth five billion euros ($5.5 billion). The yellow vests rejected it as too little, too late, pledging to keep up the protests, which began last year over rising taxes on fuel and pensions but have since morphed into a wider movement. Although the numbers have steadily fallen, the rallies have remained in the headlines, largely over disorder by a handful of violent protesters along the Champs-Elysees. Following a particularly violent demo in March, the government adopted a ""zero-tolerance"" approach, passing an ""anti-rioter"" bill which included making it a criminal offence to wear a mask at a protest. France's powerful labour unions are also hoping to use the traditional May Day march for workers' rights to raise their profile after finding themselves sidelined for months by the grass-roots yellow vest movement. Like the yellow vests, the unions were also disappointed by Macron's speech. ""We must be careful not to lose the meaning of this day,"" warned Philippe Martinez, secretary general of the CGT, one of France's biggest unions. ""It is a day of mobilisation which deserves our full attention after Emmanuel Macron's announcement in which he said: 'I hear you and I'm not changing anything'."" Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",01 May 2019,2019-05-01 00:00:00
"Military Vehicle Rams Protesters In Venezuela Clashes, Shows TV Footage","Military Vehicle Rams Protesters In Venezuela Clashes, Shows TV Footage",https://www.ndtv.com/world-news/military-vehicle-rams-protesters-in-venezuela-clashes-shows-tv-footage-2031090,en,"Venezuelan security forces used an armored vehicle to ram demonstrators during rioting outside an army base in Caracas on Tuesday in support of what the government called an attempted coup, TV images showed. The incident left several people injured on the ground who were helped up by other demonstrators. It happened as security forces tried to break up rioting outside the La Carlota air base, where opposition leader Juan Guaido earlier called on troops inside to join efforts to oust President Nicolas Maduro. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",01 May 2019,2019-05-01 00:00:00
"Bilkis Bano Case, A 2002 Gujarat Riots Tragedy: 10-Point Timeline","Bilkis Bano Case, A 2002 Gujarat Riots Tragedy: 10-Point Timeline",https://www.ndtv.com/india-news/bilkis-bano-case-a-2002-gujarat-riots-tragedy-10-point-timeline-2027573,en,,23 Apr 2019,2019-04-23 00:00:00
"""Haath Wallahs Have Nothing To Offer, But Fear Of BJP"": Asaduddin Owaisi","""Haath Wallahs Have Nothing To Offer, But Fear Of BJP"": Asaduddin Owaisi",https://www.ndtv.com/india-news/lok-sabha-elections-2019-asaduddin-owaisi-congress-has-nothing-to-offer-but-fear-of-bjp-2022744,en,"AIMIM chief Asaduddin Owaisi on Saturday tore into the Congress, charging it with seeking votes of Muslims by showing them the fear of BJP even though atrocities like Bhagalpur riots and unlocking of the Babri mosque premises had taken place during its rule. Addressing a rally in Bihar's Kishanganj, a Muslim-dominated constituency where his party has put up its own candidate, the firebrand Hyderabad Lok Sabha lawmaker said, ""I had warned you people during the 2015 assembly polls not to be fooled by the promises of the so-called Mahagathbandhan. You did not pay heed and ended up voting for Nitish Kumar who is now sitting in the BJP's lap."" ""You must not repeat the same mistake again when haath (Congress poll symbol) wallahs are again seeking your votes with nothing more to offer other than the fear of BJP. You must not forget this party was in power in Bihar as well as at the centre when the Bhagalpur riots took place and when the premises of the Babri Masjid were unlocked,"" Mr Owaisi said. ""You must also ask the Congress why it stopped its own late MP Asrarul Haque, who represented this constituency, from speaking on the triple talaq debate on the floor of the Parliament,"" he said. ""BJP president Amit Shah is openly threatening to drive out your community from Assam in the name of implementing the National Registry for Citizens. And all we hear from the Congress is breast beating with the refrain what can we do. We have only one MP from the state,"" Mr Owaisi remarked sarcastically. ""Are they unmindful of the power of one. A tiger roams around alone and still rules the jungle. And God Almighty is also one,"" the fiery orator said with his trademark flourish. Training his guns at Nitish Kumar, Mr Owaisi said the Bihar Chief Minister had immense love for Prime Minister Narendra Modi and the two make a pair as perfect as that of Laila and Majnu. Notably, Mr Kumar had snapped his 17-year-old ties with the BJP in 2013 expressing disagreement with the party projecting Narendra Modi as the Prime Ministerial candidate. After the Mahagathbandhan, which came into being when he joined hands with arch rival Lalu Yadav's RJD and the Congress, trounced the NDA in 2015 assembly polls, he again returned to the BJP-led coalition in 2017. ""The Seemanchal region (north-eastern Bihar, bordering West Bengal and Bangladesh) has been neglected by all those who have represented this region in elected bodies. Give your votes to our candidate Akhtar-ul-Imam. He will ensure the regions well-being single-handedly on the lines of the solitary battle I am waging on the triple talaq issue,"" Mr Owaisi added. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",14 Apr 2019,2019-04-14 00:00:00
"""Person Guilty In Riots Is Chief Minister"": Sadhvi Pragya Jabs Kamal Nath","""Person Guilty In Riots Is Chief Minister"": Sadhvi Pragya Jabs Kamal Nath",https://www.ndtv.com/india-news/sadhvi-pragya-thakur-accuses-kamal-nath-of-being-guilty-in-1984-sikh-riots-case-2026152,en,"BJP Bhopal Lok Sabha candidate and Malegaon blast accused Pragya Singh Thakur Saturday hit out at Madhya Pradesh Chief Minister Kamal Nath and alleged he was ""guilty"" in the 1984 anti-Sikh riots that followed the assassination of then Prime Minister Indira Gandhi. Mr Nath, speaking to reporters in Madhya Pradesh's Chhindwara on Friday, had condemned Sadhvi Pragya Thakur's statement on former Maharashtra Anti-Terrorism Squad chief Hemant Karkare. ""I condemn Pragya Thakur's statement. If this is her start, where will its end take them,"" Mr Nath had said. Hitting back, Sadhvi Pragya Thakur said, ""A person guilty in the 1984 riots who is Madhya Pradesh chief minister now is asking what will be my end. Don't talk about my end. He (Nath) has no moral right to bother about a sadhvi. You stay put in your corrupt life."" Sadhvi Pragya Thakur, out on bail in the 2008 Malegaon blast case, is under fire for saying that Hemant Karkare died in the 26/11 terror attack because she had cursed him for ""torturing"" her when he probed the Malegaon blast as chief of the ATS. Earlier, in a television interview on Friday, Prime Minister Modi had defended the decision to field Sadhvi Pragya Thakur from the Bhopal Lok Sabha seat, saying she is a ""symbol"" for those who described Hindus as terrorists. ""The decision (to field Thakur) is a befitting reply to individuals who linked a whole religion and culture to terror,"" the prime minister had said taking a jibe at the Congress. Sadhi Pragya Thakur is pitted against senior Congress leader Digvijaya Singh from the Bhopal seat in Madhya Pradesh. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",20 Apr 2019,2019-04-20 00:00:00
Journalist Shot Dead In Northern Ireland In 'Terrorist Incident': Police,Journalist Shot Dead In Northern Ireland In 'Terrorist Incident': Police,https://www.ndtv.com/world-news/woman-shot-dead-in-northern-irelands-londonderry-in-terrorist-incident-police-2025389,en,"A journalist was shot dead during riots in Northern Ireland in what police Friday were treating as a terrorist incident following the latest upsurge in violence to shake the troubled region. ""Lyra McKee was murdered during orchestrated violence in Creggan last night,"" Assistant Chief Constable Mark Hamilton said in a statement. McKee had earlier posted an image that appeared to be from the riots in the Creggan housing estate in the city of Londonderry, also known as Derry, accompanied by the words ""Derry tonight. Absolute madness."" Images of the unrest posted on social media showed a car and van ablaze and hooded individuals throwing petrol bombs and fireworks at police vehicles. ""A single gunman fired shots in a residential area of the city and as a result wounded Ms McKee,"" said Hamilton, adding that police believed the gunman was a ""violent dissident republican."" ""We are treating this as a terrorist incident and we have launched a murder enquiry,"" he added. Journalist Matthew Hughes earlier identified the dead woman as one of his friends. ""I just received the heartbreaking news that my friend @LyraMcKee was murdered tonight in a terrorist incident in Derry,"" he wrote on Twitter. McKee had written for The Atlantic magazine and Buzzfeed News and was named by Forbes Magazine in 2016 as one of their ""30 under 30"" oustanding figures in media, according to her literary agent Janklow & Nesbit. Leona O'Neill, a reporter with the Belfast Telegraph, said she had been next to McKee when she was shot. ""I was standing beside this young woman when she fell beside a police Land Rover tonight in Creggan #Derry. I called an ambulance for her but police put her in the back of their vehicle and rushed her to hospital where she died. Just 29 years old. Sick to my stomach tonight,"" she tweeted. Good Friday Agreement The violence came in the run-up to the Easter weekend, when Republicans opposed to the British presence in Northern Ireland mark the anniversary of a 1916 uprising against British rule. A car-bombing and the hijacking of two vans in Londonderry earlier this year were also blamed on a dissident paramilitary group. Michelle O'Neill, the deputy leader of Irish republican party Sinn Fein, condemned the killing. ""My heart goes out to the family of the young woman shot dead by so-called dissidents,"" she wrote on Twitter. ""This was an attack on the community, an attack on the peace process and an attack on the Good Friday Agreement,"" the peace deal that largely brought an end to violence on the island exactly 21 years ago, she added, calling for calm. Arlene Foster, leader of the Democratic Union Party, which is in favour of Britain's presence in Northern Ireland, described the death as ""heartbreaking news"". ""A senseless act. A family has been torn apart. Those who brought guns onto our streets in the 70s, 80s & 90s were wrong. It is equally wrong in 2019. No one wants to go back,"" she wrote on Twitter. The Good Friday Agreement in 1998 largely brought an end to three decades of sectarian bloodshed in Northern Ireland between republican and unionist paramilitaries, as well as British armed forces, in a period known as ""the Troubles"". Some 3,500 people were killed in the conflict -- many at the hands of the Irish Republican Army (IRA). Police have blamed a group called the New IRA for the flare-up in violence in recent months. Some have expressed fears that recent attacks could be a sign that paramilitaries are seeking to exploit the current political turbulence over Northern Ireland and its border with the Republic of Ireland caused by Brexit. Londonderry was the scene of one of the darkest episodes in the Troubles in 1972, known as Bloody Sunday, when British troops opened fire on a civil rights demonstration and killed 13 people. A 14th victim later died of his wounds. A former British soldier was charged with murder last month over the killings. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",19 Apr 2019,2019-04-19 00:00:00
Supreme Court To Hear Sajjan Kumar's Bail Plea In August,Supreme Court To Hear Sajjan Kumar's Bail Plea In August,https://www.ndtv.com/india-news/1984-anti-sikh-riots-case-supreme-court-to-hear-sajjan-kumars-bail-plea-in-august-2023457,en,"The Supreme Court today said it would hear in the first week of August the bail application of former Congress leader Sajjan Kumar, who was awarded life term by the Delhi High Court in a 1984 anti-Sikh riots case. The CBI told a bench of Justices S A Bobde and S A Nazeer that offence for which Kumar was convicted was of ""gruesome nature"" as it was a ""genocide"". Kumar, 73, who is lodged in jail , had resigned from the Congress party after he was convicted by the High court. The case in which he was convicted and sentenced relates to the killing of five Sikhs in Delhi Cantonment's Raj Nagar Part-I area of southwest Delhi on November 1-2 in 1984, and burning down of a Gurudwara in Raj Nagar Part-II. Anti-Sikh riots had broken out after the assassination of then prime minister Indira Gandhi on October 31, 1984 by her two Sikh bodyguards. Kumar has also challenged in the top court the Delhi High Court's verdict of December 17 last year that awarded him life imprisonment for the ""remainder of his natural life"" in the 1984 anti-Sikh riots case. During the hearing Monday, Solicitor General Tushar Mehta, appearing for the CBI, told the top court that Kumar is facing trial in another 1984 anti-Sikh riots case at the Patiala House district court. Mr Mehta said recording of evidence was going on in the case and out of 35 prosecution witnesses, seven have been examined till date. The counsel representing Kumar said the former Congress leader was granted anticipatory bail by the high court in the case in which trial is going on and it was affirmed by the top court also. ""This will have to be heard fully,"" the bench said. When Kumar's counsel said that hearing on bail plea would not take much time, Mehta said, ""See the gruesome nature of offence. It was a genocide."" The bench said it would hear the matter in the first week of August. On April 8, the Central Bureau of Investigation (CBI) had opposed his bail plea and claimed in the court that Kumar was the ""kingpin"" of a gruesome offence in which Sikhs were ""massacred"" in Delhi during 1984 riots. However, the counsel representing Kumar had said that the former Congress leader was in jail for the past more than three months and during the adjudication of the trial, he was out on anticipatory bail and never misused the liberty. Kumar had surrendered before a trial court here on December 31, 2018, to serve the sentence in pursuance of the high court''s December 17 verdict. The high court had convicted and sentenced Kumar to spend the remainder of his life in jail for the offences of criminal conspiracy and abetment in commission of crimes of murder, promoting enmity between different groups on grounds of religion and doing acts prejudicial to maintenance of communal harmony and defiling and destruction of a Gurdwara. It had also upheld the conviction and varying sentences awarded by a trial court to five others - former Congress councillor Balwan Khokhar, retired naval officer Captain Bhagmal, Girdhari Lal and ex-lawwmakers Mahender Yadav and Kishan Khokhar. The high court had set aside the trial court's 2010 verdict, which had acquitted Kumar in the case. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",15 Apr 2019,2019-04-15 00:00:00
"""Court Has Accepted Pain I Went Through. I Am Happy"": 2002 Rape Survivor Bilkis Bano","""Court Has Accepted Pain I Went Through. I Am Happy"": 2002 Rape Survivor Bilkis Bano",https://www.ndtv.com/india-news/supreme-court-has-recognized-pain-i-went-through-says-bilkis-bano-2002-riots-rape-victim-after-50-la-2028067,en,"At the end of a long and hard road to justice, Bilkis Bano - who lost her whole family and was gang-raped during the 2002 post-Godhra riots in Gujarat - says she is just grateful that the country's top court has acknowledged her pain. ""It is a big deal for me"" said the woman, adding that her case ""is about the shameful failure of the state in protecting its people"". Only 21 years old and five months' pregnant, Bilkis Bano was gang-raped by three men and watched her family being slaughtered. Her three-year-old daughter's head was smashed with a rock. It was one of the most brutal instances of the carnage that started after the Sabarmati Express fire at Godhra. On Tuesday, the Supreme Court instructed the Gujarat government to pay Bilkis Bano an ""exemplary compensation"" of 50 lakh and provide her with a job and a house. ""I am happy with the Supreme Court's judgment. I give credence to the judges who have seen what I have done and acknowledged what has happened to me,"" Bilkis Bano said, speaking with the help of a translator. April 23 was a landmark day for Bilkis Bano in more ways than one. For the first time since her ordeal began, she was able to vote - a task the rest of the country takes for granted. It was a fallout of her fight for justice. Over the 10 years, she changed 30 homes, keeping constantly on the move to ensure the safety of her family. The trial - moving from Ahmedabad to Mumbai and then to New Delhi, from trial courts to the Supreme Court - involved fighting past threats and attempts at intimidation. ""We lived in fear, wondering when someone will come and do something,"" said her husband, who was present at this evening's press conference. Bilkis Bano cast her vote in Gujarat's Dahod constituency, where the BJP's Jasvantsinh Sumanbhai Bhabhor is up against Congress candidate Babubhai Katara. But despite all odds, she says she never wavered from her goal. ""How could I get tired? My entire family, my daughter was killed,"" she said. The court's order is Bano's chance of starting a new life. But she is also aware that while the judgment is in her name and the money will come into her account, there are other women engaged in similar fights. Asked what she would do with the money, she replied, ""I will give some of it to the women who have gone through similar ordeals for their fight and the education of their kids"". She said she wanted to create a fund in the memory of her murdered daughter Saleha, who did not even receive a proper burial. ""I always had faith, even though it was a long fight, in the justice system and the constitution,"" she added. With inputs from PTI Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",24 Apr 2019,2019-04-24 00:00:00
"PM Modi Slams Congress Over ""Nyay"", Talks About ""60 Years Of Anyay""","PM Modi Slams Congress Over ""Nyay"", Talks About ""60 Years Of Anyay""",https://www.ndtv.com/india-news/lok-sabha-elections-2019-pm-modi-slams-congress-over-nyay-talks-about-60-years-of-anyay-2022655,en,"Prime Minister Narendra Modi today sought to corner the Congress on its showpiece poll promise of "" Nyay "", demanding justice for the victims of the 1984 anti-Sikh riots, the Bhopal gas tragedy and violence against Dalits. While terror attacks shook the nation during the Congress regime, the NDA's policy halted it, he said at Ramanathapuram. A vote for DMK, Congress, and Muslim League combine would lead to higher taxes and less development and give a free hand to terrorists and rise of criminal elements in politics, he alleged. ""Those who cannot protect India can never develop the nation. When Congress and their allies were in power, terrorists were attacking the nation regularly. City after city, there were blasts but congress remained helpless and silent,"" he said. But time has changed now, he said, adding: ""India will not spare a single terrorist. If they dare to attack us, we will find them wherever they are and ruin their happiness,"" he said. Addressing a poll rally in Tamil Nadu's Theni, he alleged the Congress and dishonesty were best friends but sometimes ""by mistake,"" they end up speaking the truth. ""Now they are saying "" Ab Hoga Nyay "" (justice will be done now) even if they did not intend, they have admitted that all they have done is "" Anyay "" or injustice for 60 long years,"" (during the Congress rule), he said. ""I want to ask the Congress party who will do Nyay to the victims of 1984 anti-Sikh riots? ...who will do Nyay to all the victims of anti Dalit (violence), who will do Nyay to the government of great MG Ramachandran ji, which was dismissed by the Congress just because one family did not like those leaders."" ""...who will do Nyay to the victims of the Bhopal gas tragedy, among the worst environmental disaster in India."" Congress, which talks about ''Nyay'' has done most injustice to regional aspirations by ""shamelessly,"" imposing Article 356 to dismiss state governments of MG Ramachandran, M Karunanidhi, communists and showing disrespect to the federal structure, PM Modi said. PM Modi highlighted how his government believed in ""cooperative and competitive federalism,"" and that regional aspirations mattered in policies. Blaming the DMK and Congress for vote bank politics in opposing a Bill on abolishing Triple Talaq in Parliament, PM Modi said, ""These parties do not believe in dignity of women."" PM Modi referred to the legacy of late AIADMK leaders MGR and J Jayalalithaa. He hailed MGR and Jayalalithaa as iconic leaders who strove for the poor. BJP stood with people on the Lord Ayyappa issue, he said and hailed the state's spiritual ethos by citing the famous hill shrine of Lord Shiva (Sundaramahalinga Swamy Temple) on Sathuragiri hills in the southern region. Similar to his recent Kancheepuram rally, he said Ramanathapuram was linked to Kashi by the bonds of faith and spirituality. In Kerala, Congress, Communists and Muslim League are playing a ""dangerous"" game regarding Sabarimala temple, the PM said, adding ""They are using brute force to strike at the root of faith and aspiration. Sadly for them till BJP is there, no one will be able to destroy our faith and culture,"" he said in Ramanathapuram. ""...we must continue working for the prosperity of our Sri Lankan Tamil brothers and we must end the dynasty rule of corrupt families,"" he said in his Theni address. Chief Minister E Palaniswami, who also addressed the gathering, hit out at arch rival DMK over its alliance with the Congress. He asked the party to clarify whom it would support in neighbouring Kerala, whether the Congress or the CPI(M) as they both were its allies in Tamil Nadu. The DMK and Congress though ""sworn enemies"" have joined hands, despite the national party having ""humiliated"" its southern ally in the past, PM Modi said. Even during the 2G spectrum allocation scam, the DMK leaders criticised Congress, he pointed out. ""In an attempt to mislead the people, all the corrupt have ganged up in an attempt to defeat Modi,"" he added. He said the DMK has to ""resort to gimmicks"" just to draw people to its rallies. Picking holes in opposition unity, he said DMK president MK Stalin's ""Rahul Gandhi for Prime Minister"" pitch did not find takers in the grand alliance since there were other leaders with the same aspiration. The Congress, the DMK and their other '' mahamilawati '' friends can never work for India''s development, he claimed. ""This land of Theni is known for brave people who served the nation, it is now up to you to decide how you will you deal with those who questioned the surgical and air strikes done by our brave armed forces,"" he said. The Indian Air Force (IAF) had carried out airstrikes on terror camps in Pakistan in February last. ""When it comes to national security there can be no compromise. I assure my fellow Indians that we leave no stone unturned in protecting India and destroying forces of terror."" ""Our guiding principle is nation first. Opposition believes in family first. If you go to Delhi, prime real estate has been used for memorials on members of only one family, it is as if no other person contributed to India except one family."" The BJP, however, believed in the contribution of every citizen in making India stronger and that was why a grand memorial was built for APJ Kalam in Rameswaram, he said wrapping up his election campaign in Tamil Nadu. There were no memorials for past presidents like Dr S Radhakrishnan though in every town, Congress had named so many roads and buildings after ""one family."" In both rallies, PM Modi referred to ongoing development projects in Tamil Nadu and listed his governments welfare initiatives like the free LPG connections.  Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",13 Apr 2019,2019-04-13 00:00:00
2002 Riots Victim Bilkis Bano To Get Rs 50 Lakh Compensation: Top Court,2002 Riots Victim Bilkis Bano To Get Rs 50 Lakh Compensation: Top Court,https://www.ndtv.com/india-news/bilkis-bano-2002-gujarat-riots-victim-to-get-rs-50-lakh-compensation-and-government-job-orders-supre-2027251,en,"Bilkis Bano -- whose gangrape and family's massacre became one of the worst instances of the brutality of the 2002 riots in Gujarat -- will receive a compensation of Rs 50 lakh from the state government, the Supreme Court ordered today. On learning that she has no place to live and been leading a nomadic life since 2002, a three-judge bench led by Chief Justice of India Ranjan Gogoi also asked the state to provide her with a government job and accommodation. The Gujarat government told the Court that it has taken action against police officers involved in the case, blocking the pension of four and demoting a fifth. Turning down the state government's offer of Rs 5 lakh, Bilkis Bano had sought exemplary compensation and action against the police officers who tried to derail the investigation and were convicted by the Bombay High Court. Bilkis Bano's family was attacked by a mob at Randhikpur, a village near Ahmedabad, during the post-Godhra riots on 3 March 2002. Fourteen members of her family were murdered. The youngest of them was Bilkis Bano's three-year-old daughter Saleha, whose head was smashed with a rock. Bilkis Bano, who was pregnant at the time, was gang raped. She survived only because the men left her for dead. In 2008, 11 men were convicted for the rape and given life imprisonment by the Bombay High Court. But no action was taken against the police officers who had tried to derail the investigation into the case by fudging evidence and influencing witnesses even though they had been convicted by the court.  Bilkis Bano's lawyer had told the Supreme Court that four of the officers had retired and a fifth - IPS officer RS Bhagora - was about to. But no disciplinary action had been taken against them. The top court had ordered action and directed the state government to file a report. Today, the Gujarat government informed the top court that the pension of the four retired officers has been blocked. The senior officer, Deputy Commissioner RS Bhagora, who is still serving, is being demoted. In its judgment, the high court had ordered the five policemen to pay a fine Rs. 15,000 and Rs. 5,000. But they were not given any prison term since they had already spent time in jail as undertrials. Get the latest election news , live updates and election schedule for Lok Sabha Elections 2019 on ndtv.com/elections. Like us on Facebook or follow us on Twitter and Instagram for updates from each of the 543 parliamentary seats for the 2019 Indian general elections. Election results will be out on May 23. ",23 Apr 2019,2019-04-23 00:00:00
