title,url,keywords,imageUrl,content
The Congress party's idea of India is rooted in inclusion: Sam Pitroda,https://www.thehindu.com/elections/lok-sabha-2019/the-congress-partys-idea-of-india-is-rooted-in-inclusion-sam-pitroda/article26645890.ece,"
In India today, democracy, freedom and development have been compromised, says telecom guru and policy-maker
",https://www.thehindu.com/static/img/1x1_spacer.png,"After the political row last week over his comments on the air strikes on Balakot in Pakistan, telecom pioneer, entrepreneur and Chairman of the Indian Overseas Congress Sam Pitroda reiterated that he was not disrespectful to anybody and stressed that the 2019 polls are one of the most critical elections in modern history of India.Your comments questioning the Balakot strikes and stating that ‘entire Pakistan cannot be blamed for the Mumbai terror attacks’ have been attacked by the Prime Minister himself...First of all, everything that had to be said on this has been said and it is there in public domain. There isn't much to add. I was also flabbergasted that the Prime Minister, head of the party (BJP), cabinet ministers had to respond. I come from a Gandhian background. I felt in a democracy, it is my right to question. It doesn't mean disrespect to anybody.But I would request the Prime Minister to watch the entire tape. And tell me if there is anything in that tape which is disrespectful of anybody. If there is anything disrespectful, I will say sorry but I don’t think there is.The Congress called it 'an individual's comment' and distanced itself from your remarks.In the interview, I had made it clear that it is my view. It is Sam Pitroda's view and I stick to that. The party understood it. I don't think the party has anything to do with it. I am talking from a human perspective.But the Congress seems defensive when it comes to national security issues.I am not a security guy but you will have to wait for the Congress security policy which will probably be there in the manifesto.The BJP has always boasted of a muscular approach and attacked the Congress for a soft approach.Look, at the end of the day, the Congress party is the party of Mahatma Gandhi. This is again a personal view but the Congress party's idea of India is rooted in inclusion, respect for everyone. And that idea is embedded in democracy, freedom, human rights and equality. It is also rooted in Gandhian ideas of non-violence.How important are these elections for you to defend this Congress idea of India?Congress president Rahul Gandhi has time and again said that this election is one of the most critical elections in modern history of India. It is about the Soul of India. What is being challenged bothers us. When I look at India of today, I find that democracy has been compromised, freedom has been compromised, development has been compromised. We have not created enough jobs for our people. We have not created enough opportunities for our people.Then, there is farmer distress, demonetisation impact, GST (goods and services tax). Ultimately, we will have to look at the governance structure which facilitates entrepreneurship and job creation.So what are the main issues for the Congress in these elections?To me, the main issue is the soul of India. It's a complex idea and implies inclusion, freedom, diversity, democracy, equality, human rights, respect for women. From there, what flows is opportunities and jobs. There is farmer distress, demonetisation impact, GST [goods and services tax]. Ultimately, we will have to look at the governance structure which facilitate entrepreneurship and job creation.You say this is the most critical elections yet the Opposition has failed to come together.We have had conversations for quite some time and have alliances in Tamil Nadu, Bihar, Jharkhand Maharashtra but the real thing people were looking for was in Uttar Pradesh. It has not happened because negotiations have to be fair. Take it or leave it, my way or highway approach doesn't work.So, how will these parties [from UP] post elections come together with the Congress?Ultimately, everybody who believes in a broader idea of India, who believes in inclusion, will have to align. It will be nice if they can align before but it's okay if they do afterwards.Now, one of the arguments that is made out in favour of BJP is that a stable government under Mr .Modi gives more confidence to the international community and global investor than a motley combination of leaders and parties.How do you respond to that?I think it is exactly the opposite. You don't build a nation for investors. You build a nation for people living there. You don't want to discard you discussion and dialogue just because foreign investors are encouraged to invest. Of course, it is important but what cost. I think we could run a coalition government effectively under Dr. Manmohan Singh with a little bit of give and take. I would rather have that than have a strong dictatorial view of how to run things.Let me give you an example. We went to Moscow during President Gorbachev's time where a senior minister said they are very impressed with India. He said Mr. Pitroda we are very impressed because India can hold the country together without guns. But the day we turn the guns around, Soviet Union will fall apart.Regional leaders don't consider Rahul Gandhi should head the Opposition camp and each one has Prime Ministerial ambition!We have a Parliamentary system. We don't have a presidential system and Indian elections are not about Modi versus Gandhi. Whoever wins the highest number of seats will get to decide. So where is the problem? Rahul does not see this as a problem.You have been associated with the making of the manifesto. Apart from minimum income guarantee or NYAY, what else can we expect?Manifesto is an exercise in consolidating in people's aspiration. We have gone out to public and held series of consultations in India, abroad, townhall and conferences and thereafter have up with a list of things that can be summarised into 20-25 big ideas. What we will do with regard to jobs, health, education, women. And then there will be a preamble by the Congress president on his vision, where we are today and where we want to go tomorrow. Ultimately, we need to convince people that where we are today is not comfortable.How has Rahul Gandhi changed as Congress president now from the time he started in politics?Rahul Gandhi has learned a lot, much more mature. People don't give him credit for one thing which I really admire in a man. He has been beaten up by this massive machine called BJP, ridiculed, attacked in a very wrong way but this young man has been able to take in all this criticism year after year. And he is still rising. If he scratches, they will ask why is he scratching. If he is running, they will ask why is her running. If he winks, why is winking.If I was there in his place, I would have collapsed. He has inner strength to rise against all this humiliation, personal attacks, calling names. If Rahul Gandhi is Pappu, then I would like every young Indian guy to be like him.But critics say why should someone from the Gandhi family always be the Congress leader? There are many other talented leaders, they argue.The Gandhi family is the glue for the Congress party. It is not a talent contest or an examination of how many marks you got. It is about holding things together. I may be talented but I cannot do what Rahul Gandhi does in my lifetime. And that is holding things together.Now, his sister, Priyanka, has formally joined the party and she is seen to be more charismatic than him.I think she augments Rahul’s efforts. The skill sets that she has are a little different. They complement each other and they have been close friends while growing up because they only had each other. Priyanka is a good sounding board for Rahul."
Ajit Singh campaigns to ‘bury’ BJP in Muzaffarnagar,https://www.thehindu.com/news/national/other-states/ajit-singh-campaigns-to-bury-bjp-in-muzaffarnagar/article26647648.ece,"
RLD leader banking on social arithmetic of Jatav-Jat-Muslim in riot-hit constituency, but faces an uphill task
",https://www.thehindu.com/static/img/1x1_spacer.png,"“Do you recognise me? I fought nine parliamentary elections, with both wins and losses. But why have I come to Muzaffarnagar to contest election, you tell me?”The question is directed at an audience of men and boys gathered around a Ravidas temple, a place of worship for Dalits, in Ladwa, a village in western Uttar Pradesh’s Muzaffarnagar district.There are Dalits, Muslims, Jats, and OBC communities like Kashyaps/Dheevar in the audience, most of whom are seated on neatly arranged red plastic chairs or standing in clusters.Their eyes are locked at the makeshift stage, dressed in banners of three parties — Samajwadi Party, Bahujan Samaj Party and Rashtriya Lok Dal — where a bespectacled man wearing a white kurta-pyjama is standing holding the microphone.“I have come to Muzaffarnagar because you are responsible for bringing the BJP to power. You fought with each other and destroyed thebhaichara[brotherhood]. As a result of that you have to bear Modi today,” he says.New challengeNow 80, RLD chief Ajit Singh has had many ups and downs in his political career, but facing a steep downward curve since 2013, perhaps the stakes have never been higher for his party as they are in the 2019 election.Moving out from his traditional seat of Baghpat, Mr. Singh has played a gamble by deciding to contest from Muzaffarnagar, a constituency which was marred by communal violence in 2013, triggering a communal polarisation which eventually helped the BJP sweep the State.While he has an uphill task to overturn the deficit from 2014, when the BJP’s Sanjeev Balyan secured a massive 6.53 lakh votes (58.98%), his fight is bolstered by the support of the SP and the BSP. Mr. Singh is going from village to village addressing nukkad sabhas to connect with his new electorate in the sugar belt.“You want to bear Modi for five more years,” he asks the crowd at Ladwa. Some of them reply: “No, not any more.” Mr. Singh then says: “Maintain your bhaichara, and Modi will disappear. You did that in Kairana, didn’t the BJP lose?”The 2013 communal violence demolished the RLD’s carefully stitched decades old Jat-Muslim coalition. The results were clear in 2014; Mr. Singh himself stood a humiliating third from his bastion Baghpat.The Hindufollowed Mr. Singh through his nukkad sabhas and found most of his attacks targeted at Prime Minister Narendra Modi, backed by his desire to restore the RLD’s lost social coalition. “Just defeating Modi won’t do. You will have to bury him. You will have to uproot him,” he tells the crowd, his fist smacking the air passionately.The audience bursts into claps and shouts of “Chaudhary Ajit Singh zindabad” resonating in the open venue. “Modi, yourachhe dinare gone, ourachhe dinare coming,” he declares.The Jat leader also uses witty one-liners to mock Mr. Modi on his persona and track-record, evoking laughter from the rural audience. “Bhaiya, if he [Mr. Modi] goes to Sri Lanka, he would return and say, I killed Ravan.”Another one-liner which generates a louder response from the audience is: “People say Modi lies a lot. He doesn’t lie, he just never speaks the truth.”Local supportAfter the sabha is over, Mr. Singh moves into his SUV and is quickly escorted away to a local supporter’s house where fruits have been laid out for his welcome. Saying no to hospitality is not an option in this part of western Uttar Pradesh, even though Mr. Singh is an hour behind schedule.After a quick interval, the cavalcade drives past sugarcane and wheat fields and reaches the house of a prominent RLD old-timer, a farmer, to pacify him. To secure his win, Mr. Singh would require to revive support of all such disgruntled loyalists and the farmer, despite not being in the best of health, is convinced to address a nukkad sabha for Mr. Singh at the next location, Titavi. Along the way, drum beats, shower of flowers and handshakes welcome the Jat veteran.At Titavi, Mr. Singh once again presses for communal unity among his core constituencies. He also explains to people the economic downfall caused by the riots and how the local steel rod factories are still shut. “I want to bring Muzaffarnagar back to the same position where it was before the riots,” he says.With the SP and BSP in alliance with the RLD, Mr. Singh has ensured consolidation of the Jatavs and Muslims, with the latter itself making up for 41% of the district population. That the combined vote of the SP, BSP and RLD in each of the five Assembly segments of Muzaffarnagar in 2017 polls had crossed 50% also presents a hope for him.However, to ensure a victory and galvanise his party, he faces the challenge of reviving his appeal among the Jats, a section of whom are still inclined towards Mr. Modi and Mr. Balyan, who himself is a local Jat.To woo them, Mr. Singh focuses on issue of cane dues, menace of stray cattle and joblessness, and accuses the BJP of trying to divide the country in the name of the Army, which also recruits from the Jat community.Farmers’ woesThe RLD chief strikes a chord with Virendra Singh, a Jat farmer listening patiently in the crowd. Virendra complains that the rate of milk and cattle have fallen under the BJP rule. Another Jat, Rajendra Singh, hits out at Mr. Modi over the unemployment issue, while farmer Soraj Singh, a traditional RLD voter, regrets voting for the BJP in 2014 due to the riots. “All they did was increase the power tariff. Even if the BJP fields a Jat, we will vote for Chaudhary ji. We won’t just vote, we will make him win,” says Soraj.Raj Kumar, a Jatav, also speaks against the BJP. “We are fed up of BJP. I lost ₹80,000 during demonetisation.”A few kilometres away in Kutba village, the opinion is, however, split, with many Jats still supporting Mr. Modi and happy to see the back of the previous Muslim MPs from Muzaffarnagar. Current MP Sanjeev Balyan hails from Kutba, which along with its adjoining village Kutbi, witnessed eight deaths during the 2013 violence.While young Akshay Kumar praises the sitting MP for building metalled roads, widening the canal track and setting up solar panels, Randheer Singh, a farmer, is happy with the ₹2,000 he received under the PM KISAN scheme. They also praise the Balakot air strikes, with one local comparing Mr. Modi to a patriotic king.As the conversation shifts to the battle between the RLD and the BJP and economic issues, divisions emerge, a sharp contrast from 2013 when Jats rallied heavily behind the BJP amid communal polarisation.Pushpendra Kumar, a farmer, praises the air strike, but is tilted towards the RLD and regrets voting for the BJP in 2014. He is aggrieved by stray cows which are eating his wheat crop and forcing him to spend money on fencing his 23-bigha field. “Ajit Singh is more sympathetic towards the farmers,” says Pushpendra, blaming Chief Minister Yogi Adityanath for “letting loose the cows.Parveen Balyan, who works at a local sugar mill, compares the alliance partners to “thieves” ganging up against Mr. Modi. He also questions Mr. Singh for choosing Muzaffarnagar instead of Baghpat. “For 20 years he was a Minister and an MP but what work did he do?” asks Parveen. But he believes that Mr. Singh will give a tough fight this time, and predicts a low victory margin of 20,000 votes for the BJP.Like a section of Jats, OBC groups like Kashyaps, Dheevars and Julahas, and upper castes are also tilted towards the BJP. “We don’t care about the candidate, we want BJP,” says Sonu, a Julaha, in Dhindhawali village. His namesake, Sonu, a Rohilla Rajput, admits Mr. Singh has the arithmetic to back up a strong fight but still expects the BJP to win. “All I want is a strong government, a BJP government,” he says."
Literary world bids adieu to Malayalam writer Ashitha,https://www.thehindu.com/news/cities/Thiruvananthapuram/literary-world-bids-adieu-to-ashitha/article26654993.ece,"
The writer, who had been fighting cancer for some years, died at a private hospital in Thrissur
",https://www.thehindu.com/static/img/1x1_spacer.png,"Hundreds of people, her colleagues and readers bid adieu to eminent Malayalm writer P.K. Ashitha who died in the early hours of Wednesday.The writer, who had been fighting cancer for some years, died at a private hospital here. She was 63. Her body was cremated at Paramekkavu Shanthighat by noon.Known for her brutally open writings on inner feelings and struggles of women, Ashita was recipient of several awards, including the Kerala Sahitya Akademi Award, Lalithambika Antharjanam Award, and Padmarajan Award.In her simple but strong style, Ashitha touched the hearts of hundreds of readers.She created her niche through a unique style and portrayed the pains and fears of women.The versatile author of more than 20 books wrote short stories, poems and children’s books. She also translated many famous works.During an interview with a Malayalam magazine recently she revealed the opposition and even brutal punishment she had to undergo from her dear ones to pursue her writings.Condoling her death, Chief Minister Pinarayi Vijayan wrote on Facebook that “Ashitha used her stories for creating gender equality. Her stories reflected the strength of resistance. She protested against gender violence through her stories. Ashitha, who trekked the off-beaten path, took her readers through a difference experience. Her death created a void in the literary world.”Born at Pazhyannur in Thrissur district on April 5, 1956, she completed her school education in Delhi and Mumbai. She took her postgraduation in English literature from Maharaja’s College, Ernakulam. She is survived by husband Ramankutty and daughter Uma.Her famous works includedVismaya Chihnangal,Apoorna Viramangal,Óru Sthreeyum Parayathathu,Áshithayude Kadhakal, Mazha Meghangal,Vivaham Oru Sthreeyodu Cheyyunnathu,Ramayanam Kuttikalkku, andGuruvayuinte Vazhi."
LDF to suffer setback in the polls: Nirmala,https://www.thehindu.com/news/cities/Thiruvananthapuram/ldf-to-suffer-setback-in-the-polls-nirmala/article26647335.ece,"
Union Minister inaugurates NDA election convention ",https://www.thehindu.com/static/img/1x1_spacer.png,"The culture of political violence that is being allegedly propagated by the Left Democratic Front (LDF) government will adversely affect its prospects in the coming Lok Sabha polls, Union Defence Minister Nirmala Sitharaman has said.The senior Bharatiya Janata Party (BJP) leader was in the State capital on Tuesday to inaugurate the National Democratic Alliance (NDA) convention of Thiruvananthapuram constituency candidate Kummanam Rajasekharan.Alleging that a chaotic situation prevailed in the State, she accused the CPI(M) of unleashing its cadres to operate along with the police to eliminate or frame BJP and the RSS.“Instances of dreadful violence against the BJP and the RSS workers continue unabated in the State. However, despite accusing the BJP of being responsible for the attacks, the government has desisted from conducting comprehensive probes. This clearly proves their fear of being exposed for orchestrating such violence. Violence of such order cannot be seen anywhere else in the country,” she said.Rebutting the Opposition claims that the Narendra Modi government has failed to generate employment, Ms. Sitharaman said the debate failed to consider the jobs generated in the unorganised sector.Unorganised sector“The data being collected by government agencies include only those on workers in the organised sector. However, massive employment has been generated by small and medium-sized businesses that have formed around the infrastructure developed by the Modi government,” she said.She also accused the Congress of manufacturing fictitious and fake documents to raise false allegations against the BJP. “It is a sign of their desperation. Such actions will not have an impact in the polls. Let them instead focus on retaining their 44 seats (in the Lok Sabha),” she quipped.Inaugurating the convention, Ms. Sitharaman said the NDA government had inherited a country that suffered through irresponsible governance at the hands of the United Progressive Alliance (UPA). “The country is currently the third fastest growing economy in the world. We cannot afford to lose the momentum. To ensure this, the Modi government has implemented major reforms, some even unpopular, to ensure that the bureaucratic system worked in tandem with the government,” Ms. Sitharaman said.BJP leaders Kummanan Rajasekharan, O. Rajagopal, MLA, national executive member P.K. Krishnadas, district president S. Suresh, former Indian Space Research Organisation (ISRO) chairman G. Madhavan Nair, former diplomat T.P. Sreenivasan, former bureaucrat C.V. Ananda Bose, and former State Police Chief T.P. Sreenivasan were among those present."
"Cash-for-votes a major problem in Tamil Nadu, poll panel tells Madras HC",https://www.thehindu.com/elections/lok-sabha-2019/cash-for-votes-a-major-problem-in-state-poll-panel-tells-hc/article26647556.ece,"
Says it had to rescind three election notifications in the recent past ",https://www.thehindu.com/static/img/1x1_spacer.png,"The Election Commission of India (ECI) on Tuesday told the Madras High Court that till 2009, violence was a major issue during polls in Tamil Nadu. However, things worsened since then, with cash-for-votes permeating the electoral field.The commission had to rescind as many as three election notifications in the State in the recent past due to complaints of large-scale corruption.Opposing a public interest litigation petition before Justices S. Manikumar and Subramonium Prasad, ECI counsel Niranjan Rajagopalan said the commission had been doing its best to keep a check on corrupt practices by forming flying squads and election expenditure monitoring teams. Voters were also administered a pledge against cash-for-votes under the Systemic Voters’ Education and Electoral Pariticpation (SVEEP) programme, he said.When the judges opined that anti-corruption programmes should be conducted on a continuous basis and not just during elections, the counsel said the Election Commission did not have its own manpower. It was dependent on officials belonging to the Revenue, Income Tax and Police departments and the commission loses its hold over them immediately after the elections.One of the many prayers of the PIL petitioner, K.K. Ramesh of Madurai, was to recover from the candidate concerned or the head of the political party to which he/she belongs, all expenses incurred by the government for conducting elections that get cancelled due to bribing of voters. Stating that it may not be possible to issue such a blanket direction, the judges dismissed the PIL petition in so far as that prayer was concerned.Measures takenOn other relief sought by the PIL petitioner, the judges recorded Mr. Rajagopalan’s submission that the court had already imposed a ban on installation of flex boards and unauthorised flag posts. Similarly, the government had banned use of plastic flags and prohibited transportation of passengers in goods vehicles. All these regulations would be strictly enforced and violators would be prosecuted, he said.It was brought to notice that the Solid and Plastic Waste Management Rules of 2016 would have to be followed by all parties when it came to disposal of campaign material. The counsel said instructions had already been issued to political parties in the interest of protecting the environment.“When the model code of conduct is in force, all existing laws on varied subjects will be enforced as usual through the agencies concerned. It is only on matters, such as electoral expenditure, which were not governed by any law that the Election Commission issues suitable instructions by invoking its powers under Article 324 of the Constitution,” he added."
Plea for woman CBI official to probe Pollachi sexual abuse case,https://www.thehindu.com/news/national/tamil-nadu/plea-for-woman-cbi-official-to-probe-pollachi-case/article26647387.ece,"
Six women lawyers seek setting up of one-stop crisis centres for providing assistance to victims ",https://www.thehindu.com/static/img/1x1_spacer.png,"The Madras High Court on Tuesday decided to hear on Friday a public interest litigation petition filed jointly by six women lawyers seeking a direction to the Central Bureau of Investigation (CBI) to appoint a high-ranking woman official to probe thePollachi sexual abuse caseswhich were transferred to it by the State government.First Division Bench of Chief Justice Vijaya Kamlesh Tahilramani and Justice M. Duraiswamy agreed to take up the case for admission on Friday, after senior counsel R. Vaigai, representing the petitioners, requested for early hearing of the case since they had also sought for extension of benefits of witness protection scheme to the victims.Secondary victimisationAnother relief sought by the petitioners was to issue a direction to the State government and Tamil Nadu Legal Services Authority to set up one-stop crisis centres along with victim-centric standard operative procedures and survivor support services for providing medical care, legal aid and other assistance to victims of sexual crimes.G. Chamki Raj, A. Arulmozhi, B.S. Ajeetha, Adhilakshmi Logamurthy, R. Sudha and Kiruba Munusamy had filed the case.The petitioners accused the State government of having created a hostile environment for the victims, their families and other victims in the Pollachi sexual abuse issue.The petitioners said the government had thereby caused “secondary victimisation of victims of sexual violence.”The petitioners claimed that no survivor support structures or witness protection scheme was in place in the State. “No information has been provided to the public about this. Hence, we have approached this honourable court to voice the concerns of the victims as in the circumstances of the case and the very nature of things, they are unable to speak out,” the petitioners said.Lack of protectionAccusing the police and the State government of having revealed the identity of the complainant in the case in violation of the guidelines issued by the Supreme Court, the women lawyers said the lack of protection to the complainant as well as other victims had become a significant barrier in their pursuit for justice.“The most important safeguard to a victim of sexual violence is the protection of identity,” they said.“This protection has been totally disregarded in the instant case. It is obvious that the rest of the victims of sexual assault and blackmail have not come forward to give any complaint to the police,” the petitioners added.In order to ensure a free and fair investigation into the issue, they insisted that a gender-sensitive woman officer be appointed by the CBI to investigate the Pollachi issue."
"Anthems of resistance: I will make music till end of time, says Imphal Talkies and the Howlers founder Akhu Chingangbam",https://www.thehindu.com/entertainment/music/anthems-of-resistance-i-will-make-music-till-end-of-time-says-imphal-talkies-and-the-howlers-founder-akhu-chingangbam/article26655661.ece,"
The folk-rock music band is known for their powerful stand and songs against the Armed Forces (Special Powers) Act and human rights violations in Manipur.
",https://www.thehindu.com/static/img/1x1_spacer.png,"“It’s really hot here,” says Akhu Chingangbam, as we catch up with him on a sultry March afternoon in Fort Kochi. And then he says, “Back home, it’s beautiful right now”. Home is Imphal, where Akhu’s roots, heart and inspiration are, and where he keeps going back to through the length of our conversation.Akhu is the founder-songwriter-frontman of the folk-rock music band, Imphal Talkies and the Howlers, known for their powerful stand and songs against the Armed Forces (Special Powers) Act and human rights violations in Manipur. There is also, in Akhu’s songs written both in his native Meiteilon and English, a fierce assertion of the Manipuri identity and a vehement resistance against efforts to annihilate their indigenous culture.The lyrics of Stand United Against CAB, their latest song released on YouTube is unambivalent in its criticism of the Citizenship Amendment Bill. The song, says Akhu, came from his many sleepless nights, and it was put together without a plan. “Anyone who listens to it will know that it is a spontaneous song.”An outsiderGrowing up in Manipur, violence was an everyday aspect of Akhu’s life. He would attend school, then go out to protest in the streets, the routine of most school-going children and what they deemed was normal. And like most Manipuris, he watched Bollywood movies and listened to Hindi songs, and believed he was as Indian as anyone else in the country. But Delhi, to where he moved to pursue higher studies, brought him the realisation that violence could not be the norm, and that he was an outsider. “I realised I was not one of them, and that was eye-opening.”He took to singing in Delhi streets, at protest venues and found that music had the power to express his deep-rooted angst and anger. Akhu sings, “Is there a dream that we share from east to west?/Is there a song that echoes from north to south?”But a lot has changed since 2008 when he formed the band and recorded the first album, says the musician. “I am not as angry as I was.” The credit he gives to the children he worked with as part of his project, A Native Tongue Called Peace. Since 2015, Akhu has been teaching music to the residents of a children’s home in Imphal. While making music with them, he is careful not to let politics seep in, for, he doesn’t “want to be yet another guy who runs an organisation to spread propaganda”. The project produced five original songs and has been a healing experience for children who came from broken backgrounds. Music uplifted their spirits and gave them confidence; for Akhu, it brought hope.Hope came to him again last year, when the India Foundation for the Arts granted him a 14-month fellowship, with which he toured parts of Assam and Bangladesh to meet Manipuris living there. While the radical Manipuri poetry of the 1960s and 70s has inspired him, he had grown weary of going back to the same stories time and again. He wanted to look beyond the geographical boundaries and hear stories of his people who had fled Manipur in the 19th Century and settled down in other regions. In his quest, he stumbled upon a treasure trove of stories – of people whose notions of Manipur were still romantic and filled with hope. Out of his travels was born the album, ‘Ema gi Wari’ (Stories of my mother), with seven songs, all connected to each other that they seem like a story.The Imphal Talkies gave the first public performance of their album at the Cabral Yard in Fort Kochi last weekend as part of the Kochi-Muziris Biennale. The band also performed at a show presented by Alt Wave in the city. The Biennale, says Akhu, has inspired him to go back to Manipur and organise the sixth edition of the music and arts festival, “Where have all the flowers gone”; commemorating American folk singer, Pete Seeger.There are days when the musician finds the going a tad difficult, especially after an accident last year left him deaf in his right ear. “Sometimes I think I am yet to come to terms with my loss. There are days when I wake up and try to imagine how it was when I had hearing in both my ears.” But nothing can stop him from making more music. When Akhu returns home, he has a lot of unfinished music to work on, and left unrecorded, he says, it haunts him. “I will make music till the end of time, or as long as I survive.”"
"5,743 NBWs executed, 1,700 pending in A.P.",https://www.thehindu.com/news/national/andhra-pradesh/5743-nbws-executed-1700-pending-in-ap/article26646860.ece,"
21 injured in poll-related incidents; cash, gold, liquor and freebies worth ₹105 crore seized
",,"Police arrested 5,743 persons, against whom Non-Bailable Warrants (NBWs) were pending in the State, in the last 15 days.Search is on to nab 1,700 persons more on which NBWs were pending in different police stations.As many as 8,711 arms were deposited, including those which were given to some security agencies and 16 were seized. In all, 1,337 arms are with different banks and other security firms.₹105 crore seizedDuring vehicle checks and raids, police seized cash, gold, silver, liquor and other freebies, all worth about ₹105 crore till March 25.The election authorities seized ₹57,62,53,466 cash, 93.948 kg of gold and 1,280 kg of silver, valued at ₹30 crore, liquor worth ₹12 crore, drugs valued at ₹4 crore in Andhra Pradesh. Besides, several freebies and other material being transported illegally were seized, all worth about ₹6 crore, were seized.In all, 154 vehicles were seized for violating the Model Code of Conduct (MCC) and for transporting material violating the rules at different places, said Additional Director General (Law and Order) A. Ravi Shankar.“Special teams have been formed to execute the remaining NBWs and seize the weapons, if any, across the State,” the Addl. DG said.21 injuredAbout 24 incidents related to elections occurred in A.P. and 21 persons suffered injuries. Property worth about ₹47,000 was damaged in poll-related violence.Instructions have been given to conduct vehicle checks, arrange road blockades at all vulnerable places to prevent transport of unauthorised cash, gold and other material. Patrolling has been intensified in all sensitive villages, Mr. Ravi Shankar added."
"Cash-for-votes a major problem in State, poll panel tells HC",https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/cash-for-votes-a-major-problem-in-state-poll-panel-tells-hc/article26648460.ece,"
Says it had to rescind three election notifications in the recent past
",https://www.thehindu.com/static/img/1x1_spacer.png,"The Election Commission of India (ECI) on Tuesday told the Madras High Court that till 2009, violence was a major issue during polls in Tamil Nadu. However, things worsened since then, with cash-for-votes permeating the electoral field.The commission had to rescind as many as three election notifications in the State in the recent past due to complaints of large-scale corruption.Opposing a public interest litigation petition before Justices S. Manikumar and Subramonium Prasad, ECI counsel Niranjan Rajagopalan said the commission had been doing its best to keep a check on corrupt practices by forming flying squads and election expenditure monitoring teams. Voters were also administered a pledge against cash-for-votes under the Systemic Voters’ Education and Electoral Pariticpation (SVEEP) programme, he said.When the judges opined that anti-corruption programmes should be conducted on a continuous basis and not just during elections, the counsel said the Election Commission did not have its own manpower. It was dependent on officials belonging to the Revenue, Income Tax and Police departments and the commission loses its hold over them immediately after the elections.One of the many prayers of the PIL petitioner, K.K. Ramesh of Madurai, was to recover from the candidate concerned or the head of the political party to which he/she belongs, all expenses incurred by the government for conducting elections that get cancelled due to bribing of voters. Stating that it may not be possible to issue such a blanket direction, the judges dismissed the PIL petition in so far as that prayer was concerned.Measures takenOn other relief sought by the PIL petitioner, the judges recorded Mr. Rajagopalan’s submission that the court had already imposed a ban on installation of flex boards and unauthorised flag posts. Similarly, the government had banned use of plastic flags and prohibited transportation of passengers in goods vehicles. All these regulations would be strictly enforced and violators would be prosecuted, he said.It was brought to notice that the Solid and Plastic Waste Management Rules of 2016 would have to be followed by all parties when it came to disposal of campaign material. The counsel said instructions had already been issued to political parties in the interest of protecting the environment.“When the model code of conduct is in force, all existing laws on varied subjects will be enforced as usual through the agencies concerned. It is only on matters, such as electoral expenditure, which were not governed by any law that the Election Commission issues suitable instructions by invoking its powers under Article 324 of the Constitution,” he added."
Exhibition,https://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/exhibition/article26648576.ece,,https://www.thehindu.com/static/img/1x1_spacer.png,"ArtLiving Outlines, an ongoing solo exhibition, features seven seminal works of Reji Arackal, an Indian contemporary artist. Curated by Shruthi Issac, the exhibition is part of Alliance Française de Delhi’s Back from France series. It spotlights mythology and socio-political issues such as displacement, violence, and exploitation.Venue:Galerie Romain Rolland, 72 Lodhi EstateTime:11 a.m. - 8 p.m."
