title,og_title,url,lang,content,publishedDate,dateObject
"1,000 Jet employees stage protest to demand salaries in Mumbai","1,000 Jet employees stage protest to demand salaries in Mumbai",https://timesofindia.indiatimes.com/city/mumbai/1000-jet-employees-stage-protest-to-demand-salaries-in-mumbai/articleshow/69138330.cms,en,"MUMBAI: Around 1,000 Jet Airways employees staged a protest rally on Wednesday and submitted a written complaint to the police against the airline management over non-payment of salaries. The police are yet to register an FIR. The protest rally by the All India Jet Airways Officers and Staff Association began at 11am from Terminal 2 of Chhatrapati Shivaji International Airport and concluded at Sahar police station, Andheri East, at 1.30 pm. ""We are inquiring into the matter and checking whether an FIR can be registered or not,"" a senior police officer told TOI. On April 12, the association inquired with the company management at Siroya Centre in Andheri about the outstanding salaries of the employees. ""Our primary concern was the board of directors should not leave the country and some action should be taken to prevent it. Also, outstanding salaries and wages should be paid,"" said Kiran Pawaskar, president of the employees' association. On April 25, a meeting was held between the association members and the airline CEO with representatives from the HR department of the airline in attendance. The association was informed that payments for outstanding salaries and wages cannot be made immediately. ""We believe this is a criminal offence. The police must investigate thoroughly,"" said Pawaskar. ",02 May 2019,2019-05-02 03:14:50
Farmers protest against MNC’s FIRs against potato growers in Gujarat,Farmers protest against MNC’s FIRs against potato growers in Gujarat,https://timesofindia.indiatimes.com/city/meerut/farmers-protest-against-mncs-firs-against-potato-growers-in-gujarat/articleshow/69135579.cms,en,"MUZAFFARNAGAR/ BIJNOR: Hundreds of farmers under Bhartiya Kisan Union gathered at Collectorate and protested against the recent FIRs filed against potato farmers in Gujarat by PepsiCo . National spokesperson of BKU, Rakesh Tikait said, “All these FIRs are fraudulent and against the rights of the farmers.” The company’s Indian subsidiary had filed a suit against the farmers last month and later, offered to drop the case if farmers agreed to follow the company's authorized cultivation programme. On Wednesday, a large number of BKU workers staged a dharna at the collectorate in district Muzaffarnagar against PepsiCo. Farmer outfit warned that the protest against the multinational company will continue and BKU workers will remove company’s hoardings from the District. BKU workers burnt several products of PepsiCo during the protest. Tikait said, “Farmers have a right to produce any crop which benefits them. In Gujarat, PepsiCo filed cases against potatoes farmers which is totally wrong and illegal. BKU will fight against this company.” During the agitation in Bijnor, farmers brought bottles of soft drink, Pepsi and emptied its contents as a mark of protest. Farmers handed over a memorandum to district magistrate, Sujeet Kumar while addressing it to the President of India. They demanded withdrawal of cases lodged against potato farmers in Gujarat. Farmers threatened the company that if the company fails to withdraw the cases, they will stage a huge protest in UP and other states. PepsiCo India sued farmers in Gujarat for alleged 'rights infringement' for growing FC-5 potatoe variety used to manufacture the popular Lay's potato chips. ",02 May 2019,2019-05-02 05:41:38
Sudan protest leaders insist no civilian administration without rebels,Sudan protest leaders insist no civilian administration without rebels,https://timesofindia.indiatimes.com/world/rest-of-world/sudan-protest-leaders-insist-no-civilian-administration-without-rebels/articleshow/69151240.cms,en,"KHARTOUM: Sudanese protest leaders insisted Thursday that the civilian administration they intend to establish must include representatives from armed groups who spent years battling Khartoum during the regime of ousted leader Omar al-Bashir . ""We will not have a transitional (civilian) structure without representatives from the armed groups,"" said Khalid Omar Yousef, a leader from the Alliance for Freedom and Change umbrella group which has led the protest movement. He did not name specific armed groups. Since 2003, Sudan has been rocked by rebellions in Darfur , South Kordofan and Blue Nile regions. Tens of thousands of people have died in those areas since ethnic minority rebels picked up arms against the Arab-dominated forces of Bashir, accusing his administration of political and economic marginalisation. In recent years, the violence has waned as rebels and Khartoum reached a series of ceasefires, but none of the rebel groups joined a civilian administration during Bashir's iron-fisted rule. Many Darfuris feel that their demand for justice for Bashir-era officials should be a bigger priority for protest leaders. Three armed groups are currently part of the Alliance for Freedom and Change which spearheaded protests since December that led to the ouster of Bashir. The Alliance is now demanding that the military council which took Bashir's place be replaced by a joint civilian-military council, although they say the number of members is yet to be finalised. On Thursday protest leaders presented the council with a proposal for the new civilian structures they want see rule the country. Protest leader Satea al-Haj told reporters that the transitional civilian government should be of 17 ministers, while the legislative body should include 120 to 150 members. He said the alliance was expecting a response from the military council in ""48 to 72 hours"". ",02 May 2019,2019-05-02 17:54:52
Thousands protest again against ruling elite in Algeria,Thousands protest again against ruling elite in Algeria,https://timesofindia.indiatimes.com/world/rest-of-world/thousands-protest-again-against-ruling-elite-in-algeria/articleshow/69162460.cms,en,"ALGIERS: Thousands of protesters rallied peacefully in Algiers after Friday prayers, chanting ""We will not shut up!"" and demanding the departure of Algeria 's ruling elite a month after the downfall of President Abdelaziz Bouteflika . Weeks of demonstrations forced Bouteflika out of office on April 2 after 20 years in power. Protesters have continued mass demonstrations every Friday, demanding other members of the country's elite also give way. They are calling for the resignation of the interim president, Abdelkader Bensalah, who is serving for 90 days until an election on July 4, and of Prime Minister Noureddine Bedoui, appointed by Bouteflika days before he stepped down. ""You must go"" and ""Thieves you have destroyed the country"", read banners held up by protesters. The army remains the most powerful institution in Algeria, having swayed politics from the shadows for decades. It has so far patiently monitored the mostly peaceful protests that at times have swelled to hundreds of thousands of people. Last week the army chief of staff, Lieutenant General Ahmed Gaed Salah - who helped push out Bouteflika after having him declared unfit for office - said several big corruption cases would come to light in a crackdown on graft. A number of figures from the ruling elite including the finance minister, former prime minister and several rich businessmen have come under investigation in recent weeks. ",03 May 2019,2019-05-03 11:53:20
Villagers protest over death of Gujjar youth,Villagers protest over death of Gujjar youth,https://timesofindia.indiatimes.com/city/jaipur/villagers-protest-over-death-of-gujjar-youth/articleshow/69136561.cms,en,"JAIPUR: Villagers of Manaksas in Jhunjhunu staged a protest over alleged murder of a Gujjar youth , demanding compensation as well as job for the victim’s family. One of the protesters who pelted stones on the vehicle of a district administration official was arrested by the police. Local authorities have also arrested two in the murder case. The Gujjar youth has been identified as Madan Lal who was allegedly beaten to death on Tuesday night by four men. Jhunjhunu police as arrested two accused in the case, but the villagers refused to let the autopsy of the victim’s body be done till their demands were met. After reassurances by the officials, the post-mortem was finally conducted on Wednesday evening. Gaurav Yadav, SP, Jhunjhunu said, “Madan Lal was allegedly beaten to death by youths of higher community during a brawl on Tuesday night. We arrested two of them and are looking for the others. The locals, however, were demanding compensation and job for the victim’s family and when the district administration official visited the protester’s, one of them pelted stones at the vehicle. We arrested one individual as well.” Madan Lal (25) worked in Nagar Nigam Udaipur and had come on leave when the incident happened. “We assured the protesters that all accused will be arrested soon and if there is any provision for their other demands, then the concerned authorities will do the needful. For now the matter has been resolved,” added Yadav. A case under IPC section 302 (murder) has been registered. The victim’s body was handed over to the family after postmortem. ",02 May 2019,2019-05-02 04:02:36
DUTA protest over age of retirement,DUTA protest over age of retirement,https://timesofindia.indiatimes.com/city/delhi/duta-protest-over-age-of-retirement/articleshow/69137659.cms,en,"NEW DELHI: Members of Delhi University Teachers Association (DUTA) staged a black flag protest on Wednesday, as the university celebrated its foundation day. The teachers were protesting against the fact that the university has refused to intervene in the matter of two colleges - Vivekanand College and Shyamlal (E) College - issuing letters to the associate professors of physical education informing them that they would be retiring at 62 years of age instead of 65. DUTA members have been protesting day and night outside the residence of DU vice-chancellor, Yogesh Tyagi, since April 23. The association has decided to intensify its protest dharna with a relay hunger strike that will begin on 2nd May. It will hold a public meeting in which students, karamcharis and leaders of political parties will be invited to participate. ",02 May 2019,2019-05-02 02:16:18
Student's death sparks protest in Chinhat,Student's death sparks protest in Chinhat,https://timesofindia.indiatimes.com/city/lucknow/students-death-sparks-protest-in-chinhat/articleshow/69158014.cms,en,"LUCKNOW: A 22-year-old student of a private engineering institute was mowed down by a Rae Bareli-bound Uttar Pradesh State Road Transport Corporation (UPSRTC) bus on Faizabad Road in Chinhat on Thursday. Incensed over the incident, students of another private institute in the area vandalized the bus and blocked the traffic for about 30 minutes. Police said at around 1 pm, Utkarsh Singh (22), a BTech (III) student and a resident of Barabanki, left the institute on his two-wheeler. When he was taking a turn in front of his college on the main Faizabad road, a speeding UPSRTC bus coming from the side of Polytechnic crossing hit him from the front. The bus driver and the conductor managed to flee after the accident. In the meantime, students of another college assembled at the scene and rushed a profusely bleeding Utkarsh to a nearby private hospital, from where he was referred to Lohia hospital. He later succumbed to his injuries. As the news spread, a mob of students gathered at the spot and vandalized the bus. They also blocked the main Faizabad road for over half an hour. Some commuters dialled UP 100 after which a police force led by SHO Chinhat Sachin Singh reached the spot and pacified the students to lift the blockade. ""An FIR under the charges of causing death by negligence and rash driving has been registered against the driver who is on the run. The vehicle has been seized and will be sent for technical inspection,"" Singh told TOI. ",03 May 2019,2019-05-03 07:09:39
Exercise 'maximum restraint' while dealing with protesters: Cong's Mir after Shopian encounter,Exercise 'maximum restraint' while dealing with protesters: Cong's Mir after Shopian encounter,https://timesofindia.indiatimes.com/india/exercise-maximum-restraint-while-dealing-with-protesters-mir-after-shopian-encounter/articleshow/69162330.cms,en,"JAMMU: Expressing concern over the ""volatile situation"" in Jammu and Kashmir 's poll-bound Shopian district after an encounter between security forces and militants, Congress leader G A Mir on Friday asked law enforcing agencies to exercise ""maximum restraint"" while dealing with protesters. Three unidentified militants were Friday killed in the encounter, following which clashes broke out between protestors and law enforcing personnel near the site of the gunfight after some people hurled stones at the security forces engaged in the anti-militancy operation, according to officials. Two persons suffered minor pellet injuries in the security forces' action. ""We express anguish over the prevailing situation in Shopian district of south Kashmir in the backdrop of the gunfight at Adkhara village in the district. Security forces should exercise maximum restraint while dealing with protestors,"" said Mir, who is contesting elections as the Congress's candidate from the Anantnag Lok Sabha seat. Pulwama and Shopian districts are a part of the constituency which will see polling on May 6. In a statement, the Jammu and Kashmir Congress president also expressed serious concern over the ""extremely volatile situation"" prevailing in Shopian district. The atmosphere can be vitiated to a largest extent in case of civilian casualties and this can become a major setback to peace and tranquillity in south Kashmir, he said and asked security forces to exercise restraint. Efforts must be made to restore calm in the district rather than spraying pellets and bullets, Mir said. He appealed to the people, especially the youth, to maintain peace and not to confront security forces as that will create more problems in the district. ",03 May 2019,2019-05-03 13:14:30
Maduro hangs on as Venezuelan protests peter out,Maduro hangs on as Venezuelan protests peter out,https://timesofindia.indiatimes.com/world/rest-of-world/maduro-hangs-on-as-venezuelan-protests-peter-out/articleshow/69138235.cms,en,"CARACAS: Venezuelans heeded opposition leader Juan Guaido 's call to take to the streets on Wednesday in a bid to force President Nicolas Maduro from power, but there was little concrete sign of change in a crisis that increasingly looks like a political stalemate. Guaido had called for the ""largest march"" in Venezuela's history and said on Twitter that ""millions of Venezuelans"" were in the streets in ""this final phase"" of his move to oust Maduro. But by late afternoon, many of the protesters in the capital Caracas had drifted home. National Guards fired tear gas at a hardcore of demonstrators who remained, and one injured demonstrator was carried by others to a first aid truck, Reuters video showed. Local rights organizations said a young woman died in surgery after being shot in the head during a protest in Caracas . Guaido confirmed via Twitter that a woman died after being shot. The standoff in Venezuela increased tensions between the United States and Russia, who accused each other of interference in the OPEC-member nation's affairs. Despite Guaido's calls for the military to support him, the armed forces leadership has so far remained loyal to Maduro, who has been in power since his mentor, the late President Hugo Chavez, died in 2013. ""If the regime thought we had reached maximum pressure, they cannot even imagine,"" Guaido told thousands of cheering supporters. ""We have to remain in the streets."" It was unclear what more Guaido can do at this point. The Venezuelan opposition has often staged huge street protests against Maduro but failed to dislodge him despite a deep economic recession and hyperinflation. Demonstrators said they were prepared for the process of ousting Maduro to last a long time. ""We need to keep going,"" said Laila Amezquita, a 52-year-old nurse from Caracas' downtown Candelaria district. ""In three months Guaido's been able to do what they have not done in 20 years, and one has to be patient."" Others are frustrated that nothing has changed more than three months after Guaido, head of the opposition-run National Assembly, invoked the constitution to assume an interim presidency, arguing that Maduro's 2018 re-election was illegitimate. Guaido is recognized as Venezuela's legitimate head of state by the United States, the European Union and others, while Maduro is backed by countries including Russia, China, and Cuba. U.S.-RUSSIA FRICTION Those fault lines are increasingly putting Venezuela at the heart of global geopolitical tensions. U.S. President Donald Trump 's administration has imposed sanctions on the Maduro government and refused to rule out military intervention, although it says it prefers a peaceful transition. ""Military action is possible. If that's what's required, that's what the United States will do,"" U.S. Secretary of State Mike Pompeo told Fox Business Network. The Pentagon appeared to downplay any active preparations to directly intervene in Venezuela, but acknowledged detailed contingency planning. Russian Foreign Minister Sergei Lavrov told Pompeo on Wednesday that further ""aggressive steps"" in Venezuela would have grave consequences, Russia's Foreign Ministry said. In turn, the United States has accused Moscow of interfering in the South American country, an ally of Russia since the time of Chavez. Pompeo said Maduro had been expected to flee the country on Tuesday but Russia convinced him to stay, which the Kremlin has denied. White House national security adviser John Bolton, a foreign policy hawk, said Moscow's involvement was not welcome. ""This is our hemisphere,"" he told reporters outside the White House. ""It's not where the Russians ought to be interfering. This is a mistake on their part. It's not going to lead to an improvement of relations."" TEST FOR GUAIDO Maduro retains control of state institutions and the loyalty of the armed forces, frustrating Guaido's bid to assume the day-to-day functions of government, which he says would be a prelude to calling new elections. Seeking to appeal to Maduro's traditional base among the working class, Guaido said on Wednesday he would consider a proposal from public workers to call for a series of stoppages leading up to a general strike. Carlos Alberto, a 70-year-old small-business owner, draped in a Venezuelan flag at the Caracas protest, said: ""We are tired of this regime, that has brutally impoverished us. My children and almost all my family have already left Venezuela. ... We know that if it's not today, it will be tomorrow, because this has to end."" Venezuelan living standards have declined even further in the first several months of the year, with blackouts and water shortages adding to hyperinflation and chronic shortages of food and medicine that have prompted millions to emigrate. Triple the usual daily number of Venezuelans fled across the border to Brazil on Tuesday, Brazilian government data showed. Maduro, who says Guaido is a puppet of the United States seeking to orchestrate a coup, also called a march on Wednesday. In a speech to supporters gathered near the Miraflores presidential palace, Maduro said he recognized the need for ""big changes within the Bolivarian revolution."" He did not give details. Traveling to the pro-Maduro rally, educator Mercedes Martinez called Guaido a ""lapdog"" and said: ""The empire wants to smother us, cut off our head and colonize us. ... The people of Venezuela are defending Venezuela."" ",02 May 2019,2019-05-02 03:04:32
Chandigarh: Protest over felling of 700 trees for a flyover project,Chandigarh: Protest over felling of 700 trees for a flyover project,https://timesofindia.indiatimes.com/city/chandigarh/chandigarh-protest-over-felling-of-700-trees-for-a-flyover-project/articleshow/69134019.cms,en,"CHANDIGARH: A group of green activists protested in the city for felling of some 700 trees to bring about a flyover connecting Zirakpur to Tribune Chowk . UT Engineering department is handling the project which is being funded by National Highway Authority of India. TOI tried to contact chief engineer , Mukesh Anand , by calling and texting him message to take his version on the matter, but he did not respond. Gunjan Rastogi, member of organisation ‘Watch the Footprint’ said, “None of us is anti-development but we want a model of sustainable development where both development and our environment can co-exist with each other. The concerned department must see if they can make changes in the project to save the trees.” Ravinder Nath, who is involved with organisation Environment Society of India is disappointed with the lack luster attitude of the officials. “It is unfortunate that administration does not pay heed to the outcry of public protest for saving trees felling . We staged similar protests against felling of trees when a flyover project near KC theatre was conceived but it was enforced ultimately .” However there are hopes that authorities may not be able to push the matter under the carpet anymore. Rajnish Watts, former principal of Chandigarh College of Architecture and member of Chandigarh Heritage Committee and president of Chandigarh Tree Lovers told TOI, “It was a year ago , a team of UT Engineering department had discussed the project with the members of Chandigarh Heritage Committee where they had assured us minimum felling of trees without exactly divulging the numbers exactly. Since the matter is now before media talking about felling of large number of trees , we will soon hold a meeting with the department to get to know the reality from them.” Talking about the two species of old trees Arjan and Mango which have been earmarked fro felling, he said that Arjan trees existed either near airport and Tribune access point and in sector 27 only in the city while mango orchards have already been shrunk to build Industrial area where most of this buffer zone is already gone. On the issue of building flyover in the city, he said, flyover is not the full-proof answer to the problem of traffic increase as it resolves the problem at one point only. Madhu Sareen, prominent environmentalist took up the debate further saying, “Flyover create nuisance for the pedestrians and create mess on the road. This is the reason in European countries , they are doing away with flyovers. In city like London, where I lived for 10 years, they made public buses so comfortable and convenient and plying private cars so expensive that people used public transport. Therefore , instead of flyover which do not serve much purpose and involves lots of costing, we must rather invest in strong network of good public buses to meet the demand of a small city like Chandigarh.” ",01 May 2019,2019-05-01 15:38:08
