title,og_title,url,lang,content,publishedDate,dateObject
Delhi HC had dismissed 22-year-old appeals in November,Delhi HC had dismissed 22-year-old appeals in November,https://timesofindia.indiatimes.com/city/delhi/hc-had-dismissed-22-yr-old-appeals-in-nov/articleshow/69121359.cms,en,"NEW DELHI: Supreme Court’s acquittal of seven people in a case of rioting and looting came against a Delhi high court verdict that called for special courts to try communal riot cases. In November last year, HC had dismissed 22-year-old appeals of 70 out of 88 people convicted and awarded five-year jail term for rioting, looting and burning houses in Trilokpuri during the 1984 anti-Sikh riots . Justice R K Gauba had noted that the looting and arson cases indicate the way law and order machinery broke down during the 1984 riots and advocated reforms in criminal law to deal with such matters. “The case at hand, as observed elsewhere in this judgment, may be treated as a paradigm which ought not to be followed in cases of such nature. The law and order machinery had broken down. The police forces, and the civil administration, did not take timely or effective action to prevent the riotous conditions from spiralling out of hand,” HC observed in a strongly-worded judgment. It had noted how “these cases have continued to linger in the courts at the stage of trial or appeals or revisions till date”, which indicated that “the response of the law has been tardy, ineffective and highly unsatisfactory.” Of the remaining 19 people, 16 died during the pendency of their appeals against the trial court’s August 27, 1996 decision. The court found general criminal law “proven ill-equipped” to deal with the challenge of such crimes calling for reforms in the judicial process to effectively deal with the cases of communal riots, “which are engineered, more often than not, by those who have clout or influence — of various kinds.” HC underlined that after each event of communal riots, allegations of political influences having worked as the root cause or for protection of those responsible have surfaced. “Perhaps, there can be no two opinions about the fact that a sense of neutrality in the investigative and prosecution process has to be injected. And, towards this end, the possibility of entrusting such tasks to authorities other than normal agencies of the state needs to be explored,” the court suggested. The court also suggested amendments in key laws, adding that, “the law on the subject of communal riots cannot be a complete answer to the challenge unless it also establishes special courts with suitable amendments to the general criminal law procedure as indeed the rules of evidence.” ",01 May 2019,2019-05-01 02:17:27
"Supreme Court acquits 7 men convicted of arson, violence in 1984 anti-Sikh riots case","Supreme Court acquits 7 men convicted of arson, violence in 1984 anti-Sikh riots case",https://timesofindia.indiatimes.com/city/delhi/sc-acquits-7-men-convicted-of-arson-violence-in-1984-anti-sikh-riots-case/articleshow/69121353.cms,en,"NEW DELHI: Nearly 35 years after their alleged involvement in violence and arson during the 1984 anti-Sikh riots, the Supreme Court on Tuesday reversed concurrent judgments of the trial court and Delhi high court and acquitted seven persons who were sentenced to five years in jail. Appearing for the convicts, senior advocate R Basant and advocate V Raghunath told a bench of CJI Ranjan Gogoi and Justices Deepak Gupta and Sanjiv Khanna that they were picked up randomly by police for violating curfew imposed after the rioting and that there was no evidence to link them to rioting or arson. The trial court in 1996 had convicted 88 people on these charges and the Delhi HC had in November last year upheld their conviction and sentence while asking them to surrender and undergo rigorous imprisonment. The SC on Tuesday took up appeals of seven of the 88 convicts. Referring to the prosecution evidence, the CJI-led bench said it unhesitatingly took the view that the prosecution witnesses have neither identified the accused nor placed any evidence against them before the court. “It is a classic case of no evidence against the accused,” the bench said and ordered their acquittal from the case. Appearing for the prosecution, additional solicitor general Pinky Anand suggested that in a case involving many accused, the prosecution should be permitted to apply ‘mechanical test’ to produce evidence against key persons to rope in others who were accompanying them. But, the SC said it did not see how the mechanical test would help the prosecution when it was a case of ‘no evidence at all’. “The offence alleged against the accused is rioting. But without any evidence and their identification by the witnesses, they cannot be convicted,” it said. ",01 May 2019,2019-05-01 00:06:14
Delhi HC directs AAP govt to decide 1984 riots convict's plea for parole,Delhi HC directs AAP govt to decide 1984 riots convict's plea for parole,https://timesofindia.indiatimes.com/city/delhi/delhi-hc-directs-aap-govt-to-decide-1984-riots-convicts-plea-for-parole/articleshow/69101090.cms,en,"NEW DELHI: The Delhi high court on Monday directed the AAP government to decide the parole plea of Balwan Khokhar, who along with former Congress leader Sajjan Kumar was sentenced to life imprisonment in a 1984 anti-Sikh riots case. Justice AK Chawla asked the Delhi government to decide on Khokhar's plea within two weeks after the end of the ongoing Lok Sabha election. The direction came after the Delhi government told the court that due to enforcement of the model code of conduct during elections, prisoners cannot be released during the poll period. Khokhar has sought a parole to file a special leave petition in the Supreme Court challenging the Delhi high court order of December 17, 2018. The high court on December 17 last year had set aside the trial court's verdict, which acquitted Kumar in a case related to killing of five Sikhs in Raj Nagar Part-I area in Palam Colony in South West Delhi on November 1-2, 1984, and burning down of a gurdwara in Raj Nagar Part-II during that period. The riots had broken out after the assassination of then prime minister Indira Gandhi on October 31, 1984 by her two Sikh bodyguards. The high court, in its verdict, had also upheld the conviction and varying sentences awarded by the trial court to the other five -- Khokhar, retired naval officer Captain Bhagmal, Girdhari Lal and former MLAs Mahender Yadav and Kishan Khokhar. It had also convicted them for criminal conspiracy to burn down residences of Sikh families and a gurdwara in the area during the riots. The trial court in 2013 had awarded life term to Balwan Khokhar, Bhagmal and Lal, and a three-year jail term to Yadav and Kishan Khokhar. Following the high court verdict, life term of Balwan Khokhar, Bhagmal and Lal has been upheld and the sentence of Yadav and Kishan Khokar has been enhanced to 10 years in jail. The high court, in its judgement, had said that the riots were a ""crime against humanity"" perpetrated by those who enjoyed ""political patronage"" and aided by an ""indifferent"" law enforcement agency. ",29 Apr 2019,2019-04-29 15:16:57
Case registered against 25 Madurai prisoners for rioting,Case registered against 25 Madurai prisoners for rioting,https://timesofindia.indiatimes.com/city/madurai/case-registered-against-25-madurai-prisoners-for-rioting/articleshow/69033146.cms,en,"MADURAI: The city police have registered a case against 25 remand prisoners from Madurai Central Prison, who were involved in a stir inside the prison premises, putting forth various demands including better treatment by officials. The prisoners entered into a ruckus, when the officials conducted an intensive check for ganja . It is said that the prisoners were undressed to check their anus, where they usually hide small packets of ganja. Angered by this, a section of prisoners scaled up on an unused building and hurled stones at the security personnel and motorists on the New Jail Road, forcing the city police to suspend traffic for a couple of hours. A few of them even inflicted themselves with injuries to deter the police and prison authorities from approaching them. A judicial team led by secretary of district legal aid services authority T Panneerselvam held an inquiry with the prison authorities and inmates which lasted till late on Tuesday night. Meanwhile, the Karimedu police booked the inmates under sections of the Indian Penal Code and Prisons Act based on a complaint from head constable attached with the Karimedu police station P Balasubramanian. They were booked under the IPC sections 147- punishment for rioting, 148- rioting armed with deadly weapons and 341- punishment for wrongful restraint ",25 Apr 2019,2019-04-25 00:00:00
Amarinder Singh stays non-committal on calling ’1984 riots act of terror,Amarinder Singh stays non-committal on calling ’1984 riots act of terror,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/punjab/news/amarinder-singh-stays-non-committal-on-calling-1984-riots-act-of-terror/articleshow/69000856.cms,en,"JALANDHAR: Two days after Prime Minister Narendra Modi called November 1984 massacre of Sikhs as an act of terrorism and accused the Congress of making involved politicians MPs and ministers, Punjab chief minister Capt Amarinder Singh shied away from describing it an act of terrorism even as he strongly attacked BJP for picking up Sadhvi Pragya, a terror suspect, as candidate for Lok Sabha polls. “Absolutely not, how can you say that,” returned Amarinder when asked if he agreed with the analogy Modi used of comparing the massacre of Sikhs in November 1984 with terrorism. However, he quickly added, “Do you think I am a terrorist. In 1984, I was the one who resigned from both my seat of Parliament and party.” Asked about his reaction to the PM’s comment, “Modi can say anything, Modi says everything you can’t accept. These are signs of desperation.” The CM was speaking to mediapersons after addressing a rally in support of Congress candidate Chaudhary Santokh Singh following filing of nomination papers. On Modi’s accusation that the Congress gave tickets to suspects of November 1984 killings, Amarinder said, “I can’t comment whether something had happened to this extent that if anybody was involved, in that as far as I remember, nobody was taken in. But if somebody has been taken now I don’t know. I had left in those days. I only came back (to the Congress) in 1994 and in that period I didn’t see anybody.” In a recent interview, Modi had called 1984 massacre an act of terror and had said that those who were involved were made MPs and cabinet ministers in Rajiv Gandhi’s government. He had also pointed a finger at Madhya Pradesh chief minister Kamal Nath. Sandhvi Pragya has been fielded from MP capital Bhopal. Attacking BJP for picking up Sadhvi as candidate, Amarinder said, “These are the type of people they are picking and that is the tragedy for us. You are going to pick people against whom terrorism case is still going on. That (the case) is not over and how can you pick up a person like this. Where is the law of this country, where is the Constitution.” ",23 Apr 2019,2019-04-23 00:00:00
Congress's Manish Tewari approaches EC over anti-Sikh riots allegations against family,Congress's Manish Tewari approaches EC over anti-Sikh riots allegations against family,https://timesofindia.indiatimes.com/india/congresss-manish-tewari-approaches-ec-over-anti-sikh-riots-allegations-against-family/articleshow/69143199.cms,en,"CHANDIGARH: Senior Congress leader Manish Tewari lodged a complaint with the Election Commission, seeking action against those indulging in ""false and malicious"" propaganda against him and his family on social media. In a video clip that was attached with Tewari's tweet, it was alleged that his father, late professor VN Tewari, was involved in the 1984 anti-Sikh riots in Delhi and petrol was supplied from his filling station to ""burn Sikhs"". Describing the propaganda against him as ""gutter and despicable"", the former Union minister, who is contesting from Anandpur Sahib in Punjab, said his family never owned a petrol pump anywhere in the country and his father was assassinated by militants on April 3, 1984, six months before the riots. ""My mother was a Jat Sikh. My father was an academic at Panjab University, Chandigarh, and my mother retired as the Dean of the PGI. Our family has never owned a petrol pump ever in our lives anywhere in India. We have complained to the returning officer, Ropar SSP and the CEC. They need to act against the miscreants as soon as possible,"" he tweeted. ""Those who failed in trying to raise the outside bogey against me have now stopped too low to malign me and my family with outrageous lies,"" Tewari said on Thursday. The Congress leader is locked in a four-way contest against sitting MP and Shiromani Akali Dal leader Prem Singh Chandumajra, Aam Aadmi Party candidate Narinder Shergill and Punjab Democratic Alliance nominee Bir Devinder Singh. Voting in Punjab will take place in the last phase of the Lok Sabha election on May 19. ",02 May 2019,2019-05-02 08:59:29
Peda riots accused released on bail,Peda riots accused released on bail,https://timesofindia.indiatimes.com/city/meerut/peda-riots-accused-released-on-bail/articleshow/69103341.cms,en,"Bijnor: Aishwarya Chaudhary , husband of BJP MLA Suchi Chaudhary , was granted bail by a local court in connection with a case relating to instigating a mob that led to violence between two communities in Peda area in 2016. Three people were killed and 12 sustained injuries in varying degrees during the riots in September 2016. Former district president of Youth Bar Association Aishwarya Chaudhary was granted bail on April 24 and released on Monday. Scores of his supporters gathered outside the jail to welcome him. They put up a massive hoarding and took out a procession in the city to celebrate his release. He had been behind bars since October 2016. Soon after his release from jail, Aishwarya posted a message on his Facebook wall for his followers. He had not used the account since he was sent to jail. In his message, he said, “I will not go to my house till I meet all my well-wishers, serve the cow and take the blessing of saints.” Interestingly, hoardings put up on the roadside in city described his bail as “justice” to him. Verses from the Geeta were printed on the hoardings. Aishwarya termed his release as “victory of truth”. Peda village had witnessed large-scale clashes between the two communities on September 16, 2016. Aishwarya Chaudhary, president of BJP-affiliated Adhivakta Sangh, was accused of inciting mobs in Peda village of Bijnor , that led to the killing of four people and left at least 12 injured in September 2016. Earlier, his bail plea was repeatedly rejected by the Allahabad High Court. ",30 Apr 2019,2019-04-30 03:32:17
"Sadhvi Pragya hits out at MP CM Kamal Nath, links him to 1984 anti-Sikh riots","Sadhvi Pragya hits out at MP CM Kamal Nath, links him to 1984 anti-Sikh riots",https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/madhya-pradesh/news/sadhvi-pragya-hits-out-at-mp-cm-kamal-nath-links-him-to-1984-anti-sikh-riots/articleshow/68971644.cms,en,"BHOPAL: BJP Bhopal Lok Sabha candidate and Malegaon blast accused Pragya Singh Thakur on Saturday hit out at Madhya Pradesh chief minister Kamal Nath and alleged he was ""guilty"" in the 1984 anti-Sikh riots that followed the assassination of then Prime Minister Indira Gandhi . Nath, speaking to reporters in Chhindwara on Friday, had condemned Thakur's statement on former Maharashtra Anti-Terrorism Squad chief Hemant Karkare . ""I condemn Pragya Thakur's statement. If this her start, where its end will take them,"" Nath had said. Hitting back, Thakur said, ""A person guilty in the 1984 riots who is Madhya Pradesh chief minister now is asking what will be my end. Don't talk about my end. He (Nath) has no moral right to bother about a sadhvi. You stay put in your corrupt life."" Thakur, out on bail in the 2008 Malegaon blast case, is under fire for saying that Karkare died in the 26/11 terror attack because she had cursed him for `torturing' her when he probed the Malegaon blast as chief of the ATS. Earlier, in a television interview on Friday, Prime Minister Modi had defended the decision to field Thakur from the Bhopal Lok Sabha seat, saying she is a ""symbol"" for those who described Hindus as terrorists. ""The decision (to field Thakur) is a befitting reply to individuals who linked a whole religion and culture to terror,"" the prime minister had said taking a jibe at the Congress over saffron terror remarks. Thakur is pitted against senior Congress leader Digvijaya Singh from the Bhopal seat in Madhya Pradesh. ",20 Apr 2019,2019-04-20 00:00:00
Journalist shot dead during riots in Northern Ireland,Journalist shot dead during riots in Northern Ireland,https://timesofindia.indiatimes.com/world/europe/journalist-shot-dead-in-norther-ireland-in-terrorist-incident/articleshow/68955101.cms,en,"DERRY: A journalist was shot dead during riots in Northern Ireland in what police on Friday were treating as a terrorist incident following the latest upsurge in violence to shake the troubled region. ""Lyra McKee was murdered during orchestrated violence in Creggan last night,"" assistant chief constable Mark Hamilton said in a statement. McKee, 29, had earlier posted an image that appeared to be from the riots in the Creggan housing estate in the city of Londonderry, also known as Derry, accompanied by the words ""Derry tonight. Absolute madness."" Images of the unrest posted on social media showed a car and van ablaze and hooded individuals throwing petrol bombs and fireworks at police vehicles. ""A single gunman fired shots in a residential area of the city and as a result wounded Ms McKee,"" said Hamilton, adding that police believed the gunman was a ""violent dissident republican"". ""We are treating this as a terrorist incident and we have launched a murder enquiry,"" he added. McKee had written for The Atlantic magazine and Buzzfeed News and was named by Forbes Magazine in 2016 as one of their ""30 under 30"" outstanding figures in media, according to her literary agent Janklow & Nesbit. Leona O'Neill, a reporter with the Belfast Telegraph , said she saw McKee get hurt. ""I was standing beside this young woman when she fell beside a police Land Rover tonight in Creggan #Derry. I called an ambulance for her but police put her in the back of their vehicle and rushed her to hospital where she died. Just 29 years old. Sick to my stomach tonight,"" she tweeted. Thursday's unrest raised memories of past decades of violence in Northern Ireland. Ireland's Prime Minister Leo Varadkar warned that ""we cannot allow those who want to propagate violence, fear and hate to drag us back to the past"". His British counterpart Theresa May said the killing was ""shocking and truly senseless"". In Brussels, a European Commission spokesman condemned the ""terrible incident"". ""We condemn such violence, and we are confident that the UK authorities will ascertain the exact circumstances of this tragic event,"" he said. Visiting US house of representatives speaker Nancy Pelosi joined in a minute's silence for McKee, saying it was ""especially poignant"", being held on Good Friday. The violence came in the run-up to the Easter weekend, when Republicans opposed to the British presence in Northern Ireland mark the anniversary of a 1916 uprising against British rule. A car-bombing and the hijacking of two vans in Londonderry earlier this year were also blamed on a dissident paramilitary group. Michelle O'Neill, the deputy leader of Irish republican party Sinn Fein, condemned the killing. ""My heart goes out to the family of the young woman shot dead by so-called dissidents,"" she wrote on Twitter. ""This was an attack on the community, an attack on the peace process and an attack on the Good Friday Agreement,"" the peace deal that largely brought an end to violence on the island exactly 21 years ago, she added, calling for calm. Arlene Foster, leader of the Democratic Union Party, which is in favour of Britain's presence in Northern Ireland, described the death as ""heartbreaking news"". ""A senseless act. A family has been torn apart. Those who brought guns onto our streets in the 70s, 80s & 90s were wrong. It is equally wrong in 2019. No one wants to go back,"" she wrote on Twitter. The Good Friday Agreement in 1998 largely brought an end to three decades of sectarian bloodshed in Northern Ireland between republican and unionist paramilitaries, as well as British armed forces, in a period known as ""the Troubles"". Some 3,500 people were killed in the conflict — many at the hands of the Irish Republican Army (IRA). Police have blamed a group called the New IRA for the flare-up in violence in recent months. Some have expressed fears that recent attacks could be a sign that paramilitaries are seeking to exploit the current political turbulence over Northern Ireland and its border with the Republic of Ireland caused by Brexit. Londonderry was the scene of one of the darkest episodes in the Troubles in 1972, known as Bloody Sunday, when British troops opened fire on a civil rights demonstration and killed 13 people. A 14th victim later died of his wounds. A former British soldier was charged with murder last month over the killings. ",19 Apr 2019,2019-04-19 00:00:00
People refused to translate book on Gujarat riots: ex-DGP Sreekumar,People refused to translate book on Gujarat riots: ex-DGP Sreekumar,https://timesofindia.indiatimes.com/india/people-refused-to-translate-book-on-gujarat-riots-ex-dgp-sreekumar/articleshow/68946291.cms,en,"AHMEDABAD: Former IPS officer R B Sreekumar, who had strongly criticised the way the post-Godhra riots were handled by the then Narendra Modi-led government in Gujarat, said Thursday that he found it difficult to find a Gujarati translator for his book on the riots. Former chief minister Suresh Mehta Thursday launched a Gujarati translation of Sreekumar's book, ""Gujarat: Behind the Curtain,"" at a function at Veer Narmad Library here. The original English version had come out in January 2016. ""As many as fourteen translators declined to translate the book into Gujarati. One translator even said that working on it was like keeping a snake. Some returned the book two days after reading it, saying they cannot do this,"" Sreekumar said. ""I was keen to get it published in Gujarati because the content of the book concerned the people of Gujarat, but bringing it in Gujarati was most difficult,"" the former state Director General of Police said at the function. Finally, noted Dalit writer and poet Raman Vaghela agreed to render the book into Gujarati, said Sreekumar. Finding the publisher too was difficult, he said. Delhi-based Pharos Media has published the book, which has also been translated into Malayalam, Hindi and Urdu. The book talks about the 2002 Gujarat riots which were triggered by the death of 59 `kar-sevaks' in Godhra train burning incident, and the alleged subversion of criminal justice system that followed. Communal riots can not go on unless ""the authorities avoid implementation of the Standard Operating Procedure (SOP) to control and contain mass violence"", the book says. ""The Special Investigation Team (SIT) constituted by the Supreme Court had practically transformed into a team of defence lawyers for those behind the violence,"" he said at the launch. Sreekumar had filed an affidavit criticising the state government's role before the Nanavati Commission which probed the riots. ",18 Apr 2019,2019-04-18 00:00:00
