title,og_title,url,lang,content,publishedDate,dateObject
"Sitaram Yechury, Subramanian Swamy cross swords after Left leader says Hindu epics replete with violence","Sitaram Yechury, Subramanian Swamy cross swords after Left leader says Hindu epics replete with violence",https://timesofindia.indiatimes.com/india/sitaram-yechury-subramanian-swamy-cross-swords-after-left-leader-says-hindu-epics-replete-with-violence/articleshow/69169542.cms,en,"NEW DELHI: CPM general secretary Sitaram Yechury kicked up a storm on Friday with his editorial in party mouthpiece People’s Democracy where he said Ramayana and Mahabharata were “filled with instances of violence”, a reference he made in order to discredit PM Modi’s statement that “Hindus can never be violent.” “In his urge to retain his Prime Ministership, he erases Indian history replete with gruesome battles and wars. Strange for an RSS pracharak, who preaches that our epics of Ramayana and Mahabharata replete with conflicts and violent wars is the only source of our history,” Yechury said describing Modi’s remark as “amazing”. Yechury’s comments drew a sharp rebuttal from BJP leader Subramanian Swamy who said the CPM chief’s remarks were laughable because he represented a party that believed in “revolutionary violence” and was now espousing non-violence. Swamy also said Hindus don’t believe in violence, but cited instances from both Mahabharata and Ramayana to assert Hindus don’t step back from “retaliatory violence” when provoked. “We demand an apology from him by trying to defame the Hindu religion and spreading lies and hate against Hindu epics and scriptures that have promoted noble values like victory of good over the evil, universal brotherhood and non-violence,” BJP spokesperson G V L Narasimha Rao said in a statement. Calling Modi’s comments as “venomous communal polarisation”, Yechury said Ashoka, the king of the Mauryan empire embraced Buddhism after being remorseful for his bloody conquest of Kalinga. “It is only after denouncing Hinduism and adopting Buddhism that Ashoka found his reverence for life through tolerance, compassion and peaceful co-existence,” Yechury said. “In fact, his symbol Chakra today occupies a place of pride on our tri-colour National Flag. It was his four lion stupa that is India’s official symbol. The RSS/BJP behavior today is the complete opposite of what is inscribed on stupas,” he added. Swamy, however, dismissed Yechury’s allegations as ridiculous and said the opposition was floundering because BJP’s “Hindutva” was upsetting all their calculations and even took a dig at Sitaram Yechury’s first name. In the editorial, Yechury attacked RSS ideologue Vinayak Savarkar because he tried to “Hinduize the military and militarise the Hindus’ and targeted Pragya Thakur, BJP’s Bhopal nominee, for disrespecting martyred police officer Hemant Karkare and alleged that after the initial phases of elections, BJP has resorted to the “core Hindutva agenda” of abolition of Articles 35A and section 370, construction of Ram Mandir on the disputed site, Uniform Civil Code and National Register of Citizens. ",03 May 2019,2019-05-03 22:28:32
"Supreme Court acquits 7 men convicted of arson, violence in 1984 anti-Sikh riots case","Supreme Court acquits 7 men convicted of arson, violence in 1984 anti-Sikh riots case",https://timesofindia.indiatimes.com/city/delhi/sc-acquits-7-men-convicted-of-arson-violence-in-1984-anti-sikh-riots-case/articleshow/69121353.cms,en,"NEW DELHI: Nearly 35 years after their alleged involvement in violence and arson during the 1984 anti-Sikh riots, the Supreme Court on Tuesday reversed concurrent judgments of the trial court and Delhi high court and acquitted seven persons who were sentenced to five years in jail. Appearing for the convicts, senior advocate R Basant and advocate V Raghunath told a bench of CJI Ranjan Gogoi and Justices Deepak Gupta and Sanjiv Khanna that they were picked up randomly by police for violating curfew imposed after the rioting and that there was no evidence to link them to rioting or arson. The trial court in 1996 had convicted 88 people on these charges and the Delhi HC had in November last year upheld their conviction and sentence while asking them to surrender and undergo rigorous imprisonment. The SC on Tuesday took up appeals of seven of the 88 convicts. Referring to the prosecution evidence, the CJI-led bench said it unhesitatingly took the view that the prosecution witnesses have neither identified the accused nor placed any evidence against them before the court. “It is a classic case of no evidence against the accused,” the bench said and ordered their acquittal from the case. Appearing for the prosecution, additional solicitor general Pinky Anand suggested that in a case involving many accused, the prosecution should be permitted to apply ‘mechanical test’ to produce evidence against key persons to rope in others who were accompanying them. But, the SC said it did not see how the mechanical test would help the prosecution when it was a case of ‘no evidence at all’. “The offence alleged against the accused is rioting. But without any evidence and their identification by the witnesses, they cannot be convicted,” it said. ",01 May 2019,2019-05-01 00:06:14
"Large-scale violence in 4th phase poll in West Bengal, FIR against Union minister Babul Supriyo","Large-scale violence in 4th phase poll in West Bengal, FIR against Union minister Babul Supriyo",https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/west-bengal/news/large-scale-violence-in-4th-phase-poll-in-west-bengal-fir-against-union-minister-babul-supriyo/articleshow/69101735.cms,en,"KOLKATA: Incidents of bombing and clashes between TMC and BJP supporters were reported in the fourth phase of polling for eight Lok Sabha seats of West Bengal on Monday, with an estimated 76.44 per cent of over 1.34 crore voters casting their ballots, officials said. An FIR was lodged against Babul Supriyo , Union minister and BJP candidate for Asansol, following a directive by the Election Commission over entering a polling station at Barabani. The state's Chief Electoral Officer Ariz Aftab, however, claimed that barring ""sporadic incidents"", the polling was, by an large, ""peaceful"". ""Other than some sporadic incidents, elections today were by and large peaceful. Immediate necessary action was initiated at places from where we got complaints,"" Aftab told reporters. He said the polling percentage would go up as many voters were still standing in queue to exercise their franchise. State's Additional Director General of police (Law and order) Siddhi Nath Gupta said, six FIRs were lodged during the day over incidents of violence and 145 people arrested. Gupta said five people were injured in clashes between workers of rival political parties. All of them were undergoing treatment. Trinamool Congress and BJP workers and supporters, including women, were seen clashing using bamboo sticks. West Bengal chief minister Mamata Banerjee alleged central forces opened fire inside a polling booth in Birbhum. She claimed the BJP had ""misused"" the central forces to rig the elections. The EC show-caused the Birbhum BJP candidate Dudh Kumar Mondal after he was seen talking over a mobile phone inside a polling booth just before casting his vote. According to reports, Supriyo had an argument with polling officials inside a polling station in Asansol following which TMC workers attacked his vehicle parked outside. Though the rear windshield of his vehicle was smashed the singer-politician was unharmed. Supriyo said, ""I visited Barabani to witness the polling but found that voters were not being allowed to exercise their franchise. Our fight is to establish democracy ... It is shameful that I have to say this in a democratic country."" Asked to comment on the incident, TMC's Asansol candidate, actor-turned politician Moon Moon Sen, said she had no knowledge of the clashes as she woke up late. ""They provided me my bed tea very late so I woke up quite late. What can I say? I really don't know,"" Sen told a national TV news channel. She declined to comment when asked about the allegations made by Supriyo. ""I don't want to hear his name. Bas (that's it)"". An EC official said that voters fled a polling station at Jemua in Bardhhaman-Durgapur constituency, where BJP leader S S Ahluwalia is in the fray, after being threatened by miscreants. There were clashes between supporters of rival TMC and BJP at Nanoor, Rampurhat, Nalhati and Suri areas of Birbhum constituency in which several people were injured. In Dubrajpur area of the constituency, security personnel fired in the air to control a mob which allegedly scuffled with personnel of the central forces when they were barred from entering the booths with mobile phones. Following this, polling was stalled in these booths, the official said. A combative Banerjee, who is among the most strident critics of the BJP, accused it of using central forces for garnering votes. She said she had heard that CRPF personnel fired inside a polling booth at Dubrajpur. ""I am yet to the detailed report .... law and order is a state subject and it is not the job of the central forces to enter any polling booth as they are deployed to keep vigil outside it. They do not have the right to lathicharge or fire,"" the TMC supremo said. ""We know the law .... law and order is a state subject and not a central subject. I have heard that complaints were made (before the EC) that the central forces personnel have gone inside booths and asked people to vote for the BJP. This will not help the BJP,"" she told a rally at Bagda in North 24 Parganas district. Banerjee said that central forces, even if they have to conduct a route march, are required to do it along with the state police. ""But the BJP does not trust the Bengal police. The (West Bengal) police is on security duty during Durga Puja and Diwali. However, during elections you need policemen from Delhi"". The poll body had put TMC Birbhum president Anubrata Mondal, known for his controversial remarks, under scanner after poll workers complained that they feel ""threatened"" by his presence. At Hanskhali in Ranaghat constituency, a woman voter was critically injured in a bomb explosion outside a polling station during a clash between workers of rival parties, Nadia district election officer Sumit Gupta said. Accusing the TMC of rigging the polls in almost every booth, BJP's Krishnanagar candidate Kalyan Chaubey said voters in several areas were not allowed to cast their ballots. ""The TMC goons jammed booths at Chapra, Dompukur and Hatisala areas of Krishnagar constituency. The central forces guarded the booths but people beyond the mandatory 100-metre radius were warned against casting their votes. I was also threatened by some of them,"" he claimed. Rejecting the charges, TMC Krishnagar candidate Mahua Maitra said the accusations were baseless. ""They (the BJP) do not have a support base in the constituency so they could not appoint enough observers for the polling stations. Now, they are giving excuses. The allegations are baseless,"" she added. The constituencies that went to poll on Monday are- Baharampur, Krishnanagar, Ranaghat (SC), Burdwan East (SC), Burdwan-Durgapur, Asansol, Bolpur (SC) and Birbhum. ",29 Apr 2019,2019-04-29 16:34:12
Spreading the message of non-violence through toys,Spreading the message of non-violence through toys,https://timesofindia.indiatimes.com/city/coimbatore/spreading-the-message-of-non-violence-through-toys/articleshow/69110278.cms,en,"What do you do when your child asks for a toy? You buy it, right? Sudib Ahimsa does the opposite. He collects waste materials and creates a brand new toy. An advocate of sustainable living , 41-year-old Sudib has been teaching the concept of Ahimsa toys to children around the country for almost a decade. As part of his mission, he recently conducted his maiden workshop in Coimbatore. “It was great working with the children here and I got a good response. In fact, the mother of one of the participants, greeted me with a customary welcome gift of Tamil Nadu,” says the IIT alumnus. From being directionless in life at one point of time to a person who is making a huge difference in the lives of people, Subid has come a long way. “I did many odd jobs and worked at different places. But, it was my meeting with innovator and toy maker Arvind Gupta from Pune that changed my life forever. He creates toys out of waste material. I worked with him for a while and was quite inspired by him. My work is of a similar kind, albeit with my own touch. The concept of Ahimsa toys is to spread non-violence and love, and at the same time, sustainable living. Be it a straw, old calendar, books or even discarded object, all these are converted into a toy. Toys are a great medium to spread the message of waste management, self-reliance and sustainability.” Though Sudib conducts workshops in toy making, he says that children do not really need toys. “For children, even their parents are toys. They can play with anything and anyone. So, why bombard them with so many materials in the form of toys and create waste? Even if you make toys from trash, they will be happy. They also understand everything better. My workshops focus on children as I find them more knowledgeable than adults. For, instance, take their primary quality of innocence. They learn better because of their clear mind. Children do not know about caste, colour or other prejudices like us. We bring them down by teaching all that. There should be no boundaries or barriers for children to learn. At the same time, they are also great teachers. I have picked up many techniques from them.” Subid also employs a different method of teaching. “I allow children to learn themselves and in teams. Normal teaching kills the very ability to learn on your own, thus destroying self-confidence. We need to alter the education system for better learning and freedom.” Subid is a strong critic of industrialization and development. “Mainstream development teaches us to compete with others and kill, thus propagating violence. If you look at human history, there is a lot of violence. Right from a mosquito to a person in an enemy nation, we have killed them. Today, violence has become a normal thing. Is that the solution to a problem? Development also creates a lot of waste. For instance, when you buy a mosquito coil or a machine, you generate waste and add to the pollution. We have abused the environment and resources so much so that it’s high time we embraced a different kind of lifestyle. Mainstream development spreads hatred. On the other hand, I spread love and convert waste to wealth. I believe that the most wasted things on the planet are our brain and time. We need to put them to good use. Ahimsa toys is a step toward that.” ",30 Apr 2019,2019-04-30 07:52:30
"Perpetrators of Gadchiroli violence will not be spared, says PM Modi","Perpetrators of Gadchiroli violence will not be spared, says PM Modi",https://timesofindia.indiatimes.com/india/perpetrators-of-gadchiroli-violence-will-not-be-spared-says-pm-modi/articleshow/69128400.cms,en,"NEW DELHI: Prime Minister Narendra Modi on Wednesday strongly condemned the Naxal attack on security personnel in Maharashtra's Gadchiroli, saying perpetrators of such violence will not be spared. ""Strongly condemn the despicable attack on our security personnel in Gadchiroli, Maharashtra. I salute all the brave personnel. Their sacrifices will never be forgotten,"" he tweeted. Strongly condemn the despicable attack on our security personnel in Gadchiroli, Maharashtra. I salute all the brave… https://t.co/e6XzmCpynq &mdash; Chowkidar Narendra Modi (@narendramodi) 1556701343000 At least 16 people, including 15 security personnel, were killed in an IED blast triggered by Naxals in Gadchiroli district Wednesday, police said. Earlier in the day, the Naxals torched 25 vehicles belonging to a road construction contractor earlier in the day, they said. Those killed in the blast were members of the Quick Response Team (QRT) of Gadchiroli Police, which was on way to inspect the torched vehicles, an official said. ""My thoughts & solidarity are with the bereaved families. The perpetrators of such violence will not be spared,"" the prime minister said in his tweet. ",01 May 2019,2019-05-01 09:35:00
BJP urges EC to deploy central forces in all polling booths of West Bengal,BJP urges EC to deploy central forces in all polling booths of West Bengal,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/west-bengal/news/bjp-urges-ec-to-deploy-central-forces-in-all-polling-booths-of-west-bengal/articleshow/69095444.cms,en,"NEW DELHI: Amid reports of violence during fourth phase of polling in West Bengal , the BJP Monday approached the Election Commission complaining that TMC workers have ""hijacked democracy in the state"" and again demanded deployment of central forces in all polling booths there. A BJP delegation, which includes Union ministers Mukhtar Abbas Naqvi and Vijay Goel, and the party's media in-charge Anil Baluni, met the top officials of the poll panel here and submitted a memorandum in this regard. ""The ruling Trinamool Congress workers have hijacked democracy in the state and are indulging in violence. They are being supported by the local machinery and we demand deployment of central forces in all polling booths,"" Naqvi said. The BJP also expressed concern about ""no action"" been taken against Congress president Rahul Gandhi who has been making ""baseless allegations"" against BJP chief Amit Shah and Prime Minister Narendra Modi . Talking to reporters after meeting the poll panel officials, Naqvi accused Gandhi of continuously making false allegations and derogatory statements against Shah and Modi. He said the BJP has also demanded action against Madhya Pradesh government officials who are ""working as Congress agents"". The party also accused Delhi chief minister Arvind Kejriwal and AAP's Lok Sabha candidate Atishi Marlena of seeking votes by making provocative religious statements and demanded action against them. ",29 Apr 2019,2019-04-29 09:17:52
Two die as police clash with protesters at Vedanta’s Odisha plant,Two die as police clash with protesters at Vedanta’s Odisha plant,https://timesofindia.indiatimes.com/city/bhubaneswar/two-die-as-police-clash-with-protesters-at-vedantas-odisha-plant/articleshow/68470599.cms,en,"BHAWANIPATNA: At least two persons, including a jawan, died and many were injured in clashes between police and protesters outside Vedanta Ltd’s aluminium plant at Lanjigarh in Kalahandi district on Monday. The deceased were identified by police as Dani Batra, a protester, and Sujeet Kumar Minz, a jawan of Odisha Industrial Security Force (OISF). OISF is a state security force that is under police command. The incident comes less than a year after police opened fire on demonstrators protesting against the operation of another Vedanta plant, its copper smelter in Thoothukudi in Tamil Nadu, killing 13 people. A group of around 70 local people, who are likely to be displaced due to the commissioning of a proposed project by the company, were on a dharna outside the firm’s main gate in Lanjigarh, demanding contractual jobs and education for their children in a public school free of cost. The agitators alleged that the district police along with the OISF personnel used force and resorted to lathicharge to stifle their voice and threaten them to withdraw the protest. “We were on a peaceful dharna. But police forcibly tried to evict us from the spot. When we resisted, they resorted to lathicharge. This left one Dani Batra dead and several injured,” a protester from a nearby village, who refused to be named fearing police backlash, said. Maheswar Pati, another villager, said the violence broke out after some police personnel misbehaved with the agitators. Police, however, denied the allegations of high-handedness. “Our personnel used utmost restraint to control the mob. The mob went on the rampage, vandalized the company premises and attacked our staff. The protesters even set several articles on the company campus on fire. Many""We are deeply saddened by the news and we offer our condolences to the families of the deceased. We will work with full cooperation with the appropriate authorities who will be looking into the incident. We sincerely appeal to the protestors not to resort to such acts when every situation can be resolved amicably through discussions,"" a Vedanta statement said. of our personnel were injured in the mob attack. A CISF jawan died due to the mob attack,” Kesinga’s sub-divisional police officer, Gupteswar Bhoi, said. Ashok Kumar Roul, an inspector of OISF said, “The agitators pelted us with stones. They were extremely violent and refused to calm down despite several attempts by us.” Union minister Dharmendra Pradhan hit out at the state government and police over the industrial unrest. He tweeted, “The police supported the company’s goons and attacked poor protesters.” ""We are deeply saddened by the news and we offer our condolences to the families of the deceased. We will work with full cooperation with the appropriate authorities who will be looking into the incident. We sincerely appeal to the protestors not to resort to such acts when every situation can be resolved amicably through discussions,"" a Vedanta statement said. ",18 Mar 2019,2019-03-18 00:00:00
"Howrah court violence: HC directs DGP, home secy to file affidavits","Howrah court violence: HC directs DGP, home secy to file affidavits",https://timesofindia.indiatimes.com/city/kolkata/howrah-court-violence-hc-directs-dgp-home-secy-to-file-affidavits/articleshow/69099529.cms,en,"KOLKATA: The Calcutta high court on Monday directed the West Bengal DGP, home secretary, police commissioner of Howrah and other officials to file separate personal affidavits on violence at Howrah court premises last week which left several persons injured and led to ceasework by lawyers in the state. Hearing a suo motu writ petition on the violence, a division bench headed by Chief Justice TBN Radhakrishnan observed that unauthorised intrusion into court premises and the activities would stand to breach the Constitution and the laws. Lawyers at the Howrah district court and employees of the Howrah Municipal Corporation , which is located opposite to the court, clashed on April 24 over vehicle parking. The lawyers alleged police highhandedness in controlling the situation. Several persons, including lawyers, were injured in the incident. The bench said the executive agency of a state has the constitutional duty to provide infrastructure for courts and protect those institutions and premises dedicated for activities in connection with the courts. The bench, also comprising Justice Arijit Banerjee, said the courts are constitutional forts of power and authority from where judicial power is exercised on behalf of the sovereign. Apart from the DGP, the home secretary and the police commissioner, the bench also directed the commissioner of Howrah Municipal Corporation and station house officer of Howrah to file separate personal affidavits on the untoward incidents of April 24. The court directed that the affidavits be filed by May 1 when the matter would be taken up for hearing again. The bench also directed that the high court, on the administrative side, will carry out the exercises to ensure smooth judicial functioning of courts at Howrah. The Chief Justice also requested the lawyers, who are on ceasework, to attend courts. Condemning the alleged attack on lawyers, the Bar Council of West Bengal had on Thursday urged the bar associations of all courts in the state to observe ceasework from Friday to Monday. ",29 Apr 2019,2019-04-29 13:28:28
No Domestic Violence Act relief to wife if divorce already granted: HC,No Domestic Violence Act relief to wife if divorce already granted: HC,https://timesofindia.indiatimes.com/city/nagpur/no-dv-act-relief-to-wife-if-divorce-already-granted-hc/articleshow/69120613.cms,en,"NAGPUR: In an important verdict, the Nagpur Bench of the Bombay high court ruled that divorcee can’t seek maintenance from her ex-husband under the ‘Protection of Women From Domestic Violence (DV) Act, 2005’. The city-based woman was earlier granted divorce by the Nagpur family court on June 30, 2008. A year later, she moved Judicial Magistrate First Class (JMFC) by filing an application under Sections 12 and 18 of the DV Act, alleging violence by her former husband. After it was rejected on August 20, 2015, she moved to sessions’ court, which too, rejected her plea on August 8, 2017. Subsequently, she filed a revision in the HC for relief under DV Act. “In the present case, divorce was granted by the family Court in 2008 and application under DV Act was filed in 2009. At the time, the applicant was not the wife. There was no domestic relationship between them. Hence, orders passed by the JMFC and maintained by additional sessions’ judge, are perfectly legal and correct,” a single-judge bench comprising justice Murlidhar Giratkar held, adding that there is no perversity or illegality in both orders. The petitioner entered into a wedlock in July 1999 and had two children from the marriage. After differences cropped up between them, they separated for a while. Subsequently, the husband had filed for restitution of conjugal rights, but later on resolved their issues and started living together again on a trial basis. When they realize that they can’t live together, husband filed for separation which was granted by the family court. Petitioner’s counsel Amruta Ghonge contended that despite there is no subsisting domestic relation between husband and wife, the woman is still entitled to get relief under the DV Act. She relied on a few Supreme Court cases to press her arguments. Opposing her contentions, husband’s counsel RN Sen argued that since petitioner filed the case after the divorce was granted, there is no subsisting domestic relation between husband and wife. Hence, she can’t claim the same under the DV Act and her application is not maintainable. He supplemented his arguments with a couple of cases of the Supreme Court and other high courts which laid down that in the absence of a domestic relation at the time of filing petition, the proceedings under the DV Act will not be maintainable. While observing that there’s no merit in the petition, the judge held that if there is no persisting domestic relation and divorce is already granted before filing the petition under DV Act, then no relief can be availed by the ex-wife. (With inputs from Manan Daga) ",01 May 2019,2019-05-01 06:43:00
"Lok Sabha elections: 64% turnout in fourth phase; violence in West Bengal, Odisha","Lok Sabha elections: 64% turnout in fourth phase; violence in West Bengal, Odisha",https://timesofindia.indiatimes.com/elections/news/64-per-cent-voter-turnout-in-4th-phase-of-lok-sabha-polls-ec/articleshow/69100725.cms,en,"NEW DELHI: Incidents of violence in West Bengal and Odisha that left a Congress worker dead and EVM glitches were reported in the fourth phase of Lok Sabha polls on Monday which saw 64 per cent turnout in 72 seats across nine states. In the heartland states, where the BJP had won 30 out of 32 seats in 2014, 67.73 per cent turnout was recorded in Rajasthan (13 seats), 58.56 per cent in Uttar Pradesh (13 seats) and 67.09 per cent in Madhya Pradesh (6 seats), according to the Election Commission. West Bengal recorded a high turnout at 76.66 in the eight seats though clashes broke out between supporters of TMC and BJP in Nanoor, Rampurhat, Nalhati and Suri areas of Birbhum seat, leaving several people injured. In Barabani, BJP candidate from Asansol and Union minister Babul Supriyo's vehicle was vandalised allegedly by TMC workers outside a polling station while in Dubrajpur area central security forces personnel reportedly opened fire in the air to disperse irate people who attacked them when they were barred from entering the booths with mobile phones. An FIR was registered against Supriyo for allegedly getting into an argument with polling officials, an election official said. The ruling Trinamool Congress and the BJP accused each other of intimidating voters in the state, which has seen violence in all previous three phases despite stepped up central forces deployment. The stakes are high for the BJP which had won 56 of these 72 constituencies in the 2014 polls. About 12.79 crore people were eligible for voting in the fourth phase. With this round, polling has been completed in 374 seats out of 543. According to a senior police officer, violence was reported from several places in six parliamentary seats in Odisha, where the turnout was 64.05 per cent. A Congress worker was stabbed to death in Balikuda-Erasama are of Jagatsinghpur seat while he was returning from a polling booth. The victim, Lachman Behera, had recently quit the BJD to join the Congress, the official said. Clashes between supporters of the ruling BJD and the BJP were reported from Jajpur Kendrapara and Balasore Lok Sabha seats amid allegations poll rigging. Technical glitches in EVMs delayed polling in 60 booths, but it resumed after the snags were rectified. During a mock-poll in Madhya Pradesh, electronic voting machines (EVMs) were replaced at 207 polling booths as some glitches were found. EVMs were also replaced at 106 polling booths after the voting began, according to officials. Polling was peaceful in Rajasthan, with tribal dominated seat of Banswara recording the highest voting percentage at 72.34, followed by Barmer which recorded 72.21 per cent voting, according to state election officials. Nearly 55.86 per cent voting was recorded in Maharashtra (17 seats), 59.02 per cent Bihar (five seats) and 64.38 per cent Jharkhand (3 seats), according to data provided by the Election Commission. In Kulgam district of Anantnag constituency in Jammu and Kashmir, 10.5 per cent polling was recorded, amid isolated incidents of stone pelting. This was the second of the three-phase polling in the sensitive seat. Billionaires and Bollywood stars lined up outside polling stations along with the common folks in Mumbai, where polling was held in six constituencies. Celebrities including Amitabh Bachchan, the Khan troika of Shah Rukh, Salman and Aamir, Deepika Padukone, Sachin Tendulkar along with his wife and Shiv Sena chief Uddhav Thackeray cast their votes in Mumbai. Actors Priyanka Chopra, Rekha, Aamir and his wife Kiran Rao were among the early voters. In Uttar Pradesh, opposition Samajwadi Party's alleged that many EVMs malfunctioned and in Kannauj, from where SP chief Akhilesh Yadav's wife and sitting MP Dimple Yadav is contesting, several party workers were prevented from coming out of their homes to vote. In Kanpur, BJP workers allegedly tried to barge into a polling booth and clashed with the police. A case was registered against BJP leader Suresh Awasthi and six others in this regard, Kanpur District Magistrate Vijay Vishwas Pant said. Reports were received of EVMs malfunctioning in Bidhauna area in Kannauj following which polling remained suspended for over an hour. Complaints were also reported in Etawah under Auriaya district, with voters claiming they had to wait for hours at polling booths in Tilak Mahavidyalaya, Sahupur, Ajitmal and Dalelnagar to cast their votes. According to a report from Hardoi, an elderly woman voter complained that the presiding officer at Jamkara booth forcibly pressed the EVM button. The sector magistrate removed the officer and handed him over to the police. Besides Dimple Yadav, prominent candidates in the fray in this phase are former ministers Salman Khurshid (Farrukhabd) and Sriprakash Jaiswal (Kanpur) of Congress, UP minister Satyadev Pachauri (Kanpur) and Sakshi Maharaj of BJP (Unnao) In Bihar, voting was delayed due to EVM malfunctioning at three polling stations in Munger, two polling stations in Darbhanga and three polling stations in Begusarai, from where CPI's Kanhaiya Kumar and Union Minister Giriraj Singh (BJP) are contesting, official sources said. Voting was also held for 41 Assembly seats in Odisha and Chhindwara Assembly bypoll in Madhya Pradesh, where Chief Minister Kamal Nath is contesting. Election to 542 Lok Sabha seats is being conducted in seven phases between April 11 and May 19. Election in Vellore constituency in Tamil Nadu was cancelled. Results will be declared on May 23. Lok Sabha elections: Complete coverage ",29 Apr 2019,2019-04-29 17:07:15
