title,url,keywords,imageUrl,content
"Murmurs of protest in BJP as party weeds out veterans, ropes in young faces",https://timesofindia.indiatimes.com/elections/news/murmurs-of-protest-in-bjp-as-party-weeds-out-veterans-ropes-in-young-faces/articleshow/68589044.cms,"Shanta Kumar,Murli Manohar Joshi,lok sabha,Kariya Munda,Bijoya Chakravarty,Begusarai,B. C. Khanduri,Ananth Kumar","https://timesofindia.indiatimes.com/thumb/msid-68589047,imgsize-210606,width-400,resizemode-4/68589047.jpg","NEW DELHI: Ticket distribution blues hit BJP on Tuesday, as the party weeded out veterans and picked new and younger contestants for theLok Sabhapolls across states.While 85-year-old Kanpur MP and former party presidentMurli Manohar Joshihit out by issuing a statement soon after he was asked to sit out for the coming round of polls, protests erupted in Patna and Bengaluru against the party’s decision on the declared candidates.Joshi’s curt statement on Tuesday was addressed to voters of Kanpur, saying he has been asked not to contest polls. It said, “Dear voters of Kanpur, Shri Ramlal, General Secretary (Org), Bharatiya Janata Party conveyed to me today that I should not contest the ensuing parliamentary election from Kanpur and elsewhere.”BJP leaders said the party took a “principled decision” that veterans should make way for younger leaders. The party has also denied tickets to other veterans likeShanta Kumar, B C Khanduri, Karia Munda, Kalraj Mishra,Bijoya Chakravarty, who are over 80 years of age.Reacting to Joshi’s name being struck out, party MP Subramanian Swamy called it an “upsetting trend”. The MP, who has been increasingly out of sync with the BJP leadership, said the seniors were being told in the last minute that they are being dropped.In Bengaluru, the candidature of 28-year-old Tejasvi Surya as the Bangalore South contestant set off protests. The BJP state unit had suggested the name of late K Ananth Kumar’s wife Tejaswini Kumar. While Tejaswini said later in the day that she will support the party’s decision, there were protests by a faction of the party.Tejaswini was confident about fighting the poll and had been preparing for it and had started a door-to-door campaign. She said the party decision came as a shock to her and all of her supporters but maintained that it is very important to show that BJP is a party with a difference.In Patna, law minister Ravi Shankar Prasad was accosted by protestors raising slogans for BJP Rajya Sabha MP R K Sinha, who was a contender for the ticket. They showed black flags to Prasad at Patna airport. Party sources played down the episode, saying it was led by somebody who had been expelled from the party. They also claimed that Sinha has promised to work for the party’s victory.Tension in another constituency was defused when Union minister Giriraj Singh reluctantly agreed to the party’s decision to contest fromBegusaraiseat in Bihar. Singh, MP from Nawada Lok Sabha seat, told a news channel,“It is a question of my self-respect. I had wanted to contest from Begusarai in 2014 but was asked to do so from Nawada instead. I followed the party’s orders and emerged victorious.” He also shared the footage on his official twitter handle."
Mining dependents in Karnataka protest job losses,https://timesofindia.indiatimes.com/city/bengaluru/mining-dependents-in-karnataka-protest-job-losses/articleshow/68580224.cms,"Bengaluru news, Bengaluru latest news, Bengaluru news live, Bengaluru news today, Today news Bengaluru, Karnataka mining workers,Karnataka mining,Karnataka,Chitradurga,Bellary","https://timesofindia.indiatimes.com/thumb/msid-68580198,imgsize-855886,width-400,resizemode-4/68580198.jpg","BENGALURU: Around 6,000 mining dependents fromBellaryandChitradurgadistricts, as well as surrounding mining belts, protested in Bengaluru on Tuesday against the bad condition of the mining industry inKarnatakaand appealed to the government to save their livelihoods.The mining ban in the state has resulted in large-scale job losses, said members of Karnataka Gani Avalambithara Vedike (KGAV) who gathered at the Freedom Park here.""Their livelihood became highly uncertain even after the Supreme Court permitted mining operations to start, as production cap, e-auction and lots of other restrictions lowered the mining capacity that has led to stagnation in the iron ore industry,"" said KGAV spokesperson Rajakumar S.""Lakhs of lives are hanging in uncertainty due to the discriminatory policies prevalent only in theKarnataka miningsector. This will not be found anywhere else across the globe,"" he added.According to the association, the production and dispatch from the leases are never fixed and fluctuate according to the purchasing pattern of the steel industry.While buyers of iron ore are allowed to buy freely from outside Karnataka, sellers are not allowed to sell freely resulting in huge pile-up of inventory due to lack of sale, they added.Besides, there is also loss of contribution to the District Mineral Foundation (DMF) when ore from areas outside the state is bought by Karnataka buyers.In his appeal to the government, Rajakumar S said: ""We urge the government to ensure our survival by allowing free trade, giving preference to local iron ore over imports, and ensuring regular business for truckers and lakhs of other mining dependents.""After the protest rally, a delegation of 15 members met the authorities to hand over a memorandum of appeal."
Rajasthan: Poll officers protest low quality food at training,https://timesofindia.indiatimes.com/city/jaipur/poll-officers-protest-low-quality-food-at-training/articleshow/68569662.cms,"Jaipur news, Jaipur latest news, Jaipur news live, Jaipur news today, Today news Jaipur, Lok Sabha elections 2019,Lok Sabha elections,lok sabha,Food","https://timesofindia.indiatimes.com/thumb/msid-68572900,imgsize-264752,width-400,resizemode-4/68572900.jpg","JAIPUR: The polling officers, who were being trained for the upcomingLok Sabha electionsat the Officers' Training School (OTS), Poddar institute and Khaitan college complained about poor qualityfoodserved at the training centers on Monday. They protested and threatened to boycott the training session. The district election department taking cognizance of the incident has issued show-cause notice to the contractor (Vrindavan catering) and those responsible for checking the food items. Those found responsible for the negligence would be suspended, said district collector Jagroop Singh Yadav.He further said even the officials, who were responsible for shouting slogans and agitating and later absented themselves from training, would be identified and issued show-cause notice and stern disciplinary action would be taken against them for causing impediment in election work. He also termed it ""unbecoming behaviour"" of the government employees.Yadav told TOI: ""Contractors and the those reponsible for checking the food has been issued notice and those found responsible for the negligence would be suspended. We will deduct the contractor’s payment for the day for supplying sub-standard food. We have given strict directions to the contractor to ensure supplying of good quality food. If this is repeated, harshest punishment would be given to them. I was told that the 'cholas' which were soaked overnight and cooked in the morning may have started smelling.""""We have taken appropriate action against the contractor,"" he added. He also said the “cancellation of the contract of the supplier of food was not possible as there was a tendering process involved in the selection of the contractor, which couldn’t be done now”. The district supply officer is responsible for floating tenders.The polling officers complained about poor quality food giving out a foul smell, no arrangement for tea and water. They also demanded strict action against the supplier and the contractor responsible for preparing the food.""We have been served poor quality food infested with worms. The water is also contaminated as they give it directly from the tank. There is no arrangement for tea. There was nobody to listen to our grievances. This was the first day of training. We also demand that the contractor should be removed and be replaced,"" said Ganesh Ahuja, said another officer.""There was no arrangement for water. The food was smelling very bad. Now, there is no food avaialble for us. They are giving us water directly from the water tank,"" said Rakesh Singh, one of the poll officers who was being trained.The district election department officials appealed to them to continue the training process and assured them of good quality food in future apart from appropriate action against the supplier.Dhara Singh Meena, ADM South, who was present at the OTS, said: ""There will no complaints henceforth and the quality of the food will be improved. The payment of the contractors would be deducted for the day.""Later, the officials were served tea and snacks."
Supporters of Ranchi MP protest outside BJP office,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/jharkhand/news/supporters-of-ranchi-mp-protest-outside-bjp-office/articleshow/68569736.cms,"lok sabha election 2019 jharkhand,jharkhand polls 2019,jharkhand lok sabha schedule,jharkhand lok sabha polls 2019,jharkhand lok sabha election date,jharkhand lok sabha election 2019,jharkhand lok sabha election,jharkhand election results 2019,jharkhand","https://timesofindia.indiatimes.com/thumb/msid-68577570,imgsize-99576,width-400,resizemode-4/68577570.jpg","RANCHI: A day after BJP high command announced candidates for the 10 parliamentary seats inJharkhandbut withheld names for Ranchi, Chatra and Koderma constituencies, supporters of outgoing Ranchi MP Ram Tahal Choudhary staged protests outside the state BJP headquarters here, condemning the saffron party’s ‘attitude’ towards the veteran leader.Choudhary, too, claimed that the party will have to face collateral damages in the upcoming Lok Sabha polls in Jharkhand if his candidature is ignored. However, he wasn’t present during the protest outside the party office.On Saturday, BJP’s high command announced its candidates for 10 of the 13 Lok Sabha constituencies it is contesting in Jharkhand. While the party retained most of the sitting MPs, it replaced Karia Munda, an eight-time MP from Khunti, by much younger partyman and former chief minister Arjun Munda. Out of total 14 Lok Sabha seats, BJP has given Giridih constituency to its ally Ajsu-P.Party sources reasoned age factor behind benching of Karia and said that an attempt is being made to replace leaders who are beyond 75 years. At the same time BJP leaders here added that none is aware about the fate of Ram Tahal’s candidature as the ball is in central leadership’s court now. BJP is likely to announce candidates for remaining three seats on March 25.Ram Tahal Choudhary (77) won the Ranchi parliamentary seat five times since 1991. He refused to accept the age bar. “What has age got to do with elections? I have been active since the last 50 years. Even at this age, I move around within and outside my constituency and attend Parliament regularly,” Choudhary told TOI over phone.“Ranchi is my home bastion and I can assure victory for BJP if it gives me a ticket. I am still sure of getting the ticket. The delay in announcing my name as a nominee for the Ranchi seat is baffling to me as well as my supporters,” he added.Asked if he will still fight even if the party doesn’t give him ticket, he said, “That’s a hypothetical question. I haven’t thought about it. I will take appropriate decision after consulting with my supporters.”"
"MDMK Erode candidate loses cool, protest outside collector chamber",https://timesofindia.indiatimes.com/city/erode/mdmk-erode-candidate-loses-cool-protest-outside-collector-chamber/articleshow/68569774.cms,"Erode news, Erode latest news, Erode news live, Erode news today, Today news Erode, protest outside,protest,MDMK,Erode candidate,erode","https://timesofindia.indiatimes.com/thumb/msid-68577550,imgsize-158813,width-400,resizemode-4/68577550.jpg","ERODE: Marumalarchi Dravida Munnetra Kazhagam (MDMK)Erodeconstituency candidate A Ganesamurthy lost his cool on Monday when he came to the collectorate to file nomination papers and protested outside the collector chamber, saying officials were keeping him waiting and not inviting him to file papers. He, however, tendered an apology to the collector later.He said election officials had earlier asked him to file his papers between 1pm and 1.30 pm. “So, I reached the collectorate at 12.30pm.”When officials did not invite him to file papers until 1.30pm, Ganesamurthy sat in front of the collector chamber inprotestagainst election officials.Collector C Kathiravan then came outside and invited Ganesamurthy to file his papers, which the latter did. The collector later clarified that no one was given prior appointment. “Preference is given to first comers.”Talking to the media, Ganesamurthy said he filed nomination papers as Secular Progressive Alliance candidate. “I will contest on DMK’s ‘rising sun’ symbol.”When asked about his MDMK treasurer post, Ganesamurthy said, “As of now, I am just the candidate for Erode constituency.”"
"After arrest, auto protest blocks Anwar Shah Road",https://timesofindia.indiatimes.com/city/kolkata/after-arrest-auto-protest-blocks-anwar-shah-rd/articleshow/68569726.cms,"Kolkata news, Kolkata latest news, Kolkata news live, Kolkata news today, Today news Kolkata, Prince Anwar Shah Road,Bhowanipore,Auto protest,Auto driver","https://timesofindia.indiatimes.com/thumb/msid-68571951,imgsize-99576,width-400,resizemode-4/68571951.jpg","KOLKATA: Traffic movement came to a halt onPrince Anwar Shah Roadas auto drivers blocked a stretch during peak evening hours on Monday, protesting against the arrest of a driver on charges of molesting and harassing a woman a week ago. Commuters had a harrowing time as they got stuck for hours due to the protest.Police arrested accusedauto driverSheikh Akhtar (42), a resident of Deshpran Shashmal Road, on Monday. Akhtar had allegedly molested a woman when she protested refusal by the drivers outside South City Mall on March 18. This is the first arrest in the case.As soon as fellow auto drivers came to know about the arrest, they blocked the road in front of South City Mall. The blockade started around 6.30pm and continued for more than an hour. As vehicular movement went haywire, a large police contingent rushed to the spot. While one team engaged in a dialogue with the protesters, another started handling the traffic.Tollygunge-bound vehicles were diverted towards Golf Club Road while those heading towards Harza andBhowaniporewere diverted through Lake Garden flyover. Even as the auto drivers lifted the road blockade around 7.50pm, it took another hour for traffic movement to get normalised.A large police picket was posted at the crossing of Prince Anawar Shah Road and DPS Road."
Koganolli villagers threaten to boycott polls over demand for PHC,https://timesofindia.indiatimes.com/city/hubballi/koganolli-villagers-threaten-to-boycott-polls-over-demand-for-phc/articleshow/68568744.cms,"Hubballi news, Hubballi latest news, Hubballi news live, Hubballi news today, Today news Hubballi, Village,protest,PHC,panchyat,kagonalli,health,election,boycott",https://timesofindia.indiatimes.com//static.toiimg.com/photo/34824568.cms,"Belagavi: Koganolli villagers in Chikkodi taluk have threatened toboycottthe Lok Sabha elections and not allow political leaders in thevillageto campaign as their demand for a primaryhealthcentre (PHC) in village has net been met.The villagers have stated that they would boycott the polls unless elected representatives and officials do not give an assurance in writing that their demand would be met by April 5.More than 50 villagers had protested for over a month demanding the PHC in January. On February 13, they gave memorandums to the local MP, MLA, MLC, tahsildar, gram panchayat PDO and president. When they did not get a positive response, the villagers carried out a one-day hunger strike on March 6. Neither politicians nor officials took them seriously. So, the annoyed villagers have given the ultimatum of boycotting the elections.Koganolli is the last village of the district located on the Karnataka- Maharashtra border, attached to Pune-Bengaluru National Highway-4. Dattawadi and Hanabarawadi are the two other villages that come under Koganolli GP. The village has a population of around 20,000.Since there are no proper health services in and around the village, people here are forced to go to Nippani, 17km from village or Kagal or Kolhapur in Maharashtra. A PHC will also benefit the people of surrounding Sulagaon, Mattiwade, Hanabarawadi, Dattawadi, Hanchinal and Shankarwadi village.Krishnat Khot, one of the 50 villagers who have been protesting for over two months, told TOI that their movement has got the support of all villagers, adding that theprotestwill continue until justice is met.According to PDO Sadashiv Kamble, all 32 members of the gram panchayat have unanimously passed a resolution seeking a PHC in the gram panchayat."
"Drain constructed with ‘Ram’ bricks in UP, locals rise in protest",https://timesofindia.indiatimes.com/city/kanpur/ram-bricks-used-in-drain-construction-fir-lodged/articleshow/68569247.cms,"Kanpur news, Kanpur latest news, Kanpur news live, Kanpur news today, Today news Kanpur, Vishva Hindu Parishad,sanjay singh,ram bricks,Jhansi,hindu,bajrang dal","https://timesofindia.indiatimes.com/thumb/msid-68569246,imgsize-101350,width-400,resizemode-4/68569246.jpg","JHANSI: Residents in Jhansi’s Tilaniya Bazar on Monday held a protest after finding that ‘Ram’ was inscribed on bricks being used for constructing a drain in the locality. The protest was joined byHinduoutfits, who even lodged an FIR against the contractor handling the work.Reports said that on Sunday night, a few people found that ‘Ram’ was inscribed on the bricks being used in constructing the drain. Associating it with their religious sentiments, they objected to the construction.On Monday morning, the protest gained momentum after members of Vishwa Hindu Parishad (VHP) approached senior authorities of police and Nagar Nigam and demanded immediate stopping of the drain’s work.Realizing the seriousness of the matter, senior Nagar Nigam officials rushed to the spot and ordered removal of the objectionable bricks from the drain.“We along withBajrang Dalmembers met district magistrate Shiv Sahay Awasthi and lodged a protest in this matter. He assured us that all such bricks will be removed and action will be taken against the contractor. This incident has hurt Hindu sentiments and we will ensure that strict action is taken against those responsible,” said Anchal Arjariya, general secretary of VHP’sJhansiunit.Later, acting on a complaint moved by Arjariya, Kotwali police registered an FIR against ‘unknown contractor’ under Section 295 (injuring or defiling place of worship with intent to insult the religion of any class) of IPC.“We have lodged a case against ‘unknown contractor’ on a complaint moved by Anchal Arjariya, general secretary of VHP’s Jhansi unit. The matter is being investigated,” SO KotwaliSanjay Singhtold TOI on Monday.Jhansi Nagar Nigan executive engineer B J Gupta said, “It is gross negligence on the part of contractor and junior engineer concerned, and both have been issued warning. We took immediate corrective action and ordered removal of all such bricks from the drain.”"
"Sinquerim locals allege tree-felling, stage protest",https://timesofindia.indiatimes.com/city/goa/sinquerim-locals-allege-tree-felling-stage-protest/articleshow/68553691.cms,"Goa news, Goa latest news, Goa news live, Goa news today, Today news Goa, SINQUERIM,Saligao,Pilerne,candolim,calangute","https://timesofindia.indiatimes.com/thumb/msid-68555145,imgsize-158813,width-400,resizemode-4/68555145.jpg","SALIGAO/CALANGUTE: Agitated over inaction by authorities over illegalities, people from Sinquerim,CandolimandCalanguteassembled near theSinquerimjetty on Sunday to protest against the illegal cutting of around 74 trees on a hill in Sinquerim.The protesters were prevented by the police from entering a private property on the hill where they alleged trees have been felled to make way for construction activities.Villagers added that some time ago the owner had submitted a proposal to the Goa Coastal Management Authority for construction of a hotel. The authority directed the owner to approach any one of the seven agencies identified by the Union ministry of environment and forests for demarcating the CRZ area and high tide line. The owner was previously asked to replant 222 trees at the same spot. The owner instead planted saplings along the boundary of the property.Speaking to the gathering president ofPilerneCitiznes Forum Prakash Bandodkar urged the people to stand united and fight the cutting of trees. Calangute Constituency Citizens Forum president Premanand Divkar said many illegalities are taking place with the blessings of elected representatives. “Large areas of the thickly-forested hills are shown as settlement zones in the outline development plan which is completely illegal,” he said.Former Calangute MLA Agnelo Fernandes said, “This hill is the lifeline of Candolim and has been declared an aquifer hill. If this hill is destroyed, the water collected will stop flowing,” he said."
"Protesting JNU students try to storm VC's residence, stopped by security",https://timesofindia.indiatimes.com/india/protesting-jnu-students-try-to-storm-vcs-residence-stopped-by-security/articleshow/68568068.cms,"India, India news, India news today, Today news, Google news, Breaking news, Twitter,protest,JNU,Jagadish Kumar,hunger strike,Entrance Exams,Delhi Police","https://timesofindia.indiatimes.com/thumb/msid-68568104,imgsize-182091,width-400,resizemode-4/68568104.jpg","NEW DELHI: The ongoingprotestin Jawaharlal Nehru University on Monday took an ugly turn when the students tried to reach the Vice-ChancellorJagadish Kumar's house but were stopped by the security.While the VC was not at his residence, his wife, who was alone, was apparently confined to the house by the students.Questioning the way of protesting, Kumar took toTwitterto express his anguish over the incident and wrote, ""This evening few hundred students forcibly broke into myJNUresidence and confined my wife inside home for several hours while I was away in a meeting. Is it the way to protest? Terrorising a lonely lady at home?""This evening few hundred students forcibly broke into my JNU residence and confined my wife inside home for several… https://t.co/WGCGQubkUW— Mamidala Jagadesh Kumar (@mamidala90)1553529332000According to theDelhi police, ""There was a call for march till the JNU VC's house today. Students reached his house and tried to enter. They were stopped by the security staff. So far most of the students have gone back to their hostel. Few of them are still there.""The police, however, added that the situation is under control.Delhi Police: There was a call for march till the JNU VC's house today. Students reached his house and tried to ent… https://t.co/JyEeDtiifG— ANI (@ANI)1553530263000Seven students have been on ahunger strikesince last week in protest against the online system of entrance exam that will be implemented from this academic session. The other issues include the decision to delink the integrated MPhil-PhD program without any deliberation or discussion in the academic council meeting and the decision to do away with BA second year admission.According to sources, students from Left outfits went to the vice-chancellor's residence to demand an audience with him since he had not been meeting them. When they went to meet him last week, he offered them sweets rather than addressing their concerns.""On Monday evening, the students allegedly barged inside Kumar's residence while he was away and surrounded his wife. Police were called in and the wives of other university professors rescued her,"" a professor said.A student from a Left outfit rejected the allegation and said a group of students had gone to meet the VC, but they were allegedly manhandled by the security personnel.""We had gone to his residence to meet the VC. We were manhandled by security personnel and many students have sustained injuries, including JNUSU president N Sai Balaji,"" the student said.(With agency inputs)"
