title,url,keywords,imageUrl,content
"Day after ‘riot’ of colours, patients with skin problems flood hospitals",https://timesofindia.indiatimes.com/city/bhopal/day-after-riot-of-colours-patients-with-skin-problems-flood-hospitals/articleshow/68529827.cms,"Bhopal news, Bhopal latest news, Bhopal news live, Bhopal news today, Today news Bhopal, skin problems,riot,patients,hospital,Bhopal","https://timesofindia.indiatimes.com/thumb/msid-68531412,imgsize-234714,width-400,resizemode-4/68531412.jpg","BHOPAL: After a fun-filled Holi, many citizens are still reeling under its side-effects. Chemical-laden colours and gulaal have caused severe allergic reactions in the eyes and skin besides causing breathing difficulties among many people.Several city doctors told TOI that around 70%patients, who came to them on Thursday and Friday, showed reactions to colours and side-effects of bhang.Senior medical officer at J PHospital, Dr Saurabh Jain, said, “Around 900 people came to the OPD during the peak hours of Holi, from 12 pm to 8 pm, out of which more than 30% cases were related to allergies in eyes due to colour and respiratory disorders from inhaling gulaal and other sorts of colours. Many people also came with skin rashes and allergies due to chemical-based colours. Apart from this, around 40-50% cases were related to injuries and accidents caused to due to overconsumption of bhang and alcohol.”He added that about 600 out of 900 patients, who came in during the peak time, were Holi-related cases.Pulmonologist Dr P N Agrawal also said that many people suffering from respiratory problems had congestion in chest and trouble breathing while children suffering from asthma faced severe attacks due to cold water and inhaling powdered colour.“I felt that due to several campaigns related to a safe Holi, the number of Holi-related cases saw a decline as compared to last year, but even then, there were many people who had asthma attacks and had fever after playing Holi with cold water. People suffering from respiratory problems had chest congestion and trouble in breathing and wheezing,” Agrawal added.Dr Lokendra Dave also recounted similar cases and advised people to see the doctor immediately instead of trying home remedies before the infection worsens.“A number of patients try to treat the condition with home remedies, thinking that it is not something major and will go away in a day or two. This kind of lax attitude causes the infections to worsen. Many such cases will reach the hospitals and private doctors in a day or two,” said Dave.Agrawal also advised people suffering from respiratory troubles to drink warm water and go for stream inhalation for relief.Dermatologist Akhilesh Agrawal, who has attended to more than 10 patients since Thursday suffering from skin allergies and rashes caused due to colours, said: “There are no guidelines to make colours and many manufacturers use industrial dye and metals to manufacture colours that cause rashes, redness, irritation and itching on the skin. Besides, people use volatile substances like kerosene, petrol etc to remove the colour which further irritates the affected area. Friction with cloth while rubbing also increases dermatitis,” he said.“Applying petroleum jelly or coconut oil before exposing the skin to colours reduces the level of penetration and can prevent allergies.”“InBhopal, the percentage of people suffering from skin allergies caused due to Holi colours has reduced as people are now more aware and use non-allergic and herbal colours during the festival,” he added."
Kanpur 1984 riot: SIT records statements of witnesses,https://timesofindia.indiatimes.com/city/kanpur/kanpur-1984-riot-sit-records-statements-of-witnesses/articleshow/68556952.cms,"Kanpur news, Kanpur latest news, Kanpur news live, Kanpur news today, Today news Kanpur, sit records statements of witnesses,Sikh,kanpur 1984 riot,Indira Gandhi,1984 anti-Sikh riots","https://timesofindia.indiatimes.com/thumb/msid-68557030,imgsize-435721,width-400,resizemode-4/68557030.jpg","KANPUR: The Special Investigation Team (SIT) coordination committee has been successful in finally locating the 25-page booklet, 'Sikh Virodhi Dange - Kanpur Ki Report - Doshi Kaun?' compiled by a Sikh activist having vital details of the1984 anti-Sikh riotsin Kanpur after the assassination of then PMIndira Gandhi. The committee was also able to convince three eyewitnesses of the riots, who had migrated to other states in fear, to come and record their statements, reports Faiz Siddiqui.“The booklet ‘Sikh Virodhi Dange — Kanpur Ki Report — Doshi Kaun?’ was compiled by a Sikh activist in the aftermath of 1984 anti-Sikh riots. We have been looking for it all these years as it contains vital details of the Sikh families or individuals murdered or looted by mob in the riots after the assassination of Indira Gandhi. We found it in the possession of Jammu resident Kamaljeet Singh,” Kawaljeet Singh Manu, a member of SIT coordination committee, told TOI.“The booklet also contains the names of nearly 250 rioters and those leading and provoking the mob. We will go through each and every minute detail in the booklet and prepare a fresh report and thereafter produce it in court, besides sharing it with SIT,” he added.“We also managed to convince three other eyewitnesses, who used to live in the city, but later migrated to Jamshedpur (Bihar), Jammu and Punjab out of fear of being targeted. On our request, they all came to Kanpur to record their statements before SIT to make the case strong against the perpetrators of crime,” he said.Kamaljeet Singh, who brought the booklet with him, told TOI that it contains the names of his four brothers Chatrapal Singh (45), Avtar Singh (42), Kuljeet Singh (14), Ajeet Singh(14), and nephew Harsewa Singh (2), who were butchered to death by the angry mob.“Large crowds surrounded my house. I witnessed my innocent brothers and a nephew being butchered to death,” recalls Singh, who reached Kanpur on Sunday from Jammu and narrated his ordeal in a meeting at a gurdwara in Labour Colony.“Police did nothing to stop the killings, while many actively participated in the massacre,” he added.Kanpur was the worst-hit city after Delhi, recording 127 Sikhs deaths."
No riots in UP since BJP came to power: Yogi Adityanath,https://timesofindia.indiatimes.com/india/no-riots-in-up-since-bjp-came-to-power-yogi-adityanath/articleshow/68477143.cms,"India, India news, India news today, Today news, Google news, Breaking news, Yogi Adityanath,Uttar Pradesh,UP Sthaapnaa Diwas,riot,BJP","https://timesofindia.indiatimes.com/thumb/msid-68477119,imgsize-79245,width-400,resizemode-4/68477119.jpg","LUCKNOW:Uttar Pradeshchief ministerYogi Adityanathasserted on Tuesday his government has changed the image of Uttar Pradesh and the state's law and order has become a model for the country as not one incident of rioting happened under his watch.Presenting a report card on the completion of two years of his government, he said when he assumed office in March 2017, debt-ridden farmers were committing suicides and Uttar Pradesh had become ""synonymous with murder, loot and riots.""""Mafia was looting the state's resources under political patronage. Mafia was rampant in SP, BSP rule,"" he alleged. ""There was a long era of scams.""Adityanath said he has changed the ""perception about the state"" and improved its ""tarnished image"". The better atmosphere has become a ""nazeer"" (model) for the country, he said.Hitting out at previous state governments, he said, ""In 2012, there were 227 major communal riots. In 2013, there were 247 such riots. In 2014, there were 242 riots. And 219 riots in 2015 and more than 100 in 2016 - in which properties worth crores were lost.""""However during theeBJPgovernment, not a singleriottook place. Nor were there any incident of acid attacks or kidnapping,"" he claimed.Though there has been no major communal violence in Uttar Pradesh during the past two years, a mob of 400 people, including right-wing activists, had fought pitched battles with police in Bulandshahr district in December last year.The violence in Siana area of Bulandshahr happened apparently after right-wing activists were angered by the discovery of cow carcasses strewn in a nearby jungle.In January last year, a 22-year-old youth was shot dead during a ""Tiranga Yatra"" by some people after which a series of violent incidents and arsoning had taken place in Kasganj.Taking lesson from it, the state government that year denied permission for any such procession on Independence Day in the western Uttar Pradesh city.On Tuesday, at his press conference in Lucknow, Adityanath cited the reported exodus of Hindus in 2017 from Kairana, another city in western UP, ""due to anarchic forces"".""However"", he said, ""today peace has returned as well as the traders who had fled from there.""The exodus of Hindus from Kairana was a major poll issue for BJP in the 2017 assembly election in Uttar Pradesh.The chief minister said the confidence of the state police force has gone up and there is no interference from his government in their functioning.""There is zero tolerance for crime and criminals and 73 criminals have been killed in police encounters. Unfortunately, half-a-dozen police jawans also attained martyrdom in the encounters,"" he said.Adityanath also said that the UP Foundation Day was celebrated for first time after 68 years in 2018.His deputies Keshav Prasad Maurya and Dinesh Sharma and Uttar Pradesh BJP chief Mahendra Nath Pandey were also present at the press conference."
"Move over FB & Instagram, netizens read the Riot act",https://timesofindia.indiatimes.com/city/hyderabad/move-over-fb-instagram-netizens-read-the-riot-act/articleshow/68543102.cms,"Hyderabad news, Hyderabad latest news, Hyderabad news live, Hyderabad news today, Today news Hyderabad, Millennials,Instagram,facebook,democracy,Borland Reflex","https://timesofindia.indiatimes.com/thumb/msid-68543106,imgsize-563036,width-400,resizemode-4/68543106.jpg","HYDERABAD: At a time when political parties are taking baby steps towardsInstagramto engage with youngsters, many politically aware and tech-savvymillennialshave started moving away from the classic social media platforms.Thanks to the Cambridge Analytica controversy, they are embracing ‘user-owned’ platforms where they feel more safe and are less likely to be subtly manipulated by a political party or corporate. In most of these platforms — Diaspora, Riot, Riseup.net, Proton mail – users’ rights over their data are intact. In fact, some platforms allow users to edit source code and add a layer of protection to further secure their information.The youngsters are talking about Diaspora, Riot and Riseup at a time whenFacebookis under a fresh attack after it was revealed that the social networking giant knew about Cambridge Analytica using users’ data earlier than what it had claimed.Many of them revealed their preferences on the sidelines of the conference ‘Technology for Democracy’, organized on Saturday in Hyderabad by Swechha, a non-profit organization. They said they were here to raise their voice against what they called the “surveillance economy which is killing democracy”. More than 1,000 people, mostly under 30 years, participated in the event.Millenials of city see data as a resource that needs protectionNaveen C, a third-year engineering student of CMR College of Engineering & Technology says, “no one knows my interests or likes on these platforms and there is no way anyone can influence me by sharing only a particular type of information.”Naveen is critical of sites like Facebook. “It creates a bubble and keeps us in an illusion,” he says. “If I am sensitive towards farmers, I will only get information on schemes related to farmers from a political party and at the end, I will be voting for them even without realising that I was manipulated.”Users on these platforms say decentralization of data is an important factor which is bringing them towards these sites. “Unlike foreign-based companies, data is not placed in one location here. It is decentralised and gives me an option of what to share and who to share it with,” says Maithreie K, a student of Sridevi Women's Engineering College. “No Tom, Dick, and Harry can even create an account in sites like Riseup as it needs an invite from an existing user who is at least three months old on the platform.”Many of them say that the result of 2016 presidential election in the United States, where fake posts and ads on social media platforms were used to sharpen divides between people, and the Cambridge Analytica controversy was a wake-up call for them.“Privacy is the least concern for many classic social media sites. Having access to peoples’ caste, creed and religion, their likes and dislikes and playing on their sentiments can be adverse,” says Sahithi, a techie.These millennials and first-time voters term data as a natural resource and add that soon everyone will realise that it is the most important asset they have that needs protection."
2002 Best Bakery riots case: Trial begins against 2,https://timesofindia.indiatimes.com/city/mumbai/2002-best-bakery-riots-case-trial-begins-against-2/articleshow/68569852.cms,"Mumbai news, Mumbai latest news, Mumbai news live, Mumbai news today, Today news Mumbai, trial,Godhra carnage,Depose,Best Bakery riots,Accused,2002 best bakery riots case","https://timesofindia.indiatimes.com/thumb/msid-68571477,imgsize-721561,width-400,resizemode-4/68571477.jpg","MUMBAI: Thetrialagainst twoaccusedbeing tried separately in the 2002Best Bakery riotscase commenced Monday with two cops deposing as witnesses. The cops were assistant sub-inspectors in 2002 and had noted information received from the hospital in the station diary.On March 1, 2002, two days after theGodhra carnage, a mob had attacked Best Bakery in Vadodara, killing 14 people. Last month, the court had framed charges against Mafat Gohil and Harshad Solanki under several IPC sections, including murder, destruction of evidence and attempt to murder. Solanki was arrested by Rajasthan police in 2010 and Mafat from his home in Gujarat by the NIA in 2013."
"No scams, no riots in two years: Yogi  Adityanath",https://timesofindia.indiatimes.com/city/lucknow/no-scams-no-riots-in-two-years-yogi-adityanath/articleshow/68491082.cms,"Lucknow news, Lucknow latest news, Lucknow news live, Lucknow news today, Today news Lucknow, Yogi Adityanath,Lok Sabha polls,lok sabha,loan waiver,Kairana","https://timesofindia.indiatimes.com/thumb/msid-68491124,imgsize-25592,width-400,resizemode-4/68491124.jpg","LUCKNOW: Chief ministerYogi Adityanathpresented a report card on the completion of two years of his government on Tuesday and said not a single riot took place in the state after BJP came to power.""My government has changed the perception about UP in two years,"" said Yogi while claiming that the law and order in UP has become a model for the country.Speaking to reporters, Yogi said, ""When I assumed office in March 2017, debt-ridden farmers were committing suicides and UP had become synonymous with murder, loot and riots. Mafia was looting state's resources under political patronage. There was an era of scams. Our government has changed the perception about the state and improved its image. The better atmosphere has become a ' nazeer' (model) for the country."" ""People were forced to leave their home and migrate from places likeKairanabecause of communal tension during SP regime,"" he said, while recounting a number of communal incidents in the state under previous government.Yogi said that schemes like Kisan Samman Nidhi Yojana - which is expected to benefit more than 1 crore farmers of UP - and farmloan waiverschemes benefited the debt-ridden farmers who were ignored by SP, BSP and Congress regimes. He also held previous governments responsible for the piling up of cane arrears over the years. The CM said the government rose above caste and religious lines to reach out to all people through various schemes which would eventually help BJP in getting a clear mandate inLok Sabhaelections."
Anti-Sikh riots like genocide of Jews by Nazis: CBI tells Supreme Court,https://timesofindia.indiatimes.com/city/amritsar/anti-sikh-riots-like-genocide-of-jews-by-nazis-cbi-tells-sc/articleshow/68472257.cms,"Amritsar news, Amritsar latest news, Amritsar news live, Amritsar news today, Today news Amritsar, Supreme Court,Sajjan Kumar,CBI,anti-sikh riots,amritsar","https://timesofindia.indiatimes.com/thumb/msid-68477409,imgsize-384285,width-400,resizemode-4/68477409.jpg","AMRITSAR: TheCBIhas equated the killings of Sikhs in 1984 riots with the genocide of Jews by Nazis, senior advocate H S Phoolka said in a release issued here on Monday.The CBI submited its reply in response to the bail application filed bySajjan Kumarin theSupreme Court. Kumar was awarded life imprisonment by the Delhi high court on December 17, 2018 and is now in jail.Phoolka also released Para 3 of the CBI’s reply, which reads: “The present appeal arises in reference to a ghastly incident that occurred on the morning of 31st October 1984 in Delhi, subsequent to which thousands of Sikhs were brutally murdered and their houses vandalised. The killings had taken place in pursuance to the provocative speeches made by the applicant/convict against the Sikh community. The killing of five innocent Sikhs in this case was not a revengeful act but had taken place due to the hatred disseminated, spread by the applicant, convict against the Sikhs. The brutal murder of innocent Sikhs during the 1984 riots falls under the category of crimes against the humanity on parity with well known genocides worldwide like large scale killing of Armenians by Kurds and Turks, mass extermination of Jews by Nazis, mass killing of Bangladeshi citizens by the sympathizers of Pakistani army and mass killing during various ethnic riots within India also. In this case, the minority community was targeted by the spearheaded attacks of the dominant political actors like the applicant/convict and duly facilitated by the law enforcement agencies. As such, this case has to be viewed in the larger context of mass crimes and requires a different approach than a case of normal murder/ rioting.”Phoolka informed that the bail application of Kumar was now listed before SC for March 25."
Riot of neon colour set Hyderabad aglow,https://timesofindia.indiatimes.com/entertainment/events/hyderabad/riot-of-neon-colour-set-hyderabad-aglow/articleshow/68500253.cms,"Radio Mirchi,neon run,Madhapur,Inorbit Mall,DJ Aqeel,Bollywood",https://timesofindia.indiatimes.comNone,"The streets in and aroundInorbit Mall,Madhapurgot drenched in vivid shades of neon asRadio Mirchiorganised its second edition of ‘Mirch Neon Run’ in the city recently.Staying true to its custom of bringing happening events to the city, the run was a unique event that brought together partying and fitness for Hyderabadis. Based on the international neon-theme based runs, the event saw a host of participants run in the evening sporting various neon-coloured accessories — t-shirts, body paints/powder, wristbands, glow sticks and so on.The event began in the afternoon with participants collecting theirneon runmerchandise from the various stalls for an electrifying warm up zumba session. The 3k run was flagged off by badminton players Meghana Jakkampudi and RahulYadav from the Hyderabad franchise of a popular badminton league.RenownedBollywoodDJ,DJ Aqeelset participants grooving in the post-run party with his up-tempo set. The attendees were also greeted by their favourite RJs Shezzi, Shadab, Swathi and Vijju, who posed for selfies with their fans and made it a memorable night for Hyderabad."
"Riot of colours on city streets as Patnaites say, ‘Holi hai’",https://timesofindia.indiatimes.com/entertainment/events/patna/riot-of-colours-on-city-streets-as-patnaites-say-holi-hai/articleshow/68548424.cms,"Radha,Pakhi Hegde,Maurya Lok,krishna,Gulaal,Bihar",https://timesofindia.indiatimes.comNone,"Like every year, this year too Patnaites celebrated Holi with colours of joy and spirit of brotherhood. People of all age groups came together to play with colours, dance, sing and distribute sweets. Observed for centuries, Holi also holds mythological significance. It is also associated with the eternal love of Lord Krishna and Radha. 
Kids on the streets were seen playing Holi with colourful pichkaaris, splashing colours on each other and saying, ‘Bura na mano Holi hai!’ PT also captured a group of young boys — drenched in colours — riding on their bikes and enjoying themselves on the streets of Patna. For women, it was time to take a break from household activities and chill with friends and family.Pakhi Hegde, an actress, said, “Holi is my favourite festival and I love playing with colours. I had taken an off from work. After a long time, I got to enjoy with my family and friends. Also, since I am a big foodie, I had a lot of Holi special items.”Sharing similar views, Yogita Sinha, an engineer, said, “For me, this festival is all about being with my friends and family. I invited my near and dear ones to play colours at a nearby park. We had a lot of fun playing with colours and gorging on malpua.”The celebrations continued till late evening. While some went out on long drives, others were busy with family get-togethers. People were seen relishing street food atMaurya LokComplex. A few elderly men and women could be seen at Radhe-Krishna temple singing bhajans in praise of Krishna. Satish Kumar, a government employee, said, “I visit ISCKON temple every year on Holi. We sing traditional Holi folk songs dedicated to Radhe-Krishna. Besides, we also play with abir on the temple premises.”"
It was a riot of colours on city streets as Hyderabad cheered ‘Holi hai!’,https://timesofindia.indiatimes.com/entertainment/events/hyderabad/it-was-a-riot-of-colours-on-city-streets-as-hyderabad-cheered-holi-hai/articleshow/68511239.cms,"Holi,Flower,ECO FRIENDLY,chemicals and",https://timesofindia.indiatimes.comNone,"Hyderabad revelled inHolifestivities and cheers of ‘Holi hain’ reverberated from various parts of the city on Thursday.The festival of colours brought with it cheers and celebration with revellers crowding various parts of the city splashing colours and dancing away to celebratory beats of dhols and popular songs dedicated to the festival.This year however, majority of Hyderabadis chose organic colours prepared from flower petals overchemicals andshied away from using water in a bid to do their bit for waterconservation.Various musical events and house parties too were organised to mark the festival around the city to welcome spring.Citizens from all walks of life took part in the festivities and visited the houses of relatives and friends to wish them ‘happy Holi’ and exchanged sweets.Colourful rangolis could be seen drawn at the entrance of many houses.City police personnel kept a strict vigil at various important junctions around the city to prevent any untoward incident from taking place."
