title,url,keywords,imageUrl,content
Railway official files domestic violence case,https://timesofindia.indiatimes.com/city/ahmedabad/railway-official-files-dv-case/articleshow/68553795.cms,"Ahmedabad news, Ahmedabad latest news, Ahmedabad news live, Ahmedabad news today, Today news Ahmedabad, rajasthan,railway employee,indian railways,Ghaziabad Junction railway station,ajmer","https://timesofindia.indiatimes.com/thumb/msid-68556789,imgsize-143635,width-400,resizemode-4/68556789.jpg","AHMEDABAD: A 26-year-old woman from Gota area of the city, who works as junior engineer inIndian Railways, on Saturday filed a complaint of domestic violence (DV) with Sola High Court Police against her husband and in-laws for constant torturing her since after she got married with her boyfriend in March 2018.The complainant, who currently works in Bhavnagar as junior engineer, married a boy whom she loved since her college days, in a Ghaziabad court on March 27, 2018. After their marriage, the couple shifted toAjmerinRajasthanwhere the woman was working last year.Around a week after their marriage, her husband, who was unemployed, began asking for money from her to fulfil his daily requirements. The man had allegedly taken her debit and credit cards and started spending money on his lavish lifestyle, alleged the complaint, adding that he used to beat her if she ever resisted his spending.As the woman had married against her family’s will, she continued to tolerate tortures of her husband. Moreover, her in-laws also began harassing her for demanding money from her father’s place. Aggrieved with harassment, the complainant returned to her father’s place in August 2018 and also filed an application with Sola High Court police but she later had to strike compromise in the case with her husband as he convinced her that he would take divorce from her and would not harass her.But later, he once again started calling and threatening her due to which she filed the FIR with police."
"Haryana: Man killed, nearly 15 injured in clash between 2 groups in Kaithal",https://timesofindia.indiatimes.com/city/gurgaon/haryana-man-killed-nearly-15-injured-in-clash-between-2-groups-in-kaithal/articleshow/68528742.cms,"Gurgaon news, Gurgaon latest news, Gurgaon news live, Gurgaon news today, Today news Gurgaon, Kaithal violence update,Kaithal violence,Kaithal group clash,kaithal,Haryana","https://timesofindia.indiatimes.com/thumb/msid-68529109,imgsize-119245,width-400,resizemode-4/68529109.jpg","KAITHAL: A man was killed while 15 others sustained injuries in a clash between two groups following a dispute related to two shrines belonging to two different communities on Friday.The deceased has been identified as Shamsher Singh (50) of Badsui village.“Two shrines are built on a common land belonging to the village. The clash happened due to a property dispute following which a person of the village has been killed,” Badusi sarpanch Jasbir Kaur said.“As per the preliminary investigation, the two shrines belonging to two separate communities are built on a common land. Recently, some MP-LAD funds were to be utilised for some development. On Thursday, one of the communities erected a wall between the two shrines. On Friday morning, when the other community protested against it, a confrontation ensued. It has happened due to some local electoral politics in the village causing such a clash,”Kaithalsuperintendent of police Waseem Akram told TOI.“On the complaint of a villager, we have registered a case against the main accused identified as Om Prakash and others under Section 148 (Rioting, armed with deadly weapon), 149 (Every member of unlawful assembly guilty of offence committed in prosecution of common object), 323 (Punishment for voluntarily causing hurt), 324 (Voluntarily causing hurt by dangerous weapons or means), and 302 (punishment for murder) of the Indian Penal Code (IPC). Om Prakash and nearly 16 others have been rounded up and action as per law would be taken against the culprits,” the SP said."
RSS snubs RMPI’s bid to focus on CPM violence,https://timesofindia.indiatimes.com/city/kozhikode/rss-snubs-rmpis-bid-to-focus-on-cpm-violence/articleshow/68507624.cms,"Kozhikode news, Kozhikode latest news, Kozhikode news live, Kozhikode news today, Today news Kozhikode, sabarimala,Rashtriya Swayamsevak Sangh,Marxist party,kannur","https://timesofindia.indiatimes.com/thumb/msid-68507619,imgsize-332074,width-400,resizemode-4/68507619.jpg","KOZHIKODE: The RSS has hinted it may not cooperate with the RevolutionaryMarxist Partyof India (RMPI) to hold a meeting of the families of victims of political violence in Vadakara as part of its campaign against CPM’s ‘murder politics’.Local RSS leaders indicated they are not keen to associate with a programme intended to give mileage to UDF candidate K Muraleedharan in his fight against CPM candidate P Jayarajan.The RMPI’s plan is to hold a conference of the families of the Congress worker Ariyil Shukkur and RSS leader Kathiroor Manoj along with other victims of the CPM violence. Jayarajan is an accused in the murder of Shukkur and Manoj. RMPI state secretary N Venu had told media persons that the party is thinking of a meeting of the victims of CPM violence.“We are against the kind of politics pursued by Jayarajan and would like to associate with any campaign against him. But this is not the time for such programmes. We do not wish to be part of a programme to promote Muraleedharan,” an RSS leader inKannursaid.“There are more crucial issues such as the return of the Modi government and the developments after the Sabarimala. Muraleedharan had taken a tough stand against Valsan Thillenkari and K Surendran who were in the forefront of theSabarimalaagitations,” he said.It is learnt that there is also a confusion in the RMPI also in joining hands with the BJP and the RSS. Many believe it will give credence to the CPM’s allegation that there is a secret understanding with the RMPI and the BJP in Vadakara.CPM district secretary P Mohanan said holding of the programme may not be entirely the idea of the RMPI. “The party could be organising the programme at the instance of the UDF,” he said.Mohanan said as many as 93 CPM workers have been murdered by the RSS, the Congress and the IUML in the areas coming under the Vadakara constituency. Jayarajan himself is the victim of the political violence but he is being branded as a murderer, he said."
110 herders killed in apparent ethnic attack in Mali,https://timesofindia.indiatimes.com/world/rest-of-world/60-herders-killed-in-apparent-ethnic-attack-in-mali/articleshow/68540465.cms,"Mali Violence,mali fulani,Mali attack,Mali,Fulani","https://timesofindia.indiatimes.com/thumb/msid-68540473,imgsize-61788,width-400,resizemode-4/68540473.jpg","BAMAKO (MALI): Gunmen killed about 110Fulaniherders in centralMalion Saturday, a local mayor said, in one of the deadliest such attacks in a region reeling from worsening ethnic and jihadist violence.The assault on the village of Ogossagou came as a UN Security Council mission visited Mali to try to find solutions to violence that killed hundreds of civilians last year and is spreading across West Africa's Sahel region.Moulaye Guindo, mayor of the nearby town of Bankass, said the armed men, who were dressed as traditional Donzo hunters, encircled and attacked Ogossagou at about 4 am (0400 GMT).""It's a very heavy death toll,"" he told Reuters. ""The village of Ogossagou is completely devastated.""One village resident, who asked not to be identified, said the attack appeared to be in retaliation for an al Qaeda affiliate's claim of responsibility on Friday for a raid last week that killed 23 soldiers.The group said the raid was payback for violence by Mali's army and militiamen against the Fulani.Jihadist groups linked to al Qaeda and Islamic State have exploited ethnic rivalries in Mali and its neighbours Burkina Faso and Niger to boost recruitment and render vast swaths of territory virtually ungovernable."
Prime time is no crime time,https://timesofindia.indiatimes.com/city/chennai/prime-time-is-no-crime-time/articleshow/68514928.cms,"Chennai news, Chennai latest news, Chennai news live, Chennai news today, Today news Chennai, Violence,madras high court,films,Crime,copurt","https://timesofindia.indiatimes.com/thumb/msid-68519641,imgsize-552652,width-400,resizemode-4/68519641.jpg","CHENNAI: TheMadras high courtrecently asked the states and the Centre to find out if television serials andfilmswith extramarital relationships or murder in their plot lines are responsible for the rising crime rates.In the absence of any data linking murders and adultery to movies and serials, experts feel singling out the entertainment sector and holding it responsible for such acts is unfair. Though films are a powerful medium of communication and filmmakers share the onus of portraying violence and social evils responsibly, making the entertainment sector a scapegoat, ignores the root cause for criminal activity, they feel.Former judge of the Madras high court K Chandru says linking crimes to celluloid is a naive approach. ""If a person is caught copying in exams, we say ‘Munna Bhai’ method and if it’s a runaway marriage, ‘Alaipayuthey’ style but these are verbal statements to make sense of a situation, it does not mean these movies are directly responsible. ""Ever since the IPC was created in 1860, various pieces of legislation have been passed to control crime, but it never could put an end to it. A person after watching a movie may get carried away and if he implements the same in real life, it goes to show his character. A bench with suo motu files can’t pass orders that are not relevant to today’s times.""Actor and politician Khushbu feels such observations are a simplistic way of looking at things. She argues that if violent serials and movies can motivate some people to commit immoral or criminal acts, then there’s also a huge section that is inspired by the good deeds shown on screen. For instance ‘Munna Bhai’s ‘jadu ki jhappi’ (magic of a hug) is more remembered than the fraud dealings of the character.""Recently there was an incident of a man stabbing his wife inside the court premises, now which cinema or serial can be blamed for such a heinous act. If it can happen in a protected environment like within the court premises, imagine the scale of brazenness people adopt doing such acts elsewhere. It depends on the upbringing, environment and mindset of a person. Also, as an industry, we have hit out at such things through films and in reality,"" says Khushbu.After the 2014 Nirbhaya incident, the film industry faced a backlash over commodification of women, disregarding the complexities that led to such an act. Misogyny in films is undeniable, but filmmakers are becoming increasingly aware of the need for context and sensitivity while portraying characters.Kutty Padmini, actor and MD of Vaishnave Mediaa Works agrees with the court observation. The veteran actor, who had been producing television serials till a decade ago, stopped it because she did not want to be associated with stories that revolve around negativity.""Stale plots that deal with the murder of daughters-in-law and husbands reek of low values. A few months ago, we witnessed a producer killing his wife, chopping her body into pieces and strewing them in a dump yard. He had confessed to having drawn inspiration from films. It shows that as a responsible medium, we should be cautious of the message we put out,"" says Padmini.Producer and founder-dean of BOFTA G Dhananjayan feels television serials should also keep values in mind. ""Why can’t we go for content that does not glorify adultery or vengeance. A good film does more than entertain or fill seats at the cinema, it has the power to change hearts and minds – and sometimes society at large,"" he says.Spiralling crime in society cannot be simplified and presumed to be because of serials and movies. Cinema may be a contributor, but singling it out is no solution. After all, how many culprits have confessed to emulating a scene from a crime thriller?"
Odisha: Congress workers ransack party office,https://timesofindia.indiatimes.com/city/bhubaneswar/cong-workers-ransack-party-office/articleshow/68541580.cms,"Bhubaneswar news, Bhubaneswar latest news, Bhubaneswar news live, Bhubaneswar news today, Today news Bhubaneswar, Odisha violence,Ekamra-Bhubaneswar,Congress,Birendra of Nepal,Balasore,Ashok Mishra",https://timesofindia.indiatimes.com//static.toiimg.com/photo/34824568.cms,"BHUBANESWAR/JHARSUGUDA:Congresssupporters allegedly resorted to violence in Bhubaneswar, Jharsuguda and Nilgiri on Saturday following denial of tickets to their favourite leaders. A group of people barged into Congress Bhawan here in the evening and ransacked it in protest against the candidature of Rasmirekha Mohapatra, who has been fielded by the party from theEkamra-Bhubaneswarassembly seat.Two groups of Congress workers reportedly clashed over the announcement of Manoj Manjari Devi as candidate for the Nilgiri assembly constituency under theBalasoreLS seat.Members of the Jharsuguda Congress unit locked up the party office on Saturday morning following denial of ticket to Birendra Pandey. They staged a protest in front of the party office after his name was not found on the list of candidates announced by All India Congress Committee on Friday night.“We had met AICC secretary Mastan Ali and told him to give ticket to a candidate who belongs to the Jharsuguda constituency. But the party announced the name of Mahendra Nayak, who never comes to the Congress office,” saidAshok Mishra, youth Congress leader."
India abstains from voting on UN resolution condemning Israel over violence in Gaza,https://timesofindia.indiatimes.com/india/india-abstains-from-voting-on-un-resolution-condemning-israel-over-violence-in-gaza/articleshow/68525997.cms,"India, India news, India news today, Today news, Google news, Breaking news, japan,israel,Czech Republic,brazil,australia",https://timesofindia.indiatimes.com//static.toiimg.com/photo/34824568.cms,"NEW DELHI: India abstained, along with 14 other countries, voting on a resolution at the UN Human Rights Council condemning Israel for violence in Gaza. The resolution was passed with 23 countries voting for the resolution and sight countries against.In a previous age, India would have been among the countries voting for such a resolution and against Israel. It is a measure of the changing relations between India and Israel that India has abstained. In addition, India has a big grouse against the UN HRC itself for its stand on Kashmir.On March 19, Israel’s acting foreign minister, Israel Katz wrote to foreign minister Sushma Swaraj asking for India’s support “given the significant relationship and friendship between our countries and the outrageous bias of this report”. Israel believes the so-called “Accountability” resolution said the Council pronounced judgment against Israel without instituting a commission of inquiry as promised, instead condemned Israel for “disproportionate use of force.”According to the Israel foreign minister, the HRC resolution “absolves Hamas of responsibility”. “The report ignored the publicly stated purpose of the events — to storm and breach Israel’s border — and does not give any consideration to the possibility that a mob which includes Hamas militants would storm and attack the 70000 Israeli civilians living in towns and communities adjacent to the Gaza border.”He added that the UNHRC ignored the fact that eight months of violent riots, weapons, and infiltration attempts by militants were available for documentation, yet only two incidents were felt to be hostile to Israel.The other countries to abstain were UK,Japan, Italy, Denmark, Iceland and Nepal. Hungary, theCzech Republic,Australia, Austria,Braziletc."
Security forces put on alert to tackle Maoist violence,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/bihar/news/security-forces-put-on-alert-to-tackle-maoist-violence/articleshow/68532145.cms,"Lok Sabha elections 2019,Khagaria district,Jamui district,enforcement directorate,Election Commission of India,Central Reserve Police Force,Bhojpuri region","https://timesofindia.indiatimes.com/thumb/msid-68532143,imgsize-1234699,width-400,resizemode-4/68532143.jpg","PATNA: Though the number of Maoist-hit districts in the state has reduced from 23 in 2014 Lok Sabha election to 16 now, theElection Commission of India(ECI) is leaving no stone unturned to tackle any move of the rebel outfit to disrupt polls.Patna, Bhojpur, Sheohar, Sitamarhi, Begusarai and Khagaria are some of the districts in the state which will go to polls sans the ‘Maoist-hit’ tag this time. These districts were excluded from the left wing extremism list by the Union ministry of home affairs (MHA) in April last year.In 2018, the state had witnessed minimum Maoist violence when compared to the previous 13 years, thanks to a financial crackdown on top Maoist leaders by theEnforcement Directorate, which attached their movable and immovable properties worth several crores in the state.In August last year, the MHA had declared Aurangabad, Gaya, Jamui and Lakhisarai as 30 left wing extremism-affected districts in the country which record maximum Maoist violence. Aurangabad, Gaya, Jamui and Nawada will go to polls in the first phase on April 11.Chief electoral officer (CEO) H R Srinivasa told TOI over the phone that security forces would remain on full alert even in the districts which are no more considered as Maoist-infested.“We are on high alert. The areas in Jharkhand, which share border with four Maoist-hit constituencies in Bihar, are not going to polls in the first phase. This has to be kept in mind for making security arrangements,” he said.The last two general elections saw large scale Maoist violence in the state. In 2009 LS polls, seven people, including six security personnel, were killed in Maoist violence in the state. In 2014, five security personnel were killed and 16 injured in such attacks.According to data available with officials at the CEO office, a sub-inspector (SI), a magistrate and five constables were killed in Maoist attacks in 2009 general election. Of them, two constables were killed in Gaya, the SI, magistrate and three more constables lost their lives after Maoists triggered a landmine blast in Muzaffarpur. In Motihari too, a police vehicle was damaged in a landmine explosion. However, none died in the incident.In Gaya, five buildings were blown up by the Maoists in 2009. The rebels had also attacked police and polling parties. In Aurangabad, three buildings were blown up by the Maoists and two attacks reported on political leaders. In Rohtas, a police party was attacked. In Jamui also, one building was blown up.During 2014 general election, three security personnel were killed and eight injured in Aurangabad. In Munger, two security personnel were killed and eight injured.Central Reserve Police Forcejawans had come under attack in Munger while they were on way to a polling station in Jamui parliamentary constituency."
Two die as police clash with protesters at Vedanta’s Odisha plant,https://timesofindia.indiatimes.com/city/bhubaneswar/two-die-as-police-clash-with-protesters-at-vedantas-odisha-plant/articleshow/68470599.cms,"Bhubaneswar news, Bhubaneswar latest news, Bhubaneswar news live, Bhubaneswar news today, Today news Bhubaneswar, Vedanta plant violence,Vedanta Lanjigarh News,Odisha Vedanta plant violence,odisha,Kalahandi violence,Kalahandi","https://timesofindia.indiatimes.com/thumb/msid-68470737,imgsize-546262,width-400,resizemode-4/68470737.jpg","BHAWANIPATNA: At least two persons, including a jawan, died and many were injured in clashes between police and protesters outside Vedanta Ltd’s aluminium plant at Lanjigarh inKalahandidistrict on Monday. The deceased were identified by police as Dani Batra, a protester, and Sujeet Kumar Minz, a jawan ofOdishaIndustrial Security Force (OISF).OISF is a state security force that is under police command.The incident comes less than a year after police opened fire on demonstrators protesting against the operation of another Vedanta plant, its copper smelter in Thoothukudi in Tamil Nadu, killing 13 people.A group of around 70 local people, who are likely to be displaced due to the commissioning of a proposed project by the company, were on a dharna outside the firm’s main gate in Lanjigarh, demanding contractual jobs and education for their children in a public school free of cost. The agitators alleged that the district police along with the OISF personnel used force and resorted to lathicharge to stifle their voice and threaten them to withdraw the protest.“We were on a peaceful dharna. But police forcibly tried to evict us from the spot. When we resisted, they resorted to lathicharge. This left one Dani Batra dead and several injured,” a protester from a nearby village, who refused to be named fearing police backlash, said. Maheswar Pati, another villager, said the violence broke out after some police personnel misbehaved with the agitators.Police, however, denied the allegations of high-handedness. “Our personnel used utmost restraint to control the mob. The mob went on the rampage, vandalized the company premises and attacked our staff. The protesters even set several articles on the company campus on fire. Many""We are deeply saddened by the news and we offer our condolences to the families of the deceased. We will work with full cooperation with the appropriate authorities who will be looking into the incident. We sincerely appeal to the protestors not to resort to such acts when every situation can be resolved amicably through discussions,"" a Vedanta statement said. of our personnel were injured in the mob attack. A CISF jawan died due to the mob attack,” Kesinga’s sub-divisional police officer, Gupteswar Bhoi, said.Ashok Kumar Roul, an inspector of OISF said, “The agitators pelted us with stones. They were extremely violent and refused to calm down despite several attempts by us.”Union minister Dharmendra Pradhan hit out at the state government and police over the industrial unrest. He tweeted, “The police supported the company’s goons and attacked poor protesters.”""We are deeply saddened by the news and we offer our condolences to the families of the deceased. We will work with full cooperation with the appropriate authorities who will be looking into the incident. We sincerely appeal to the protestors not to resort to such acts when every situation can be resolved amicably through discussions,"" a Vedanta statement said."
Three more held for violence in Tilamol,https://timesofindia.indiatimes.com/city/goa/3-more-held-for-violence-in-tilamol/articleshow/68262264.cms,"Goa news, Goa latest news, Goa news live, Goa news today, Today news Goa, Tilamol,Three more held for violence in Tilamol,three more held for violence,Quepem taluk,CURCHOREM","https://timesofindia.indiatimes.com/thumb/msid-68263409,imgsize-469088,width-400,resizemode-4/68263409.jpg","QUEPEM: Three more persons have been arrested by police in connection with allegations of assault and other crimes inTilamoland Xeldem, as peace returned to the area after tension prevailed from afternoon till late night on Sunday.The arrest on Monday took the tally to seven, deputy superintendent of police, Uttam Raut Dessai told TOI. Four had been arrested late Sunday night for allegedly molesting a woman, assaulting other residents and pushing a constable into the drain.A few residents were injured after theCurchoremresidents attacked them with knives and hockey sticks.The residents of Tilamoll and Xeldem had blocked the national highway demanding the immediate arrest of the culprits on Sunday, the situation is under control at Tilamoll.Dessai said the three main accused Gitesh Naik, Swapnil Naik and Guptesh Naik are still absconding and police teams have been deployed to nab them. Quepem police on Monday produced all seven accused before judicial magistrate first class court at Quepem for two days police custody."
