og_title,title,lang,url,publishedDate,dateObject
Wiranto: Rakyat Diancam dengan Hoax Itu Terorisme!,Wiranto: People Threatened with Hoaxes That Are Terrorism!,id,https://news.detik.com/berita/d-4475823/wiranto-rakyat-diancam-dengan-hoax-itu-terorisme,20 Mar 2019,2019-03-20 13:36:00
"Didakwa Makar, Pemimpin Etnis Rakhine Divonis Penjara 20 Tahun di Myanmar","Charged with Makar, Ethnic Leader Rakhine Sentenced to 20 Years in Prison in Myanmar",id,https://news.detik.com/internasional/d-4474946/didakwa-makar-pemimpin-etnis-rakhine-divonis-penjara-20-tahun-di-myanmar,19 Mar 2019,2019-03-19 20:05:00
"Australia Tidak Anti Imigran, Museum Ini Buktinya","Australia Is Not Anti Immigrant, This Museum is the Proof",id,https://travel.detik.com/international-destination/d-4472083/australia-tidak-anti-imigran-museum-ini-buktinya,18 Mar 2019,2019-03-18 08:15:00
Rusuh! Massa Rompi Kuning Menjarah dan Membakar Toko Mewah Paris,Rush! Yellow Mass Vest Loot and Burn Paris Luxury Shop,id,https://news.detik.com/internasional/d-4470636/rusuh-massa-rompi-kuning-menjarah-dan-membakar-toko-mewah-paris,17 Mar 2019,2019-03-17 03:28:00
"Jokowi Naikkan Gaji PNS, Sandiaga Singgung Kartu Pra-Kerja","Jokowi Raises Salary for Civil Servants, Sandiaga Alerts Pre-Work Cards",id,https://finance.detik.com/berita-ekonomi-bisnis/d-4470438/jokowi-naikkan-gaji-pns-sandiaga-singgung-kartu-pra-kerja,16 Mar 2019,2019-03-16 20:15:00
American Airlines Setop Layani Penerbangan ke Venezuela,American Airlines Setop Serves Flights to Venezuela,id,https://finance.detik.com/berita-ekonomi-bisnis/d-4470086/american-airlines-setop-layani-penerbangan-ke-venezuela,16 Mar 2019,2019-03-16 14:44:00
"AHY: 17 April Pantengin TPS, Jangan Tidur Sebelum Menang","AHY: April 17, Pleasure TPS, Don't Sleep Before Winning",id,https://news.detik.com/berita/d-4467581/ahy-17-april-pantengin-tps-jangan-tidur-sebelum-menang,14 Mar 2019,2019-03-14 17:01:00
Wiranto Tegaskan Tak Ada Kerusuhan Besar Pasca-Pemilu 2019,Wiranto Affirms No Major Post-Election Riots in 2019,id,https://news.detik.com/berita/d-4467127/wiranto-tegaskan-tak-ada-kerusuhan-besar-pasca-pemilu-2019,14 Mar 2019,2019-03-14 12:45:00
"Disebut Terlibat Kasus Seungri, Lee Hongki pada Fans: Jangan Khawatir!","Called Involved in the Seungri Case, Lee Hongki on Fans: Don't Worry!",id,https://hot.detik.com/kpop/d-4463630/disebut-terlibat-kasus-seungri-lee-hongki-pada-fans-jangan-khawatir,12 Mar 2019,2019-03-12 11:45:00
Jaksa Siap Buktikan soal Keonaran Akibat Hoax Penganiayaan Ratna Sarumpaet,Prosecutors Ready to Prove Problems about the Result of the Hoax Persecution Ratna Sarumpaet,id,https://news.detik.com/berita/d-4463146/jaksa-siap-buktikan-soal-keonaran-akibat-hoax-penganiayaan-ratna-sarumpaet,12 Mar 2019,2019-03-12 06:31:00
Kisah Perjalanan Huawei yang Kini Dituduh Jadi Mata-mata China,Huawei's Travel Story Now Accused of Being a Chinese Spy,id,https://news.detik.com/bbc-world/d-4458166/kisah-perjalanan-huawei-yang-kini-dituduh-jadi-mata-mata-china,08 Mar 2019,2019-03-08 09:45:00
Saat Atiqah Hasiholan Membela Ibunda yang Terjerat Kasus Hoax,When Atiqah Hasiholan Defended the Mother of the Hoax Case,id,https://www.haibunda.com/mom-life/d-4456413/saat-atiqah-hasiholan-membela-ibunda-yang-terjerat-kasus-hoax,06 Mar 2019,2019-03-06 17:07:00
Ratna Sarumpaet ke Hakim: Sudah Lama Ditahan Masih Nggak Percaya Juga?,Ratna Sarumpaet to Judge: Has It Been Detained for a Long Time Still Not Believing?,id,https://news.detik.com/berita/d-4455990/ratna-sarumpaet-ke-hakim-sudah-lama-ditahan-masih-nggak-percaya-juga,06 Mar 2019,2019-03-06 12:54:00
Pengacara Ratna: Cuitan Twitter hingga Konpers Prabowo Bukan Keonaran,Ratna's attorney: Cuitan Twitter to Prabowo's Conpersion Is Not Intriguing,id,https://news.detik.com/berita/d-4455924/pengacara-ratna-cuitan-twitter-hingga-konpers-prabowo-bukan-keonaran,06 Mar 2019,2019-03-06 12:13:00
"Bela Ibu, Atiqah Bawa Nama Mahfud Md: Bukan Bikin Keonaran","Mothers, Atiqah Bring the Name of Mahfud Md: Not to Make Intense",id,https://news.detik.com/berita/d-4455782/bela-ibu-atiqah-bawa-nama-mahfud-md-bukan-bikin-keonaran,06 Mar 2019,2019-03-06 10:58:00
"Bacakan Eksepsi Ratna Sarumpaet, Pengacara: Dakwaan Jaksa Keliru","Read the Exception Ratna Sarumpaet, Attorney: Wrong Prosecutor's indictment",id,https://news.detik.com/berita/d-4455693/bacakan-eksepsi-ratna-sarumpaet-pengacara-dakwaan-jaksa-keliru,06 Mar 2019,2019-03-06 10:15:00
Kenangan dan Sesal Rekan Aktivis soal Andi Arief yang Terjerat Narkoba,Memories and regrets of Activist Partners about Andi Arief who are trapped in drugs,id,https://news.detik.com/berita/d-4454048/kenangan-dan-sesal-rekan-aktivis-soal-andi-arief-yang-terjerat-narkoba,05 Mar 2019,2019-03-05 11:07:00
Taj Yasin Akui GPK Jawa Tengah Terpecah,Taj Yasin Admits GPK Central Java is divided,id,https://news.detik.com/berita-jawa-tengah/d-4452081/taj-yasin-akui-gpk-jawa-tengah-terpecah,03 Mar 2019,2019-03-03 21:52:00
"Pemilu 2019 Semakin Dekat, Simulasi Pengamanan di Kota Kediri Dihelat","2019 Election Is Getting Closer, Security Simulation in Kediri City is held",id,https://news.detik.com/berita-jawa-timur/d-4450799/pemilu-2019-semakin-dekat-simulasi-pengamanan-di-kota-kediri-dihelat,02 Mar 2019,2019-03-02 15:27:00
Persekusi Jurnalis,Journalist Persecution,id,https://news.detik.com/kolom/d-4450599/persekusi-jurnalis,02 Mar 2019,2019-03-02 11:30:00
"11 Anggota FPI Tersangka, Aktor Intelektual Ricuh Harlah NU Diselidiki","11 FPI Members of the Suspect, Intellectual Actors Rumbled, NU Investigated",id,https://news.detik.com/berita/d-4449901/11-anggota-fpi-tersangka-aktor-intelektual-ricuh-harlah-nu-diselidiki,01 Mar 2019,2019-03-01 17:34:00
"11 Anggotanya Jadi Tersangka Ricuh Harlah NU, Ini Kata FPI","11 Members Become Suspected Suspects as NU, FPI Said",id,https://news.detik.com/berita/d-4448839/11-anggotanya-jadi-tersangka-ricuh-harlah-nu-ini-kata-fpi,28 Feb 2019,2019-02-28 23:38:00
Polda Sumut Tetapkan 11 Anggota FPI Tersangka Ricuh di Harlah NU,North Sumatra Regional Police Assign 11 FPI Members a Suspected Suspect at NU,id,https://news.detik.com/berita/d-4448220/polda-sumut-tetapkan-11-anggota-fpi-tersangka-ricuh-di-harlah-nu,28 Feb 2019,2019-02-28 15:51:00
Sumpah Pocong dan Debat Terbuka Wiranto Vs Kivlan,Sumpah Pocong and Open Debate Wiranto Vs Kivlan,id,https://news.detik.com/berita/d-4447116/sumpah-pocong-dan-debat-terbuka-wiranto-vs-kivlan,27 Feb 2019,2019-02-27 22:02:00
"Acara Prabowo di DIY Ricuh, BPN Duga Ada Provokator","Prabowo's event in DIY Ricuh, BPN Allegedly There was a Provocator",id,https://news.detik.com/berita/d-4447009/acara-prabowo-di-diy-ricuh-bpn-duga-ada-provokator,27 Feb 2019,2019-02-27 20:23:00
"Ditantang Kivlan Zen Debat, Wiranto Anggap Komentarnya Sudah Cukup","Challenged by Kivlan Zen Debate, Wiranto considers his comments sufficient",id,https://news.detik.com/berita/d-4446451/ditantang-kivlan-zen-debat-wiranto-anggap-komentarnya-sudah-cukup,27 Feb 2019,2019-02-27 15:26:00
Kivlan Zen Tantang Wiranto Debat di TV Ungkap Dalang Kerusuhan 1998,Kivlan Zen Challenges Wiranto Debate on TV Reveals the Mastermind of the 1998 Riots,id,https://news.detik.com/berita/d-4446437/kivlan-zen-tantang-wiranto-debat-di-tv-ungkap-dalang-kerusuhan-1998,27 Feb 2019,2019-02-27 15:19:00
"Kivlan Zen: Tantang Sumpah Pocong, Wiranto Membodohi Rakyat!","Kivlan Zen: Challenge Oath of Pocong, Wiranto fools the people!",id,https://news.detik.com/berita/d-4445975/kivlan-zen-tantang-sumpah-pocong-wiranto-membodohi-rakyat,27 Feb 2019,2019-02-27 11:49:00
"OSO: Wiranto dan Kivlan Jangan Sumpah Pocong, Seharusnya Sumpah Hantu","OSO: Wiranto and Kivlan Don't Oath Pocong, You Should Have a Ghost Oath",id,https://news.detik.com/berita/d-4445931/oso-wiranto-dan-kivlan-jangan-sumpah-pocong-seharusnya-sumpah-hantu,27 Feb 2019,2019-02-27 11:33:00
Tantangan Sumpah Pocong 2 Jenderal,Challenge of Oath Pocong 2 General,id,https://news.detik.com/berita/d-4445498/tantangan-sumpah-pocong-2-jenderal,27 Feb 2019,2019-02-27 06:10:00
BPN Prabowo Sepakat dengan Wiranto: Isu Pemilu Rusuh Hoax,BPN Prabowo Agrees with Wiranto: Election Issues Rush Hoax,id,https://news.detik.com/berita/d-4445012/bpn-prabowo-sepakat-dengan-wiranto-isu-pemilu-rusuh-hoax,26 Feb 2019,2019-02-26 18:12:00
