og_title,title,lang,url,publishedDate,dateObject
PKS Dukung MUI Kaji Fatwa Haram PUBG: Harus Ada Aturan Tak Boleh Buat Anak,PKS Supports the MUI Kaji PUBG Haram Fatwa: There Must Be Rules Can Not Make Children,id,https://news.detik.com/berita/d-4477723/pks-dukung-mui-kaji-fatwa-haram-pubg-harus-ada-aturan-tak-boleh-buat-anak,21 Mar 2019,2019-03-21 16:41:00
"Daftar Negara Paling Bahagia di Dunia 2019, Indonesia Nomor Berapa?","List of the happiest countries in the world 2019, which number is Indonesia?",id,https://travel.detik.com/travel-news/d-4477708/daftar-negara-paling-bahagia-di-dunia-2019-indonesia-nomor-berapa,21 Mar 2019,2019-03-21 16:30:00
'Masalahnya Bukan di PUBG tapi Pemainnya',&#39;The problem is not in PUBG but the player&#39;,id,https://inet.detik.com/games-news/d-4477595/masalahnya-bukan-di-pubg-tapi-pemainnya,21 Mar 2019,2019-03-21 15:20:00
4 Orang Ditangkap Terkait Kasus Pembakaran Bus di Sleman,4 People Arrested Regarding Bus Burning Cases in Sleman,id,https://news.detik.com/berita-jawa-tengah/d-4477577/4-orang-ditangkap-terkait-kasus-pembakaran-bus-di-sleman,21 Mar 2019,2019-03-21 15:07:00
Komisi VIII DPR Dukung MUI Kaji Fatwa Haram Game PUBG,Commission VIII DPR Supports the MUI to Review the Haram Fatwa of PUBG Games,id,https://news.detik.com/berita/d-4477578/komisi-viii-dpr-dukung-mui-kaji-fatwa-haram-game-pubg,21 Mar 2019,2019-03-21 14:50:00
MUI Jabar Serahkan Keputusan Fatwa Haram Game PUBG ke Pusat,MUI Jabar Submit PUBG Games to the Center for Illegal Fatwa,id,https://news.detik.com/berita-jawa-barat/d-4477487/mui-jabar-serahkan-keputusan-fatwa-haram-game-pubg-ke-pusat,21 Mar 2019,2019-03-21 14:14:00
"Mufti Malaysia Minta PUBG Dilarang, Menporanya Tak Sepakat","Malaysian Mufti Demands PUBG Prohibited, Exports Not Agreed",id,https://inet.detik.com/games-news/d-4477450/mufti-malaysia-minta-pubg-dilarang-menporanya-tak-sepakat,21 Mar 2019,2019-03-21 13:57:00
"KPAI Cek Game PUBG: Jika Ada Sadisme Berefek Negatif, Tak Boleh Diakses Anak","KPAI Checks PUBG Games: If There Is Negative Sadism, Children Can Not Be Accessible",id,https://news.detik.com/berita/d-4477435/kpai-cek-game-pubg-jika-ada-sadisme-berefek-negatif-tak-boleh-diakses-anak,21 Mar 2019,2019-03-21 13:47:00
Kisah-kisah Sedih Hubungan Asmara Berantakan karena Game PUBG,Sad Stories of Messy Relationships due to the PUBG Game,id,https://wolipop.detik.com/love/d-4477414/kisah-kisah-sedih-hubungan-asmara-berantakan-karena-game-pubg,21 Mar 2019,2019-03-21 13:35:00
"Suami Pergoki Istri Selingkuh di Kamar Mandi, Golok pun Melayang","Husband Goes Cheating Wife in the Bathroom, Machete Drives",id,https://news.detik.com/berita-jawa-tengah/d-4476980/suami-pergoki-istri-selingkuh-di-kamar-mandi-golok-pun-melayang,21 Mar 2019,2019-03-21 08:56:00
"Teror Masjid, PM New Zealand: Pelaku Belajar Ideologinya di Tempat Lain","Mosque Terror, PM New Zealand: Actors Learn Their Ideology Elsewhere",id,https://news.detik.com/bbc-world/d-4476879/teror-masjid-pm-new-zealand-pelaku-belajar-ideologinya-di-tempat-lain,21 Mar 2019,2019-03-21 07:33:00
MUI Jabar Pertimbangkan Fatwa Haram Game PUBG,MUI Jabar Considers Fatwas Game PUBG,id,https://news.detik.com/berita-jawa-barat/d-4476616/mui-jabar-pertimbangkan-fatwa-haram-game-pubg,20 Mar 2019,2019-03-20 21:26:00
Mayoritas Warga Solo Raya Tak Setuju Kekerasan Berbasis Agama,The majority of Solo Raya Residents Disagree on Religious Based Violence,id,https://news.detik.com/berita-jawa-tengah/d-4476559/mayoritas-warga-solo-raya-tak-setuju-kekerasan-berbasis-agama,20 Mar 2019,2019-03-20 20:45:00
Pesan Bunga Citra Lestari tentang Masa Depan Putranya,The message of Bunga Citra Lestari about the future of her son,id,https://www.haibunda.com/mom-life/d-4476431/pesan-bunga-citra-lestari-tentang-masa-depan-putranya,20 Mar 2019,2019-03-20 19:03:00
"Perampok Money Changer di Bali Komplotan WNA Rusia, 1 Tewas Didor","Money Changer Robber in Bali Russian Foreign Union Allegation, 1 Dead Didor",id,https://news.detik.com/berita/d-4476327/perampok-money-changer-di-bali-komplotan-wna-rusia-1-tewas-didor,20 Mar 2019,2019-03-20 18:05:00
Tokoh Agama Indonesia Kecam Aksi Teror Masjid di New Zealand,Indonesian religious leaders condemn mosque terrorist acts in New Zealand,id,https://news.detik.com/berita/d-4476104/tokoh-agama-indonesia-kecam-aksi-teror-masjid-di-new-zealand,20 Mar 2019,2019-03-20 16:01:00
Suami di Brebes Bacok Istri yang Ketahuan Selingkuh di Kamar Mandi,The husband at Brebes Bacok Wife who was caught cheating in the Bathroom,id,https://news.detik.com/berita-jawa-tengah/d-4476061/suami-di-brebes-bacok-istri-yang-ketahuan-selingkuh-di-kamar-mandi,20 Mar 2019,2019-03-20 15:39:00
"Ngaku Dianiaya Atalarik, Tsania Marwa Bantah Keras Cari Simpati Publik","Claimed to be Persecuted Atalarik, Tsania Marwa Denies Hardly Seeking Public Sympathy",id,https://hot.detik.com/celeb/d-4475884/ngaku-dianiaya-atalarik-tsania-marwa-bantah-keras-cari-simpati-publik,20 Mar 2019,2019-03-20 14:10:00
"Klaim Dapat Kekerasan dari Atalarik, Tsania Marwa Ngaku Punya Bukti Kuat","Claims Get Violence from Atalarik, Tsania Marwa Claims to Have Strong Evidence",id,https://hot.detik.com/celeb/d-4475746/klaim-dapat-kekerasan-dari-atalarik-tsania-marwa-ngaku-punya-bukti-kuat,20 Mar 2019,2019-03-20 12:59:00
Paus Fransiskus Tolak Pengunduran Diri Kardinal yang Tutupi Skandal Seks,Pope Francis Rejects the Resignation of the Cardinal Covering the Sex Scandal,id,https://news.detik.com/internasional/d-4475744/paus-fransiskus-tolak-pengunduran-diri-kardinal-yang-tutupi-skandal-seks,20 Mar 2019,2019-03-20 12:58:00
Ini Kata-kata Atalarik Syah yang Bikin Tsania Marwa Sakit Hati dan Naik Pitam,These are the words of Atalarik Syah that made Tsania feel sick and go crazy,id,https://hot.detik.com/celeb/d-4475727/ini-kata-kata-atalarik-syah-yang-bikin-tsania-marwa-sakit-hati-dan-naik-pitam,20 Mar 2019,2019-03-20 12:44:00
"Debt Collector Belum Tersertifikasi, Konsumen Bisa Laporkan","Debt Collector Not Certified, Consumers Can Report",id,https://oto.detik.com/berita/d-4475547/debt-collector-belum-tersertifikasi-konsumen-bisa-laporkan,20 Mar 2019,2019-03-20 11:13:00
"Sambut Merger Disney-Fox, Deadpool Tampil Bertopi Mickey Mouse","Welcoming the Disney-Fox Merger, Deadpool Appears in Mickey Mouse Cap",id,https://hot.detik.com/movie/d-4475516/sambut-merger-disney-fox-deadpool-tampil-bertopi-mickey-mouse,20 Mar 2019,2019-03-20 11:01:00
Umat Islam di Selandia Baru Sudah Lama Jadi Sasaran Supremasi Kulit Putih,Muslims in New Zealand have long been the target of white supremacy,id,https://news.detik.com/abc-australia/d-4475463/umat-islam-di-selandia-baru-sudah-lama-jadi-sasaran-supremasi-kulit-putih,20 Mar 2019,2019-03-20 10:26:00
Benarkah Atalarik Masih Kecewa dengan Fakta Sidang Cerai?,Is it true that Atalarik is still disappointed with the fact of the divorce trial?,id,https://hot.detik.com/celeb/d-4475400/benarkah-atalarik-masih-kecewa-dengan-fakta-sidang-cerai,20 Mar 2019,2019-03-20 09:22:00
"Ngaku Dapat Kekerasan dari 3 Pria, Tsania Marwa Merasa Hampir Kehilangan Nyawa","I Get Violence from 3 Men, Tsania Marwa Feeling Nearly Losing His Life",id,https://hot.detik.com/celeb/d-4475362/ngaku-dapat-kekerasan-dari-3-pria-tsania-marwa-merasa-hampir-kehilangan-nyawa,20 Mar 2019,2019-03-20 08:51:00
"Tak Sanggup Lanjutkan Kredit Kendaraan, Jangan Diam Saja","Unable to Continue Vehicle Loans, Don&#39;t Be Silent",id,https://oto.detik.com/berita/d-4475251/tak-sanggup-lanjutkan-kredit-kendaraan-jangan-diam-saja,20 Mar 2019,2019-03-20 07:58:00
Ini Pesan Terakhir Tsania Marwa Sebelum Tinggalkan Rumah Atalarik Syah,This is Tsania Marwa&#39;s Last Message Before Leaving Home Atalarik Syah,id,https://hot.detik.com/celeb/d-4475037/ini-pesan-terakhir-tsania-marwa-sebelum-tinggalkan-rumah-atalarik-syah,19 Mar 2019,2019-03-19 22:03:00
"Berapi-api, Tsania Marwa Beberkan Kronologi Kekerasan dari Atalarik Syah","Fiery, Tsania Marwa revealed the chronology of violence from Atalarik Syah",id,https://hot.detik.com/celeb/d-4474983/berapi-api-tsania-marwa-beberkan-kronologi-kekerasan-dari-atalarik-syah,19 Mar 2019,2019-03-19 21:04:00
"Didakwa Makar, Pemimpin Etnis Rakhine Divonis Penjara 20 Tahun di Myanmar","Charged with Makar, Ethnic Leader Rakhine Sentenced to 20 Years in Prison in Myanmar",id,https://news.detik.com/internasional/d-4474946/didakwa-makar-pemimpin-etnis-rakhine-divonis-penjara-20-tahun-di-myanmar,19 Mar 2019,2019-03-19 20:05:00
"Perkosa TKI yang Tolak Lamarannya, Pria Singapura Dibui 10,5 Tahun","Raping Indonesian Migrant Workers Who Refuse Their Applications, Singapore Men Received 10.5 Years",id,https://news.detik.com/internasional/d-4474469/perkosa-tki-yang-tolak-lamarannya-pria-singapura-dibui-105-tahun,19 Mar 2019,2019-03-19 16:01:00
