title,url,publishedDate,dateObject
J&K Teacher Arrested For Alleged Links With Terrorists Dies In Custody,https://www.ndtv.com/india-news/jammu-and-kashmir-teacher-arrested-for-alleged-links-with-terrorists-dies-in-custody-2009816,19 Mar 2019,2019-03-19 00:00:00
Paris Police Chief Sacked After Champs-Elysees Rioting,https://www.ndtv.com/world-news/paris-police-michel-delpuech-chief-sacked-after-champs-elysees-rioting-2009577,19 Mar 2019,2019-03-19 00:00:00
India Lodges Strong Protest With Pak Over Harassment Of Diplomats,https://www.ndtv.com/india-news/india-lodges-strong-protest-with-pak-over-harassment-of-high-commission-officials-2009545,19 Mar 2019,2019-03-19 00:00:00
"""Too Late"": Chirag Paswan Downplays Giriraj Singh Outburst Over Bihar Seat",https://www.ndtv.com/india-news/chirag-paswan-downplays-giriraj-singh-outburst-over-bihar-seat-2009438,18 Mar 2019,2019-03-18 00:00:00
Policeman Among 2 Dead In Clashes At Vedanta's Odisha Aluminium Plant,https://www.ndtv.com/india-news/1-dead-as-police-clash-with-protesters-at-vedantas-odisha-aluminium-plant-2009431,18 Mar 2019,2019-03-18 00:00:00
"Nun Who Protested Against Kerala Bishop Says Witnesses In ""Extreme Fear""",https://www.ndtv.com/kerala-news/nun-who-protested-against-bishop-franco-mulakkal-says-witnesses-in-extreme-fear-2008993,17 Mar 2019,2019-03-17 00:00:00
Former IAS Officer Shah Faesal Launches New Party In Kashmir,https://www.ndtv.com/india-news/shah-faesal-jammu-and-kashmir-peoples-movement-launched-by-former-ias-officer-2008903,17 Mar 2019,2019-03-17 00:00:00
16-Year-Old Girl Sets Herself Ablaze After Parents Fix Marriage,https://www.ndtv.com/cities/16-year-old-girl-sets-herself-ablaze-after-parents-fix-marriage-2008866,17 Mar 2019,2019-03-17 00:00:00
Indian-Americans Protest Against Pakistan For ''Sponsoring Terrorism'',https://www.ndtv.com/indians-abroad/indian-americans-protest-against-pakistan-for-sponsoring-terrorism-2008856,17 Mar 2019,2019-03-17 00:00:00
"Paris Luxury Stores Looted, Burned In ""Yellow Vest"" Riots",https://www.ndtv.com/world-news/paris-luxury-stores-looted-burned-in-yellow-vest-riots-2008739,17 Mar 2019,2019-03-17 00:00:00
Paris Stores Looted In New ''Yellow Vest'' Riots,https://www.ndtv.com/world-news/paris-stores-looted-in-new-yellow-vest-riots-2008689,16 Mar 2019,2019-03-16 00:00:00
