title,url,publishedDate,dateObject
Gujarat Seeks Time From Court Over Documents On Hardik Patel Rioting Case,https://www.ndtv.com/india-news/gujarat-seeks-time-from-court-over-documents-on-hardik-patel-rioting-case-2010084,20 Mar 2019,2019-03-20 00:00:00
"""Not A Single Riot In Last 2 Years, UP Model For Nation"": Yogi Adityanath",https://www.ndtv.com/india-news/yogi-adityanath-says-no-riots-in-up-since-bjp-came-to-power-two-years-ago-2009734,19 Mar 2019,2019-03-19 00:00:00
Paris Police Chief Sacked After Champs-Elysees Rioting,https://www.ndtv.com/world-news/paris-police-michel-delpuech-chief-sacked-after-champs-elysees-rioting-2009577,19 Mar 2019,2019-03-19 00:00:00
"Paris Luxury Stores Looted, Burned In ""Yellow Vest"" Riots",https://www.ndtv.com/world-news/paris-luxury-stores-looted-burned-in-yellow-vest-riots-2008739,17 Mar 2019,2019-03-17 00:00:00
Paris Stores Looted In New ''Yellow Vest'' Riots,https://www.ndtv.com/world-news/paris-stores-looted-in-new-yellow-vest-riots-2008689,16 Mar 2019,2019-03-16 00:00:00
"Barsana Holi: Celebrations In Mathura With <i>Laddus</i>, Dance, Riot Of Colours",https://www.ndtv.com/india-news/barsana-holi-in-mathura-a-riot-of-colours-laddu-dance-fun-in-uttar-pradesh-2008232,15 Mar 2019,2019-03-15 00:00:00
"""Fair Trial Not Possible If Sajjan Kumar Granted Bail"": CBI to Top Court",https://www.ndtv.com/india-news/fair-trial-not-possible-if-sajjan-kumar-granted-bail-cbi-to-supreme-court-on-1984-anti-sikh-riots-ca-2008011,15 Mar 2019,2019-03-15 00:00:00
"Bhim Army Chief, Others Charged With Rioting, Assaulting Public Servants",https://www.ndtv.com/india-news/bhim-army-chief-chandrashekhar-azad-others-charged-with-rioting-assaulting-public-servants-2007210,14 Mar 2019,2019-03-14 00:00:00
Eyewitness In Muzaffarnagar Riots Shot Dead,https://www.ndtv.com/muzaffarnagar-news/eyewitness-in-muzaffarnagar-riots-shot-dead-2006844,13 Mar 2019,2019-03-13 00:00:00
Premier League: Liverpool Run Riot As Manchester City Stay In Touch With Narrow Win,https://sports.ndtv.com/football/premier-league-liverpool-run-riot-as-manchester-city-stay-in-touch-with-narrow-win-2000441,28 Feb 2019,2019-02-28 00:00:00
Top Court Judge Recuses Himself From Hearing Sajjan Kumar's Petition,https://www.ndtv.com/india-news/anti-sikh-riots-case-supreme-court-judge-recuses-himself-for-hearing-sajjan-kumars-petition-1998882,25 Feb 2019,2019-02-25 00:00:00
"AAP Lawmaker Prakash Jarwal, 2 Others Convicted In 2013 Rioting Case",https://www.ndtv.com/delhi-news/aap-lawmaker-prakash-jarwal-2-others-convicted-in-2013-rioting-case-1996616,20 Feb 2019,2019-02-20 00:00:00
Punjab Extends Time Period Of Granting Plot Reservation To 1984 Riot Victims,https://www.ndtv.com/india-news/punjab-extends-time-period-of-granting-plot-reservation-to-1984-riot-victims-1994884,17 Feb 2019,2019-02-17 00:00:00
7 Get Life In Jail For Killing 2 Men That Led To 2013 Muzaffarnagar Riots,https://www.ndtv.com/india-news/7-get-life-in-jail-for-killing-2-men-that-led-to-2013-muzaffarnagar-riots-1990510,08 Feb 2019,2019-02-08 00:00:00
7 Men Held Guilty For Killing Two Youth In Muzaffarnagar Riots In 2013,https://www.ndtv.com/india-news/7-men-held-guilty-for-killing-two-youth-in-muzaffarnagar-riots-in-2013-1989397,06 Feb 2019,2019-02-06 00:00:00
Quexit? Britain Has A Brexit Emergency Evacuation Plan For The Queen,https://www.ndtv.com/world-news/quexit-britain-has-a-brexit-emergency-evacuation-plan-for-the-queen-1988367,05 Feb 2019,2019-02-05 00:00:00
Queen Elizabeth To Be Evacuated In Case Of Riots Post Brexit: Report,https://www.ndtv.com/world-news/queen-elizabeth-to-be-evacuated-in-case-of-riots-post-brexit-report-1987557,03 Feb 2019,2019-02-03 00:00:00
"In 1984 Riots Case, Delhi Court Asks CBI To Expedite Probe",https://www.ndtv.com/india-news/in-1984-riots-case-delhi-court-asks-cbi-to-expedite-probe-1986377,31 Jan 2019,2019-01-31 00:00:00
Decide 1984 Riots Case Convict's Plea For Parole In 2 Weeks: High Court,https://www.ndtv.com/india-news/decide-1984-riots-case-convicts-plea-for-parole-in-2-weeks-says-delhi-high-court-1985674,30 Jan 2019,2019-01-30 00:00:00
"4 Jailed In Gujarat Riots Get Bail; Top Court Says ""Conviction Debatable""",https://www.ndtv.com/india-news/4-jailed-for-2002-naroda-patiya-riots-case-in-gujarat-get-bail-supreme-court-says-conviction-order-d-1981822,23 Jan 2019,2019-01-23 00:00:00
Sajjan Kumar Asked To Appear Before Court On January 28 In Riots Case,https://www.ndtv.com/india-news/1984-anti-sikh-riots-delhi-court-issues-production-warrant-against-sajjan-kumar-1981348,22 Jan 2019,2019-01-22 00:00:00
"""Has He Been Charged, Sent To Jail?"": Sheila Dikshit Backs Jagdish Tytler",https://www.ndtv.com/india-news/sheila-dikshit-backs-jagdish-tytler-asks-has-he-been-charged-or-sent-to-jail-1979878,18 Jan 2019,2019-01-18 00:00:00
Controversy Over Jagdish Tytler In Front Row At Sheila Dikshit's Takeover,https://www.ndtv.com/india-news/at-sheila-dikshits-takeover-front-row-seat-for-jagdish-tytler-sparks-row-1978467,16 Jan 2019,2019-01-16 00:00:00
Top Court Notice To CBI On Sajjan Kumar's Appeal In Anti-Sikh Riots Case,https://www.ndtv.com/india-news/supreme-court-notice-to-cbi-on-sajjan-kumars-appeal-in-anti-sikh-riots-case-1977293,14 Jan 2019,2019-01-14 00:00:00
"""Politicians Who Cause Hindu-Muslim Rift Should Be Set On Fire"": BJP Ally",https://www.ndtv.com/india-news/op-rajbhar-nda-ally-and-up-minister-said-burn-politicians-who-create-divide-among-hindus-and-muslims-1977158,14 Jan 2019,2019-01-14 00:00:00
"""1947 Mistake"": PM's Kartarpur Dig With Manmohan Singh In Audience",https://www.ndtv.com/india-news/coin-on-guru-gobind-singh-released-by-prime-minister-narendra-modi-dr-manmohan-singh-attends-event-1976963,13 Jan 2019,2019-01-13 00:00:00
Alienware and Riot Games Partner for League of Legends E-Sports Events,https://gadgets.ndtv.com/games/news/alienware-and-riot-games-partner-for-league-of-legends-e-sports-events-1975289,09 Jan 2019,2019-01-09 00:00:00
Convicted Ex-Tamil Nadu Minister To Appeal Against 3-Year Sentence,https://www.ndtv.com/india-news/tamil-nadu-p-balakrishna-reddy-convicted-ex-aiadmk-minister-to-appeal-against-3-year-sentence-1974790,09 Jan 2019,2019-01-09 00:00:00
"Funds, Support For Boxer Who Hit Cop During France's Yellow Vest Protest",https://www.ndtv.com/world-news/frances-yellow-vest-protests-funds-support-for-boxer-who-hit-french-cop-1974371,08 Jan 2019,2019-01-08 00:00:00
Tamil Nadu Minister Resigns After Conviction In Rioting Case,https://www.ndtv.com/tamil-nadu-news/p-balakrishna-reddy-tamil-nadu-minister-resigns-after-conviction-in-rioting-case-1974136,07 Jan 2019,2019-01-07 00:00:00
"""We Are Good Friends,"" Says HS Phoolka On Meetings With BJP's Vijay Goel",https://www.ndtv.com/india-news/we-are-good-friends-says-hs-phoolka-on-meetings-with-vijay-goel-1973347,06 Jan 2019,2019-01-06 00:00:00
"""PM Modi Worst Leader India Has Seen Since Independence"": Amarinder Singh",https://www.ndtv.com/india-news/pm-modi-worst-leader-india-has-seen-since-independence-amarinder-singh-1972835,04 Jan 2019,2019-01-04 00:00:00
Turning Anna Movement Into Party Was Wrong: HS Phoolka After Quitting AAP,https://www.ndtv.com/india-news/after-quitting-aap-hs-phoolka-says-justice-for-1984-victims-is-his-lifes-mission-1972825,04 Jan 2019,2019-01-04 00:00:00
Rajiv Gandhi's Name Should Be Included In 1984 Riot Cases: Sukhbir Badal,https://www.ndtv.com/india-news/rajiv-gandhis-name-should-be-included-in-1984-riot-cases-sukhbir-singh-badal-1972315,03 Jan 2019,2019-01-03 00:00:00
"""They Called Him <i>Sajjan</i>"": In Punjab, PM Narendra Modi Slams Congress Over 1984 Riots",https://www.ndtv.com/india-news/prime-minister-narendra-modi-slams-congress-over-1984-riots-at-punjab-rally-they-called-him-sajjan-1972251,03 Jan 2019,2019-01-03 00:00:00
"HS Phoolka, Petitioner In 1984 Anti-Sikh Riots Case, Quits AAP",https://www.ndtv.com/india-news/hs-phoolka-petitioner-in-1984-anti-sikh-riots-case-quits-aap-1972233,03 Jan 2019,2019-01-03 00:00:00
"PM Modi Slams Congress Over 1984 Riots, Loan Waivers At Gurdaspur Rally",https://www.ndtv.com/india-news/pm-modi-slams-congress-over-1984-riots-loan-waivers-at-gurdaspur-rally-1972144,03 Jan 2019,2019-01-03 00:00:00
Sajjan Kumar To Be Kept Away From Sikh Inmates In Prison: Report,https://www.ndtv.com/india-news/sajjan-kumar-to-be-kept-away-from-sikh-inmates-in-prison-report-1970722,31 Dec 2018,2018-12-31 00:00:00
"""One <i>Magarmach</i> Down,"" Says Harsimrat Badal As Sajjan Kumar Goes To Jail",https://www.ndtv.com/india-news/sajjan-kumar-goes-to-jail-harsimrat-badal-says-one-congress-magarmach-down-1970704,31 Dec 2018,2018-12-31 00:00:00
"Sajjan Kumar, Convicted In 1984 Anti-Sikh Riots, Surrenders In Court",https://www.ndtv.com/india-news/sajjan-kumar-convicted-in-1984-anti-sikh-riots-surrenders-in-court-1970503,31 Dec 2018,2018-12-31 00:00:00
"Sajjan Kumar, Convicted In 1984 Anti-Sikh Riots Case, Surrenders In Court: LIVE Updates",https://www.ndtv.com/india-news/sajjan-kumar-convicted-in-1984-anti-sikh-riots-case-to-surrender-today-live-updates-1970289,31 Dec 2018,2018-12-31 00:00:00
Deadline For Sajjan Kumar To Surrender In 1984 Anti-Sikh Riots Ends Today,https://www.ndtv.com/india-news/1984-anti-sikh-riots-case-deadline-for-sajjan-kumar-to-surrender-in-1984-anti-sikh-riots-ends-today-1970274,31 Dec 2018,2018-12-31 00:00:00
"Find Inquiry Reports On 13 Communal Riots Since 1961, Home Ministry Told",https://www.ndtv.com/india-news/central-information-commission-to-home-ministry-find-inquiry-commission-reports-on-13-communal-riots-1970180,30 Dec 2018,2018-12-30 00:00:00
"Akhilesh Yadav's ""<i>Thok Do,</i>"" Attack On Yogi Adityanath Over Cop's Killing",https://www.ndtv.com/india-news/on-ghazipur-cops-killing-akhilesh-yadavs-thok-do-explanation-1970101,30 Dec 2018,2018-12-30 00:00:00
1984 Riots Case: Sajjan Kumar Likely To Surrender Before Court Next Week,https://www.ndtv.com/india-news/1984-riots-case-sajjan-kumar-likely-to-surrender-before-court-on-december-31-1968913,27 Dec 2018,2018-12-27 00:00:00
"1984 Riots Victims Blacken Delhi's Rajiv Chowk Signboard, Want It Renamed",https://www.ndtv.com/delhi-news/delhi-1984-anti-sikh-riots-victims-blacken-rajiv-chowk-signboard-want-it-renamed-1968460,26 Dec 2018,2018-12-26 00:00:00
"No Mention Of Rajiv Gandhi In 1984 Riots Resolution, Says Delhi Assembly",https://www.ndtv.com/india-news/no-mention-of-rajiv-gandhi-in-1984-riots-resolution-says-delhi-assembly-1967850,25 Dec 2018,2018-12-25 00:00:00
"Muzaffarnagar Riots Accused Found Dead, Son Alleges Murder",https://www.ndtv.com/muzaffarnagar-news/muzaffarnagar-riots-accused-found-dead-son-alleges-murder-1967283,24 Dec 2018,2018-12-24 00:00:00
"Hope For 1984 Riots Victims, Say Lawyers After Sajjan Kumar Conviction",https://www.ndtv.com/india-news/interesting-turn-will-take-place-in-1984-riots-case-against-tytler-victims-lawyers-1967081,24 Dec 2018,2018-12-24 00:00:00
"""AAP Rubbing Salt On Wounds Of Victims Of 1984 Riots,"" Says Amit Shah",https://www.ndtv.com/india-news/amit-shah-takes-dig-at-aap-congress-says-parties-rubbing-salt-on-wounds-of-1984-victims-1967007,23 Dec 2018,2018-12-23 00:00:00
"2019 National Elections ""Won't Be An Ordinary One"", Says Amit Shah",https://www.ndtv.com/india-news/bjp-chief-amit-shah-says-2019-will-not-be-ordinary-elections-1966945,23 Dec 2018,2018-12-23 00:00:00
Maya Kodnani Seen With Smriti Irani At First Public Event After Acquittal,https://www.ndtv.com/india-news/maya-kodnani-seen-with-smriti-irani-at-first-public-event-after-naroda-patiya-riots-case-acquittal-1966753,22 Dec 2018,2018-12-22 00:00:00
Sajjan Kumar Challenges Conviction In 1984 Riots In Supreme Court,https://www.ndtv.com/india-news/1984-riots-case-sajjan-kumar-moves-supreme-court-requesting-more-time-to-surrender-1966649,22 Dec 2018,2018-12-22 00:00:00
"""Not Resigning"": AAP's Alka Lamba Amid Row Over Rajiv Gandhi Resolution",https://www.ndtv.com/india-news/havent-asked-alka-lamba-to-resign-manish-sisodia-clarifies-1966643,22 Dec 2018,2018-12-22 00:00:00
"No Resolution On Rajiv Gandhi Over 1984 Riots, AAP Clarifies",https://www.ndtv.com/india-news/no-resolution-on-rajiv-gandhi-aap-clarifies-alka-lamba-asked-to-quit-1966594,22 Dec 2018,2018-12-22 00:00:00
Alka Lamba Asked To Quit AAP In Row Over Rajiv Gandhi Resolution,https://www.ndtv.com/india-news/alka-lamba-asked-to-quit-aap-in-row-over-resolution-on-rajiv-gandhi-1966456,22 Dec 2018,2018-12-22 00:00:00
