title,url,publishedDate,dateObject
Trinamool Congress Terrorising My Supporters: Arjun Singh,https://www.ndtv.com/india-news/trinamool-congress-terrorising-my-supporters-arjun-singh-2008863,17 Mar 2019,2019-03-17 00:00:00
"Paris Luxury Stores Looted, Burned In ""Yellow Vest"" Riots",https://www.ndtv.com/world-news/paris-luxury-stores-looted-burned-in-yellow-vest-riots-2008739,17 Mar 2019,2019-03-17 00:00:00
Paris Stores Looted In New ''Yellow Vest'' Riots,https://www.ndtv.com/world-news/paris-stores-looted-in-new-yellow-vest-riots-2008689,16 Mar 2019,2019-03-16 00:00:00
Nineteen Plastic Bags With Human Remains Found In Mexico,https://www.ndtv.com/world-news/nineteen-plastic-bags-with-human-remains-found-in-mexico-2008386,16 Mar 2019,2019-03-16 00:00:00
New Zealand Mosque Attacker's Plan Began And Ended Online,https://www.ndtv.com/world-news/new-zealand-mosque-shooting-attackers-plan-began-and-ended-online-2008291,15 Mar 2019,2019-03-15 00:00:00
"In Kerala, Rahul Gandhi Targets CPM For Violence, PM Over '<i>Mann Ki Baat</i> '",https://www.ndtv.com/india-news/lok-sabha-elections-2019-rahul-gandhi-targets-cpm-for-violence-pm-over-mann-ki-baat-in-kerala-2007725,14 Mar 2019,2019-03-14 00:00:00
"Tamil Nadu Sex Abuse Case: Students' Stir Continues, Local Colleges Shut",https://www.ndtv.com/tamil-nadu-news/pollachi-sex-abuse-case-students-stir-continues-local-colleges-shut-2007657,14 Mar 2019,2019-03-14 00:00:00
Bhima Koregaon Activists Mobilised Dalits To Overthrow Government: Police,https://www.ndtv.com/india-news/bhima-koregaon-activists-mobilised-dalits-to-overthrow-government-maharashtra-police-2007073,13 Mar 2019,2019-03-13 00:00:00
Teaching Gender Equality Encourages Domestic Violence: Brazil Minister,https://www.ndtv.com/world-news/teaching-gender-equality-encourages-domestic-violence-brazil-minister-damares-alves-2004965,09 Mar 2019,2019-03-09 00:00:00
Lok Sabha Polls Will See More Money And Violence: Ex-Poll Panel Chief,https://www.ndtv.com/india-news/ex-poll-panel-chief-ts-krishnamurthy-says-lok-sabha-polls-will-see-more-money-and-violence-2004678,08 Mar 2019,2019-03-08 00:00:00
