title,url,keywords,imageUrl,content
"
Alka says will work to defeat BJP, hints at lack of democracy in AAP
",https://www.thehindu.com/news/cities/Delhi/alka-says-will-work-to-defeat-bjp-hints-at-lack-of-democracy-in-aap/article26558990.ece,"
As suspense continues on her plan to rejoin Cong., AAP dares her to quit MLA seat
",https://th.thgim.com/static/img/1x1_spacer.png,"Having said this week that she was ready to rejoin the Congress, Aam Aadmi Party MLA from Chandni Chowk Alka Lamba on Saturday said she would “work to defeat the BJP” when asked whether she would quit AAP.Alleging “lack of democracy” within AAP and “disrespect” towards MLAs by party convener and Delhi Chief Minister Arvind Kejriwal, Ms. Lamba said she would work against what the BJP stands for. After having been associated with the Congress for 20 years and being the National Students’ Union of India president, she had joined AAP in 2014 and was elected as an AAP MLA in 2015.With Ms. Lamba publicly talking about her disagreements with AAP, Congress general secretary in-charge of Delhi P.C. Chacko had on Friday said the party would “welcome” her back as she had been a “member of the family”.Chacko’s statementSpeaking toThe Hinduon Saturday, Ms. Lamba said she was thankful for Mr. Chacko’s statement, but no one from the Congress had approached her so far.Meanwhile, AAP spokesperson and Greater Kailash MLA Saurabh Bharadwaj took to Twitter to take a jibe at Ms. Lamba.“To join the Congress, Alka Lamba would need to resign from AAP. That would mean losing her MLA seat — the MLA seat which lured some to AAP, the MLA seat which many could not get even after serving Congress for 20+ years. It requires courage to leave that MLA seat,” Mr. Bharadwaj said.When asked to respond to Mr. Bharadwaj’s statement, Ms. Lamba said, “I take it as the official statement of the party since he is the spokesperson. I would like to ask the party about what has been done with me since December 21...What about the 15-20 MLAs who were disrespected by Mr. Kejriwal in a meeting with workers?”.She added that she had decided to “work to defeat the BJP” and would “work for the victory of thegathbandhancandidate from Chandni Chowk”, in case an AAP-Congress alliance for the upcoming Lok Sabha elections materialises.On December 21, 2018, AAP MLAs had moved a resolution seeking justice for the 1984 anti-Sikh riots’ victims.While reading the resolution, AAP MLA Jarnail Singh asked for the Bharat Ratna awarded to former Prime Minister Rajiv Gandhi to be withdrawn in context of some statements he made in the wake of his mother, then-Prime Minister Indira Gandhi’s assassination.Ms. Lamba had objected to the inclusion of this demand, and had offered to resign. Though the resolution was passed, senior AAP leaders had denied that the demand was included in the resolution and when the bulletin of the Assembly proceedings was published the next week, there was no mention of Rajiv Gandhi."
"
The Nawabs played Holi
",https://www.thehindu.com/todays-paper/tp-features/tp-metroplus/the-nawabs-played-holi/article26564375.ece,"
Ahead of the festival of colours, let’s recall how the Walled City celebrated the festival
",https://th.thgim.com/static/img/1x1_spacer.png,"Nawabs and nawabzadas playing Holi despite Islamic taboo may sound far-fetched, but is not untrue. Delhi’s Nawab Buddhan of Suiwalan, Nawab Dojana of Matia Mahal, the Nawab of Basai Darapur and Nawab F. Z. Khan of Agra, did not mind a bit of colour revelry in post-1857 days. Their families enjoyed it too. For the women, it meant catching relatives and friends unawares early in the morning, splashing them with cold water and colouring their faces with red and black powder. “Tu bilkul churail lag rahi hai Bhabhi” (sister-in-law you are really looking like a she-ghost) was one of the epithets hurled during the sudden tamasha. Fun over, it was time to clean up the mess and change soiled clothes for visits by sethanis (wives of the city seths) who brought sweets and other savouries in abundance. This is what Mohd Mian Akbar, a Ballimaran shoe merchant, used to say up to his death in the 1980s. However, to counter his view (despite repetition) here is what an Englishman had to say a 100 years earlier:“Holi” is celebrated by Hindus but not by Muslims, who resent colour being thrown on them. The festival falls in March which corresponds to the Indian month of Phagun, when the colours of spring transform the landscape as if by the magic brush of a painter who, with deft strokes changes the bleak scenario of winter to the yellow, pink and golden hues of “Basant”, said Capt Ridgeway in his diary before the outbreak of the first war of independence, in Delhi. By that time the heat of summer was to bring about a drastic change in the natural surroundings, with tree leaves drooping under the impact of the blazing sun. The only redeeming feature, Ridgeway noted, was the pleasantness of the early mornings and late evenings, “when the heat subsided and one went to the gardens for fresh air and figs sold in leaf-cups the size of dessert quarter-plates”.Tense timesPeople did celebrate Holi in 1857 but it was much subdued the next year, when the British had regained full control of the Capital and the surrounding areas. The same thing happened 90 years later in 1947 when Partition was yet to be effected. Contrary to popular perception, some leading Muslims, among whom were nawabs, did celebrate the festival of colours with great enthusiasm that year too as their ancestors had been courtiers at the durbar of Mohammad Shah Rangila and later Shah Alam, Akbar Shah Sani and Bahadur Shah Zafar.Among them, Mohammad Shah and Zafar celebrated Holi with great gusto, though Shah Alam did not mind dabbling in colours with Maratha chieftains, whose leader, Mahadji Scindia, was the most powerful military leader in North India with the emperor under his thumb. Akbar Shah did not mind his financiers, the bullion merchants of Chandni Chowk led by Seth Sidhu Mal, putting gulal on his forehead and sprinkling rosewater on his royal clothes, which dried up very fast, leaving behind a faint perfume. Bahadur Shah Zafar, the least orthodox of them, liked the Holi revelry of his subjects and also participated in it, but with regard to his status as the inheritor of Mughal dignity. The orthodox nobles of his court however preferred to stay indoors during the time the colour-throwing was at its peak.In 1948, post-Partition, Holi was celebrated on a subdued note in Delhi, Agra and other prominent cities. There were warnings from the police that colour was not to be thrown on unwilling people, yet there was perceptible tension in Chandni Chowk, Daryaganj, Paharganj and Dev Nagar. Fearing a riot, a strong police force was made to patrol the thoroughfares, along with the armed constabulary on the orders of Mr Beadon. Though there was no rioting, sporadic clashes were reported from some areas, where a sort of curfew-like situation prevailed later.Change of colourHowever, by 1949, conditions became stable and Holi was celebrated without major incidents. In the mid-1950s the nawabzadas of Aligarh and Agra, along with some kunwars of Wazirpura and Dhirpura celebrated Holi in style in Chandni Chowk. They went about in an old weapon-carrier spraying colour on all and sundry with rubber tubes immersed in big drums filled with coloured water.That year, like other years, also saw grand celebrations outside Lala Chunna Mal’s haveli. In the Jama Masjid area, a much-married Urdu poet, one of whose compositions is echoed in the film song, “Gal Gulabi, chaal sharabi/Aap se accha kohi nahin hai”, went about greeting his men and women friends in the Walled City and presenting them his romantic verses sprinkled with wet gulal.A practice in those days for Hindi newspapers was to award “Holi degrees” to friends, colleagues, acquaintances and also political leaders. These were in the form of one-line sentences which were both ribald and hilarious. About that time one old tradition that has ended was the Christian Holi, celebrated on Shrove Tuesday, a day before Ash Wednesday, and the beginning of the fasting season of Lent. Now Holi has lost much of its colourful past and even the colours are scarce as black and silver paint and infection-causing dirty water is generally used.No fears of infection were aroused when the Nawab of Loharu played Holi in unpolluted times with the Nawab of Tonk and his own brother-in-law Mirza Ghalib. The poet, however, missed the revelry of Braj Holi in his native Agra and the titillating colour-soaked verses of Mian Nazir Akbarabadi on the much-maligned ""Holi-ka-Bhudua-Diwali-ka-chor"", the fictitious buffoons made the butt of irksome jokes during the two change of season festivals."
"
Narendra Modi has no concern for the poor, oppressed, farmers: Ajit Singh ",https://www.thehindu.com/elections/lok-sabha-2019/modi-has-no-concern-for-the-poor-oppressed-farmers-ajit-singh/article26561218.ece,"
In a democracy, we need a PM who listens to everybody, consults everyone, then takes a decision, the RLD chief says.
",https://th.thgim.com/static/img/1x1_spacer.png,"Moving away from his traditional seat of Bhagpat where he was trounced in 2014, veteran Jat leader and Rashtriya Lok Dal president Ajit Singh says he is contesting from Muzaffarnagar to heal the violent communal divide. The 80-year-old former Union Minister said the 2019 polls are crucial for democracy and preserving constitutional bodies.How important is this election for you, especially after a string of defeats?How important this election is for me, that’s not the question. [The question is] how important it is for the country, for democracy, for keeping our Constitution and saving all our constitutional bodies. If people lose faith in constitutional bodies, there is no democracy. Therefore, this is a very important election. And like Mr. [Amit] Shah said, if Modi wins this time he will be Prime Minister for 50 years. That means there will be no democracy.You think it’s a greater challenge than RLD, SP or BSP...Than me or who is winning... And one thing is very clear as far as U.P. is concerned, this combination, nobody can beat.Why do you think so?Look at the arithmetic.Just arithmetic or is there anything else to the alliance?Every part of society, be it farmers, youth, minority or Dalits — everybody is angry with the government. See, the election in a democracy is all about what they have done in the five years; whether to give them another chance . If you look at it, they have not done anything, except lot of promises of which they haven’t kept a single one. To farmers, they said they will give 150 times the cost, not done. For the youth, two crore jobs per year, now they are saying ‘makepakoras’. And clean Ganga... nothing has happened. Made in India, nothing. Smart cities, not there. So what has he done? Those are the questions and as the campaign progresses, all these questions will come up again. See, all the TV and newspapers are now saying that because of what happened [in Balakot]... but these are the issues on which people will decide. As far as that issue [Balakot airstrike] is concerned, everybody is with the army.You have contested many times from Baghpat. But in 2014, not only did you lose, you stood a surprise third. So this time...The last election, at least in this part of India, was not normal because of those riots in Muzaffarnagar.Why did you choose to contest from Muzaffarnagar?Because the riot started from here. Muzaffarnagar’s message went to the whole country. And this was the reason why the BJP won.So you want to uproot the BJP from here?Yes.But isn’t this a big risk for you, since Muzaffarnagar was the hotbed of that violence and communal divide?On February 13 last year, I went to Muzaffarnagar. February 12 was my birthday, I completed 79 years. So I said, the 80th year I will spend on getting rid of that communal divide. I called itbhaichara(brotherhood). And for the last one year, I have been to at least 10 districts, two or three times and stayed there overnight, talking to different groups. So that thing is gone now. The communal divide is not there. And the Kairana election cemented the bonding together of vote banks... our votebank.Jats and Muslims are coming together like before?Yes, yes! In Kairana, not only that, our core voter voted, farmers of all castes and religions voted. Another big issue here is the cow. Cows are worshipped and they forever have been. As far as the farmers are concerned their livestock was their ATM; you need money, you go sell some cattle. Now they didn’t get their price for the sugar cane — this area depends on sugar cane for its economic survival — and then these animals are eating up their other crops. So there is a great deal of anger. That’s a very big issue here.Is that going to be a part of your campaign?I watched a lot of social media and YouTube videos, in which farmers are saying, ‘Look what Yogi is doing, eating the crops.’ They call them [stray cows] Yogi and Modi.But the BJP is projecting it like they are actually protecting cows from being slaughtered...Everybody can see what the situation is; they are worse off than they were earlier.Apart from sugar cane, cows, and communal divide that you want to heal, anything else that will be an important issue?Unemployment is a very big issue.Notebandihas destroyed the informal economy. And then look at GST, look at farmers, first they declare MSP, then they import all the commodities from abroad. Last year, was there a need to import sugar? Three years ago, they imported wheat when there was a bumper crop. Two years ago, they imported lentils when there was an oversupply of it.They declared MSP but depressed the market price. So farmer doesn’t get the MSP. Then the electricity prices have gone up, double. Tractors used to be tax free but now been declared commercial vehicles and every year they have to pay tax. Now there is GST too if you are buying a tractor or its parts. Now they are saying, every 10 years you have to buy a new tractor. No farmer can afford it. They run them for 40 years. They have no idea of the rural economy. This has not only affected the farmers. That money circulated in the area. I tell these small businessmen and traders, if ₹10,000 crore is given as farmers’ sugar cane dues, in three months this will be all in your pockets. Everybody is affected right now.Have the dues been paid back to the sugar cane farmers?Mr. Modi has been saying that we have done so and we will pay in 14 days and he would not accept whatever the [actual] figures are. But it’s a plain and simple lie.RSS and BJP say other governments were corrupt and they are not...Ask any person in a village or town, ‘Has corruption increased?’ They all stand up and say ‘yes’. Forget everything, we need a PM in a democracy, who listens to everybody, consults everyone and then takes a decision. He [Mr Modi] doesn’t listen to anyone, doesn’t consult anyone or answer any questions or any press conference. We need a PM...chappan inch ki chaati theek hai, lekin dil bada hona chaiye(a 56-inch chest is fine but one must also be big-hearted). But Modi has no concern for the poor, oppressed, farmers and the unemployed.Are you happy with the three seats that have been given to you as part of the alliance (Muzaffarnagar, Baghpat and Mathura)?In a combination or seat adjustment, no party is ever happy. Therefore, the question is not that. It is larger. There may be all these seat differences, but in U.P., we didn’t take too much time to discuss and bicker about it... because everybody realises that it is not important.You expect that your core voter will stick with you in Baghpat and Muzaffarnagar. But in other seats where the SP and BSP are contesting, will your voters transfer to them?Yes, yes. As I said, I had gone to 10 districts...with those bhaichara meetings, so they understand.So Jats are also angry with the BJP?They are basically farmers and aggressive farmers. The farmer’s situation and the farming community feels they are being left out.On April 7, you, Akhilesh Yadav and Mayawati will hold a rally in Saharanpur, kicking off your joint campaign. How important is it for U.P. that you three have come together?Let me put it this way, in Gorakhpur, Phulpur and Kairana, the combination already existed. Now we have formalised it."
"
Christchurch: Filmmaker blames unchecked tech use
",https://www.thehindu.com/news/cities/Thiruvananthapuram/christchurch-filmmaker-blames-unchecked-tech-use/article26557338.ece,,,"Veteran filmmaker Kumar Shahani has said the Christchurch terror attack is a fallout of the unquestioned proliferation of technology.Speaking at a session on ‘Culture and Education’, organised as part of the Young Scholars Congress (YSC) here on Saturday, Mr. Shahani said the ghastly incident in New Zealand brought to the fore the rationality behind the patronage extended to the arms industry in the world.“It is high time we questioned the non-neutral use of technology that are being utilised. Technologies have become powerful so much that they are beyond scrutiny,” he said.He also criticised the reluctance shown by global leaders including United States President Donald Trump in demanding harsher gun control laws. “Mr. Trump has evaded from making a statement against the arms lobby. The proliferation of arms and ammunition has led to the emergence of militant powers who possessed the technology to wage wars,” Mr. Shahani said.He also drew parallels of the live streaming of the massacre in New Zealand with incidents that have occurred in India. “The mass rapes, which were filmed during the Surat riots in 1992, showed how imaging could be used for evil purposes. Such actions were fundamentally against human values,” he said.Noted poet Prabha Varma, academicians Meena T. Pillai, C. Padmanabhan and A. Pasalathil also participated in the session."
"
'Yellow Vest' protesters loot Paris stores
",https://www.thehindu.com/news/international/yellow-vest-ultimatum-rally-turns-violent-in-paris/article26554850.ece,"
A large crowd gathered on the Champs-Elysees avenue for the 18th straight week of anti-government protests.
",https://th.thgim.com/static/img/1x1_spacer.png,"Demonstrators looted stores on the Champs-Elysees avenue in Paris on Saturday, on the 18th week of ""Yellow Vest"" protests, characterised by an uptick in violence after dwindling participation in recent weeks.A Boss menswear store and the high-end Fouquet's restaurant were among the premises targeted as groups of masked protesters lobbed stones at police defending the Arc de Triomphe war memorial. The police responded with teargas and water cannon.After weeks of declining participation, France's ""yellow vest"" protest movement attempted to rebound with a major rally in Paris which quickly turned violent.A large crowd gathered on the Champs-Elysees avenue for the 18th straight week of anti-government protests which initially rocked President Emmanuel Macron's administration, forcing him to adopt more anti-poverty measures, but had appeared to fizzle in recent weeks.Police fired tear gas to disperse protesters who erected barricades near the Champs-Elysees in scenes reminiscent of some of the most tense “yellow vest” rallies.Saturday's attempted reboot coincides with the end of two months of public debates called by Mr. Macron to take the heat out of the protests, which repeatedly ended in rioting in December and January.The level of participation will be seen as a bellwether of support for the movement, which began in November over fuel tax hikes but quickly ballooned into an anti-Macron revolt.Last week, only around 28,000 people demonstrated nationwide, according to the authorities, a tenth of the numbers that turned out for the inaugural protest on November 17.The organisers of Saturday's protest presented it as an “ultimatum” to Mr. Macron, prompting fears of a return to the violence that characterised earlier rallies.Over 5,000 police were deployed.A large security cordon had been thrown up around the Champs-Elysees, where the Arc de Triomphe war memorial was sacked and stores looted and vandalised by protesters on December 1 in images that caused shock worldwide.In December, Mr. Macron attempted to stopper the movement by pledging €10 billion ($11.2 billion) in tax cuts and benefits for the low paid and pensioners.He also launched a “grand national debate” on the internet and town hall meetings to gather opinions on how the country could be reformed.Laurent Casanova, an engineer who was among the protesters, toldAFPhe had come to mark the end of the consultations.“We have been patient but now we want results,” he said.The protest is one of several planned in Paris on Saturday, where French climate campaigners are also planning a “March of The Century”."
"
Alka says will work to defeat BJP, hints at lack of democracy in AAP
",https://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/alka-says-will-work-to-defeat-bjp-hints-at-lack-of-democracy-in-aap/article26558440.ece,"
As suspense continues on her Cong. plan, AAP says it takes courage to quit MLA seat
",https://th.thgim.com/static/img/1x1_spacer.png,"Having said this week that she was ready to rejoin the Congress, Aam Aadmi Party MLA from Chandni Chowk Alka Lamba on Saturday said she would “work to defeat the BJP” when asked whether she would quit AAP.Alleging “lack of democracy” within AAP and “disrespect” towards MLAs by party convener and Delhi Chief Minister Arvind Kejriwal, Ms. Lamba said she would work against what the BJP stands for. After having been associated with the Congress for 20 years and being the National Students’ Union of India president, she had joined AAP in 2014 and was elected as an AAP MLA in 2015.With Ms. Lamba publicly talking about her disagreements with AAP, Congress general secretary in-charge of Delhi P.C. Chacko had on Friday said the party would “welcome” her back as she had been a “member of the family”.Chacko’s statementSpeaking toThe Hinduon Saturday, Ms. Lamba said she was thankful for Mr. Chacko’s statement, but no one from the Congress had approached her so far.Meanwhile, AAP spokesperson and Greater Kailash MLA Saurabh Bharadwaj took to Twitter to take a jibe at Ms. Lamba.“To join the Congress, Alka Lamba would need to resign from AAP. That would mean losing her MLA seat — the MLA seat which lured some to AAP, the MLA seat which many could not get even after serving Congress for 20+ years. It requires courage to leave that MLA seat,” Mr. Bharadwaj said.When asked to respond to Mr. Bharadwaj’s statement, Ms. Lamba said, “I take it as the official statement of the party since he is the spokesperson. I would like to ask the party about what has been done with me since December 21...What about the 15-20 MLAs who were disrespected by Mr. Kejriwal in a meeting with workers?”.She added that she had decided to “work to defeat the BJP” and would “work for the victory of thegathbandhancandidate from Chandni Chowk”, in case an AAP-Congress alliance for the upcoming Lok Sabha elections materialises.On December 21, 2018, AAP MLAs had moved a resolution seeking justice for the 1984 anti-Sikh riots’ victims.While reading the resolution, AAP MLA Jarnail Singh asked for the Bharat Ratna awarded to former Prime Minister Rajiv Gandhi to be withdrawn in context of some statements he made in the wake of his mother, then-Prime Minister Indira Gandhi’s assassination.Ms. Lamba had objected to the inclusion of this demand, and had offered to resign. Though the resolution was passed, senior AAP leaders had denied that the demand was included in the resolution and when the bulletin of the Assembly proceedings was published the next week, there was no mention of Rajiv Gandhi."
"
‘Yellow vest’ protesters loot stores in Paris
",https://www.thehindu.com/todays-paper/tp-international/yellow-vest-protesters-loot-stores-in-paris/article26557845.ece,"
Thousands of people converge on the Champs-Elysees as demonstrations enter 18th week
",https://th.thgim.com/static/img/1x1_spacer.png,"Demonstrators looted stores on the Champs-Elysees avenue in Paris on Saturday, on the 18th week of ‘yellow vest’ protests, characterised by an uptick in violence after dwindling participation in recent weeks. A Boss menswear store and the gourmet Fouquet’s restaurant were among the premises vandalised as groups of masked protesters lobbed stones at police defending the Arc de Triomphe war memorial.The police responded with tear gas and water cannon but failed to disperse the more radical protesters who erected burning barricades in scenes reminiscent of the worst “yellow vest” riots in the capital in December. The rally was called to coincide with the end of two months of public debates called by President Emmanuel Macron to give voters a forum to air their grievances and propose policy changes.The protesters have dismissed the debates as a smoke-screen.Focal pointThousands of people converged on the Champs-Elysees — focal point of the Paris protests over the past four months — for “Act XVIII” of a movement which had appeared to be running out of steam but whose core demands still enjoy broad public support. The Arc de Triomphe, which was sacked by protesters on December 1, was again the focal point of the unrest.Black-clad demonstrators encircled the square surrounding the arch, pelting the police with stones. “Macron, we’re coming to get you at home,” some of the protesters chanted, referring to the presidential palace near the Champs-Elysees. Thirty-one people had been arrested by mid-morning, the police said.Interior Minister Christophe Castaner condemned the violence as the work of “professional trouble-makers” who had “infiltrated” the march and said he had ordered police to “react with the greatest firmness to these unacceptable attacks.”Last week, only around 28,000 people demonstrated nationwide, according to the authorities, a tenth of the numbers that turned out for the inaugural protest on November 17."
"
Christchurch: Filmmaker blames unchecked tech use
",https://www.thehindu.com/todays-paper/tp-national/tp-kerala/unchecked-tech-use-caused-christchurch-shahani/article26558681.ece,,,"Veteran filmmaker Kumar Shahani has said the Christchurch terror attack is a fallout of the unquestioned proliferation of technology.Speaking at a session on ‘Culture and Education’, organised as part of the Young Scholars Congress (YSC) here on Saturday, Mr. Shahani said the ghastly incident in New Zealand brought to the fore the rationality behind the patronage extended to the arms industry in the world.“It is high time we questioned the non-neutral use of technology that are being utilised. Technologies have become powerful so much that they are beyond scrutiny,” he said.He also criticised the reluctance shown by global leaders including United States President Donald Trump in demanding harsher gun control laws. “Mr. Trump has evaded from making a statement against the arms lobby. The proliferation of arms and ammunition has led to the emergence of militant powers who possessed the technology to wage wars,” Mr. Shahani said.He also drew parallels of the live streaming of the massacre in New Zealand with incidents that have occurred in India. “The mass rapes, which were filmed during the Surat riots in 1992, showed how imaging could be used for evil purposes. Such actions were fundamentally against human values,” he said.Noted poet Prabha Varma, academicians Meena T. Pillai, C. Padmanabhan and A. Pasalathil also participated in the session."
"
President confers Padma awards ",https://www.thehindu.com/news/national/president-confers-padma-awards/article26553849.ece,"
Padma awards are conferred in two ceremonies with 47 dignitaries receiving the honour on March 11, and 54 were honoured on Saturday.
",https://th.thgim.com/static/img/1x1_spacer.png,"Folk Singer Teejan Bai, Larsen and Toubro chairman Anil Kumar Naik, scientist S. Nambi Narayanan, actor Manoj Bajpayee and 106-year-old environmentalist Saalumarada Thimmakka were among the 54 noted citizens to be conferred with the Padma award by President Ram Nath Kovind here on Saturday.Teejan Bai and Naik received the second highest civilian award Padma Vibhushan. RSS leader, Darshan Lal Jain who is trying to find the mythical river Saraswati, MDH founder CEO Mahashay Dharam Pal Gulati, medical professional Ashok Laxmanrao Kukade, Nambi Narayanan, mountaineer Bachendri Pal and former CAG V.K. Shunglu were among those awarded Padma Bhushan.The ceremony in the imposing Durbar Hall of Rashtrapati Bhavan saw the attendance of Prime Minister Narendra Modi, his cabinet colleagues Rajnath Singh, Harsh Vardhan, Rajyavardhan Singh Rathore, Vijay Goel besides senior BJP leader L.K. Advani and senior government officials.As many as 112 ‘inspiring’ personalities were selected for this year’s Padma awards and their names were announced on the eve of Republic Day this year. The awards were conferred in two ceremonies with 47 dignitaries receiving the honour on March 11, while 54 were honoured on Saturday.Besides Manoj Bajpayee who was conferred Padma Shri for his portrayal of unconventional and critically acclaimed roles on-screen, noted tabla player of Lucknow Gharana Swapan Chaudhuri, lawyer H.S. Phoolka who fought a long legal battle for 1984 anti-Sikh riots victims, scientist Sudam Laxman Kate considered a pioneer in sickle cell research, veteran archaeologist Muhammed K.K. and particle physicist Rohini Madhusudan Godbole also received the award.Former editor of RSS mouthpiece ‘Panchjanya’ Devendra Swarup was conferred Padma Shri posthumously. A pracharak for 13 years, Swarup enjoyed close relations with four RSS Sarsanghachalak from M S Golwalkar to K.S. Sudarshan, according to an article published in Organiser after his death. His wife received the award.Daitari Naik, 70-year old tribal from Keonjhar district in Odisha who single-handedly dug a 3 km-long canal with mere hoe and crowbar to bring water to his field in village Baitarani was conferred Padma Shri in ‘social work’ category. Saalumarada Thimmakka who has planted thousands of trees over a period of 65 years, earning the sobriquet of ‘Vriksha Mathe’ for taking care of them as her children, was also conferred the coveted award.Tsering Norboo, a surgeon based in Ladakh, who served for 50 years in remote and high altitude regions; Chinnapillai, a woman farmer who led microfinance in Tamil Nadu through her Kalanjiam movement; and Rajeshwar Acharya, a Hindustani singer were among the recipients of Padma Shri. Footballer Sunil Chhetri, archer L Bombayla Devi, cricketer Gautam Gambhir, captain of Indian women’s basketball team Prashanti Singh were also conferred Padma Shri by the President.Bhojpuri singer Heera Lal Yadav, plastic surgeon Ramaswami Venkataswami who works for acid attack victims, farmer Bharat Bhushan Tyagi who promotes organic farming, archaeologist Sharada Srinivasan, former IPS Jyotinivas Kumar Sinha, pisciculturist Sultan Singh, Sanskrit scholars Brijesh Kumar Shukla and Mohammad Hanif Khan Shastri also received Padma Shri.Other notable recipients included nature photographer Anup Shah, tea seller Devarapalli Prakash Rao who provide free education to poor children, Director PGI Chandigarh Jagat Ram, tribal activist Kamala Pujari who preserves endangered seeds, farmer from Jhalawar Hukamchand Patidar, promoter of Chhattisgarhi tribal music Anup Ranjan Pandey, first transgender Bharatnatyam dancer Narthaki Nataraj, Bundeli folk writer Kailash Madbaiya, Kutchi rogan artist Abdul Gafur Khatri and papier mache artist Fayaz Ahmad Jan.Dogri poet Narsingh Dev Jamwal, folk writer Joraversinh Danubhai Jadav, social worker Droupadi Ghimiray, Madhubani painter Godawari Dutta, Parsi Gujarati theatre artist Dinyar R Contractor, Telugu lyricist Sirivennela Seetharama Sastry Chembolu, organic farmer Kanwal Singh Chauhan, Sayyad Shabbir alias Chabbu Sayyad Budhan who cares for cows, German national Friederike Irina Bruning who takes care of sick cows, Uttarakhandi folk singer Pritam Bhartwan, epidemiologist Omesh Kumar Bharti and grass root innovator Uddhab Kumar Bharali were also conferred Padma Shri.This year’s awardees were selected from across the nation and segments of society, with the government going beyond excellence and recognising larger impact and the awardees’ selfless service, an official said. The nomination process for Padma awards was made online in 2016 and a simple, accessible and secure platform was put in place to encourage citizens at large to participate. Erstwhile ‘Government Awards’ transformed into ‘Peoples Awards’, another official said.A record 50,000 nominations were received for the 2019 awards, over 20 times more than 2014, when there were just 2,200 nominations."
"
’84 riots accused used political clout to derail trial: CBI
",https://www.thehindu.com/news/cities/Delhi/84-riots-accused-used-political-clout-to-derail-trial-cbi/article26549624.ece,"
Agency tells SC that Sajjan Kumar influenced witnesses; next hearing on March 25
",https://th.thgim.com/static/img/1x1_spacer.png,"Former Congress leader Sajjan Kumar has been using his “large political clout” to derail trial and influence witnesses in cases related to the 1984 anti-Sikh riots, CBI told the Supreme Court on Friday.Uphold life termIt sought that life term given to him should be upheld.Kumar (73) has challenged in the top court the Delhi High Court’s December 17, 2018, verdict sentencing him to life term in a case related to killing of five Sikhs in Delhi Cantonment’s Raj Nagar Part-I of south-west Delhi on November 1 and 2, 1984, and burning down of a Gurudwara in Raj Nagar Part-II.In response to Kumar’s application seeking suspension of sentence and grant of bail, CBI said he is capable of “influencing/terrorising witnesses” and fair trial would not be possible in the case pending against him, if granted bail. The CBI said brutal murders during the 1984 riots fall under the category of “crimes against humanity on parity with well known genocides worldwide like large scale killing of Armenians by Kurds and Turks, mass extermination of Jews by Nazis, mass killing of Bangladeshi citizens by the sympathisers of Pakistani Army and mass killing during various ethnic riots within India also”.The matter came up for hearing on Friday before a bench of Justices S.A. Bobde and S. A. Nazeer. It has fixed the case for further hearing on March 25."
