title,url,publishedDate,dateObject
"
The Nawabs played Holi ",https://www.thehindu.com/todays-paper/tp-features/tp-metroplus/the-nawabs-played-holi/article26564375.ece,18 Mar 2019,2019-03-18 00:00:00
"
Narendra Modi has no concern for the poor, oppressed, farmers: Ajit Singh ",https://www.thehindu.com/elections/lok-sabha-2019/modi-has-no-concern-for-the-poor-oppressed-farmers-ajit-singh/article26561218.ece,17 Mar 2019,2019-03-17 00:00:00
"
Alka says will work to defeat BJP, hints at lack of democracy in AAP ",https://www.thehindu.com/news/cities/Delhi/alka-says-will-work-to-defeat-bjp-hints-at-lack-of-democracy-in-aap/article26558990.ece,17 Mar 2019,2019-03-17 00:00:00
"
Christchurch: Filmmaker blames unchecked tech use ",https://www.thehindu.com/news/cities/Thiruvananthapuram/christchurch-filmmaker-blames-unchecked-tech-use/article26557338.ece,17 Mar 2019,2019-03-17 00:00:00
"
‘Yellow vest’ protesters loot stores in Paris ",https://www.thehindu.com/todays-paper/tp-international/yellow-vest-protesters-loot-stores-in-paris/article26557845.ece,17 Mar 2019,2019-03-17 00:00:00
"
Alka says will work to defeat BJP, hints at lack of democracy in AAP ",https://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/alka-says-will-work-to-defeat-bjp-hints-at-lack-of-democracy-in-aap/article26558440.ece,17 Mar 2019,2019-03-17 00:00:00
"
Christchurch: Filmmaker blames unchecked tech use ",https://www.thehindu.com/todays-paper/tp-national/tp-kerala/unchecked-tech-use-caused-christchurch-shahani/article26558681.ece,17 Mar 2019,2019-03-17 00:00:00
"
'Yellow Vest' protesters loot Paris stores ",https://www.thehindu.com/news/international/yellow-vest-ultimatum-rally-turns-violent-in-paris/article26554850.ece,16 Mar 2019,2019-03-16 00:00:00
"
President confers Padma awards ",https://www.thehindu.com/news/national/president-confers-padma-awards/article26553849.ece,16 Mar 2019,2019-03-16 00:00:00
"
Thais flock to tattoo fest, Yellow vest protesters loot Paris stores, and other news in pictures ",https://www.thehindu.com/news/news-in-pictures-march-16-2019/article26552375.ece,16 Mar 2019,2019-03-16 00:00:00
"
’84 riots accused used political clout to derail trial: CBI ",https://www.thehindu.com/news/cities/Delhi/84-riots-accused-used-political-clout-to-derail-trial-cbi/article26549624.ece,16 Mar 2019,2019-03-16 00:00:00
"
Sajjan Kumar used political clout to derail trial: CBI ",https://www.thehindu.com/todays-paper/tp-national/sajjan-kumar-used-political-clout-to-derail-trial-cbi/article26551282.ece,16 Mar 2019,2019-03-16 00:00:00
"
1984 riots: Sajjan Kumar used political clout to derail trial & influence witnesses, CBI tells SC ",https://www.thehindu.com/todays-paper/tp-national/1984-riots-sajjan-kumar-used-political-clout-to-derail-trial-influence-witnesses-cbi-tells-sc/article26550623.ece,16 Mar 2019,2019-03-16 00:00:00
"
Case booked against Stalin’s son-in-law ",https://www.thehindu.com/news/national/tamil-nadu/case-booked-against-stalins-son-in-law/article26538070.ece,15 Mar 2019,2019-03-15 00:00:00
"
City Police Commissioner to review rowdy-sheet after Lok Sabha polls ",https://www.thehindu.com/todays-paper/tp-national/tp-karnataka/city-police-commissioner-to-review-rowdy-sheet-after-lok-sabha-polls/article26539718.ece,15 Mar 2019,2019-03-15 00:00:00
"
Riot of colours ",https://www.thehindu.com/todays-paper/tp-national/tp-otherstates/riot-of-colours/article26539445.ece,15 Mar 2019,2019-03-15 00:00:00
"
Case booked against Stalin’s son-in-law ",https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/case-booked-against-stalins-son-in-law/article26539322.ece,15 Mar 2019,2019-03-15 00:00:00
"
When the valley comes alive ",https://www.thehindu.com/todays-paper/tp-features/tp-fridayreview/when-the-valley-comes-alive/article26540971.ece,15 Mar 2019,2019-03-15 00:00:00
"
When the valley comes alive ",https://www.thehindu.com/todays-paper/tp-features/tp-fridayreview/when-the-valley-comes-alive/article26540993.ece,15 Mar 2019,2019-03-15 00:00:00
