title,url,keywords,imageUrl,content
Dreaded gangster’s aide held in murder of main witness in Muzaffarnagar riot case,https://timesofindia.indiatimes.com/city/meerut/dreaded-gangsters-aide-held-in-murder-of-main-witness-in-muzaffarnagar-riot-case/articleshow/68444900.cms,"Meerut news, Meerut latest news, Meerut news live, Meerut news today, Today news Meerut, Uttar Pradesh,robbery,muzaffarnagar,Murder,meerut","https://timesofindia.indiatimes.com/thumb/msid-68449324,imgsize-87667,width-400,resizemode-4/68449324.jpg","MEERUT: Four days after the main witness in aMuzaffarnagarriot case was shot dead in a busy Muzaffarnagar market, UP police on Saturday arrested one of the accused and also recovered the motorcycle and pistol used in the crime.Ashbab (35) was shot dead in Muzaffarnagar’s busy Indira Murti stretch on Monday night. Two men riding pillion on a motorcycle had opened indiscriminate fire at the 35-year-old milk vendor, killing him on the spot just days before he was to appear in a local court as the main witness in the murders of his two brothers lynched during the peak of 2013 Muzaffarnagar riots.Police also revealed that western Uttar Pradesh’s notorious gangster Sushil Mooch’s son, Tony, was trying to strike a compromise in the case on behalf of the accused, and ordered themurderofAshbab when he refused to relent.Police had booked Tony, his aide Deepak Chaudhary alias Vasu and four others for the murder.Choudhary was nabbed on Saturday afternoon. According to sources, absconding gangster Sushil Mooch runs a racket through his sons, including Tony. They take money from the accused and try to strike an out-of-court compromise with the victims in the crime-prone region.Muzaffarnagar SSP Sudhir Kumar said: “Choudhary is one of the aides of Sushil Mooch. Tony, Mooch’s son had tried to strike a compromise in the case, which had failed.” Police have announced a reward of Rs 1 lakh on any information leading to the arrest ofMooch. He is wanted in several cases of murder androbbery.Apart from Tony and Choudhary, four more persons -- who were also named in the charge-sheet of the riot case -- have been named in the murder of Ashbab.“A manhunt is on to nab others,” the SSP said.His lawyer, Nasir Ali told TOI that Ashbab was getting threats and had even approached police with a complaint in February.“All the six accused are out on bail now. Ashbab was the key witness in the case, and its next hearing is on March 25. He was being constantly pressurized to make compromise. Fearing that he will be killed, Ashbab had even approached police in February and filed a complaint,” Ali said."
"Teachers, parents booked for rioting at school",https://timesofindia.indiatimes.com/city/nagpur/teachers-parents-booked-for-rioting-at-school/articleshow/68247319.cms,"Nagpur news, Nagpur latest news, Nagpur news live, Nagpur news today, Today news Nagpur, teachers,Sikh,rioting at school,parents booked for rioting at school,Guru Nanak","https://timesofindia.indiatimes.com/thumb/msid-68251410,imgsize-421254,width-400,resizemode-4/68251410.jpg","NAGPUR: Heavy drama was witnessed at theGuru NanakPrimary school, Bezonbagh, on Saturday after a group of teachers and parents got into a tussle with the principal of the school following a ‘surprise test’ of Std IV students.Following the fracas, around 12 teachers and several parents have been booked for rioting, assault and unlawful assembly by Jaripatka police following the complaint by headmistress Pearl Michael.The accused teachers are identified as Sarika Karde, R Ghash, Baimal Joseph, Mamta Dandekar, Shivani Rao, Shiba Vinoi, V Kalsi, Khushali Raut, Devendra Hulke, Achatra Chanchlani, P Chavhan, Rohit Kachva along with some parents.According to the complaint, Michael had gone to take a surprise test for the students of Std IV-C and asked the class teacher Devendra Hulke to let others handle the test. However, Hulke allegedly opposed the headmistress and asked students to tear up the paper. Following which the student tear up the papers and Hulke along with other teachers and parents barged into the Michael’s office and created ruckus.One of the lady peon who was shooting the whole incident on her phone was also allegedly assaulted by the teachers who also broke her cell-phone. Following the incident, Michael approached Jaripatka police station and registered a case against the teachers and parents.Hulke told TOI, “It is a conspiracy against the teachers to harass them as we stood against the management’s decision to close down the school. I was sent out by madam headmistress out of the class, still they are claiming that I asked students to tear-up the papers.”“They had given me a letter, when I was on a three day leave to go to Delhi regarding our case against management, claiming that I am not giving my full attention to students so a surprise test will be conducted. It is never heard of that a surprise test is conducted for students without even telling the class teacher. We are only being targeted and harassed because we stood against management’s decision,” added HulkeCEO and general secretary of Sikh education society Sarabjit Kalsi said, “We were concerned about the education of students as the exams are nearing. That is why we had decided to conduct the surprise test. We had even given letter to Hulke that such a test will be conducted as we suspected that he was not giving proper education to the students due to his other priorities.”“Our only concern is students and we want to give them best education that is why we had conducted the test, but the teachers and some parents created ruckus at the school,” added Kalsi."
"Dissolve Madanpur housing society, demand 1984 riot victims",https://timesofindia.indiatimes.com/city/chandigarh/dissolve-madanpur-housing-society-demand-1984-riot-victims/articleshow/68438193.cms,"Chandigarh news, Chandigarh latest news, Chandigarh news live, Chandigarh news today, Today news Chandigarh, Punjab (region),Mohali,Banda Singh Bahadur,1984 anti-Sikh riots","https://timesofindia.indiatimes.com/thumb/msid-68438226,imgsize-220026,width-400,resizemode-4/68438226.jpg","MOHALI: Addressing a conference on Friday, victims of1984 anti-Sikh riotsin Delhi and members of Madanpur Cooperative Housing Building Society in Chapparchiri,Mohali, said they were on the verge of losing hope of getting houses. They alleged that the office bearers of the society in connivance with staff of the cooperative society were trying to sell 85-acre land, which is worth several crores, to real estate builders. They further demanded immediate dissolution of cooperative society.Addressing the media, society members Jasbir Singh Kalsi and Iqbal Singh said that Madanpur society was formed 35 years ago. They said that the society had 98.5 acres of agriculture land, of which 15 had already been acquired by the Punjab government for constructing BabaBanda Singh BahadurMemorial in Chappar Chiri village.""The president and general secretary of the society never informed the members about the Rs 12 crore compensation that was paid by the state government. About 300 members of the society have died and no one came forward to claim the compensation. Not only this, office bearers also constructed a building on a 400 square yard plot, without sanctioning the plan of the building from the cooperative society,"" said Manmeet and Mandeep.Meanwhile, the deputy commissioner Gurpreet Kaur Spara said that she had marked an inquiry into the matter. ""Further action will be taken once the report is submitted into the matter,"" she said."
"Muzaffarnagar riots: 'How long will we suffer', kin of slain witness",https://timesofindia.indiatimes.com/city/meerut/mnagar-riots-how-long-will-we-suffer-kin-of-slain-witness/articleshow/68399630.cms,"Meerut news, Meerut latest news, Meerut news live, Meerut news today, Today news Meerut, slain,muzaffarnagar,khatauli,bullet,2013 Muzaffarnagar riots",https://timesofindia.indiatimes.com//static.toiimg.com/photo/34824568.cms,"MUZAFFARNAGAR: “We were constantly harassed and pressurised to reach a compromise by the accused, who were out on bail. But Asbab was too determined to get deterred by the constant threats. He paid with his life eventually,” lamented Asbab’s father Akhtar (65).Asbab (35), the main witness in the murders of his two brothers lynched during the peak of 2013Muzaffarnagarriots, received at least five bullets and died on the spot in Muzaffarnagar’s busy Indira Murti stretch on Monday night. The assailants haven’t been identified as yet. and the grief-struck family has just one question on their lips — “How long are we going to suffer?”Subsequently, tension has gripped the region and fearing threat to their life, Asbab's family has demanded for police security. Ashbab is survived by wife and three children.“I lost two of my sons in 2013 and now Asbab too. Even moving out of the area didn’t help us. We want justice,” said Akhtar.Asbab’s sister recounts that his brother had full faith in the judicial system and did not want to withdraw the case of his brothers’ killing. Kamil, Asbab’s brother-in-law, said “He moved toKhataulibecause he wanted a safe place for his family, but all in vain. The killers found him.”Meanwhile, police claims to be close to cracking the case. However, so far, the police has only revealed that the killers were professionals. Sudhir Kumar, senior superintendent of police, said, “Looking at the way the murder was orchestrated, we can ascertain that the murderers were indeed professionals. We have formed four police teams and we are very close to disclosing the matter.”"
Gujarat riots: Supreme Court bail for Babu Bajrangi,https://timesofindia.indiatimes.com/india/gujarat-riots-supreme-court-bail-for-babu-bajrangi/articleshow/68328164.cms,"India, India news, India news today, Today news, Google news, Breaking news, Naroda Patiya massacre,bajrang dal,Bail,Babu Bajrangi,2002 Gujarat riots",https://timesofindia.indiatimes.com//static.toiimg.com/photo/34824568.cms,"NEW DELHI: The SC has grantedbailto formerBajrang DalleaderBabu Bajrangi, jailed for 21 years in the Naroda Patiya case in which 97 people were killed during the2002 Gujarat riots, due to his medical condition. He claimed to be “100% blind”.The SC noted that the state government has verified Bajrangi’s medical certificates."
Tran Aadi Liti is a laugh riot on friendship and art,https://timesofindia.indiatimes.com/entertainment/gujarati/theatre/tran-aadi-liti-is-a-laugh-riot-on-friendship-and-art/articleshow/68371010.cms,"Yash Soni,tran aadi liti,theatre,play,Gujarati,Drama,art",https://timesofindia.indiatimes.comNone,"Theatre ReviewDirector: Henil GandhiDuration: 1 hour 20 minutesCast: Yash Soni, Kishan Gadhavi, Pratik RathodRating: 2.5 starsWhat happens when ego and everyday reality of life come between friends? How well our friends adapt to our constant evolution and outlook towards life? These are the questions that the sixth show ofTran Aadi Liti, aGujaratiminimalistic and verbose comedydramathat was staged at the Ouroboros Art Hub Blackbox Theatre in Ahmedabad recently evoked among the audience.Directed by Henil Gandhi and written by Keka Mehta, the all-male youth oriented niche play has been adapted for the fun-loving Gujarati audience from a French play titled Art by Yasmin Raza.The first scene opens with a narration of how a painting having only three lines has been bought for `5 crore by Hemang (played by Yash Soni) and has led to a faceoff between him and his childhood friend Aakash (Pratik Rathod) even as their friend Vishal (Kishan Gadhavi) tries to mediate. Vishal tells Hemang that he likes the painting just to make him happy but instead draws wrath from Aakash. The play is a fun take on the lies we tell our friends often putting them in a tight position and the leg-pulling that goes in between along with the remarks on wedding venue that every host family has to hear from relatives even as the bride pronounces a Sabyasachi lehenga assaagbhajilehenga.While Yash is convincing in his role of Hemang as a divorced doctor and a passionate art collector, Pratik’s portrayal of the serious minded no-nonsense attitude role of Aakash makes you wonder about the hero and the anti-hero even as Kishan steals the show as he makes you laugh with his portrayal of confused saree salesman Vishal facing pre-marital anxiety. The hand sanitiser using, pill popping role of Aakash stays with you even as Hemang gets personal and blames Aakash’s female friend for his OCD.The realistic play has a suggestive set and lights have been mindfully used by Nisarg Purohit in each character’s brief monologue at the start and the end. It would have been a better experience for the around 100 audience had there not been long pauses in switching from one scene to the other and the actors had used a mike.However, on dialogues likesab moh maya haiandmaara pota vala no lagan e vaadi me thatu ayu hai to shu, mari bayari ke chhe ena mota saga vala tya nath aayemakes the audience erupt into bouts of laughter.Still, the comical satire on modern art, astrology, yoga, societal expectations and marriage stays true to entertainment while striking a chord with themamra-loving Amdavadi audience that loves to eat out at a fancy restaurant while blaming the ‘dry state’.Watch it for a hearty laugh with your friends."
Muzaffarnagar riots case witness killed on busy stretch just days before hearing,https://timesofindia.indiatimes.com/city/meerut/uttar-pradesh-riots-case-witness-killed-on-busy-stretch/articleshow/68384596.cms,"Meerut news, Meerut latest news, Meerut news live, Meerut news today, Today news Meerut, Uttar Pradesh,UP riots,riots,muzaffarnagar,meerut,khatauli,Indian Penal Code","https://timesofindia.indiatimes.com/thumb/msid-68384594,imgsize-111655,width-400,resizemode-4/68384594.jpg","MUZAFFARNAGAR: A 35-year old man, who was a witness to the murder of his two brothers during the 2013 Muzaffarnagarriots, was shot dead here late on Monday night, just two weeks before he was to appear for the next hearing in the ongoing trial.Two men on a motorcycle opened indiscriminate fire at Ashbab, who worked as a milk vendor, at Muzaffarnagar’s busy Indira Murti stretch on Monday night. He was hit by at least five bullets and died on the spot.Ashbab’s lawyer Nasir Ali told TOI that his client was getting threats and had even complained to police in February. “All the six accused are out on bail now. Ashbab was the key witness in the case, and its next hearing is on March 25. He was being constantly pressured to reach a compromise. Fearing that he would be killed, Ashbab had even approached police in February and filed a complaint,” Ali said.‘For me, the riots are still on’Superintendent of police Satpal Antil said: “The shooters were captured on CCTV cameras. We are screening the footage to identify them.”Reacting to the killing, Ashbab’s father Akhtar, 65, said: “We used to live in Kheri Tagaan village near Mansoorpur town of Muzaffarnagar. We fled after the riots, leaving everything behind. During the riots, two of my sons — Nawab and Shaheed — were murdered and Ashbab was a witness to that. He was under constant threat.”After a brief pause, Akhtar added: “For me the riots are still on.” When asked about the motive, he said: “We have no enmity with anyone. I suspect that this murder is connected to the ongoing trial. They killed my two sons and wanted to compromise. Ashbab never agreed to it.” Police have already filed a chargesheet in the case. However, all the six accused were freed on bail during the course of the trial.KhatauliSHO Harsharan Sharma said: “A case under Section 302 (murder) of theIndian Penal Codehas been registered against unidentified people.”Ashbab was buried on Tuesday after a post-mortem examination.Read the story in Bengali"
"'BJP-instigated' riots pushed Muzaffarnagar 20 years backward, says Ajit Singh",https://timesofindia.indiatimes.com/city/meerut/bjp-instigated-riots-pushed-muzaffarnagar-20-years-backward-says-ajit-singh/articleshow/68338409.cms,"Meerut news, Meerut latest news, Meerut news live, Meerut news today, Today news Meerut, says Ajit Singh,Rashtriya Lok Dal,muzaffarnagar,lok sabha,Jayant Chaudhary,baghpat,Ajit Khan","https://timesofindia.indiatimes.com/thumb/msid-68340710,imgsize-945201,width-400,resizemode-4/68340710.jpg","MUZAFFARNAGAR:Rashtriya Lok Dal(RLD) chief Ajit Singh launched a scathing attack on BJP on Saturday alleging that riots “instigated” by it in 2013 pushedMuzaffarnagar20 years backward.Visiting Muzaffarnagar for the first time after sealing alliance with heavyweights SP and BSP, the RLD chief said: “It was BJP that perpetrated worst riots here and pushed this industrial city at least 20 years back.”The RLD chief also attacked Prime Minister Narendra Modi. “Under Modi regime, democracy is in danger and all the institutions have been destroyed. Today, there is no guarantee if people will get justice or proper investigations will be done by CBI,” Singh alleged.Lok SabhaMP fromBaghpat, Singh has relinquished the seat for his son,Jayant Chaudharythis time. The other two seats from which RLD will field candidates are Mathura and Muzaffarnagar.Addressing a public meeting, Singh said: “Muzaffarnagar had a very high per capita income before the riots broke out in 2013. There were 87 factories, including steal plants, in the district. But most of them closed down after the clashes. Hundreds of workers were left jobless. Even farmers were also affected by the riots.”Several local SP and BSP leaders were also present in the meeting.Later, Singh told media: “BJP will try to instigate more clashes in Muzaffarnagar to divert attention.”Singh also went to the house of Madanpal Singh, who suffered heart attack after policemen picked up his son from home.The incident occurred on Wednesday when police raided a home in Makhyali village and arrested a criminal, Monu. However, the father of Monu, Madanpal Singh, got a heart attack due to “shock and fear” and died on way to hospital. Later, Nai Mandi police station SHO and several other policemen were booked under several sections of IPC."
Riot of colours set Coimbatore aglow,https://timesofindia.indiatimes.com/city/coimbatore/riot-of-colours-set-coimbatore-aglow/articleshow/68250669.cms,"Coimbatore news, Coimbatore latest news, Coimbatore news live, Coimbatore news today, Today news Coimbatore, Zumba,Run,Party,Neon","https://timesofindia.indiatimes.com/thumb/msid-68250669,width-400,resizemode-4/68250669.jpg","It’s not often that you see an entire stretch bathed in colours. The Neonrunheld at one of the malls in Saravanampatti on Saturday evening was just that. As people gathered at the venue flaunting some colourful jerseys and glow-in-the-dark accessories, there was glimmer everywhere. The event began with azumbawarm up session by city-based Zumba instructor Shabhna Sriramakrishna after which participants walked, jogged and ran.Some were even spotted talking selfies and making new friends while on the move. The event was a perfect concoction ofpartyand marathon, thus bringing fun into fitness regime. The theme-based run culminated with an electrifying party. As DJ Vanessa churned out some heavy-duty numbers behind the turntable, participants danced like there was no tomorrow. The finishers of the marathon were given medals. Shorteats and beverages followed as the participants made the most of the evening."
AAP MLA convicted in 2013 rioting case,https://timesofindia.indiatimes.com/city/delhi/aap-mla-convicted-in-2013-rioting-case/articleshow/68087232.cms,"Delhi news, Delhi latest news, Delhi news live, Delhi news today, Today news Delhi, rioting,Prakash Jarwal,Policemen,court,conviction,assault,aap mla,2013 rioting case,2013","https://timesofindia.indiatimes.com/thumb/msid-68087511,imgsize-225538,width-400,resizemode-4/68087511.jpg","NEW DELHI: AAP MLAPrakash Jarwaland two others were convicted on Tuesday by a Delhicourtfor assaulting police personnel andriotingin2013. The court observed that the violence, which was an outcome of a mob protesting a murder, stemmed from an unlawful assembly that adopted non-peaceful means to protest.Additional chief metropolitan magistrate Samar Vishal had no doubt that the assembly was unlawful as it caused traffic jam, besides indulging in violence, as part of a common intention. “Prosecution has proved all the three accused to be members of unlawful assembly and being involved in assaulting the police personnel,” the judge noted.The court held that Jarwal, Salim and Dharam Prakash were part of the assembly and assaulted police constables and an assistant sub-inspector. Besides, the violence also resulted in damage of a DTC bus and a few motorbikes. The three accused, therefore, were held guilty under the relevant provision of Prevention of Damage to Public Property Act.The incident took place on August 30, 2013 when a mob of about 300 persons resorted to stone pelting. The protest was in retaliation to a murder and supposed inaction on the police’s part. A few members of the mob were allegedly provoking the rest to resort to violence. The mob, according to the case, did not pay heed to the police’s appeal to maintain peace, instead ripped off their uniform.Jarwal claimed innocence and took the plea of alibi saying he was not present at the crime scene, but attending to people’s queries at office. He also submitted that it was a political conspiracy against him to defame his image. Akin to Jarwal, the others, too, raised the plea of alibi.The court, however, found no reasons to discredit prosecution witnesses when the defense raised none. Besides, there was no delay in the registration of FIR and the names of accused had figured in the initial complaint itself. “They have been identified by the witnesses as being on the spot,” the court held.Arguments on the quantum of punishment will be heard on March 13."
