title,url,publishedDate,dateObject,src,lang,og_title
"
Dreaded gangster’s aide held in murder of main witness in Muzaffarnagar riot case
",https://timesofindia.indiatimes.com/city/meerut/dreaded-gangsters-aide-held-in-murder-of-main-witness-in-muzaffarnagar-riot-case/articleshow/68444900.cms,17 Mar 2019,2019-03-17 08:08:46,timesofindia,en,
"Dissolve Madanpur housing society, demand 1984 riot victims",https://timesofindia.indiatimes.com/city/chandigarh/dissolve-madanpur-housing-society-demand-1984-riot-victims/articleshow/68438193.cms,16 Mar 2019,2019-03-16 07:55:23,timesofindia,en,
"
Muzaffarnagar riots: 'How long will we suffer', kin of slain witness
",https://timesofindia.indiatimes.com/city/meerut/mnagar-riots-how-long-will-we-suffer-kin-of-slain-witness/articleshow/68399630.cms,14 Mar 2019,2019-03-14 09:34:28,timesofindia,en,
"
Muzaffarnagar riots case witness killed on busy stretch just days before hearing
",https://timesofindia.indiatimes.com/city/meerut/uttar-pradesh-riots-case-witness-killed-on-busy-stretch/articleshow/68384596.cms,13 Mar 2019,2019-03-13 11:05:11,timesofindia,en,
"
Tran Aadi Liti is a laugh riot on friendship and art
",https://timesofindia.indiatimes.com/entertainment/gujarati/theatre/tran-aadi-liti-is-a-laugh-riot-on-friendship-and-art/articleshow/68371010.cms,12 Mar 2019,2019-03-12 07:26:26,timesofindia,en,
"'BJP-instigated' riots pushed Muzaffarnagar 20 years backward, says Ajit Singh",https://timesofindia.indiatimes.com/city/meerut/bjp-instigated-riots-pushed-muzaffarnagar-20-years-backward-says-ajit-singh/articleshow/68338409.cms,10 Mar 2019,2019-03-10 00:00:00,timesofindia,en,
"
Gujarat riots: Supreme Court bail for Babu Bajrangi
",https://timesofindia.indiatimes.com/india/gujarat-riots-supreme-court-bail-for-babu-bajrangi/articleshow/68328164.cms,09 Mar 2019,2019-03-09 00:00:00,timesofindia,en,
"
Teachers, parents booked for rioting at school
",https://timesofindia.indiatimes.com/city/nagpur/teachers-parents-booked-for-rioting-at-school/articleshow/68247319.cms,04 Mar 2019,2019-03-04 00:00:00,timesofindia,en,
"
Riot of colours set Coimbatore aglow
",https://timesofindia.indiatimes.com/city/coimbatore/riot-of-colours-set-coimbatore-aglow/articleshow/68250669.cms,04 Mar 2019,2019-03-04 00:00:00,timesofindia,en,
"
Waste management and a riot of colours at Noida Flower Show
",https://timesofindia.indiatimes.com/city/noida/waste-management-and-a-riot-of-colours-at-noida-flower-show/articleshow/68138383.cms,25 Feb 2019,2019-02-25 00:00:00,timesofindia,en,
"The Kapil Sharma Show February 23, 2019, Highlights: Manoj Tiwari, Suneil Shetty, Sohail Khan and other stars turn into a laughter riot for the day",https://timesofindia.indiatimes.com/tv/news/hindi/the-kapil-sharma-show-february-23-2019-highlights-manoj-tiwari-suneil-shetty-sohail-khan-and-other-stars-turn-into-a-laughter-riot-for-the-day/articleshow/68133804.cms,24 Feb 2019,2019-02-24 00:00:00,timesofindia,en,
AAP MLA convicted in 2013 rioting case,https://timesofindia.indiatimes.com/city/delhi/aap-mla-convicted-in-2013-rioting-case/articleshow/68087232.cms,20 Feb 2019,2019-02-20 00:00:00,timesofindia,en,
"
Right-wing activists booked for rioting on college campus
",https://timesofindia.indiatimes.com/city/bareilly/right-wing-activists-booked-for-rioting-on-engineering-college-campus-in-moradabad/articleshow/68054463.cms,19 Feb 2019,2019-02-19 00:00:00,timesofindia,en,
38 booked for rioting during protests,https://timesofindia.indiatimes.com/city/ahmedabad/38-booked-for-rioting-during-protests/articleshow/68039663.cms,17 Feb 2019,2019-02-17 00:00:00,timesofindia,en,
"Schoolgirl death: Driver held, 70 booked for rioting",https://timesofindia.indiatimes.com/city/ghaziabad/schoolgirl-death-driver-held-70-booked-for-rioting/articleshow/68039937.cms,17 Feb 2019,2019-02-17 00:00:00,timesofindia,en,
Delhi High Court seeks AAP government's reply on 1984 riots convict's parole plea,https://timesofindia.indiatimes.com/city/delhi/delhi-high-court-seeks-aap-governments-reply-on-1984-riots-convicts-parole-plea/articleshow/68017041.cms,15 Feb 2019,2019-02-15 00:00:00,timesofindia,en,
"
Fresh case of rioting, murder bid against AMU students
",https://timesofindia.indiatimes.com/city/agra/fresh-case-of-rioting-murder-bid-against-amu-students/articleshow/68015635.cms,15 Feb 2019,2019-02-15 00:00:00,timesofindia,en,
"Mumbai: 26 years after riots, bakery trial begins, two turn hostile",https://timesofindia.indiatimes.com/city/mumbai/mumbai-26-years-after-riots-bakery-trial-begins-two-turn-hostile/articleshow/67984543.cms,13 Feb 2019,2019-02-13 00:00:00,timesofindia,en,
Muzaffarnagar riots: Non-bailable warrants issued against 6 accused in Kawal killing case,https://timesofindia.indiatimes.com/india/muzaffarnagar-riots-non-bailable-warrants-issued-against-6-accused-in-kawal-killing-case/articleshow/67980452.cms,13 Feb 2019,2019-02-13 00:00:00,timesofindia,en,
SIT will probe role of bureaucrats in 1984 anti-Sikh riots: UP minister,https://timesofindia.indiatimes.com/city/kanpur/sit-will-probe-role-of-bureaucrats-in-1984-anti-sikh-riots-up-minister/articleshow/67970519.cms,13 Feb 2019,2019-02-13 00:00:00,timesofindia,en,
Gujarat's anti-reservation riots: Five acquitted in 1985 police constable murder case,https://timesofindia.indiatimes.com/city/ahmedabad/gujarats-anti-reservation-riots-five-acquitted-in-1985-police-constable-murder-case/articleshow/67959771.cms,12 Feb 2019,2019-02-12 00:00:00,timesofindia,en,
"
SC to hear Zakia Jafri's plea against clean chit to Modi in Gujarat riots in July
",https://timesofindia.indiatimes.com/india/sc-to-hear-zakia-jafris-plea-against-clean-chit-to-modi-in-gujarat-riots-in-july/articleshow/67942018.cms,11 Feb 2019,2019-02-11 00:00:00,timesofindia,en,
Micro Review: 'The Anatomy of Hate' is an aptly titled book about the 2002 Gujarat riots,https://timesofindia.indiatimes.com/life-style/books/reviews/micro-review-the-anatomy-of-hate-is-an-aptly-titled-book-about-the-2002-gujarat-riots/articleshow/67884311.cms,09 Feb 2019,2019-02-09 00:00:00,timesofindia,en,
