title,url,keywords,imageUrl,content
French violence flares as yellow vest protests enter fourth month,https://timesofindia.indiatimes.com/world/europe/french-violence-flares-as-yellow-vest-protests-enter-fourth-month/articleshow/68450273.cms,"paris's champs elysees avenue,nicolas sarkozy,french violence,emmanuel macron,banque tarneaud branch","https://timesofindia.indiatimes.com/thumb/msid-68450274,imgsize-266035,width-400,resizemode-4/68450274.jpg","PARIS: Rioters set fire to a bank and ransacked stores onParis's Champs Elysees avenueon Saturday, in a new flare-up of violence as France's yellow vest protests against PresidentEmmanuel Macronand his pro-business reforms entered a fourth month.Police fired tear gas and water cannon as the protests turned violent after weeks of relative calm, during which marches had attracted declining numbers of participants.ABanque Tarneaud branchspewed flames before firefighters arrived and rescued a woman and her infant from the building, with 11 suffering minor injuries, the fire department said.Rioters also set fire to an upmarket handbag store and two newsstands on the Champs Elysees, while scattered bonfires burned on the thoroughfare.Protesters hurled cobblestones at riot police through clouds of tear gas in front of the Arc de Triomphe monument, which was ransacked at the peak of the protests in December.Police arrested nearly 240 protesters as rioters looted stores around the Champs Elysees and wrecked the high-end Fouquet's restaurant.The canvas awning was later set on fire of the swanky brasserie, known in France as the place where conservativeNicolas Sarkozycelebrated his presidential election victory in 2007.Macron cut short a weekend ski trip in the Pyrenees to return to the capital on Saturday night for a crisis meeting with ministers.""We are attached to constitutional rights, but we've got people who through all means quite simply want to make a wreck of the republic, to break things and destroy, running the risk of getting people killed,"" Macron said.""I want us to very precisely analyse things and as quickly as possible take strong, complementary decisions so this doesn't happen again,"" he told ministers.Police said 42 protesters, 17 of their own officers and one firefighter were injured.The interior ministry estimated 10,000 people had participated in the protest in Paris, compared with 3,000 on the previous Saturday. Nationwide, protesters were estimated at 32,300, compared with 28,600 last week.ULTRA VIOLENTInterior Minister Christophe Castaner said that although the protest was relatively small, there had been more than 1,500 ""ultra violent"" people out looking for trouble.""They decided, perhaps as a swansong, to come attack - and I use their words - Paris,"" Castaner said, adding that more than 1,400 police officers were mobilised.A separate, peaceful march against climate change through central Paris drew as many 36,000 people, police estimated. Some 145,000 people marched nationwide.Yellow vest protesters had promised to draw bigger numbers to mark the fourth month since the movement erupted in mid November over since-scrapped fuel tax hikes and the cost of living.Named after the high-visibility vests French drivers have to keep in their cars and worn by protesters, the revolt swelled into a broader movement against Macron, his reforms and elitism.However, the weekly demonstrations, held every Saturday in Paris and other cities, have been generally getting smaller since December, when Paris saw some of the worst vandalism and looting in decades.After the spike in violence, Macron offered a package of concessions worth more than 10 billion euros ($11 billion) aimed at boosting the incomes of the poorest workers and pensioners.His government ordered police to crack down on the protests in January, leading to complaints of police brutality.The 41-year-old former investment banker also launched a series of national debates aimed at determining what policies people want the government to focus on. Saturday's protests coincided with the end of the debates."
Bhima-Koregaon like violence can recur if Constitution is tampered with: Bhim Army chief,https://timesofindia.indiatimes.com/india/bhima-koregaon-like-violence-can-recur-if-constitution-is-tampered-with-bhim-army-chief/articleshow/68427657.cms,"India, India news, India news today, Today news, Google news, Breaking news, Rohith Vemula,Lok Sabha elections,Chandra Shekhar Azad,bhima-koregaon,Bhim Army chief,2019 Lok Sabha Elections,2019 general election","https://timesofindia.indiatimes.com/thumb/msid-68427885,imgsize-271617,width-400,resizemode-4/68427885.jpg","NEW DELHI:Bhim Army chiefChandrashekhar Azad on Friday said that an incident likeBhima-Koregaonviolence can recur if the Constitution is tampered with.Addressing the 'Hunkar Rally' in the national capital, Azad said, ""The Bhim Army was made to protect the Constitution ... Before you go and vote remember the demise of Rohith. Do you rememberRohith Vemula? Do you remember Una violence? Do you remember Shabbirpur? Do you remember Phagwara incident? Who pulled the trigger? Will you forget all these and vote?""He added, ""People are free to vote, but remember that the oppressor will always remain an oppressor. That's why I said, we will repeat Bhima Koregaon (violence). For now we don't feel the need of it, but we will repeat Bhima Koregaon if the Constitution is tampered with.""Ahead of theLok Sabha elections, Azad said that his party has ""decided to not let the dictatorship of BJP win again.""""We will send out a message to workers of Bhim Army to work hard to defeat the BJP. I will contest against Prime Minister Modi and defeat him. The whole Bahujan community is with us. I will teach him a lesson,"" he added."
190 cases against Dean for violence during flash strike,https://timesofindia.indiatimes.com/city/kochi/190-cases-against-dean-for-violence-during-flash-strike/articleshow/68404399.cms,"Kochi news, Kochi latest news, Kochi news live, Kochi news today, Today news Kochi, Wayanad district,sabarimala,kollam,Kochi,Kasaragod district,Ernakulam","https://timesofindia.indiatimes.com/thumb/msid-68404456,imgsize-226287,width-400,resizemode-4/68404456.jpg","KOCHI: Youth Congress state president Dean Kuriakose has been made an accused in around 190 cases registered in relation with the call for illegal flash hartal on February 18 to protest the murder of two Congress activists at Kasaragod, police have informed the high court.Police have also told the court that BJP leaders K P Sasikala, P S Sreedharan Pillai, K Surendran, M T Ramesh, A N Radhakrishnan, P K Krishnadas, and O Rajagopal as well as SKS leaders K S Radhakrishnan and T P Senkumar have been named as accused for the violence that occurred during the hartal called on January 3 to protest entry of women toSabarimalatemple.A total of 193 cases were registered in connection with the hartal on February 18 and Dean Kuriakose has been named as accused in almost all the cases, except cases of preventive detention, an affidavit filed by police through senior government pleader P Narayanan said. Police also produced details of the number of cases registered in each police district during the hartal on February 18. As per the affidavit filed to the court, two cases were registered in Thiruvananthapuram city, seven in Thiruvananthapuram rural, three inKollamcity, six in Kollam rural, two in Pathanamthitta district, 14 in Alappuzha district, eight in Kottayam district, nine in Idukki district, 10 in Kochi city, 19 inErnakulamRural, six in Thrissur city, eight in Thrissur rural, 31 in Palakkad district, 17 in Malappuram district, 11 in Kozhikode City, seven in Kozhikode Rural, three in Kannur district, seven inWayanad district, and 23 inKasaragod district, the court was told.A separate affidavit filed by police said Sabarimala Karma Samithi office bearers called for a hartal on January 3 at a press conference conducted at the office of Vishva Hindu Parishad (VHP) at Pavakkulam in Ernakulam and Hindu Aikya Vedi and BJP state leaders publicly declared their organizations' support for the hartal.A total of 13 leaders of Hindu Aikya Vedi, BJP, RSS, and Sabarimala Karma Samithi (SKS) have been named as accused in the cases registered regarding the violence that occurred during the hartal on January 3, police's affidavit said. Leaders including BJP's V Muraleedharan, SKS's Govindh Bharathan, S J R Kumar, and RSS pranth sangh chalak P E B Menon have also been made accused in the cases, the court was told."
"CPM knows only violence, 'no jobs' in Kerala: Rahul Gandhi",https://timesofindia.indiatimes.com/city/kozhikode/cpm-knows-only-violence-no-jobs-in-kerala-rahul-gandhi/articleshow/68418903.cms,"Kozhikode news, Kozhikode latest news, Kozhikode news live, Kozhikode news today, Today news Kozhikode, Triprayar,Rahul Gandhi,Kozhikode,Kochi,Kerala,Kasaragod district","https://timesofindia.indiatimes.com/thumb/msid-68418922,imgsize-663940,width-400,resizemode-4/68418922.jpg","KOZHIKODE: Congress presidentRahul Gandhikickstarted the UDF's poll campaign with a blistering attack on both BJP and CPM, and repeated promises he made during his Kochi speech in January on how Congress, if brought back to power, would ensure a 'minimum income guarantee scheme' for the poor, 33% reservation for women in parliament and state assemblies, apart from tackling issues related to education and health on a war footing.Addressing a massive rally atKozhikodebeach on Thursday, Rahul slammed demonetisation and GST, and targeted prime minister Narendra Modi for weakening major institutions in the country, including the Supreme Court and election commission. ""The man who imposes his Mann Ki Baat on India is attacking all our institutions one after the other,"" the Congress president said.Though Congress is trying to work out 'tactical adjustments' with CPM in Bengal, Rahul refused to spare the Left party inKerala, saying that the only thing CPM is capable of is violence and that its ideology was ""deformed"". ""I think the CPM will take some more time to realise that their ideology is defunct. They are clutching at straws,"" the Congress president said.Earlier in the day, Rahul visited the houses of the two Youth Congress workers who were brutally murdered last month at Periya inKasaragod district, allegedly by CPM, and said that he would ensure that those guilty would be punished. ""I understand that these families haven't got justice, but we will do the needful once we come to power,"" he said. His first public engagement of the day was atTriprayarwhere he inaugurated the maiden National Fish Workers' Parliament and promised the creation of a separate ministry for the fishery sector.At the Kozhikode rally, Rahul launched a broadside at the CPM-led government, saying the Left party thinks it can remain in power only through violence. ""There are no jobs. Three lakh women in the cashew industry have lost their jobs... many cashew processing units have been closed,"" he said.‘It’s an ideological battle’Referring to the killing of Youth Congress activists Kripesh and Sarath Lal, Rahul said: “No Way. I want to tell you that Kerala is the land of justice. These two people (Kripesh and Sarath Lal) will get justice. Those who did it to them would face justice.”Emphasizing ‘justice’, he said, “The Congress party is not going to allow anybody to get away from justice. It doesn’t matter even if he is the Prime Minister of India”. Pointing out that he was happy to come to a state where people of different ideas and religions live together happily, he said an “ideological battle” was being played out in the country today. “Congress does not want to impose anything on India... The Congress party wants to listen to what people have to say and act accordingly”, the Congress president said."
Residents keep fingers crossed as Arjun Singh’s crossover fuels fear of violence in Barrackpore,https://timesofindia.indiatimes.com/city/kolkata/residents-keep-fingers-crossed-as-arjun-singhs-crossover-fuels-fear-of-violence-in-barrackpore/articleshow/68420313.cms,"Kolkata news, Kolkata latest news, Kolkata news live, Kolkata news today, Today news Kolkata, West bengal,Trinamool supporters,residents keep fingers crossed as arjun singh’s,in barrackpore,crossover fuels fear of violence.","https://timesofindia.indiatimes.com/thumb/msid-68420316,imgsize-243519,width-400,resizemode-4/68420316.jpg","BARRACKPORE: On December 11,Trinamool supportersput this BJP party office at Basudebpur More — off Kalyani Expressway — under lock and key. Arjun Singh was with Trinamool then. Three months later, on Thursday, BJP activists took control of the office. Flags atop the building changed, but not the framed pictures inside, because Singh is with BJP now.The Atpur Trinamool party office at Ward 20 of the Bhatpara Municipality got a fresh coat of saffron paint minutes after Singh joined BJP in New Delhi. Curious eyes watched the men at work fearing what is in store. Pro-Arjun councillors had got the message earlier. They gathered at the Bhatpara Municipality office and distributed sweets to celebrate the changeover.Bhatpara Municipality vice-chairman Somnath Talukdar was among the few, who went to the Trinamool district party office at Madhyamgram to chalk out the party’s strategy after the chairman left the party. “Trinamool has a majority in the Bhatpara Municipality still. We can prove our majority at the opportune moment,” Talukdar said after coming back from Madhyamgram. As many as seven Trinamool councillors have already complained to Trinamool leader Nirmal Ghosh that they are getting threat calls from Arjun Singh loyalists. Food minister Jyoti Priya Mullick have asked these councillors to lodge a police complaint and ask for security.The battle of words has fuelled apprehensions of largescale violence in the area used to extortions and gang wars. Fear was writ large on the faces of the residents at Jagaddal’s Meghna More near Singh’s residence. Two policemen guarded the office-cum-residence of the Bhatpara MLA and Municipality chairman where he meets locals. “People came here yesterday. There are no visitors for him today,” a policeman said. The streets looked deserted with the entire locality fearing a showdown ahead of the polls.“We are scared. Street fights and gun battles are a regular these days in this locality. I fear that Singh’s joining BJP will escalate the tension further. I would expect the police to take steps to maintain peace in the locality,” said milk trader Subhrangshu Banerjee.Kashinath Debnath, a former employee of the Hukumchand Jute Mill, also kept fingers crossed. “This area has a mixed population. Singh and his men have a command over the Hindispeaking jute mill workers who came from Bihar and Uttar Pradesh. They are innocent and insecure people and easily come under the clutches of politicians. There has been a surge in BJP support at Jagaddal, Halisahar, Garulia and Kankinara,” Debnath said.Singh loyalist and Trinamool councillor of Titagarh Municipality, Manish Shukla, though, ruled out any such possibility. “We told Arjunda a week ago that we are going to stay with Trinamool even if he joins BJP,” Shukla said. Singh’s brother-in-law and Noapara MLA Sunil Singh is also staying back. But that doesn’t seem reassuring to the Jagaddal residents. Knives are out against “gaddars” while the Arjun brigade is getting set for retaliation. BJP leader Mukul Roy’s son and Trinamool MLA from Bijpur Subhranshu Roy tried to pacify nerves. “I was with Trinamool and am still with the party. I was under tremendous pressure when my father changed party affiliations. I would wish that pressure doesn’t come on Arjun’s wife and son,” he said."
Residents keep fingers crossed as Arjun Singh’s crossover fuels fear of violence in Barrackpore,https://timesofindia.indiatimes.com/politics/news/residents-keep-fingers-crossed-as-arjun-singhs-crossover-fuels-fear-of-violence-in-barrackpore/articleshow/68420336.cms,"West bengal,Trinamool supporters,residents keep fingers crossed as arjun singh’s,in barrackpore,crossover fuels fear of violence.","https://timesofindia.indiatimes.com/thumb/msid-68420316,imgsize-243519,width-400,resizemode-4/68420316.jpg","BARRACKPORE: On December 11,Trinamool supportersput this BJP party office at Basudebpur More — off Kalyani Expressway — under lock and key. Arjun Singh was with Trinamool then. Three months later, on Thursday, BJP activists took control of the office. Flags atop the building changed, but not the framed pictures inside, because Singh is with BJP now.The Atpur Trinamool party office at Ward 20 of the Bhatpara Municipality got a fresh coat of saffron paint minutes after Singh joined BJP in New Delhi. Curious eyes watched the men at work fearing what is in store. Pro-Arjun councillors had got the message earlier. They gathered at the Bhatpara Municipality office and distributed sweets to celebrate the changeover.Bhatpara Municipality vice-chairman Somnath Talukdar was among the few, who went to the Trinamool district party office at Madhyamgram to chalk out the party’s strategy after the chairman left the party. “Trinamool has a majority in the Bhatpara Municipality still. We can prove our majority at the opportune moment,” Talukdar said after coming back from Madhyamgram. As many as seven Trinamool councillors have already complained to Trinamool leader Nirmal Ghosh that they are getting threat calls from Arjun Singh loyalists. Food minister Jyoti Priya Mullick have asked these councillors to lodge a police complaint and ask for security.The battle of words has fuelled apprehensions of largescale violence in the area used to extortions and gang wars. Fear was writ large on the faces of the residents at Jagaddal’s Meghna More near Singh’s residence. Two policemen guarded the office-cum-residence of the Bhatpara MLA and Municipality chairman where he meets locals. “People came here yesterday. There are no visitors for him today,” a policeman said. The streets looked deserted with the entire locality fearing a showdown ahead of the polls.“We are scared. Street fights and gun battles are a regular these days in this locality. I fear that Singh’s joining BJP will escalate the tension further. I would expect the police to take steps to maintain peace in the locality,” said milk trader Subhrangshu Banerjee.Kashinath Debnath, a former employee of the Hukumchand Jute Mill, also kept fingers crossed. “This area has a mixed population. Singh and his men have a command over the Hindispeaking jute mill workers who came from Bihar and Uttar Pradesh. They are innocent and insecure people and easily come under the clutches of politicians. There has been a surge in BJP support at Jagaddal, Halisahar, Garulia and Kankinara,” Debnath said.Singh loyalist and Trinamool councillor of Titagarh Municipality, Manish Shukla, though, ruled out any such possibility. “We told Arjunda a week ago that we are going to stay with Trinamool even if he joins BJP,” Shukla said. Singh’s brother-in-law and Noapara MLA Sunil Singh is also staying back. But that doesn’t seem reassuring to the Jagaddal residents. Knives are out against “gaddars” while the Arjun brigade is getting set for retaliation. BJP leader Mukul Roy’s son and Trinamool MLA from Bijpur Subhranshu Roy tried to pacify nerves. “I was with Trinamool and am still with the party. I was under tremendous pressure when my father changed party affiliations. I would wish that pressure doesn’t come on Arjun’s wife and son,” he said."
Residents keep fingers crossed as Arjun Singh’s crossover fuels fear of violence in Barrackpore,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/west-bengal/news/residents-keep-fingers-crossed-as-arjun-singhs-crossover-fuels-fear-of-violence-in-barrackpore/articleshow/68420335.cms,"West bengal,Trinamool supporters,residents keep fingers crossed as arjun singh’s,in barrackpore,crossover fuels fear of violence.","https://timesofindia.indiatimes.com/thumb/msid-68420316,imgsize-243519,width-400,resizemode-4/68420316.jpg","BARRACKPORE: On December 11,Trinamool supportersput this BJP party office at Basudebpur More — off Kalyani Expressway — under lock and key. Arjun Singh was with Trinamool then. Three months later, on Thursday, BJP activists took control of the office. Flags atop the building changed, but not the framed pictures inside, because Singh is with BJP now.The Atpur Trinamool party office at Ward 20 of the Bhatpara Municipality got a fresh coat of saffron paint minutes after Singh joined BJP in New Delhi. Curious eyes watched the men at work fearing what is in store. Pro-Arjun councillors had got the message earlier. They gathered at the Bhatpara Municipality office and distributed sweets to celebrate the changeover.Bhatpara Municipality vice-chairman Somnath Talukdar was among the few, who went to the Trinamool district party office at Madhyamgram to chalk out the party’s strategy after the chairman left the party. “Trinamool has a majority in the Bhatpara Municipality still. We can prove our majority at the opportune moment,” Talukdar said after coming back from Madhyamgram. As many as seven Trinamool councillors have already complained to Trinamool leader Nirmal Ghosh that they are getting threat calls from Arjun Singh loyalists. Food minister Jyoti Priya Mullick have asked these councillors to lodge a police complaint and ask for security.The battle of words has fuelled apprehensions of largescale violence in the area used to extortions and gang wars. Fear was writ large on the faces of the residents at Jagaddal’s Meghna More near Singh’s residence. Two policemen guarded the office-cum-residence of the Bhatpara MLA and Municipality chairman where he meets locals. “People came here yesterday. There are no visitors for him today,” a policeman said. The streets looked deserted with the entire locality fearing a showdown ahead of the polls.“We are scared. Street fights and gun battles are a regular these days in this locality. I fear that Singh’s joining BJP will escalate the tension further. I would expect the police to take steps to maintain peace in the locality,” said milk trader Subhrangshu Banerjee.Kashinath Debnath, a former employee of the Hukumchand Jute Mill, also kept fingers crossed. “This area has a mixed population. Singh and his men have a command over the Hindispeaking jute mill workers who came from Bihar and Uttar Pradesh. They are innocent and insecure people and easily come under the clutches of politicians. There has been a surge in BJP support at Jagaddal, Halisahar, Garulia and Kankinara,” Debnath said.Singh loyalist and Trinamool councillor of Titagarh Municipality, Manish Shukla, though, ruled out any such possibility. “We told Arjunda a week ago that we are going to stay with Trinamool even if he joins BJP,” Shukla said. Singh’s brother-in-law and Noapara MLA Sunil Singh is also staying back. But that doesn’t seem reassuring to the Jagaddal residents. Knives are out against “gaddars” while the Arjun brigade is getting set for retaliation. BJP leader Mukul Roy’s son and Trinamool MLA from Bijpur Subhranshu Roy tried to pacify nerves. “I was with Trinamool and am still with the party. I was under tremendous pressure when my father changed party affiliations. I would wish that pressure doesn’t come on Arjun’s wife and son,” he said."
"Paris stores looted, bank torched in new 'yellow vest' violence",https://timesofindia.indiatimes.com/world/europe/paris-stores-looted-bank-torched-in-new-yellow-vest-violence/articleshow/68442726.cms,"Yellow vest protest,yellow vest,Paris Yellow vest protest,paris protest,Paris,France Yellow vest,france protest","https://timesofindia.indiatimes.com/thumb/msid-68442727,imgsize-433322,width-400,resizemode-4/68442727.jpg","PARIS: Demonstrators looted and torched shops and businesses on the famed Champs-Elysees avenue in Paris on Saturday, on the 18th straight weekend of ""yellow vest"" protests, characterised by an uptick in violence after weeks of dwindling turnout.A Boss menswear store and the upscale Fouquet's restaurant — a brasserie popular with politicians and film stars — were among the premises to have their windows smashed by groups of hooded demonstrators in scenes reminiscent of the worst ""yellow vest"" riots in Paris in December.The demonstrators also set fire to a bank situated on the ground floor of an apartment building, which was engulfed by flames. The fire service evacuated the residents and extinguished the blaze. Eleven people, including two fire fighters, suffered minor injuries, the fire service told AFP.A mother of four children, including a nine-month-old baby, told AFP they escaped via the stairs after seeing the fire from their window.Interior minister Christophe Castaner in a tweet accused the arsonists of being ""neither demonstrators, nor trouble-makers"" but ""murderers"".Eighty-two people had been arrested by the early afternoon, the police said.The protests came a day after President Emmanuel Macron arrived in the southwestern Pyrenees mountains with his wife Brigitte for a short ski break, an AFP photographer reported.""I'm going to spend two to three days here to rest and rediscover landscapes and faces that are dear to me,"" Macron told La Depeche du Midi newspaper.Saturday's turnout is a test for the ""yellow vest"" movement, which began in November over fuel tax hikes and quickly ballooned into a anti-government rebellion but has struggled lately to mobilise large numbers of protesters.Last week, only around 28,000 people demonstrated nationwide, according to the authorities, a tenth of the numbers that turned out for the inaugural protest on November 17.The rally coincides with the end of the public debates called by President Emmanuel Macron to try take the heat out of the protests and give voters a forum to propose policy changes.Around half a million people turned out at townhall-style meetings held around the country over the past two months.But many ""yellow vests"" dismissed the consultation as a smoke-screen.The police on Saturday used tear gas and water cannon to repel protesters who gathered at the foot of the Arc de Triomphe war memorial, which was sacked by protesters on December 1 in scenes that drew international condemnation.Several news stands also went up in smoke as groups of mostly black-clad demonstrators pelted the security forces with stones and erected barricades.""There are a number of people who have come just to smash things,"" Castaner said, estimating that some 1,500 ""ultra violent"" activists had infiltrated the crowd of ""between 7,000 and 8,000"".On social media, ""yellow vest"" leaders had hinted at the arrival of sympathisers from Italy, Belgium, the Netherlands and even Poland.""Macron, we're coming to get you at home,"" some of the protesters chanted, referring to the presidential palace situated near the Champs-Elysees.From early morning protesters began pouring into the capital by train and car from around the country for what they called an ""ultimatum"" to Macron.Over 5,000 police were deployed, along with several armoured police vehicles, and several metro stations were closed.Macron, who was caught off guard when grassroots protesters began occupying traffic roundabouts in November over fuel taxes, has loosened the state's purse strings to the tune of 10 billion euros ($11.2 billion) to try defuse the protests.He also travelled the length and breadth of the country, engaging in marathon debates with local politicians and voters.But the measures failed to quell the anger of the demonstrators, who accuse the former investment banker, of being in the pocket of the rich.Laurent Casanova, an engineer who was among the protesters on Saturday, told AFP he wanted to mark the end of the debates.""We have been patient but now we want results,"" he said.The protest was one of several planned in Paris on Saturday, where climate campaigners also gathered in their thousands to demand Macron go further on greening the economy."
"Three die in accident, mob turns violent in Samastipur",https://timesofindia.indiatimes.com/city/patna/three-die-in-accident-mob-turns-violent-in-samastipur/articleshow/68384386.cms,"Patna news, Patna latest news, Patna news live, Patna news today, Today news Patna, Violence,Shivajinagar railway station,Samastipur,mob,accident","https://timesofindia.indiatimes.com/thumb/msid-68384385,imgsize-1691258,width-400,resizemode-4/68384385.jpg","PATNA: Police fired in the air to quell an iratemobthat attacked a police station, pelted stones and set at least two police vehicles on fire inSamastipurdistrict on Tuesday. However, no one was injured in the police firing.The trouble began after three people, including two minors, were crushed to death by a speeding truck near Narsimha Chauk under the jurisdiction of Shivajinagar police outpost in Samastipur district.The incident took place when one Harinandan Kumar, a resident of Kharsham village in Samastipur district, was on way to offer prayers at a local temple on a motorcycle. While Nisha Kumari (13) and Nitu Kumari (6) died on the spot, Harinandan (22) succumbed to his injuries at the Shivajinagar primary health centre.Agitated over the incident, a group of locals attacked the nearby Shivajinagar police outpost, pelted it with stones and attempted to set it on fire. When the police intervened, they were attacked with sticks, iron rods and traditional weapons. The police had to make a hasty retreat as the protesters outnumbered them. The mob later set the police vehicles of Shivajinagar outpost and Hathauri police station on fire. Apprehending trouble, the police opened fire in the air to disperse the mob.Samastipur SP Harpreet Kaur said the police fired five rounds in the air to quell the mob and bring the situation under control.DM Chandrashekhar Singh rushed to the spot and took stock of the situation. The DM and the SP were camping at the site at the time of filing of this report.The SP said 15 people have been detained for causing damage to public property. ""The identity of the troublemakers is being ascertained with the help of CCTV footage. Further action will be taken against them on the basis of scientific evidences,"" Kaur told this newspaper over the phone."
Three more held for violence in Tilamol,https://timesofindia.indiatimes.com/city/goa/3-more-held-for-violence-in-tilamol/articleshow/68262264.cms,"Goa news, Goa latest news, Goa news live, Goa news today, Today news Goa, Tilamol,Three more held for violence in Tilamol,three more held for violence,Quepem taluk,CURCHOREM","https://timesofindia.indiatimes.com/thumb/msid-68263409,imgsize-469088,width-400,resizemode-4/68263409.jpg","QUEPEM: Three more persons have been arrested by police in connection with allegations of assault and other crimes inTilamoland Xeldem, as peace returned to the area after tension prevailed from afternoon till late night on Sunday.The arrest on Monday took the tally to seven, deputy superintendent of police, Uttam Raut Dessai told TOI. Four had been arrested late Sunday night for allegedly molesting a woman, assaulting other residents and pushing a constable into the drain.A few residents were injured after theCurchoremresidents attacked them with knives and hockey sticks.The residents of Tilamoll and Xeldem had blocked the national highway demanding the immediate arrest of the culprits on Sunday, the situation is under control at Tilamoll.Dessai said the three main accused Gitesh Naik, Swapnil Naik and Guptesh Naik are still absconding and police teams have been deployed to nab them. Quepem police on Monday produced all seven accused before judicial magistrate first class court at Quepem for two days police custody."
