title,url,publishedDate,dateObject
"
French violence flares as yellow vest protests enter fourth month
",https://timesofindia.indiatimes.com/world/europe/french-violence-flares-as-yellow-vest-protests-enter-fourth-month/articleshow/68450273.cms,17 Mar 2019,2019-03-17 09:46:49
"
Paris stores looted, bank torched in new 'yellow vest' violence
",https://timesofindia.indiatimes.com/world/europe/paris-stores-looted-bank-torched-in-new-yellow-vest-violence/articleshow/68442726.cms,16 Mar 2019,2019-03-16 14:50:47
"
Bhima-Koregaon like violence can recur if Constitution is tampered with: Bhim Army chief
",https://timesofindia.indiatimes.com/india/bhima-koregaon-like-violence-can-recur-if-constitution-is-tampered-with-bhim-army-chief/articleshow/68427657.cms,15 Mar 2019,2019-03-15 12:33:08
"
Residents keep fingers crossed as Arjun Singh’s crossover fuels fear of violence in Barrackpore
",https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/west-bengal/news/residents-keep-fingers-crossed-as-arjun-singhs-crossover-fuels-fear-of-violence-in-barrackpore/articleshow/68420335.cms,15 Mar 2019,2019-03-15 04:54:00
"
Residents keep fingers crossed as Arjun Singh’s crossover fuels fear of violence in Barrackpore
",https://timesofindia.indiatimes.com/politics/news/residents-keep-fingers-crossed-as-arjun-singhs-crossover-fuels-fear-of-violence-in-barrackpore/articleshow/68420336.cms,15 Mar 2019,2019-03-15 04:54:00
"
Residents keep fingers crossed as Arjun Singh’s crossover fuels fear of violence in Barrackpore
",https://timesofindia.indiatimes.com/city/kolkata/residents-keep-fingers-crossed-as-arjun-singhs-crossover-fuels-fear-of-violence-in-barrackpore/articleshow/68420313.cms,15 Mar 2019,2019-03-15 04:54:00
"
CPM knows only violence, 'no jobs' in Kerala: Rahul Gandhi
",https://timesofindia.indiatimes.com/city/kozhikode/cpm-knows-only-violence-no-jobs-in-kerala-rahul-gandhi/articleshow/68418903.cms,15 Mar 2019,2019-03-15 02:55:47
"
190 cases against Dean for violence during flash strike
",https://timesofindia.indiatimes.com/city/kochi/190-cases-against-dean-for-violence-during-flash-strike/articleshow/68404399.cms,14 Mar 2019,2019-03-14 06:07:28
"
Evan Rachel Wood self harmed during abusive relationship
",https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/evan-rachel-wood-self-harmed-during-abusive-relationship/articleshow/68392777.cms,13 Mar 2019,2019-03-13 11:12:08
"
Bhima-Koregaon case: Activists were mobilising Dalits to overthrow govt, says police
",https://timesofindia.indiatimes.com/india/bhima-koregaon-case-activists-were-mobilising-dalits-to-overthrow-govt-says-police/articleshow/68392267.cms,13 Mar 2019,2019-03-13 10:48:29
"
Three die in accident, mob turns violent in Samastipur
",https://timesofindia.indiatimes.com/city/patna/three-die-in-accident-mob-turns-violent-in-samastipur/articleshow/68384386.cms,13 Mar 2019,2019-03-13 01:47:51
"
Three more held for violence in Tilamol
",https://timesofindia.indiatimes.com/city/goa/3-more-held-for-violence-in-tilamol/articleshow/68262264.cms,05 Mar 2019,2019-03-05 00:00:00
"
Sporadic incidents of violence mark Youth Congress hartal in Ernakulam
",https://timesofindia.indiatimes.com/city/kochi/sporadic-incidents-of-violence-mark-youth-cong-hartal-in-ekm/articleshow/68054712.cms,19 Feb 2019,2019-02-19 00:00:00
"
One-third of married women in India experience spousal violence: Study
",https://timesofindia.indiatimes.com/india/one-third-of-married-women-in-india-experience-spousal-violence-study/articleshow/66575831.cms,11 Nov 2018,2018-11-11 00:00:00
"
Beliefs lead to violence
",https://timesofindia.indiatimes.com/spirituality/beliefs-lead-to-violence/articleshow/68149667.cms,25 Feb 2019,2019-02-25 00:00:00
"
Violence breaks out in Fatehpura
",https://timesofindia.indiatimes.com/city/vadodara/violence-breaks-out-in-fatehpura/articleshow/67823670.cms,04 Feb 2019,2019-02-04 00:00:00
"
14 armed groups reach peace deal in Central African Republic
",https://timesofindia.indiatimes.com/world/rest-of-world/14-armed-groups-reach-peace-deal-in-central-african-republic/articleshow/67810480.cms,02 Feb 2019,2019-02-02 00:00:00
"
Bulandshahr violence: UP CM expresses grief over deaths, seeks probe report in 2 days
",https://timesofindia.indiatimes.com/city/lucknow/bulandshahr-violence-up-cm-expresses-grief-over-deaths-seeks-probe-report-in-2-days/articleshow/66925725.cms,04 Dec 2018,2018-12-04 00:00:00
"
Did inspector’s death avert full-fledged communal riots?
",https://timesofindia.indiatimes.com/india/did-inspectors-death-avert-full-fledged-communal-riots/articleshow/66964611.cms,06 Dec 2018,2018-12-06 00:00:00
"
Bulandshahr attack: My father was against violence over religion, says slain cop's son
",https://timesofindia.indiatimes.com/india/my-father-was-against-violence-over-religion-inspectors-son/articleshow/66937184.cms,04 Dec 2018,2018-12-04 00:00:00
"
Compensation revised for violence victims
",https://timesofindia.indiatimes.com/city/ahmedabad/compensation-revised-for-violence-victims/articleshow/68016891.cms,16 Feb 2019,2019-02-16 00:00:00
"
Bulandshahr violence accused, who was on the run, arrested
",https://timesofindia.indiatimes.com/city/meerut/bulandshahr-violence-accused-who-was-on-the-run-arrested/articleshow/67477644.cms,11 Jan 2019,2019-01-11 00:00:00
"
Sabarimala row: Kerala CM lashes out at BJP, RSS for violence during hartal
",https://timesofindia.indiatimes.com/city/kochi/sabarimala-row-kerala-cm-lashes-out-at-bjp-rss-for-violence-during-hartal/articleshow/67361855.cms,03 Jan 2019,2019-01-03 00:00:00
"
Yogesh Raj not main accused of Bulandshahr violence: UP DGP
",https://timesofindia.indiatimes.com/city/varanasi/yogesh-not-main-accused-of-bulandshahr-violence-dgp/articleshow/67372280.cms,04 Jan 2019,2019-01-04 00:00:00
"
2 killed in violence across districts
",https://timesofindia.indiatimes.com/city/kolkata/2-killed-in-violence-across-districts/articleshow/68160248.cms,26 Feb 2019,2019-02-26 00:00:00
"
13 killed in poll-related violence in Bangladesh
",https://timesofindia.indiatimes.com/world/south-asia/11-killed-in-poll-related-violence-in-bangladesh/articleshow/67310079.cms,30 Dec 2018,2018-12-30 00:00:00
"
Manipur assembly passes anti-mob violence bill
",https://timesofindia.indiatimes.com/india/manipur-assembly-passes-anti-mob-violence-bill/articleshow/67211670.cms,22 Dec 2018,2018-12-22 00:00:00
"
Will 'show Modi govt how to treat minorities', says Pakistan PM Imran Khan
",https://timesofindia.indiatimes.com/world/pakistan/will-show-modi-govt-how-to-treat-minorities-says-pakistan-pm-imran-khan/articleshow/67209813.cms,22 Dec 2018,2018-12-22 00:00:00
"
I'm expressing concerns about country I love: Naseeruddin Shah on mob violence comments
",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/im-expressing-concerns-about-country-i-love-naseeruddin-shah-on-mob-violence-comments/articleshow/67198193.cms,21 Dec 2018,2018-12-21 00:00:00
"
I'm expressing concerns about country I love: Naseeruddin Shah on mob violence comments
",https://timesofindia.indiatimes.com/india/im-expressing-concerns-about-country-i-love-naseeruddin-shah-on-mob-violence-comments/articleshow/67198191.cms,21 Dec 2018,2018-12-21 00:00:00
"
Bulandshahr violence: Two days after his namesake’s picture was put on wanted list, real accused surrenders in court
",https://timesofindia.indiatimes.com/city/meerut/bulandshahr-violence-2-days-after-his-namesakes-picture-was-put-on-wanted-list-real-accused-surrenders-in-court/articleshow/67134468.cms,18 Dec 2018,2018-12-18 00:00:00
"
In Goa, 13% married women experience spousal violence
",https://timesofindia.indiatimes.com/city/goa/in-goa-13-married-women-experience-spousal-violence/articleshow/66155833.cms,11 Oct 2018,2018-10-11 00:00:00
"
Rajasthan CM race: Gujjars block highways, resort to violence
",https://timesofindia.indiatimes.com/city/jaipur/rajasthan-cm-race-gujjars-block-highways-resort-to-violence/articleshow/67079107.cms,13 Dec 2018,2018-12-13 00:00:00
"
Bulandshahr clip mentions ‘Mullan’ not ‘Kundan’: Cops
",https://timesofindia.indiatimes.com/city/lucknow/bulandshahr-clip-mentions-mullan-not-kundan-cops/articleshow/66994867.cms,08 Dec 2018,2018-12-08 00:00:00
"
Hunt on for Army jawan for cop’s killing in UP violence
",https://timesofindia.indiatimes.com/city/meerut/hunt-on-for-army-jawan-for-cops-killing-in-up-violence/articleshow/66994258.cms,08 Dec 2018,2018-12-08 00:00:00
"
Bulandshahr violence: Fearing cops and raids, most males leave village
",https://timesofindia.indiatimes.com/city/meerut/epicentre-of-monday-mayhem-wears-an-eerie-silence/articleshow/66943561.cms,05 Dec 2018,2018-12-05 00:00:00
"
Bulandshahr violence: Intel alerted cops about build-up hours in advance
",https://timesofindia.indiatimes.com/city/lucknow/intel-alerted-cops-about-build-up-hrs-in-advance/articleshow/66978491.cms,07 Dec 2018,2018-12-07 00:00:00
"
Bulandshahr violence: NHRC notice to UP govt, DGP over killing of police inspector, youth
",https://timesofindia.indiatimes.com/city/meerut/nhrc-notices-to-up-govt-dgp-over-killing-of-police-inspector-youth-in-bulandshahr-mob-violence/articleshow/66938713.cms,04 Dec 2018,2018-12-04 00:00:00
"
Bulandshahr mob violence: Key updates
",https://timesofindia.indiatimes.com/india/bulandshahr-mob-violence-key-updates/articleshow/66932652.cms,04 Dec 2018,2018-12-04 00:00:00
"
Bulandshahr violence: Main accused Yogesh Raj releases video, claims innocence
",https://timesofindia.indiatimes.com/city/meerut/bulandshahr-violence-main-accused-yogesh-raj-releases-video-claims-innocence/articleshow/66956562.cms,05 Dec 2018,2018-12-05 00:00:00
"
Bulandshahr violence: Bulandshahr carcass was 2 days old, says UP Police
",https://timesofindia.indiatimes.com/city/lucknow/bulandshahr-violence-bulandshahr-carcass-was-2-days-old-says-up-police/articleshow/66962952.cms,06 Dec 2018,2018-12-06 00:00:00
"
Bulandshahr violence: Villagers fear police action, most of them flee homes
",https://timesofindia.indiatimes.com/india/bulandshahr-violence-villagers-fear-police-action-most-of-them-flee-their-homes/articleshow/66938942.cms,04 Dec 2018,2018-12-04 00:00:00
"
UP cop killed in mob violence was IO of Dadri lynching case
",https://timesofindia.indiatimes.com/city/meerut/up-cop-killed-in-mob-violence-was-io-of-dadri-lynching-case/articleshow/66930270.cms,04 Dec 2018,2018-12-04 00:00:00
"
After 32 years of marriage, woman files violence plaint
",https://timesofindia.indiatimes.com/city/ahmedabad/after-32-years-of-marriage-woman-files-violence-plaint/articleshow/66888530.cms,30 Nov 2018,2018-11-30 00:00:00
"
Telangana assembly elections 2018: ‘Laws lack teeth for women safety’
",https://timesofindia.indiatimes.com/city/hyderabad/telangana-assembly-elections-2018-laws-lack-teeth-for-women-safety/articleshow/66794287.cms,25 Nov 2018,2018-11-25 00:00:00
"
Telangana assembly elections 2018: ‘Laws lack teeth for women safety’
",https://timesofindia.indiatimes.com/elections/assembly-elections/telangana/telangana-assembly-elections-2018-laws-lack-teeth-for-women-safety/articleshow/66794312.cms,25 Nov 2018,2018-11-25 00:00:00
"
Ahmedabad: Wife films statement before suicide bid, husband, in-laws booked
",https://timesofindia.indiatimes.com/city/ahmedabad/wife-films-statement-before-suicide-bid-husband-in-laws-booked/articleshow/66757530.cms,23 Nov 2018,2018-11-23 00:00:00
"
Wife’s interim plea for support, Mumbai flat rejected
",https://timesofindia.indiatimes.com/city/mumbai/wifes-interim-plea-for-support-city-flat-rejected/articleshow/66741395.cms,21 Nov 2018,2018-11-21 00:00:00
"
RSS man held for hartal violence
",https://timesofindia.indiatimes.com/city/thiruvananthapuram/rss-man-held-for-hartal-violence/articleshow/67616135.cms,20 Jan 2019,2019-01-20 00:00:00
"
Khyala violence: Third victim dies
",https://timesofindia.indiatimes.com/city/delhi/khyala-violence-third-victim-dies/articleshow/67595986.cms,18 Jan 2019,2019-01-18 00:00:00
"
Arunachal govt orders judicial probe into PRC violence
",https://timesofindia.indiatimes.com/city/itanagar/arunachal-govt-orders-judicial-probe-into-prc-violence/articleshow/68299750.cms,07 Mar 2019,2019-03-07 00:00:00
"
In conservative Mauritania, confronting sexual violence laws
",https://timesofindia.indiatimes.com/world/rest-of-world/in-conservative-mauritania-confronting-sexual-violence-laws/articleshow/68297827.cms,07 Mar 2019,2019-03-07 00:00:00
"
Australia bars entry of visitors with domestic violence convictions
",https://timesofindia.indiatimes.com/world/rest-of-world/australia-bars-entry-of-visitors-with-domestic-violence-convictions/articleshow/68248334.cms,04 Mar 2019,2019-03-04 00:00:00
"
Delhi: Women raise belans against domestic violence
",https://timesofindia.indiatimes.com/city/delhi/women-raise-belans-against-domestic-violence/articleshow/68237528.cms,03 Mar 2019,2019-03-03 00:00:00
"
Lucknow: Frame rules to curb campus violence
",https://timesofindia.indiatimes.com/city/lucknow/frame-rules-to-curb-campus-violence-hc/articleshow/68225915.cms,02 Mar 2019,2019-03-02 00:00:00
"
Rahul Gandhi meets victims of Arunachal violence
",https://timesofindia.indiatimes.com/india/rahul-gandhi-meets-victims-of-arunachal-violence/articleshow/68168705.cms,26 Feb 2019,2019-02-26 00:00:00
"
Experts for prevention of violence against kids
",https://timesofindia.indiatimes.com/city/patna/experts-for-prevention-of-violence-against-kids/articleshow/67459843.cms,09 Jan 2019,2019-01-09 00:00:00
"
Uneasy calm in Arunachal Pradesh as violence subsides
",https://timesofindia.indiatimes.com/city/guwahati/uneasy-calm-in-arunachal-pradesh-as-violence-subsides/articleshow/68161640.cms,26 Feb 2019,2019-02-26 00:00:00
"
Uneasy calm in Arunachal Pradesh as violence subsides
",https://timesofindia.indiatimes.com/city/itanagar/uneasy-calm-in-arunachal-pradesh-as-violence-subsides/articleshow/68161701.cms,26 Feb 2019,2019-02-26 00:00:00
"
BHU hit by violence again, two FIRs lodged
",https://timesofindia.indiatimes.com/city/varanasi/bhu-hit-by-violence-again-2-firs-lodged/articleshow/68158492.cms,26 Feb 2019,2019-02-26 00:00:00
"
10 companies of ITBP dispatched to violence-hit Arunachal
",https://timesofindia.indiatimes.com/india/10-companies-of-itbp-dispatched-to-violence-hit-arunachal/articleshow/68139839.cms,24 Feb 2019,2019-02-24 00:00:00
"
Koregaon-Bhima: Pune police blame Elgar Parishad speeches for violence
",https://timesofindia.indiatimes.com/india/koregaon-bhima-pune-police-blames-elgar-parishad-speeches-for-violence/articleshow/66501641.cms,04 Nov 2018,2018-11-04 00:00:00
"
CPM never supports violence: Kerala CM
",https://timesofindia.indiatimes.com/india/cpm-never-supports-violence-kerala-cm/articleshow/68063495.cms,19 Feb 2019,2019-02-19 00:00:00
"
Stray incidents of violence mar polls
",https://timesofindia.indiatimes.com/city/chandigarh/stray-incidents-of-violence-mar-polls/articleshow/67315030.cms,31 Dec 2018,2018-12-31 00:00:00
"
BJP patronising mob violence: Congress
",https://timesofindia.indiatimes.com/city/lucknow/bjp-patronising-mob-violence-congress/articleshow/67306963.cms,30 Dec 2018,2018-12-30 00:00:00
"
CBI starts investigation into Tuticorin violence
",https://timesofindia.indiatimes.com/city/chennai/cbi-starts-investigation-into-tuticorin-violence/articleshow/67248542.cms,25 Dec 2018,2018-12-25 00:00:00
"
Congress to use politics of violence as weapon against CPM
",https://timesofindia.indiatimes.com/city/kochi/congress-to-use-politics-of-violence-as-weapon-against-cpm/articleshow/67986763.cms,14 Feb 2019,2019-02-14 00:00:00
"
One killed in Jhunsi violence, FIR filed
",https://timesofindia.indiatimes.com/city/allahabad/one-killed-in-jhunsi-violence-fir-filed/articleshow/67966842.cms,12 Feb 2019,2019-02-12 00:00:00
"
Nagpur University is now corrupted by academic terrorists: VC
",https://timesofindia.indiatimes.com/city/nagpur/nu-is-now-corrupted-by-academic-terrorists-vc/articleshow/68326650.cms,09 Mar 2019,2019-03-09 00:00:00
"
Candlelight vigil across Australia on March 9 to honour the memory of dentist Preethi Reddy who was killed in Sydney
",https://timesofindia.indiatimes.com/nri/candlelight-vigil-across-australia-on-march-9-to-honour-the-memory-of-dentist-preethi-reddy-who-was-killed-in-sydney/articleshow/68322711.cms,08 Mar 2019,2019-03-08 00:00:00
"
Astronomers unlikely victims of Mexico's violence, crime
",https://timesofindia.indiatimes.com/world/rest-of-world/astronomers-unlikely-victims-of-mexicos-violence-crime/articleshow/67893924.cms,08 Feb 2019,2019-02-08 00:00:00
"
Ensure safety, security of people from J&K: Centre to states
",https://timesofindia.indiatimes.com/india/ensure-safety-of-people-from-jk-centres-advisory-to-states/articleshow/68322439.cms,08 Mar 2019,2019-03-08 00:00:00
"
Anti-encroachment drive turns violent; 10 injured, huts set on fire
",https://timesofindia.indiatimes.com/city/meerut/anti-encroachment-drive-turns-violent-10-injured-huts-set-on-fire/articleshow/68299499.cms,07 Mar 2019,2019-03-07 00:00:00
"
Arzoo Govitrikar files police complaint against 'abusive' husband
",https://timesofindia.indiatimes.com/tv/news/hindi/arzoo-govitrikar-files-police-complaint-against-abusive-husband/articleshow/68282681.cms,06 Mar 2019,2019-03-06 00:00:00
"
Dowry harassment cases in Karnataka dip 34%, convictions 100%
",https://timesofindia.indiatimes.com/city/bengaluru/dowry-harassment-cases-in-state-dip-34-convictions-100/articleshow/68276768.cms,06 Mar 2019,2019-03-06 00:00:00
"
Mumbai: Leading artistes lead rally against hate and violence
",https://timesofindia.indiatimes.com/city/mumbai/mumbai-leading-artistes-lead-rally-against-hate-and-violence/articleshow/68235511.cms,02 Mar 2019,2019-03-02 00:00:00
