title,url,publishedDate,dateObject
UN agency praises India on minimising loss of life from Cyclone Fani,https://timesofindia.indiatimes.com/india/un-agency-praises-india-on-minimising-loss-of-life-from-cyclone-fani/articleshow/69172691.cms,04 May 2019,2019-05-04 12:15:00
"Cyclone Fani moving towards Bangladesh, no major impact in Bengal",https://timesofindia.indiatimes.com/india/cyclone-fani-moving-towards-bangladesh-no-major-impact-in-bengal/articleshow/69172256.cms,04 May 2019,2019-05-04 11:45:00
"Apologised to Supreme Court, not BJP or Modi: Rahul Gandhi",https://timesofindia.indiatimes.com/india/apologised-to-supreme-court-not-bjp-or-modi-rahul-gandhi/articleshow/69172091.cms,04 May 2019,2019-05-04 12:09:00
Rafale defence deal: Centre files affidavit against review petition,https://timesofindia.indiatimes.com/india/rafale-defence-deal-centre-files-affidavit-against-review-petition/articleshow/69171945.cms,04 May 2019,2019-05-04 11:08:00
"Cyclone Fani: PM Modi to visit Odisha on May 6, discusses situation with CM, Governor",https://timesofindia.indiatimes.com/india/cyclone-fani-pm-modi-to-visit-odisha-on-may-6-discusses-situation-with-cm-governor/articleshow/69171804.cms,04 May 2019,2019-05-04 10:55:00
Why Jharkhand’s Pathalgarhi villages plan to vote in fight for autonomy,https://timesofindia.indiatimes.com/india/why-jharkhands-pathalgarhi-villages-plan-to-vote-in-fight-for-autonomy/articleshow/69169926.cms,04 May 2019,2019-05-04 09:51:00
SC refuses to dilute stringent provisions against pre-natal sex-determination test,https://timesofindia.indiatimes.com/india/sc-refuses-to-dilute-stringent-provisions-against-pre-natal-sex-determination-test/articleshow/69169609.cms,04 May 2019,2019-05-04 04:23:00
RK Studios to give way to apartments,https://timesofindia.indiatimes.com/india/rk-studios-to-give-way-to-apartments/articleshow/69169587.cms,04 May 2019,2019-05-04 04:16:00
"Fani affects PM Modi, Mamata’s rallies in West Bengal and Jharkhand",https://timesofindia.indiatimes.com/india/fani-affects-pm-modi-mamatas-rallies-in-west-bengal-and-jharkhand/articleshow/69169583.cms,04 May 2019,2019-05-04 04:13:00
4 states likely to get heavy rain today,https://timesofindia.indiatimes.com/india/4-states-likely-to-get-heavy-rain-today/articleshow/69169560.cms,04 May 2019,2019-05-04 04:07:00
"Sitaram Yechury, Subramanian Swamy cross swords after Left leader says Hindu epics replete with violence",https://timesofindia.indiatimes.com/india/sitaram-yechury-subramanian-swamy-cross-swords-after-left-leader-says-hindu-epics-replete-with-violence/articleshow/69169542.cms,04 May 2019,2019-05-04 03:58:00
"14,231 candidates take Haryana civil judge test, just 9 make it to last leg",https://timesofindia.indiatimes.com/india/14231-candidates-take-haryana-civil-judge-test-just-9-make-it-to-last-leg/articleshow/69169491.cms,04 May 2019,2019-05-04 03:10:00
"BJP cites survey, says Indians feel safer now",https://timesofindia.indiatimes.com/india/bjp-cites-survey-says-indians-feel-safer-now/articleshow/69169377.cms,04 May 2019,2019-05-04 09:06:00
11 girls missing from Bihar shelter home likely murdered,https://timesofindia.indiatimes.com/india/11-girls-missing-from-bihar-shelter-home-likely-murdered/articleshow/69169363.cms,04 May 2019,2019-05-04 09:06:00
CCTV footage exposes serial rapes of minors by retired executive,https://timesofindia.indiatimes.com/india/cctv-footage-exposes-serial-rapes-of-minors-by-retired-executive/articleshow/69169359.cms,04 May 2019,2019-05-04 01:45:00
"Cyclone kills 6 in Odisha, leaves trail of destruction",https://timesofindia.indiatimes.com/india/cyclone-kills-6-in-odisha-leaves-trail-of-destruction/articleshow/69169340.cms,04 May 2019,2019-05-04 01:28:00
"New warning system, smooth evacuation limit casualties due to Fani's fury",https://timesofindia.indiatimes.com/india/new-warning-system-smooth-evacuation-limit-casualties-due-to-fanis-fury/articleshow/69169094.cms,04 May 2019,2019-05-04 10:05:00
