og_title,title,lang,url,publishedDate,dateObject
"Aksi Solidaritas Wanita Selandia Baru, Ajarkan Keberagaman pada Anak","New Zealand Women's Solidarity Action, Teach Diversity to Children",id,https://www.haibunda.com/mom-life/d-4484564/aksi-solidaritas-wanita-selandia-baru-ajarkan-keberagaman-pada-anak,26 Mar 2019,2019-03-26 20:03:00
PSI Sulut Protes Bendera Partai Dibuang ke Tempat Sampah,PSI Sulut Protests Party Flags Thrown into Trash,id,https://news.detik.com/berita/d-4484498/psi-sulut-protes-bendera-partai-dibuang-ke-tempat-sampah,26 Mar 2019,2019-03-26 19:05:00
"Pemilu Thailand Diwarnai Keganjilan, Ini Kata Komisi Pemilihan Umum","Thai Election Colored by Oddity, This Is Said by the Election Commission",id,https://news.detik.com/bbc-world/d-4484266/pemilu-thailand-diwarnai-keganjilan-ini-kata-komisi-pemilihan-umum,26 Mar 2019,2019-03-26 17:17:00
Respons Ridwan Kamil soal Protes Penundaan Pelantikan Bupati Ciamis,Ridwan Kamil's response to the Protest of the Inauguration of the Ciamis Regent,id,https://news.detik.com/berita-jawa-barat/d-4484136/respons-ridwan-kamil-soal-protes-penundaan-pelantikan-bupati-ciamis,26 Mar 2019,2019-03-26 15:41:00
"Pelantikan Bupati Ditunda, Pemkab Ciamis akan Kirim Surat ke Ridwan Kamil","The Inauguration of the Regent is Postponed, the Ciamis Regency Government will Send a Letter to Ridwan Kamil",id,https://news.detik.com/berita-jawa-barat/d-4484079/pelantikan-bupati-ditunda-pemkab-ciamis-akan-kirim-surat-ke-ridwan-kamil,26 Mar 2019,2019-03-26 14:57:00
"Pemberian Gelar Doktor Honoris Causa ke Soekarwo, Ini Kata UIN Sunan Ampel","Awarding Honoris Causa Doctorate to Soekarwo, This is Said by Sunan Ampel UIN",id,https://news.detik.com/berita-jawa-timur/d-4484062/pemberian-gelar-doktor-honoris-causa-ke-soekarwo-ini-kata-uin-sunan-ampel,26 Mar 2019,2019-03-26 14:51:00
"Protes Angkutan Online Tak Dipungut Retribusi, Sopir Angkot di Makassar Demo","Online Transport Protests Are Not Charged Retribution, Public Transportation Drivers in Makassar Demo",id,https://news.detik.com/berita/d-4483904/protes-angkutan-online-tak-dipungut-retribusi-sopir-angkot-di-makassar-demo,26 Mar 2019,2019-03-26 13:46:00
Ridwan Kamil Didesak Lantik Bupati Ciamis Terpilih Sesuai Jadwal,Ridwan Kamil Urged to Appoint Selected Ciamis Regent on Schedule,id,https://news.detik.com/berita-jawa-barat/d-4483564/ridwan-kamil-didesak-lantik-bupati-ciamis-terpilih-sesuai-jadwal,26 Mar 2019,2019-03-26 10:46:00
"Timpuk Pemimpin Oposisi dengan Telur, Pria Inggris Dibui","Oppose the Leader of the Opposition with Eggs, British Men Convicted",id,https://news.detik.com/internasional/d-4483517/timpuk-pemimpin-oposisi-dengan-telur-pria-inggris-dibui,26 Mar 2019,2019-03-26 10:16:00
"Pilpres 2019, Antara Kegembiraan dan Keterbelahan","2019 Presidential Election, Between Joy and Split",id,https://news.detik.com/kolom/d-4483486/pilpres-2019-antara-kegembiraan-dan-keterbelahan,26 Mar 2019,2019-03-26 10:00:00
Brunei Akan Terapkan Hukum Rajam Sampai Mati Bagi LGBT,Brunei Will Apply Rajak Law To Death For LGBT,id,https://news.detik.com/abc-australia/d-4483450/brunei-akan-terapkan-hukum-rajam-sampai-mati-bagi-lgbt,26 Mar 2019,2019-03-26 09:49:00
"Messi Absen Lawan Maroko, Argentina Rugi Rp 7,2 Miliar","Messi Absent Against Morocco, Argentina Loss of Rp 7.2 Billion",id,https://sport.detik.com/sepakbola/bola-dunia/d-4483353/messi-absen-lawan-maroko-argentina-rugi-rp-72-miliar,26 Mar 2019,2019-03-26 08:17:00
"Praktis dan Murah, Dengan Rp 5 Ribu Bisa Jajan 5 Makanan Enak Ini","Practical and Cheap, With IDR 5 Thousand Can Eat 5 Delicious Foods",id,https://food.detik.com/info-kuliner/d-4483264/praktis-dan-murah-dengan-rp-5-ribu-bisa-jajan-5-makanan-enak-ini,26 Mar 2019,2019-03-26 06:34:00
"Liputan Tahanan Kabur, HP Wartawan Dirampas Oknum Anggota Polresta Pasuruan","Coverage of Rescued Prisoners, HP Reporters Deprived of Members of Pasuruan Police",id,https://news.detik.com/berita-jawa-timur/d-4483089/liputan-tahanan-kabur-hp-wartawan-dirampas-oknum-anggota-polresta-pasuruan,25 Mar 2019,2019-03-25 21:15:00
Massa Gelar Aksi Solidaritas Bagi Pekerja yang Bajak Tangki Pertamina,Massa Holds Solidarity Action for Workers who Plow the Tank Pertamina,id,https://news.detik.com/berita-jawa-barat/d-4482674/massa-gelar-aksi-solidaritas-bagi-pekerja-yang-bajak-tangki-pertamina,25 Mar 2019,2019-03-25 17:09:00
"Messi Cedera, Maroko ke Argentina: Masa Sih?","Messi Injury, Morocco to Argentina: What's the Time?",id,https://sport.detik.com/sepakbola/bola-dunia/d-4482589/messi-cedera-maroko-ke-argentina-masa-sih,25 Mar 2019,2019-03-25 16:30:00
3 Perkiraan Putusan Sidang soal Komponen Ducati yang Diprotes,3 Estimated Session Decisions about Ducati Components Protested,id,https://sport.detik.com/moto-gp/d-4482323/3-perkiraan-putusan-sidang-soal-komponen-ducati-yang-diprotes,25 Mar 2019,2019-03-25 14:17:00
Bayi 5 Bulan Meninggal Dunia Setelah Disunat di Rumah,5-month-old baby dies after being circumcised at home,id,https://news.detik.com/bbc-world/d-4481868/bayi-5-bulan-meninggal-dunia-setelah-disunat-di-rumah,25 Mar 2019,2019-03-25 10:00:00
Kisah Penyanyi Bar Berhijab yang Jadi Peserta Sunsilk Hijab Hunt 2019,The Stories Bar Singer Story That Becomes Sunsilk Hijab Hunt Participant 2019,id,https://wolipop.detik.com/hijab-update/d-4481801/kisah-penyanyi-bar-berhijab-yang-jadi-peserta-sunsilk-hijab-hunt-2019,25 Mar 2019,2019-03-25 09:00:00
8 Orang Anak Tewas Akibat Ledakan di Sudan,8 Children Killed as a Result of Explosions in Sudan,id,https://news.detik.com/internasional/d-4480753/8-orang-anak-tewas-akibat-ledakan-di-sudan,24 Mar 2019,2019-03-24 05:38:00
"Selama 3 Bulan, Siswa di SMP Banyuwangi Ini Sering Mendapat Jam Kosong","For 3 Months, Students in Banyuwangi Middle School Often Get Blank Hours",id,https://news.detik.com/berita-jawa-timur/d-4480349/selama-3-bulan-siswa-di-smp-banyuwangi-ini-sering-mendapat-jam-kosong,23 Mar 2019,2019-03-23 15:35:00
"#dearRiver, Perihal Mengisap Jempol","#dearRiver, Regarding Sucking Thumbs",id,https://www.haibunda.com/aktivitas/d-4480221/dearriver-perihal-mengisap-jempol,23 Mar 2019,2019-03-23 13:01:00
Sidang Ribut-Ribut 4 Pabrikan vs Ducati Soal Winglet Sudah Digelar,Trial of 4 Manufacturer vs Ducati Trial of Winglet Problem Has Been Held,id,https://sport.detik.com/moto-gp/d-4480001/sidang-ribut-ribut-4-pabrikan-vs-ducati-soal-winglet-sudah-digelar,23 Mar 2019,2019-03-23 09:19:00
KPU Tunda Rapat Penetapan Moderator dan TV Penyelenggara Debat Capres,KPU Delays Moderator and TV Determination Meeting for the Presidential Candidates' Debate,id,https://news.detik.com/berita/d-4479634/kpu-tunda-rapat-penetapan-moderator-dan-tv-penyelenggara-debat-capres,22 Mar 2019,2019-03-22 19:27:00
"Pelantikan Bupati Ciamis Ditunda, PKS Khawatir Timbul Gejolak","Inauguration of Ciamis Regent Delayed, PKS Worries about Emerging Turmoil",id,https://news.detik.com/berita-jawa-barat/d-4479267/pelantikan-bupati-ciamis-ditunda-pks-khawatir-timbul-gejolak,22 Mar 2019,2019-03-22 15:54:00
"Ingin Temani Anak Sampai Dewasa, Alasan Marcellino Lefrandt Suka Olahraga","Want to Accompany Children to Adults, Reason Marcellino Lefrandt Likes Sports",id,https://hot.detik.com/celeb/d-4479208/ingin-temani-anak-sampai-dewasa-alasan-marcellino-lefrandt-suka-olahraga,22 Mar 2019,2019-03-22 15:22:00
"Soal Gugatan Komponen Ducati, Aprilia: Kemenangan Dovizioso Tak Perlu Dicoret","Ducati Component Suit Problem, Aprilia: Dovizioso's Victory Need Not Be Banned",id,https://sport.detik.com/moto-gp/d-4479172/soal-gugatan-komponen-ducati-aprilia-kemenangan-dovizioso-tak-perlu-dicoret,22 Mar 2019,2019-03-22 14:58:00
"Kapal Nelayan Tenggelam di Laut China Selatan, Vietnam Marah ke China","Fishing Vessels Sink in the South China Sea, Angry Vietnam to China",id,https://news.detik.com/internasional/d-4479057/kapal-nelayan-tenggelam-di-laut-china-selatan-vietnam-marah-ke-china,22 Mar 2019,2019-03-22 14:09:00
BPN Prabowo Adukan Metro TV ke KPI,Prabowo BPN Stirs Metro TV to KPI,id,https://news.detik.com/berita/d-4479023/bpn-prabowo-adukan-metro-tv-ke-kpi,22 Mar 2019,2019-03-22 13:42:00
"Vanessa Angel Protes Menu Penjara, Begini Aturan Menu Pesakitan","Vanessa Angel Protests Prison Menu, Here's the Prison Menu Rules",id,https://health.detik.com/diet/d-4479029/vanessa-angel-protes-menu-penjara-begini-aturan-menu-pesakitan,22 Mar 2019,2019-03-22 13:38:00
