og_title,title,lang,url,publishedDate,dateObject
"Rapat Pleno Selesai, Jokowi-Ma'ruf Unggul di Kota Banjar","Completed Plenary Meeting, Jokowi-Ma'ruf Unggul in Banjar City",id,https://news.detik.com/berita-jawa-barat/d-4531316/rapat-pleno-selesai-jokowi-maruf-unggul-di-kota-banjar,30 Apr 2019,2019-04-30 21:26:00
Suara Prabowo-Sandi Nyungsep di Kota Proklamator,Prabowo-Sandi Nyungsep's voice in the City of Proclamator,id,https://news.detik.com/berita-jawa-timur/d-4531310/suara-prabowo-sandi-nyungsep-di-kota-proklamator,30 Apr 2019,2019-04-30 21:15:00
"Karena Kru KRI Tjiptadi Tahu, Tembakan Mereka Sudah Ditunggu","Because KRI Tjiptadi's crew knew, their shot was awaited",id,https://news.detik.com/berita/d-4531280/karena-kru-kri-tjiptadi-tahu-tembakan-mereka-sudah-ditunggu,30 Apr 2019,2019-04-30 21:00:00
"Rekapitulasi Kota Kediri Kelar, Capres 01 Unggul 143.991 Suara","Recapitulation of the City of Kediri Kelar, Presidential Candidate 01 Superior 143,991 Votes",id,https://news.detik.com/berita-jawa-timur/d-4531216/rekapitulasi-kota-kediri-kelar-capres-01-unggul-143991-suara,30 Apr 2019,2019-04-30 19:45:00
"Ada di Selisih DPK, Rapat Pleno KPU Surabaya Sempat Diskors 2 Jam","There is a difference in DPK, the Surabaya KPU Plenary Meeting was Suspended for 2 Hours",id,https://news.detik.com/berita-jawa-timur/d-4531197/ada-di-selisih-dpk-rapat-pleno-kpu-surabaya-sempat-diskors-2-jam,30 Apr 2019,2019-04-30 19:29:00
"Viral, Patung Lilin Daenerys Disebut Mirip Lucius Malfoy di Harry Potter","Viral, Daenerys Wax Statue Called Lucius Malfoy in Harry Potter",id,https://wolipop.detik.com/entertainment-news/d-4531076/viral-patung-lilin-daenerys-disebut-mirip-lucius-malfoy-di-harry-potter,30 Apr 2019,2019-04-30 18:12:00
"Jalan Lintas Palembang-Jambi Rusak Parah, DPRD Minta Pemerintah Pusat Perbaiki","Palembang-Jambi Cross Road Damaged Severely, DPRD Asks the Government to Fix it",id,https://news.detik.com/berita/d-4530862/jalan-lintas-palembang-jambi-rusak-parah-dprd-minta-pemerintah-pusat-perbaiki,30 Apr 2019,2019-04-30 16:20:00
Kapolda Copot Kabag Ops Polres Halmahera Selatan Buntut Aksi Protes Honor,Head of Regional Police Unplug Kabag of Ops of South Halmahera Regional Police After the Honor Protests,id,https://news.detik.com/berita/d-4530750/kapolda-copot-kabag-ops-polres-halmahera-selatan-buntut-aksi-protes-honor,30 Apr 2019,2019-04-30 15:32:00
"Wouw, Sedotan Plastik McD Ada yang Dijual Sampai Rp 18,4 Juta!","Wouw, There Are McD Plastic Straws For Sale Up To Rp. 18.4 Million!",id,https://food.detik.com/info-kuliner/d-4530704/wouw-sedotan-plastik-mcd-ada-yang-dijual-sampai-rp-184-juta,30 Apr 2019,2019-04-30 15:00:00
Wapres JK: Perbatasan ZEE Indonesia-Vietnam Masih Dirundingkan,Vice President JK: Indonesia-Vietnam EEZ Border Still Negotiated,id,https://news.detik.com/berita/d-4530675/wapres-jk-perbatasan-zee-indonesia-vietnam-masih-dirundingkan,30 Apr 2019,2019-04-30 14:43:00
Masyarakat Protes Museum Polandia yang Larang Karya Seni Bertema Pisang,Protest Society of the Polish Museum Banning Banana Themed Art Work,id,https://food.detik.com/info-kuliner/d-4530670/masyarakat-protes-museum-polandia-yang-larang-karya-seni-bertema-pisang,30 Apr 2019,2019-04-30 14:30:00
Polri Angkat Bicara Soal Video Polisi Protes Honor di Halsel,National Police Speak Up on Police Video Problems Protesting Honor in South Kalimantan,id,https://news.detik.com/detiktv/d-4530645/polri-angkat-bicara-soal-video-polisi-protes-honor-di-halsel,30 Apr 2019,2019-04-30 14:20:00
Jokowi Tumbangkan Prabowo di Semua Kecamatan Kabupaten Trenggalek,Jokowi Submits Prabowo in All Districts of Trenggalek Regency,id,https://news.detik.com/berita-jawa-timur/d-4530638/jokowi-tumbangkan-prabowo-di-semua-kecamatan-kabupaten-trenggalek,30 Apr 2019,2019-04-30 14:16:00
Polri: Konsep Anggaran Pengamanan Pemilu di Jawa-Luar Jawa Perlu Direvisi,National Police: Budget Concept for Safeguarding Elections in Outer-Java Java Needs Revision,id,https://news.detik.com/berita/d-4530621/polri-konsep-anggaran-pengamanan-pemilu-di-jawa-luar-jawa-perlu-direvisi,30 Apr 2019,2019-04-30 14:08:00
Ada Tumpang-Tindih Klaim ZEE di Lokasi Kapal Vietnam Tabrak KRI,There is Overlapping of EEZ Claims at the Location of the Vietnam Ship Hit the KRI,id,https://news.detik.com/berita/d-4530457/ada-tumpang-tindih-klaim-zee-di-lokasi-kapal-vietnam-tabrak-kri,30 Apr 2019,2019-04-30 12:37:00
KPU Blitar Curhat Soal Petugas Pemilu Tumbang dan Tudingan Curang,KPU Blitar Confided About the Problem of Falling and Cheat Election Officers,id,https://news.detik.com/berita-jawa-timur/d-4530444/kpu-blitar-curhat-soal-petugas-pemilu-tumbang-dan-tudingan-curang,30 Apr 2019,2019-04-30 12:29:00
Protes Parpol Warnai Pembukaan Rapat Pleno Terbuka KPU Kota Kediri,Political Party Protests Color the Opening of the Kediri City KPU Open Plenary Meeting,id,https://news.detik.com/berita-jawa-timur/d-4530386/protes-parpol-warnai-pembukaan-rapat-pleno-terbuka-kpu-kota-kediri,30 Apr 2019,2019-04-30 11:51:00
"Mural Anak Perempuan Muncul di Bekas Lokasi Demo London, Punya Banksy?","Girl Murals Appear on Former London Demonstations, Have Banksy?",id,https://hot.detik.com/art/d-4530359/mural-anak-perempuan-muncul-di-bekas-lokasi-demo-london-punya-banksy,30 Apr 2019,2019-04-30 11:33:00
"Tabrak KRI Tjiptadi, Kapal Vietnam Dinilai Langgar Hukum Internasional","Hit KRI Tjiptadi, Vietnam Vessels rated as violating international law",id,https://news.detik.com/berita/d-4530280/tabrak-kri-tjiptadi-kapal-vietnam-dinilai-langgar-hukum-internasional,30 Apr 2019,2019-04-30 10:54:00
