og_title,title,lang,url,publishedDate,dateObject
Pria Penyebar Isu Provokasi 22 Mei Rusuh Terancam 6 Tahun Penjara,Male Spreader of Provocation Issues May 22 Rush Threatened 6 Years in Prison,id,https://news.detik.com/berita/d-4530403/pria-penyebar-isu-provokasi-22-mei-rusuh-terancam-6-tahun-penjara,30 Apr 2019,2019-04-30 12:03:00
Pengakuan Penyebar Isu Provokasi 22 Mei Rusuh yang Ditangkap di Makassar,Recognition of Issuers Issues Provocation May 22 Rescued Detained in Makassar,id,https://news.detik.com/berita/d-4530338/pengakuan-penyebar-isu-provokasi-22-mei-rusuh-yang-ditangkap-di-makassar,30 Apr 2019,2019-04-30 11:19:00
Video: Ini Pria yang Dibekuk karena Sebar Isu 22 Mei Bakal Rusuh,Video: This is a Man who was arrested because of Issue of Issues May 22 Will Be Raided,id,https://news.detik.com/detiktv/d-4529874/video-ini-pria-yang-dibekuk-karena-sebar-isu-22-mei-bakal-rusuh,29 Apr 2019,2019-04-29 20:58:00
"Sebarkan Isu Provokasi 22 Mei Rusuh, Pria di Makassar Ditangkap Polisi","Spread Provocation Issues May 22 Rush, Men in Makassar Arrested by Police",id,https://news.detik.com/berita/d-4528830/sebarkan-isu-provokasi-22-mei-rusuh-pria-di-makassar-ditangkap-polisi,29 Apr 2019,2019-04-29 10:47:00
Relawan Ma'ruf Amin Gelar Tasyakuran atas Keberhasilan Pemilu,Ma'ruf Amin volunteer held a tribute to the success of the election,id,https://news.detik.com/berita/d-4525754/relawan-maruf-amin-gelar-tasyakuran-atas-keberhasilan-pemilu,26 Apr 2019,2019-04-26 12:53:00
Ahli di Sidang Ratna Sebut Pasal Keonaran dengan Kebohongan Masih Relevan,Expert in the Session of the Ratna Call the article of confusion with lies still relevant,id,https://news.detik.com/berita/d-4524613/ahli-di-sidang-ratna-sebut-pasal-keonaran-dengan-kebohongan-masih-relevan,25 Apr 2019,2019-04-25 15:50:00
"KPU Boyolali Tak Gelar PSU di TPS yang Videonya Viral, Ini Alasannya","KPU Boyolali Does Not Hold PSU on TPS with Viral Videos, This Is the Reason",id,https://news.detik.com/berita-jawa-tengah/d-4523417/kpu-boyolali-tak-gelar-psu-di-tps-yang-videonya-viral-ini-alasannya,24 Apr 2019,2019-04-24 18:40:00
Peristiwa Surat Suara Dibakar Warga Puncak Jaya Papua Terjadi 23 April,Ballot Events Burned by Puncak Jaya Papua Residents Occur April 23,id,https://news.detik.com/berita/d-4522751/peristiwa-surat-suara-dibakar-warga-puncak-jaya-papua-terjadi-23-april,24 Apr 2019,2019-04-24 12:16:00
KPU-Bawaslu Cek Video Viral Surat Suara Dibakar Warga di Puncak Jaya Papua,KPU-Bawaslu Checks Viral Video Ballots Burned Residents in Puncak Jaya Papua,id,https://news.detik.com/berita/d-4522686/kpu-bawaslu-cek-video-viral-surat-suara-dibakar-warga-di-puncak-jaya-papua,24 Apr 2019,2019-04-24 11:41:00
"23 TPS di Jombang Gelar Hitung Ulang Suara Caleg, Ini Penyebabnya","23 TPS in Jombang Hold a Recount of Candidates' Voice, This Is the Cause",id,https://news.detik.com/berita-jawa-timur/d-4521840/23-tps-di-jombang-gelar-hitung-ulang-suara-caleg-ini-penyebabnya,23 Apr 2019,2019-04-23 17:59:00
