og_title,title,lang,url,publishedDate,dateObject
"Cabuli 5 Bocah SD, Petani di Sulbar Diciduk Polisi","Cabuli 5 Elementary School Children, Farmers in Sulbar Arrested by Police",id,https://news.detik.com/berita/d-4531226/cabuli-5-bocah-sd-petani-di-sulbar-diciduk-polisi,30 Apr 2019,2019-04-30 19:55:00
"Rencanakan Teror Bom Skala Besar, Eks Tentara AS Ditangkap","Plans for Large-scale Terror Bombing, Ex-US Army Arrested",id,https://news.detik.com/internasional/d-4531213/rencanakan-teror-bom-skala-besar-eks-tentara-as-ditangkap,30 Apr 2019,2019-04-30 19:40:00
Membangun Narasi Baru Pasca Pemilu,Building a New Post-Election Narrative,id,https://news.detik.com/kolom/d-4530688/membangun-narasi-baru-pasca-pemilu,30 Apr 2019,2019-04-30 15:00:00
Imigrasi Gandeng Komnas HAM hingga KPAI Cegah Kekerasan di Rudenim,Immigration Collaborates with Komnas HAM until KPAI Prevents Violence at the Rudenim,id,https://news.detik.com/berita/d-4530627/imigrasi-gandeng-komnas-ham-hingga-kpai-cegah-kekerasan-di-rudenim,30 Apr 2019,2019-04-30 14:08:00
"Peringati Hardiknas, Kemendikbud Angkat Isu Teknologi Pendidikan","Commemorating National Education Day, Ministry of Education and Culture Raises Educational Technology Issues",id,https://news.detik.com/berita/d-4530631/peringati-hardiknas-kemendikbud-angkat-isu-teknologi-pendidikan,30 Apr 2019,2019-04-30 14:06:00
Kata AS Soal Kemunculan Pertama Al-Baghdadi dalam 5 Tahun Terakhir,US Said Al-Baghdadi&#39;s First Occurrence Problem in the Last 5 Years,id,https://news.detik.com/internasional/d-4530554/kata-as-soal-kemunculan-pertama-al-baghdadi-dalam-5-tahun-terakhir,30 Apr 2019,2019-04-30 13:29:00
"Imbas Vonis Bebas Pemerkosa 2 Anak, Ketua PN Cibinong Diganti","As a result of the free verdict of two child rapists, the Chairman of the Cibinong District was replaced",id,https://news.detik.com/berita-jawa-barat/d-4530402/imbas-vonis-bebas-pemerkosa-2-anak-ketua-pn-cibinong-diganti,30 Apr 2019,2019-04-30 12:04:00
Memaknai Kegemilangan PKS dan Kegagalan PSI,Understanding PKI&#39;s Excellence and PSI Failure,id,https://news.detik.com/kolom/d-4530387/memaknai-kegemilangan-pks-dan-kegagalan-psi,30 Apr 2019,2019-04-30 12:00:00
"Pria Bersenjata Serang Gereja Burkina Faso, 1 Pendeta dan 4 Jemaat Tewas","Armed Men Attack the Burkina Faso Church, 1 Pastor and 4 Churches Killed",id,https://news.detik.com/internasional/d-4529711/pria-bersenjata-serang-gereja-burkina-faso-1-pendeta-dan-4-jemaat-tewas,29 Apr 2019,2019-04-29 18:43:00
"Pertengkaran Dunia Maya Chvrches Melawan Chris Brown dan Tyga, Kenapa?","Maya World Chvrches Fight Against Chris Brown and Tyga, Why?",id,https://hot.detik.com/music/d-4529302/pertengkaran-dunia-maya-chvrches-melawan-chris-brown-dan-tyga-kenapa,29 Apr 2019,2019-04-29 15:31:00
"Survei Global: Warga Paraguay Paling Bahagia, Indonesia Peringkat ke-5","Global Survey: Paraguay&#39;s happiest citizens, Indonesia ranks 5th",id,https://news.detik.com/bbc-world/d-4529280/survei-global-warga-paraguay-paling-bahagia-indonesia-peringkat-ke-5,29 Apr 2019,2019-04-29 15:13:00
Pemilu Borongan Khas Indonesia (1),Indonesian Special Volume Election (1),id,https://news.detik.com/kolom/d-4529237/pemilu-borongan-khas-indonesia-1,29 Apr 2019,2019-04-29 14:38:00
"Hilang 3 Hari, Pria Ini Ternyata Dicekoki Kecubung oleh Kenalannya","Lost 3 days, this man turned out to be engulfed by amethyst by his acquaintance",id,https://news.detik.com/berita-jawa-tengah/d-4529236/hilang-3-hari-pria-ini-ternyata-dicekoki-kecubung-oleh-kenalannya,29 Apr 2019,2019-04-29 14:36:00
RUU PKS: Nikahi Anak Belum Berusia 18 Tahun Dihukum Pidana Penjara,PKS Bill: Marrying Children Not Aged 18 Years Sentenced to Prison Crimes,id,https://news.detik.com/berita/d-4529165/ruu-pks-nikahi-anak-belum-berusia-18-tahun-dihukum-pidana-penjara,29 Apr 2019,2019-04-29 13:59:00
Partai Sosialis Menangkan Pemilu Spanyol,The Socialist Party Wins Spanish Election,id,https://news.detik.com/bbc-world/d-4528945/partai-sosialis-menangkan-pemilu-spanyol,29 Apr 2019,2019-04-29 12:10:00
"RUU PKS Kriminalisasi Siulan Menggoda, Bagaimana di Eropa?","PKS Bill Criminalization of Whistling Teasing, How in Europe?",id,https://news.detik.com/berita/d-4528784/ruu-pks-kriminalisasi-siulan-menggoda-bagaimana-di-eropa,29 Apr 2019,2019-04-29 10:02:00
"Tokoh Agama Disebut Khusus di RUU PKS, MUI: Kami Punya Konsep Sendiri","Religious Leaders Called Specifically in the PKS Bill, MUI: We Have Our Own Concept",id,https://news.detik.com/berita/d-4528762/tokoh-agama-disebut-khusus-di-ruu-pks-mui-kami-punya-konsep-sendiri,29 Apr 2019,2019-04-29 09:25:00
RUU PKS: Dari Kriminalisasi Kedipan Mata hingga Redefinisi Perkosaan,PKS Bill: From Eye Wink Criminalization to Rape Redefinition,id,https://news.detik.com/berita/d-4528751/ruu-pks-dari-kriminalisasi-kedipan-mata-hingga-redefinisi-perkosaan,29 Apr 2019,2019-04-29 09:10:00
"PBNU Setuju Pemerkosa dari Tokoh Agama Dihukum Lebih Berat, Ini Alasannya","PBNU Agrees Rapists from Religious Leaders Sentenced More Severe, This Is the Reason",id,https://news.detik.com/berita/d-4528735/pbnu-setuju-pemerkosa-dari-tokoh-agama-dihukum-lebih-berat-ini-alasannya,29 Apr 2019,2019-04-29 08:55:00
"RUU PKS: Paksa Anaknya Nikah, Ayah Dihukum 15 Tahun Penjara","PKS Bill: Forced to Marry His Son, Dad Sentenced to 15 Years in Prison",id,https://news.detik.com/berita/d-4528692/ruu-pks-paksa-anaknya-nikah-ayah-dihukum-15-tahun-penjara,29 Apr 2019,2019-04-29 08:35:00
Muhammadiyah: Definisi Tokoh Agama di RUU PKS Berpotensi Jadi Kontroversi,Muhammadiyah: Definition of Religious Leaders in the PKS Bill Potentially Becomes Controversy,id,https://news.detik.com/berita/d-4528606/muhammadiyah-definisi-tokoh-agama-di-ruu-pks-berpotensi-jadi-kontroversi,29 Apr 2019,2019-04-29 06:36:00
4 Orang Tewas Dalam Serangan Boko Haram di Kamerun,4 people killed in Boko Haram attack in Cameroon,id,https://news.detik.com/internasional/d-4528551/4-orang-tewas-dalam-serangan-boko-haram-di-kamerun,29 Apr 2019,2019-04-29 03:30:00
Siswa SMP Ponorogo Tewas Tenggelam Usai Main di Pantai Soge,Ponorogo Middle School Students Drowned After Playing on Soge Beach,id,https://news.detik.com/berita-jawa-timur/d-4528419/siswa-smp-ponorogo-tewas-tenggelam-usai-main-di-pantai-soge,28 Apr 2019,2019-04-28 20:33:00
RUU PKS: Bersiul dan Kedipkan Mata Bisa Dipidana,PKS Bill: Whistling and Blinking Eyes Can Be Penalized,id,https://news.detik.com/berita/d-4528241/ruu-pks-bersiul-dan-kedipkan-mata-bisa-dipidana,28 Apr 2019,2019-04-28 17:13:00
Pembuktian Kekerasan Seksual ala RUU PKS: Keterangan Korban dan 1 Bukti,Proof of Sexual Violence in the form of the PKS Bill: Victim Information and 1 Proof,id,https://news.detik.com/berita/d-4528194/pembuktian-kekerasan-seksual-ala-ruu-pks-keterangan-korban-dan-1-bukti,28 Apr 2019,2019-04-28 16:29:00
Definisi Perkosaan Ala RUU PKS Tidak Harus Bersetubuh,Definition of Rape of the PKS Bill Doesn&#39;t Have to Have Sex,id,https://news.detik.com/berita/d-4528172/definisi-perkosaan-ala-ruu-pks-tidak-harus-bersetubuh,28 Apr 2019,2019-04-28 16:01:00
RUU PKS: Tokoh Agama yang Memperkosa Minimal Dipenjara 12 Tahun!,PKS Bill: Minor Rape Religious Personages 12 Years In Arrival!,id,https://news.detik.com/berita/d-4528135/ruu-pks-tokoh-agama-yang-memperkosa-minimal-dipenjara-12-tahun,28 Apr 2019,2019-04-28 15:32:00
RUU PKS: Atasan/Tokoh Lakukan Pelecehan Seksual Dibui Minimal 5 Tahun,PKS Bill: Bosses / Leaders Perform Sexual Harassment Admitted at least 5 Years,id,https://news.detik.com/berita/d-4527864/ruu-pks-atasantokoh-lakukan-pelecehan-seksual-dibui-minimal-5-tahun,28 Apr 2019,2019-04-28 11:56:00
"Tolak RUU PKS, Sejumlah Perempuan Lakban Mulut di CFD","Reject the PKS Bill, A Number of Women Dying Mouth in CFD",id,https://news.detik.com/berita/d-4527852/tolak-ruu-pks-sejumlah-perempuan-lakban-mulut-di-cfd,28 Apr 2019,2019-04-28 11:21:00
Walkot Keberatan Film 'Kucumbu Tubuh Indahku' Diputar di Pontianak,Walkot Objection Film &#39;Kucumbu My Beautiful Body&#39; Played in Pontianak,id,https://news.detik.com/berita/d-4527831/walkot-keberatan-film-kucumbu-tubuh-indahku-diputar-di-pontianak,28 Apr 2019,2019-04-28 11:01:00
"Zahran, Dalang Utama Bom Paskah di Sri Lanka 'Terusir' Sejak Kecil","Zahran, Principal Mastermind of Easter Bombs in Sri Lanka &#39;Continued&#39; Since Small",id,https://news.detik.com/internasional/d-4527557/zahran-dalang-utama-bom-paskah-di-sri-lanka-terusir-sejak-kecil,27 Apr 2019,2019-04-27 20:30:00
"Ingatkan Jalur Resmi, Ma'ruf Nilai Tak Perlu People Power Pasca-pemilu","Remind Official Paths, Ma&#39;ruf Value Does Not Need to People Power Post-Election",id,https://news.detik.com/berita/d-4527456/ingatkan-jalur-resmi-maruf-nilai-tak-perlu-people-power-pasca-pemilu,27 Apr 2019,2019-04-27 17:50:00
LPSK Kaji Rencana Pindahkan 2 Anak Korban Pemerkosaan di Bogor,LPSK Kaji Plans to Move 2 Children Rape Victims in Bogor,id,https://news.detik.com/berita/d-4527157/lpsk-kaji-rencana-pindahkan-2-anak-korban-pemerkosaan-di-bogor,27 Apr 2019,2019-04-27 11:53:00
"Sahkan RUU PKS, Demi Lindungi Anak dari Kekerasan Seksual","Legalize the PKS Bill, To Protect Children from Sexual Violence",id,https://news.detik.com/detiktv/d-4527086/sahkan-ruu-pks-demi-lindungi-anak-dari-kekerasan-seksual,27 Apr 2019,2019-04-27 11:16:00
LPSK Terima Info 2 Anak Korban Pemerkosaan di Bogor Di-bully di Sekolah,LPSK Receives Info on 2 Children of Rape Victims in Bogor Bullied in Schools,id,https://news.detik.com/berita/d-4527087/lpsk-terima-info-2-anak-korban-pemerkosaan-di-bogor-di-bully-di-sekolah,27 Apr 2019,2019-04-27 11:09:00
"Siapakah Zahran Hashim, Terduga Dalang Utama Bom Sri Lanka?","Who is Zahran Hashim, Suspected Principal for the Sri Lanka Bomb?",id,https://news.detik.com/bbc-world/d-4526969/siapakah-zahran-hashim-terduga-dalang-utama-bom-sri-lanka,27 Apr 2019,2019-04-27 09:05:00
Punggung Siswa SMP Sukabumi Bolong Dibacok Celurit,Backs of Sukabumi Bolong Middle School students hacked by sickles,id,https://news.detik.com/berita-jawa-barat/d-4526832/punggung-siswa-smp-sukabumi-bolong-dibacok-celurit,26 Apr 2019,2019-04-26 22:31:00
Geng Kriminal Kuasai Kamp Pengungsi Rohingya di Bangladesh,Criminal Gang Controls Rohingya Refugee Camp in Bangladesh,id,https://news.detik.com/internasional/d-4526541/geng-kriminal-kuasai-kamp-pengungsi-rohingya-di-bangladesh,26 Apr 2019,2019-04-26 19:07:00
Pendukung Senator Anti-Muslim di Australia Pukuli Wartawan,Supporters of the Anti-Muslim Senator in Australia Beat Journalists,id,https://news.detik.com/abc-australia/d-4526525/pendukung-senator-anti-muslim-di-australia-pukuli-wartawan,26 Apr 2019,2019-04-26 18:51:00
"Penyebab Skizofrenia, Gangguan di Otak yang Berdampak pada Kejiwaan","Causes of Schizophrenia, Brain Disorders That Affect Psychiatry",id,https://health.detik.com/berita-detikhealth/d-4526158/penyebab-skizofrenia-gangguan-di-otak-yang-berdampak-pada-kejiwaan,26 Apr 2019,2019-04-26 15:47:00
"Pemerkosa 2 Anak Divonis Bebas, UU Kekerasan Seksual Mendesak","Rapist 2 Children Sentenced to Free, Urgent Sexual Violence Law",id,https://news.detik.com/berita/d-4525440/pemerkosa-2-anak-divonis-bebas-uu-kekerasan-seksual-mendesak,26 Apr 2019,2019-04-26 09:02:00
"Dr. Dre, Miliarder Pertama di Dunia Hip Hop","Dr. Dre, the First Billionaire in the World of Hip Hop",id,https://finance.detik.com/sosok/d-4525383/dr-dre-miliarder-pertama-di-dunia-hip-hop,26 Apr 2019,2019-04-26 08:12:00
Komnas Perempuan Kecam Pelecehan Mahasiswi di KA: Petugas Harus Sensitif Gender,National Commission on Violence Against Women Denounced Student Harassment on Train: Officers Must Be Gender Sensitive,id,https://news.detik.com/berita/d-4525330/komnas-perempuan-kecam-pelecehan-mahasiswi-di-ka-petugas-harus-sensitif-gender,26 Apr 2019,2019-04-26 07:14:00
Ketika Film 'Kucumbu Tubuh Indahku' Ditolak karena Unsur LGBT,When the film &#39;Kucumbu my beautiful body&#39; was rejected because of the LGBT element,id,https://hot.detik.com/movie/d-4525317/ketika-film-kucumbu-tubuh-indahku-ditolak-karena-unsur-lgbt,26 Apr 2019,2019-04-26 07:11:00
120 Ribu Orang Kecam Vonis Bebas Pemerkosa 2 Anak di Bogor,120 thousand people condemned the free verdict of two child rapists in Bogor,id,https://news.detik.com/berita/d-4524839/120-ribu-orang-kecam-vonis-bebas-pemerkosa-2-anak-di-bogor,25 Apr 2019,2019-04-25 17:46:00
"Zahran, Dalang Utama Bom Paskah di Sri Lanka Misterius Keberadaannya","Zahran, Main Mastermind of Easter Bombs in Sri Lanka Mysteriously Existence",id,https://news.detik.com/internasional/d-4524751/zahran-dalang-utama-bom-paskah-di-sri-lanka-misterius-keberadaannya,25 Apr 2019,2019-04-25 16:59:00
"Tanggapi Petisi Tolak Film 'Kucumbu Tubuh Indahku', Garin Nugroho Buka Suara","Responding to the Petition Rejecting the Film &#39;My Beautiful Body,&#39; Garin Nugroho Opened the Voice",id,https://hot.detik.com/movie/d-4524417/tanggapi-petisi-tolak-film-kucumbu-tubuh-indahku-garin-nugroho-buka-suara,25 Apr 2019,2019-04-25 13:50:00
LBH Apik Beberkan Kejanggalan Vonis Bebas Pemerkosa 2 Anak,LBH Apik Unveils Irregularities in the Free Sentence of 2 Child Rapists,id,https://news.detik.com/berita/d-4524223/lbh-apik-beberkan-kejanggalan-vonis-bebas-pemerkosa-2-anak,25 Apr 2019,2019-04-25 12:16:00
Ahli di Sidang Ratna Sarumpaet Sebut Keonaran Bisa Muncul dari Medsos,Experts at the Session Ratna Sarumpaet Call Keonaran Can Appear from Social Media,id,https://news.detik.com/berita/d-4524221/ahli-di-sidang-ratna-sarumpaet-sebut-keonaran-bisa-muncul-dari-medsos,25 Apr 2019,2019-04-25 12:15:00
Curhat Warga yang Hidup Setahun Tanpa Medsos dan WhatsApp,Confide in People Who Live a Year Without Social Media and WhatsApp,id,https://inet.detik.com/cyberlife/d-4524206/curhat-warga-yang-hidup-setahun-tanpa-medsos-dan-whatsapp,25 Apr 2019,2019-04-25 12:00:00
PN Cibinong Vonis Bebas Pemerkosa 2 Anak dari Tuntutan 14 Tahun Bui,PN Cibinong Sentenced to Free Rapist of 2 Children from 14 Years of Claims,id,https://news.detik.com/berita/d-4524175/pn-cibinong-vonis-bebas-pemerkosa-2-anak-dari-tuntutan-14-tahun-bui,25 Apr 2019,2019-04-25 11:35:00
Video ISIS Ungkap Dalang Utama Rentetan Bom Paskah di Sri Lanka,ISIS video reveals the main mastermind of the series of Easter bombs in Sri Lanka,id,https://news.detik.com/internasional/d-4524150/video-isis-ungkap-dalang-utama-rentetan-bom-paskah-di-sri-lanka,25 Apr 2019,2019-04-25 11:15:00
Konsep Foto Blackpink Jadi Kontroversi Karena Dianggap Bertema KDRT,The Concept of Blackpink Photos Becomes Controversy because it is considered Themed Domestic Violence,id,https://wolipop.detik.com/entertainment-news/d-4524093/konsep-foto-blackpink-jadi-kontroversi-karena-dianggap-bertema-kdrt,25 Apr 2019,2019-04-25 10:11:00
Prancis dan Selandia Baru Ingin Kejahatan Terorisme Diblokir dari Medsos,France and New Zealand Want Terrorism Crimes Blocked from Social Media,id,https://news.detik.com/dw/d-4523963/prancis-dan-selandia-baru-ingin-kejahatan-terorisme-diblokir-dari-medsos,25 Apr 2019,2019-04-25 09:04:00
