title,url,publishedDate,dateObject
"Pondicherry University Administration Meets Protesting Students, Agitation Called Off",https://www.ndtv.com/education/pondicherry-university-administration-meets-protesting-students-agitation-called-off-2013486,27 Mar 2019,2019-03-27 00:00:00
JNU Students Continue Protest Against Introduction Of 'Expensive MBA Course',https://www.ndtv.com/education/jnu-protest-jawaharlal-nehru-university-students-continue-hunger-strike-2013482,27 Mar 2019,2019-03-27 00:00:00
Man Who Egged British Opposition Leader Jeremy Corbyn Jailed For 28 Days,https://www.ndtv.com/world-news/man-who-egged-british-opposition-leader-jeremy-corbyn-jailed-for-28-days-2012763,26 Mar 2019,2019-03-26 00:00:00
"Amid Row Over 'PhD On National Priorities' Order, Kerala Professor Quits",https://www.ndtv.com/kerala-news/amid-row-over-phd-on-national-priorities-order-kerala-professor-meena-pillai-quits-2012254,25 Mar 2019,2019-03-25 00:00:00
"""No Short Skirts"": Maharashtra College's Diktat Upsets Students",https://www.ndtv.com/mumbai-news/no-shorts-skirts-maharashtras-jj-hospitals-grant-medical-college-issues-diktat-to-students-2012156,24 Mar 2019,2019-03-24 00:00:00
Sushma Swaraj Has A Twitter Spat With Pak Minister Over Minorities,https://www.ndtv.com/india-news/sushma-swaraj-has-a-twitter-spat-with-pakistan-minister-over-minorities-fawad-hussain-2012056,24 Mar 2019,2019-03-24 00:00:00
Hundreds Of Thousands Protest In London To Demand New Brexit Vote,https://www.ndtv.com/world-news/hundreds-of-thousands-protest-in-london-to-demand-new-brexit-referendum-2011931,24 Mar 2019,2019-03-24 00:00:00
HD Deve Gowda To Contest Lok Sabha Polls From Karnataka's Tumakuru: Party,https://www.ndtv.com/india-news/hd-deve-gowda-tumkur-to-contest-lok-sabha-elections-2019-from-karnatakas-tumakuru-2011795,23 Mar 2019,2019-03-23 00:00:00
More Than 100 Tamil Nadu Farmers To Fight Polls Against PM From Varanasi,https://www.ndtv.com/india-news/lok-sabha-elections-2019-more-than-100-farmers-to-fight-polls-against-pm-narendra-modi-in-varanasi-2011770,23 Mar 2019,2019-03-23 00:00:00
"Italy Bus Hijacker ""Heard Voices"" Of Drowned Migrant Children: Report",https://www.ndtv.com/world-news/italy-bus-hijacker-heard-voices-of-drowned-migrant-children-report-2011576,23 Mar 2019,2019-03-23 00:00:00
Paris Police Ban 'Yellow Vest' Protests On Champs-Elysees On Saturday,https://www.ndtv.com/world-news/paris-police-ban-yellow-vest-protests-on-champs-elysees-on-saturday-2011466,22 Mar 2019,2019-03-22 00:00:00
"Amazon Employee Says He Was Fired for Calling for Unionisation, Safer Working Conditions",https://gadgets.ndtv.com/internet/news/amazon-employee-says-he-was-fired-for-calling-for-unionisation-safer-working-conditions-2011396,22 Mar 2019,2019-03-22 00:00:00
Sit-In By 200 Aspiring School Teachers Enters 22nd Day,https://www.ndtv.com/jobs/sit-in-by-200-aspiring-school-teachers-enters-22nd-day-2011086,22 Mar 2019,2019-03-22 00:00:00
Outraged Srinagar Protests Against Custodial Death Of School Principal,https://www.ndtv.com/india-news/outraged-srinagar-protests-against-custodial-death-of-school-principal-rizwan-asad-pandit-2010939,21 Mar 2019,2019-03-21 00:00:00
"Driver Hijacks, Sets School Bus On Fire In Italy, Children Escape Unhurt",https://www.ndtv.com/world-news/driver-in-italy-sets-school-bus-full-of-children-on-fire-2010570,20 Mar 2019,2019-03-20 00:00:00
Watch: Bulgarian Police Pepper Spray Themselves Instead Of Protestors,https://www.ndtv.com/offbeat/viral-video-bulgarian-police-pepper-spray-themselves-instead-of-protestors-2010169,20 Mar 2019,2019-03-20 00:00:00
J&K Teacher Arrested For Alleged Links With Terrorists Dies In Custody,https://www.ndtv.com/india-news/jammu-and-kashmir-teacher-arrested-for-alleged-links-with-terrorists-dies-in-custody-2009816,19 Mar 2019,2019-03-19 00:00:00
Paris Police Chief Sacked After Champs-Elysees Rioting,https://www.ndtv.com/world-news/paris-police-michel-delpuech-chief-sacked-after-champs-elysees-rioting-2009577,19 Mar 2019,2019-03-19 00:00:00
India Lodges Strong Protest With Pak Over Harassment Of Diplomats,https://www.ndtv.com/india-news/india-lodges-strong-protest-with-pak-over-harassment-of-high-commission-officials-2009545,19 Mar 2019,2019-03-19 00:00:00
"""Too Late"": Chirag Paswan Downplays Giriraj Singh Outburst Over Bihar Seat",https://www.ndtv.com/india-news/chirag-paswan-downplays-giriraj-singh-outburst-over-bihar-seat-2009438,18 Mar 2019,2019-03-18 00:00:00
Policeman Among 2 Dead In Clashes At Vedanta's Odisha Aluminium Plant,https://www.ndtv.com/india-news/1-dead-as-police-clash-with-protesters-at-vedantas-odisha-aluminium-plant-2009431,18 Mar 2019,2019-03-18 00:00:00
"Nun Who Protested Against Kerala Bishop Says Witnesses In ""Extreme Fear""",https://www.ndtv.com/kerala-news/nun-who-protested-against-bishop-franco-mulakkal-says-witnesses-in-extreme-fear-2008993,17 Mar 2019,2019-03-17 00:00:00
Former IAS Officer Shah Faesal Launches New Party In Kashmir,https://www.ndtv.com/india-news/shah-faesal-jammu-and-kashmir-peoples-movement-launched-by-former-ias-officer-2008903,17 Mar 2019,2019-03-17 00:00:00
16-Year-Old Girl Sets Herself Ablaze After Parents Fix Marriage,https://www.ndtv.com/cities/16-year-old-girl-sets-herself-ablaze-after-parents-fix-marriage-2008866,17 Mar 2019,2019-03-17 00:00:00
Indian-Americans Protest Against Pakistan For ''Sponsoring Terrorism'',https://www.ndtv.com/indians-abroad/indian-americans-protest-against-pakistan-for-sponsoring-terrorism-2008856,17 Mar 2019,2019-03-17 00:00:00
"Paris Luxury Stores Looted, Burned In ""Yellow Vest"" Riots",https://www.ndtv.com/world-news/paris-luxury-stores-looted-burned-in-yellow-vest-riots-2008739,17 Mar 2019,2019-03-17 00:00:00
Paris Stores Looted In New ''Yellow Vest'' Riots,https://www.ndtv.com/world-news/paris-stores-looted-in-new-yellow-vest-riots-2008689,16 Mar 2019,2019-03-16 00:00:00
"""Scrap The Tender"": Bengaluru Citizens Protest Against Elevated Corridor",https://www.ndtv.com/bangalore-news/bengaluru-protests-against-elevated-corridor-project-citizens-say-scrap-the-tender-2008676,16 Mar 2019,2019-03-16 00:00:00
Poll Panel Will Keep Delhi Police Out Of Probe Over Misleading Calls: AAP,https://www.ndtv.com/delhi-news/election-commission-ec-will-keep-delhi-police-out-of-probe-over-misleading-calls-aap-2008589,16 Mar 2019,2019-03-16 00:00:00
"Aam Aadmi Party Protests Outside Election Commission Over ""Illegal Raids""",https://www.ndtv.com/india-news/aam-aadmi-party-protests-outside-election-commission-over-illegal-raids-2008376,16 Mar 2019,2019-03-16 00:00:00
Vedanta's Sterlite Copper Appoints New CEO Amid Battle To Reopen Smelter,https://www.ndtv.com/india-news/vedantas-sterlite-copper-appoints-new-ceo-amid-battle-to-reopen-smelter-2008368,15 Mar 2019,2019-03-15 00:00:00
Nun Who Protested Against Franco Mulakkal Told To Leave Congregation,https://www.ndtv.com/kerala-news/nun-who-protested-against-franco-mulakkal-told-to-leave-congregation-2008348,15 Mar 2019,2019-03-15 00:00:00
"""Worse Than Voldemort"": Global Students' Strike Targets Climate Change",https://www.ndtv.com/world-news/worse-than-voldemort-global-students-strike-targets-climate-change-2008175,15 Mar 2019,2019-03-15 00:00:00
In Pics: Students In Delhi NCR Join 'Fridays For Future' Climate Change Protest,https://www.ndtv.com/offbeat/in-pics-students-in-delhi-ncr-join-fridays-for-future-climate-change-protest-2008020,15 Mar 2019,2019-03-15 00:00:00
"""Mission 150 Plus"": TDP Releases First List Of Candidates For Andhra Polls",https://www.ndtv.com/andhra-pradesh-news/tdp-releases-first-list-of-126-candidates-for-andhra-pradesh-assembly-polls-2007798,15 Mar 2019,2019-03-15 00:00:00
