og_title,title,lang,url,publishedDate,dateObject
"Kamal Nath Wants To Identify ""Biased"" Election Officials, BJP Protests","Kamal Nath Wants To Identify ""Biased"" Election Officials, BJP Protests",en,https://www.ndtv.com/india-news/lok-sabha-elections-2019-kamal-nath-wants-to-identify-biased-election-officials-bjp-protests-2031591,01 May 2019,2019-05-01 00:00:00
'Google Walkout For Real Change' Group Announces Sit-In Protest,'Google Walkout For Real Change' Group Announces Sit-In Protest,en,https://gadgets.ndtv.com/others/news/google-walkout-for-real-change-group-announces-sit-in-protest-2031467,01 May 2019,2019-05-01 00:00:00
Paris Police Clash With Protesters Ahead Of May Day March,Paris Police Clash With Protesters Ahead Of May Day March,en,https://www.ndtv.com/world-news/paris-police-clash-with-protesters-ahead-of-may-day-march-2031459,01 May 2019,2019-05-01 00:00:00
"In Peaceful Protest, Jet Airways Staff Requests Centre To Save Airline","In Peaceful Protest, Jet Airways Staff Requests Centre To Save Airline",en,https://www.ndtv.com/india-news/jet-airways-staff-requests-centre-to-save-airline-in-in-peaceful-protest-2031300,01 May 2019,2019-05-01 00:00:00
Punjab Students Allegedly Made To Strip In Hostel Over A Sanitary Pad,Punjab Students Allegedly Made To Strip In Hostel Over A Sanitary Pad,en,https://www.ndtv.com/cities/protests-erupt-after-students-in-bathinda-forced-to-strip-over-a-sanitary-pad-2031132,01 May 2019,2019-05-01 00:00:00
"Military Vehicle Rams Protesters In Venezuela Clashes, Shows TV Footage","Military Vehicle Rams Protesters In Venezuela Clashes, Shows TV Footage",en,https://www.ndtv.com/world-news/military-vehicle-rams-protesters-in-venezuela-clashes-shows-tv-footage-2031090,01 May 2019,2019-05-01 00:00:00
Uber US Drivers Plan Protest Over Pay Ahead of IPO,Uber US Drivers Plan Protest Over Pay Ahead of IPO,en,https://gadgets.ndtv.com/apps/news/uber-us-drivers-plan-protest-over-pay-ahead-of-ipo-2030616,30 Apr 2019,2019-04-30 00:00:00
5 Villages In UP Threaten To Boycott Polls To Protest Water Shortage,5 Villages In UP Threaten To Boycott Polls To Protest Water Shortage,en,https://www.ndtv.com/india-news/lok-sabha-elections-2019-5-villages-in-uttar-pradesh-threaten-to-boycott-polls-to-protest-water-shor-2029922,28 Apr 2019,2019-04-28 00:00:00
"""Making Personal Sacrifice, BJP Has My Support"", Says Vinod Khanna's Wife","""Making Personal Sacrifice, BJP Has My Support"", Says Vinod Khanna's Wife",en,https://www.ndtv.com/india-news/lok-sabha-elections-2019-making-personal-sacrifice-bjp-has-my-support-says-vinod-khannas-wife-kavita-2029647,27 Apr 2019,2019-04-27 00:00:00
Key Hearing In Harvey Weinstein Sex Abuse Case To Be Held In Secret,Key Hearing In Harvey Weinstein Sex Abuse Case To Be Held In Secret,en,https://www.ndtv.com/world-news/key-hearing-in-harvey-weinstein-sex-abuse-case-to-be-held-in-secret-2029291,27 Apr 2019,2019-04-27 00:00:00
"More Than 1,000 Migrants Escape From Mexican Detention Centre","More Than 1,000 Migrants Escape From Mexican Detention Centre",en,https://www.ndtv.com/world-news/more-than-1-000-migrants-escape-from-mexican-detention-centre-2028969,26 Apr 2019,2019-04-26 00:00:00
