title,url,publishedDate,dateObject
"Muzaffarnagar Riots Eyewitness Killing: Accused Surrenders, In Custody",https://www.ndtv.com/muzaffarnagar-news/muzaffarnagar-riots-eyewitness-killing-accused-surrenders-in-custody-2013337,27 Mar 2019,2019-03-27 00:00:00
Justice Sanjiv Khanna Recuses From Hearing Sajjan Kumar's Appeal,https://www.ndtv.com/india-news/justice-sanjiv-khanna-recuses-from-hearing-sajjan-kumars-appeal-2012597,25 Mar 2019,2019-03-25 00:00:00
Congress Blocked Fund Release To Anti-Sikh Riot Victims: Rajnath Singh,https://www.ndtv.com/india-news/rajnath-singh-says-congress-blocked-release-of-compensatory-funds-to-anti-sikh-riot-victims-2012170,24 Mar 2019,2019-03-24 00:00:00
Paris Police Ban 'Yellow Vest' Protests On Champs-Elysees On Saturday,https://www.ndtv.com/world-news/paris-police-ban-yellow-vest-protests-on-champs-elysees-on-saturday-2011466,22 Mar 2019,2019-03-22 00:00:00
Indian Man Gets 5-Year Jail For Swinging Plank During Riot In Singapore,https://www.ndtv.com/indians-abroad/indian-man-yadwinder-singh-gets-5-years-in-jail-for-swinging-a-plank-during-riot-in-singapore-2011346,22 Mar 2019,2019-03-22 00:00:00
"Yogi Adityanath's Claim Of No Riots In UP In 2 Years A ""Farce"": Mayawati",https://www.ndtv.com/india-news/yogi-adityanaths-claim-of-no-riots-in-uttar-pradesh-in-2-years-is-farce-mayawati-2010788,21 Mar 2019,2019-03-21 00:00:00
2002 Godhra Riots: Court Gives Convict Yakub Pataliya Life Sentence,https://www.ndtv.com/india-news/2002-godhra-riots-court-gives-convict-yakub-pataliya-life-sentence-2010502,20 Mar 2019,2019-03-20 00:00:00
Gujarat Seeks Time From Court Over Documents On Hardik Patel Rioting Case,https://www.ndtv.com/india-news/gujarat-seeks-time-from-court-over-documents-on-hardik-patel-rioting-case-2010084,20 Mar 2019,2019-03-20 00:00:00
"""Not A Single Riot In Last 2 Years, UP Model For Nation"": Yogi Adityanath",https://www.ndtv.com/india-news/yogi-adityanath-says-no-riots-in-up-since-bjp-came-to-power-two-years-ago-2009734,19 Mar 2019,2019-03-19 00:00:00
Paris Police Chief Sacked After Champs-Elysees Rioting,https://www.ndtv.com/world-news/paris-police-michel-delpuech-chief-sacked-after-champs-elysees-rioting-2009577,19 Mar 2019,2019-03-19 00:00:00
"Paris Luxury Stores Looted, Burned In ""Yellow Vest"" Riots",https://www.ndtv.com/world-news/paris-luxury-stores-looted-burned-in-yellow-vest-riots-2008739,17 Mar 2019,2019-03-17 00:00:00
Paris Stores Looted In New ''Yellow Vest'' Riots,https://www.ndtv.com/world-news/paris-stores-looted-in-new-yellow-vest-riots-2008689,16 Mar 2019,2019-03-16 00:00:00
"Barsana Holi: Celebrations In Mathura With <i>Laddus</i>, Dance, Riot Of Colours",https://www.ndtv.com/india-news/barsana-holi-in-mathura-a-riot-of-colours-laddu-dance-fun-in-uttar-pradesh-2008232,15 Mar 2019,2019-03-15 00:00:00
"""Fair Trial Not Possible If Sajjan Kumar Granted Bail"": CBI to Top Court",https://www.ndtv.com/india-news/fair-trial-not-possible-if-sajjan-kumar-granted-bail-cbi-to-supreme-court-on-1984-anti-sikh-riots-ca-2008011,15 Mar 2019,2019-03-15 00:00:00
"Bhim Army Chief, Others Charged With Rioting, Assaulting Public Servants",https://www.ndtv.com/india-news/bhim-army-chief-chandrashekhar-azad-others-charged-with-rioting-assaulting-public-servants-2007210,14 Mar 2019,2019-03-14 00:00:00
Eyewitness In Muzaffarnagar Riots Shot Dead,https://www.ndtv.com/muzaffarnagar-news/eyewitness-in-muzaffarnagar-riots-shot-dead-2006844,13 Mar 2019,2019-03-13 00:00:00
Premier League: Liverpool Run Riot As Manchester City Stay In Touch With Narrow Win,https://sports.ndtv.com/football/premier-league-liverpool-run-riot-as-manchester-city-stay-in-touch-with-narrow-win-2000441,28 Feb 2019,2019-02-28 00:00:00
Top Court Judge Recuses Himself From Hearing Sajjan Kumar's Petition,https://www.ndtv.com/india-news/anti-sikh-riots-case-supreme-court-judge-recuses-himself-for-hearing-sajjan-kumars-petition-1998882,25 Feb 2019,2019-02-25 00:00:00
"AAP Lawmaker Prakash Jarwal, 2 Others Convicted In 2013 Rioting Case",https://www.ndtv.com/delhi-news/aap-lawmaker-prakash-jarwal-2-others-convicted-in-2013-rioting-case-1996616,20 Feb 2019,2019-02-20 00:00:00
Punjab Extends Time Period Of Granting Plot Reservation To 1984 Riot Victims,https://www.ndtv.com/india-news/punjab-extends-time-period-of-granting-plot-reservation-to-1984-riot-victims-1994884,17 Feb 2019,2019-02-17 00:00:00
7 Get Life In Jail For Killing 2 Men That Led To 2013 Muzaffarnagar Riots,https://www.ndtv.com/india-news/7-get-life-in-jail-for-killing-2-men-that-led-to-2013-muzaffarnagar-riots-1990510,08 Feb 2019,2019-02-08 00:00:00
7 Men Held Guilty For Killing Two Youth In Muzaffarnagar Riots In 2013,https://www.ndtv.com/india-news/7-men-held-guilty-for-killing-two-youth-in-muzaffarnagar-riots-in-2013-1989397,06 Feb 2019,2019-02-06 00:00:00
Quexit? Britain Has A Brexit Emergency Evacuation Plan For The Queen,https://www.ndtv.com/world-news/quexit-britain-has-a-brexit-emergency-evacuation-plan-for-the-queen-1988367,05 Feb 2019,2019-02-05 00:00:00
Queen Elizabeth To Be Evacuated In Case Of Riots Post Brexit: Report,https://www.ndtv.com/world-news/queen-elizabeth-to-be-evacuated-in-case-of-riots-post-brexit-report-1987557,03 Feb 2019,2019-02-03 00:00:00
