title,url,publishedDate,dateObject
"PM Modi Sends Message On Pak National Day Eve, Imran Khan Tweets",https://www.ndtv.com/india-news/need-to-work-together-for-peaceful-region-pm-modi-to-imran-khan-2011500,23 Mar 2019,2019-03-23 00:00:00
Trinamool Congress Terrorising My Supporters: Arjun Singh,https://www.ndtv.com/india-news/trinamool-congress-terrorising-my-supporters-arjun-singh-2008863,17 Mar 2019,2019-03-17 00:00:00
"Paris Luxury Stores Looted, Burned In ""Yellow Vest"" Riots",https://www.ndtv.com/world-news/paris-luxury-stores-looted-burned-in-yellow-vest-riots-2008739,17 Mar 2019,2019-03-17 00:00:00
Paris Stores Looted In New ''Yellow Vest'' Riots,https://www.ndtv.com/world-news/paris-stores-looted-in-new-yellow-vest-riots-2008689,16 Mar 2019,2019-03-16 00:00:00
Nineteen Plastic Bags With Human Remains Found In Mexico,https://www.ndtv.com/world-news/nineteen-plastic-bags-with-human-remains-found-in-mexico-2008386,16 Mar 2019,2019-03-16 00:00:00
New Zealand Mosque Attacker's Plan Began And Ended Online,https://www.ndtv.com/world-news/new-zealand-mosque-shooting-attackers-plan-began-and-ended-online-2008291,15 Mar 2019,2019-03-15 00:00:00
"In Kerala, Rahul Gandhi Targets CPM For Violence, PM Over '<i>Mann Ki Baat</i> '",https://www.ndtv.com/india-news/lok-sabha-elections-2019-rahul-gandhi-targets-cpm-for-violence-pm-over-mann-ki-baat-in-kerala-2007725,14 Mar 2019,2019-03-14 00:00:00
"Tamil Nadu Sex Abuse Case: Students' Stir Continues, Local Colleges Shut",https://www.ndtv.com/tamil-nadu-news/pollachi-sex-abuse-case-students-stir-continues-local-colleges-shut-2007657,14 Mar 2019,2019-03-14 00:00:00
Bhima Koregaon Activists Mobilised Dalits To Overthrow Government: Police,https://www.ndtv.com/india-news/bhima-koregaon-activists-mobilised-dalits-to-overthrow-government-maharashtra-police-2007073,13 Mar 2019,2019-03-13 00:00:00
Teaching Gender Equality Encourages Domestic Violence: Brazil Minister,https://www.ndtv.com/world-news/teaching-gender-equality-encourages-domestic-violence-brazil-minister-damares-alves-2004965,09 Mar 2019,2019-03-09 00:00:00
Lok Sabha Polls Will See More Money And Violence: Ex-Poll Panel Chief,https://www.ndtv.com/india-news/ex-poll-panel-chief-ts-krishnamurthy-says-lok-sabha-polls-will-see-more-money-and-violence-2004678,08 Mar 2019,2019-03-08 00:00:00
Anti-Encroachment Drive Triggers Violence In Meerut; 150 Shanties Burnt,https://www.ndtv.com/meerut-news/meerut-violence-anti-encroachment-drive-triggers-violence-in-meerut-150-shanties-burnt-2004097,07 Mar 2019,2019-03-07 00:00:00
<i>Baghban</i> Actress Arzoo Govitrikar Accuses Husband Of Domestic Violence. He Denies Allegations,https://www.ndtv.com/entertainment/baghban-actress-arzoo-govitrikar-accuses-husband-of-domestic-violence-he-denies-allegations-2003479,06 Mar 2019,2019-03-06 00:00:00
Court Drops Sedition Charges Against Accused In Bulandshahr Mob Violence Case,https://www.ndtv.com/india-news/court-drops-sedition-charges-against-accused-in-bulanshahr-mob-violence-case-2003206,06 Mar 2019,2019-03-06 00:00:00
Opposition Parties Demand Resignation Of Arunachal Chief Minister,https://www.ndtv.com/india-news/opposition-parties-demand-resignation-of-arunachal-chief-minister-pema-khandu-2003165,05 Mar 2019,2019-03-05 00:00:00
"In Uttar Pradesh Cop's Killing Last Year, Five Charged With Murder",https://www.ndtv.com/india-news/bulandshahr-violence-in-uttar-pradesh-cop-subodh-kumar-singhs-killing-last-year-five-charged-with-mu-2001841,03 Mar 2019,2019-03-03 00:00:00
"No Deaths In Police Firing During Protests, Says Arunachal Home Minister",https://www.ndtv.com/india-news/no-deaths-in-police-firing-during-protests-says-arunachal-home-minister-1999837,27 Feb 2019,2019-02-27 00:00:00
US Seeks Urgent UN Security Council Meeting On Venezuela,https://www.ndtv.com/world-news/us-seeks-urgent-un-meeting-on-venezuela-1999225,25 Feb 2019,2019-02-25 00:00:00
"In Arunachal Tribal Protests, Kiren Rijiju Sees Communication Failure",https://www.ndtv.com/india-news/permanent-residency-issue-kiren-rijiju-rules-out-presidents-rule-in-arunachal-pradesh-after-days-of-1999147,25 Feb 2019,2019-02-25 00:00:00
"Arunchal Pradesh Chief Minister Blames ""Forces"" Behind Violent Protests",https://www.ndtv.com/india-news/arunchal-pradesh-chief-minister-pema-khandu-blames-forces-behind-violent-protests-1999140,25 Feb 2019,2019-02-25 00:00:00
No Reports Of Violence In Arunachal Pradesh Today: Police,https://www.ndtv.com/india-news/no-reports-of-violence-in-arunachal-as-permanent-residency-move-scrapped-1998885,25 Feb 2019,2019-02-25 00:00:00
"Amid Clashes, Arunachal Pradesh Scraps Permanent Residency Move: 10 Facts",https://www.ndtv.com/india-news/arunachal-scraps-move-to-give-permanent-residency-status-to-two-tribes-from-outside-the-state-amid-c-1998584,24 Feb 2019,2019-02-24 00:00:00
Arunachal Deputy Chief Minister's Home Set On Fire As Protests Escalate,https://www.ndtv.com/india-news/arunachal-pradesh-violence-arunachal-deputy-chief-ministers-home-set-on-fire-as-protests-escalate-1998533,24 Feb 2019,2019-02-24 00:00:00
"Day After Man's Death In Clashes With Police, Arunachal Capital Tense",https://www.ndtv.com/india-news/day-after-clashes-over-controversial-report-arunachal-capital-tense-1998317,23 Feb 2019,2019-02-23 00:00:00
"Our Fight Is For Kashmir, Not Against Kashmiris, Says PM Modi",https://www.ndtv.com/india-news/our-fight-is-for-kashmir-not-against-kashmiris-says-pm-modi-1998178,23 Feb 2019,2019-02-23 00:00:00
Facebook Meeting Shows Challenges Ahead for Proposed 'Oversight Board',https://gadgets.ndtv.com/social-networking/news/facebook-meeting-shows-challenges-ahead-for-proposed-oversight-board-1997783,22 Feb 2019,2019-02-22 00:00:00
UN Condemns Police Violence In Indonesia After Snake Used To Scare Suspect,https://www.ndtv.com/world-news/united-nations-condemns-indonesias-police-violence-after-snake-used-to-scare-suspect-1997605,22 Feb 2019,2019-02-22 00:00:00
"Prevent Kashmiris' Boycott, Attacks: Top Court To States After Pulwama",https://www.ndtv.com/india-news/supreme-court-issues-notice-to-centre-10-states-asks-for-prompt-action-to-prevent-attacks-on-kashmir-1997536,22 Feb 2019,2019-02-22 00:00:00
"""Phone Calls Threatening Violence"": Journalists Write To Rajnath Singh",https://www.ndtv.com/india-news/phone-calls-threatening-violence-journalists-write-to-rajnath-singh-1996113,19 Feb 2019,2019-02-19 00:00:00
Man Accused In US Shooting Had Been Convicted For Beating Girlfriend,https://www.ndtv.com/world-news/man-accused-in-illinois-mass-shooting-had-been-convicted-for-beating-girlfriend-with-bat-1994764,17 Feb 2019,2019-02-17 00:00:00
"Violent Protests In Jammu Over Pulwama Attack, Curfew On, Army On Standby",https://www.ndtv.com/india-news/pulwama-terror-attack-curfew-in-parts-of-jammu-after-violent-protests-1994081,15 Feb 2019,2019-02-15 00:00:00
US Drug Czar Uttam Dhillon Welcomes El Chapo's Conviction,https://www.ndtv.com/world-news/us-drug-czar-uttam-dhillon-welcomes-mexican-drug-kingpin-el-chapo-guzmans-conviction-1993273,14 Feb 2019,2019-02-14 00:00:00
"""We Win"": Northeast Rejoices As Citizenship Amendment Bill Goes Off Rails",https://www.ndtv.com/india-news/northeast-rejoices-as-citizenship-amendment-bill-goes-off-rails-1993239,14 Feb 2019,2019-02-14 00:00:00
14 Aligarh Muslim University Students Charged With Sedition After Clash With BJP Activists,https://www.ndtv.com/india-news/14-aligarh-muslim-university-students-charged-with-sedition-after-clash-with-bjp-activists-1993067,14 Feb 2019,2019-02-14 00:00:00
Koregaon-Bhima Case: Top Court Sets Aside Order On Chargesheet Extension,https://www.ndtv.com/india-news/koregaon-bhima-case-top-court-sets-aside-bombay-high-court-order-on-chargesheet-extension-1992831,13 Feb 2019,2019-02-13 00:00:00
Government Ready For Discussion With Gujjars: Ashok Gehlot,https://www.ndtv.com/india-news/rajasthan-chief-minister-ashok-gehlot-says-government-ready-for-discussion-with-gujjars-1991395,11 Feb 2019,2019-02-11 00:00:00
"8 Killed In Paris Apartment Fire, ""Scene Of Incredible Violence""",https://www.ndtv.com/world-news/7-killed-several-injured-in-fire-at-building-in-paris-16th-arrondissement-1988385,05 Feb 2019,2019-02-05 00:00:00
"""<i>Didi</i> Scared Of Your Love For Us"": PM Modi's Jab At Mamata Banerjee",https://www.ndtv.com/india-news/didi-scared-of-your-love-for-us-pm-narendra-modis-jab-at-mamata-banerjee-1987285,02 Feb 2019,2019-02-02 00:00:00
"Court Calls Arrest Of Activist Accused In Koregaon Bhima Case ""Illegal""",https://www.ndtv.com/india-news/bhima-koregaon-police-arrest-activist-anand-teltumbde-from-mumbai-1987157,02 Feb 2019,2019-02-02 00:00:00
PUBG Ban: 11-Year-Old Moves Bombay High Court Seeking Ban on Game,https://gadgets.ndtv.com/apps/news/pubg-ban-11-year-old-moves-bombay-high-court-requesting-ban-on-game-1986753,02 Feb 2019,2019-02-02 00:00:00
