og_title,title,lang,url,publishedDate,dateObject
"Kashmiri Pandit Returns Home To Open Shop, Gets Hero's Welcome","Kashmiri Pandit Returns Home To Open Shop, Gets Hero's Welcome",en,https://www.ndtv.com/india-news/kashmiri-pandit-returns-home-to-open-shop-gets-heros-welcome-2032104,02 May 2019,2019-05-02 00:00:00
"""Perpetrators Won't Be Spared"": PM Condemns Maoist Attack In Maharashtra","""Perpetrators Won't Be Spared"": PM Condemns Maoist Attack In Maharashtra",en,https://www.ndtv.com/india-news/pm-narendra-modi-condemns-despicable-attack-by-maoists-in-maharashtras-gadchiroli-15-security-person-2031347,01 May 2019,2019-05-01 00:00:00
"15 Policemen, Driver Killed In Maoist Attack In Maharashtra: 10 Points","15 Policemen, Driver Killed In Maoist Attack In Maharashtra: 10 Points",en,https://www.ndtv.com/india-news/blast-by-maoists-in-maharashtras-gadchiroli-over-10-security-personnel-reportedly-injured-2031294,01 May 2019,2019-05-01 00:00:00
"After Asansol Violence, Babul Supriyo Says Officer Stage-Managed Voting","After Asansol Violence, Babul Supriyo Says Officer Stage-Managed Voting",en,https://www.ndtv.com/india-news/election-2019-after-asansol-violence-babul-supriyo-says-officer-stage-managed-voting-2031094,01 May 2019,2019-05-01 00:00:00
"Fearing Violence On Election Counting Day, YSR Congress Writes To Poll Body","Fearing Violence On Election Counting Day, YSR Congress Writes To Poll Body",en,https://www.ndtv.com/andhra-pradesh-news/elections-2019-ysr-congress-writes-to-poll-body-as-it-fears-violence-on-counting-day-2031017,30 Apr 2019,2019-04-30 00:00:00
"Election 2019 - ""A Little Violence Happens..."": Moon Moon Sen After ""Bed Tea"" Excuse","Election 2019 - ""A Little Violence Happens..."": Moon Moon Sen After ""Bed Tea"" Excuse",en,https://www.ndtv.com/india-news/general-elections-2019-moon-moon-sen-after-bed-tea-excuse-says-a-little-violence-happens-everywhere-2030558,30 Apr 2019,2019-04-30 00:00:00
"Election 2019: After Violence-Marred Polling, BJP, Trinamool Approach Poll Body","Election 2019: After Violence-Marred Polling, BJP, Trinamool Approach Poll Body",en,https://www.ndtv.com/india-news/election-2019-after-violence-marred-polling-bjp-trinamool-approach-poll-body-2030517,30 Apr 2019,2019-04-30 00:00:00
Elections 2019: West Bengal Records 52.36% Voter Turnout Till 1PM Amid Violence,Elections 2019: West Bengal Records 52.36% Voter Turnout Till 1PM Amid Violence,en,https://www.ndtv.com/india-news/lok-sabha-elections-2019-west-bengal-records-52-36-per-cent-voter-turnout-till-1pm-amid-violence-2030248,29 Apr 2019,2019-04-29 00:00:00
Trinamool Seeks Election Commission's Intervention Over Asansol Violence,Trinamool Seeks Election Commission's Intervention Over Asansol Violence,en,https://www.ndtv.com/india-news/trinamool-seeks-poll-commissions-intervention-over-asansol-violence-2030227,29 Apr 2019,2019-04-29 00:00:00
"In Bengal, Poll Violence Near Tagore's Shantiniketan, ""Abode of Peace""","In Bengal, Poll Violence Near Tagore's Shantiniketan, ""Abode of Peace""",en,https://www.ndtv.com/india-news/elections-2019-violence-in-bengal-for-round-4-of-voting-1-injured-ministers-car-attacked-2030179,29 Apr 2019,2019-04-29 00:00:00
