title,url,publishedDate,dateObject
15 candidates in fray for Coimbatore Lok Sabha constituency,https://www.thehindu.com/news/cities/Coimbatore/15-candidates-in-fray-for-coimbatore-lok-sabha-constituency/article26657003.ece,27 Mar 2019,2019-03-27 00:00:00
MLA files complaint with poll panel against Deepa Nishant,https://www.thehindu.com/news/national/kerala/mla-files-complaint-with-poll-panel-against-deepa-nishant/article26656829.ece,27 Mar 2019,2019-03-27 00:00:00
Thudiyalur victim was sexually assaulted: police,https://www.thehindu.com/news/cities/Coimbatore/thudiyalur-girl-was-sexually-assaultedbefore-murder-say-police/article26656647.ece,27 Mar 2019,2019-03-27 00:00:00
Pakistan acts to defuse tensions with Afghanistan,https://www.thehindu.com/news/international/pakistan-acts-to-defuse-tensions-with-afghanistan/article26656539.ece,27 Mar 2019,2019-03-27 00:00:00
"Anthems of resistance: I will make music till end of time, says Imphal Talkies and the Howlers founder Akhu Chingangbam",https://www.thehindu.com/entertainment/music/anthems-of-resistance-i-will-make-music-till-end-of-time-says-imphal-talkies-and-the-howlers-founder-akhu-chingangbam/article26655661.ece,27 Mar 2019,2019-03-27 00:00:00
Literary world bids adieu to Malayalam writer Ashitha,https://www.thehindu.com/news/cities/Thiruvananthapuram/literary-world-bids-adieu-to-ashitha/article26654993.ece,27 Mar 2019,2019-03-27 00:00:00
Mission Shakti: War of words as Opposition questions Narendra Modi’s address,https://www.thehindu.com/news/national/mission-shakti-opposition-lauds-drdo-isro-hits-out-at-pm-modi/article26652633.ece,27 Mar 2019,2019-03-27 00:00:00
Municipal workers protest against Manju washing feet,https://www.thehindu.com/news/national/karnataka/municipal-workers-protest-against-manju-washing-feet/article26649936.ece,27 Mar 2019,2019-03-27 00:00:00
I forgive students who forcibly entered my house: JNU V-C,https://www.thehindu.com/news/cities/Delhi/i-forgive-students-who-forcibly-entered-my-house-jnu-v-c/article26647625.ece,27 Mar 2019,2019-03-27 00:00:00
Seven-year-old girl found dead in Thudiyalur,https://www.thehindu.com/news/national/tamil-nadu/seven-year-old-girl-found-dead/article26647529.ece,27 Mar 2019,2019-03-27 00:00:00
Valuation camp boycott: commission takes case,https://www.thehindu.com/news/cities/Thiruvananthapuram/valuation-camp-boycott-commission-takes-case/article26647354.ece,27 Mar 2019,2019-03-27 00:00:00
Anti-dam monk opts out of poll contest for ‘greater green cause’,https://www.thehindu.com/news/national/other-states/anti-dam-monk-opts-out-of-poll-contest-for-greater-green-cause/article26647237.ece,27 Mar 2019,2019-03-27 00:00:00
"Move staffers out of Air India building, says I-T Department union",https://www.thehindu.com/news/cities/mumbai/move-staffers-out-of-air-india-building-says-i-t-department-union/article26647182.ece,27 Mar 2019,2019-03-27 00:00:00
Is BJP looking beyond the legacy of its stalwarts in Karnataka?,https://www.thehindu.com/elections/lok-sabha-2019/is-bjp-looking-beyond-the-legacy-of-its-stalwarts-in-karnataka/article26647181.ece,27 Mar 2019,2019-03-27 00:00:00
AICC member Amrit Shenoy files papers,https://www.thehindu.com/news/cities/Mangalore/aicc-member-amrit-shenoy-files-papers/article26647142.ece,27 Mar 2019,2019-03-27 00:00:00
A bridge to nowhere,https://www.thehindu.com/opinion/lead/a-bridge-to-nowhere/article26646131.ece,27 Mar 2019,2019-03-27 00:00:00
7-year-old girl found dead,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/seven-year-old-girl-found-dead/article26648477.ece,27 Mar 2019,2019-03-27 00:00:00
Denial of basic amenities: residents to boycott elections,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/denial-of-basic-amenities-residents-to-boycott-elections/article26648717.ece,27 Mar 2019,2019-03-27 00:00:00
Abhaya memorial meet in city today,https://www.thehindu.com/todays-paper/tp-national/tp-kerala/abhaya-memorial-meet-in-city-today/article26648819.ece,27 Mar 2019,2019-03-27 00:00:00
Activists shout slogans,https://www.thehindu.com/todays-paper/tp-national/tp-karnataka/activists-shout-slogans/article26648728.ece,27 Mar 2019,2019-03-27 00:00:00
BJP looking beyond legacy of its stalwarts?,https://www.thehindu.com/todays-paper/tp-national/tp-karnataka/bjp-looking-beyond-legacy-of-its-stalwarts/article26648386.ece,27 Mar 2019,2019-03-27 00:00:00
Farmers seek fair compensation for land,https://www.thehindu.com/todays-paper/tp-national/tp-telangana/farmers-seek-fair-compensation-for-land/article26649427.ece,27 Mar 2019,2019-03-27 00:00:00
Nama vows speedy completion of pending infra projects,https://www.thehindu.com/todays-paper/tp-national/tp-telangana/nama-vows-speedy-completion-of-pending-infra-projects/article26649430.ece,27 Mar 2019,2019-03-27 00:00:00
Nizamabad: triangular contest in TRS stronghold,https://www.thehindu.com/todays-paper/tp-national/tp-telangana/nizamabad-triangular-contest-in-trs-stronghold/article26648775.ece,27 Mar 2019,2019-03-27 00:00:00
Activists come to the defence of Lukman,https://www.thehindu.com/todays-paper/tp-national/tp-kerala/activists-come-to-the-defence-of-lukman/article26649454.ece,27 Mar 2019,2019-03-27 00:00:00
SYS protests against CBSE Class 10 exam timing,https://www.thehindu.com/todays-paper/tp-national/tp-kerala/sys-protests-against-cbse-class-10-exam-timing/article26648794.ece,27 Mar 2019,2019-03-27 00:00:00
Karti’s candidature widely welcomed: AICC secretary,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/kartis-candidature-widely-welcomed-aicc-secretary/article26648687.ece,27 Mar 2019,2019-03-27 00:00:00
Patient attacked with sickle at Vaniyambadi Govt. Hospital,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/patient-attacked-with-sickle-at-vaniyambadi-govt-hospital/article26649471.ece,27 Mar 2019,2019-03-27 00:00:00
SFI protests delay in disbursement of student scholarship,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/sfi-protests-delay-in-disbursement-of-student-scholarship/article26648642.ece,27 Mar 2019,2019-03-27 00:00:00
MPs wrest control of Brexit process from government,https://www.thehindu.com/todays-paper/tp-international/mps-wrest-control-of-brexit-process-from-government/article26648199.ece,27 Mar 2019,2019-03-27 00:00:00
Andhra betrayers joined hands: Naidu,https://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/andhra-betrayers-have-joined-hands-says-naidu/article26649389.ece,27 Mar 2019,2019-03-27 00:00:00
