title,url,publishedDate,dateObject
"‘It’s not a wave election, so real issues will matter,’ says Jayant Chaudhary",https://www.thehindu.com/news/national/other-states/its-not-a-wave-election-so-real-issues-will-matter/article26656693.ece,27 Mar 2019,2019-03-27 00:00:00
CSJP urges voters to reject 'pseudo-nationalism',https://www.thehindu.com/news/national/other-states/csjp-urges-voters-to-reject-pseudo-nationalism/article26652476.ece,27 Mar 2019,2019-03-27 00:00:00
Bengaluru artistes go places,https://www.thehindu.com/entertainment/theatre/bengaluru-artistes-go-places/article26652465.ece,27 Mar 2019,2019-03-27 00:00:00
"Battleground Bihar: Young voters laud Balakot air strike, farmers rue their fate",https://www.thehindu.com/news/national/other-states/battleground-bihar-young-voters-laud-balakot-air-strike-farmers-rue-their-fate/article26647670.ece,27 Mar 2019,2019-03-27 00:00:00
Ajit Singh campaigns to ‘bury’ BJP in Muzaffarnagar,https://www.thehindu.com/news/national/other-states/ajit-singh-campaigns-to-bury-bjp-in-muzaffarnagar/article26647648.ece,27 Mar 2019,2019-03-27 00:00:00
Four persons awarded life for murder,https://www.thehindu.com/news/cities/chennai/four-persons-awarded-life-for-murder/article26647570.ece,27 Mar 2019,2019-03-27 00:00:00
Four get life for murder of Thali Panchayat union chairman,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/four-persons-awarded-life-for-murder/article26648474.ece,27 Mar 2019,2019-03-27 00:00:00
Ajit vows to ‘bury’ BJP in Muzaffarnagar,https://www.thehindu.com/todays-paper/tp-national/tp-otherstates/ajit-vows-to-bury-bjp-in-muzaffarnagar/article26648500.ece,27 Mar 2019,2019-03-27 00:00:00
"Nawada’s young voters admire Balakot air strike, farmers lament their fate",https://www.thehindu.com/todays-paper/tp-national/tp-otherstates/nawadas-young-voters-admire-balakot-air-strike-farmers-lament-their-fate/article26648503.ece,27 Mar 2019,2019-03-27 00:00:00
SC to hear Sajjan Kumar’s bail plea in riots case on April 8,https://www.thehindu.com/news/cities/Delhi/sc-to-hear-sajjan-kumars-bail-plea-in-riots-case-on-april-8/article26638514.ece,26 Mar 2019,2019-03-26 00:00:00
Grand alliances are always formed post polls: Yechury,https://www.thehindu.com/elections/andhra-pradesh-assembly/grand-alliances-are-always-formed-post-polls-yechury/article26637702.ece,26 Mar 2019,2019-03-26 00:00:00
A riot of colours and creativity,https://www.thehindu.com/todays-paper/tp-in-school/a-riot-of-colours-and-creativity/article26639022.ece,26 Mar 2019,2019-03-26 00:00:00
Ex-Dawood aide dies of heart ailment,https://www.thehindu.com/todays-paper/tp-national/tp-mumbai/ex-dawood-aide-dies-of-heart-ailment/article26639854.ece,26 Mar 2019,2019-03-26 00:00:00
"Top news of the day: Goa put on a terror alert; Naresh Goyal, wife resign from Jet Airways, and more",https://www.thehindu.com/news/top-news-of-the-day-march-25-2019/article26634651.ece,25 Mar 2019,2019-03-25 00:00:00
1984 anti-Sikh riots: Justice Sanjiv Khanna recuses from hearing Sajjan Kumar’s appeal,https://www.thehindu.com/news/national/1984-anti-sikh-riots-justice-sanjiv-khanna-recuses-from-hearing-sajjan-kumars-appeal/article26634363.ece,25 Mar 2019,2019-03-25 00:00:00
Young minds let imagination run riot,https://www.thehindu.com/news/cities/Thiruvananthapuram/young-minds-let-imagination-run-riot/article26627809.ece,25 Mar 2019,2019-03-25 00:00:00
Creativity runs riot,https://www.thehindu.com/news/cities/Hyderabad/creativity-runs-riot/article26627702.ece,25 Mar 2019,2019-03-25 00:00:00
Silvana Imam raps and Sweden listens,https://www.thehindu.com/todays-paper/tp-life/silvana-imam-raps-and-sweden-listens/article26629292.ece,25 Mar 2019,2019-03-25 00:00:00
Balineni convicted during SCS struggle,https://www.thehindu.com/news/national/andhra-pradesh/balineni-convicted-during-scs-struggle/article26621966.ece,24 Mar 2019,2019-03-24 00:00:00
AMMK candidate calls himself ‘son of the soil’,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/ammk-candidate-calls-himself-son-of-the-soil/article26624282.ece,24 Mar 2019,2019-03-24 00:00:00
