title,url,publishedDate,dateObject
"Anthems of resistance: I will make music till end of time, says Imphal Talkies and the Howlers founder Akhu Chingangbam",https://www.thehindu.com/entertainment/music/anthems-of-resistance-i-will-make-music-till-end-of-time-says-imphal-talkies-and-the-howlers-founder-akhu-chingangbam/article26655661.ece,27 Mar 2019,2019-03-27 00:00:00
Literary world bids adieu to Malayalam writer Ashitha,https://www.thehindu.com/news/cities/Thiruvananthapuram/literary-world-bids-adieu-to-ashitha/article26654993.ece,27 Mar 2019,2019-03-27 00:00:00
The Congress party's idea of India is rooted in inclusion: Sam Pitroda,https://www.thehindu.com/elections/lok-sabha-2019/the-congress-partys-idea-of-india-is-rooted-in-inclusion-sam-pitroda/article26645890.ece,27 Mar 2019,2019-03-27 00:00:00
Ajit Singh campaigns to ‘bury’ BJP in Muzaffarnagar,https://www.thehindu.com/news/national/other-states/ajit-singh-campaigns-to-bury-bjp-in-muzaffarnagar/article26647648.ece,27 Mar 2019,2019-03-27 00:00:00
"Cash-for-votes a major problem in Tamil Nadu, poll panel tells Madras HC",https://www.thehindu.com/elections/lok-sabha-2019/cash-for-votes-a-major-problem-in-state-poll-panel-tells-hc/article26647556.ece,27 Mar 2019,2019-03-27 00:00:00
Plea for woman CBI official to probe Pollachi sexual abuse case,https://www.thehindu.com/news/national/tamil-nadu/plea-for-woman-cbi-official-to-probe-pollachi-case/article26647387.ece,27 Mar 2019,2019-03-27 00:00:00
LDF to suffer setback in the polls: Nirmala,https://www.thehindu.com/news/cities/Thiruvananthapuram/ldf-to-suffer-setback-in-the-polls-nirmala/article26647335.ece,27 Mar 2019,2019-03-27 00:00:00
"5,743 NBWs executed, 1,700 pending in A.P.",https://www.thehindu.com/news/national/andhra-pradesh/5743-nbws-executed-1700-pending-in-ap/article26646860.ece,27 Mar 2019,2019-03-27 00:00:00
Paintings marked by awareness and imagination,https://www.thehindu.com/todays-paper/tp-in-school/paintings-marked-by-awareness-and-imagination/article26648141.ece,27 Mar 2019,2019-03-27 00:00:00
"Cash-for-votes a major problem in State, poll panel tells HC",https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/cash-for-votes-a-major-problem-in-state-poll-panel-tells-hc/article26648460.ece,27 Mar 2019,2019-03-27 00:00:00
Exhibition,https://www.thehindu.com/todays-paper/tp-national/tp-newdelhi/exhibition/article26648576.ece,27 Mar 2019,2019-03-27 00:00:00
Ajit vows to ‘bury’ BJP in Muzaffarnagar,https://www.thehindu.com/todays-paper/tp-national/tp-otherstates/ajit-vows-to-bury-bjp-in-muzaffarnagar/article26648500.ece,27 Mar 2019,2019-03-27 00:00:00
Appeal for Varavara Rao’s release,https://www.thehindu.com/todays-paper/tp-national/tp-telangana/varavara-raos-wife-appeals-to-cji-for-his-release/article26648784.ece,27 Mar 2019,2019-03-27 00:00:00
"Vaiko slams BJP, AIADMK for betraying people’s wishes",https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/vaiko-slams-bjp-aiadmk-for-betraying-peoples-wishes/article26649470.ece,27 Mar 2019,2019-03-27 00:00:00
‘The Congress party’s idea of India is rooted in inclusion’,https://www.thehindu.com/todays-paper/tp-national/the-congress-partys-idea-of-india-is-rooted-in-inclusion/article26648240.ece,27 Mar 2019,2019-03-27 00:00:00
Varavara Rao’s wife appeals to CJI for his release,https://www.thehindu.com/news/cities/Hyderabad/varavara-raos-wife-appeals-to-cji-for-his-release/article26646636.ece,26 Mar 2019,2019-03-26 00:00:00
"Israel, Hamas trade blows as Gaza tensions simmer",https://www.thehindu.com/news/international/israel-hamas-trade-blows-as-gaza-tensions-simmer/article26641351.ece,26 Mar 2019,2019-03-26 00:00:00
Flawless security steps for election: Collector,https://www.thehindu.com/news/cities/kozhikode/flawless-security-steps-for-election-collector/article26640508.ece,26 Mar 2019,2019-03-26 00:00:00
Court orders attachment of city police commissioner’s car,https://www.thehindu.com/news/cities/chennai/court-orders-attachment-of-city-police-commissioners-car/article26638269.ece,26 Mar 2019,2019-03-26 00:00:00
"From the Archives (March 26, 1969): President Ayub Khan steps down",https://www.thehindu.com/archives/from-the-archives-march-26-1969-president-ayub-khan-steps-down/article26635433.ece,26 Mar 2019,2019-03-26 00:00:00
Learning love from New Zealand,https://www.thehindu.com/opinion/op-ed/learning-love-from-new-zealand/article26636372.ece,26 Mar 2019,2019-03-26 00:00:00
NZ terror attack victim laid to rest,https://www.thehindu.com/news/national/kerala/nz-terror-attack-victim-laid-to-rest/article26637332.ece,26 Mar 2019,2019-03-26 00:00:00
A riot of colours and creativity,https://www.thehindu.com/todays-paper/tp-in-school/a-riot-of-colours-and-creativity/article26639022.ece,26 Mar 2019,2019-03-26 00:00:00
Talent to the fore at painting contest,https://www.thehindu.com/todays-paper/tp-in-school/talent-to-the-fore-at-painting-contest/article26639025.ece,26 Mar 2019,2019-03-26 00:00:00
Giving free rein to their imagination,https://www.thehindu.com/todays-paper/tp-in-school/giving-free-rein-to-their-imagination/article26639027.ece,26 Mar 2019,2019-03-26 00:00:00
President Ayub Khan steps down,https://www.thehindu.com/todays-paper/tp-opinion/president-ayub-khan-steps-down/article26639067.ece,26 Mar 2019,2019-03-26 00:00:00
Family members of victim petition administration,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/family-members-of-victim-petition-administration/article26639606.ece,26 Mar 2019,2019-03-26 00:00:00
Court orders attachment of CoP’s car,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/court-orders-attachment-of-city-police-commissioners-car/article26639324.ece,26 Mar 2019,2019-03-26 00:00:00
Vehicles damaged in group clash,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/vehicles-damaged-in-group-clash/article26640417.ece,26 Mar 2019,2019-03-26 00:00:00
Mahamastakabhishekaends at Dharmasthala,https://www.thehindu.com/news/cities/Mangalore/mahamastakabhishekaends-at-dharmasthala/article26628020.ece,25 Mar 2019,2019-03-25 00:00:00
Young minds let imagination run riot,https://www.thehindu.com/news/cities/Thiruvananthapuram/young-minds-let-imagination-run-riot/article26627809.ece,25 Mar 2019,2019-03-25 00:00:00
Shutdown in Kashmir over JKLF ban,https://www.thehindu.com/news/national/other-states/shutdown-in-kashmir-over-jklf-ban/article26627636.ece,25 Mar 2019,2019-03-25 00:00:00
Disinformation is everywhere in India,https://www.thehindu.com/opinion/op-ed/disinformation-is-everywhere-in-india/article26626745.ece,25 Mar 2019,2019-03-25 00:00:00
Countering hate,https://www.thehindu.com/todays-paper/tp-features/tp-educationplus/countering-hate/article26630437.ece,25 Mar 2019,2019-03-25 00:00:00
Good response to The Hindu Young World painting contest,https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/good-response-to-the-hindu-young-world-painting-contest/article26629858.ece,25 Mar 2019,2019-03-25 00:00:00
Mahamastakabhisheka ends at Dharmasthala,https://www.thehindu.com/todays-paper/tp-national/tp-karnataka/mahamastakabhisheka-ends-at-dharmasthala/article26630083.ece,25 Mar 2019,2019-03-25 00:00:00
Cong. can win all 20 LS seats in State: Chandy,https://www.thehindu.com/todays-paper/tp-national/tp-kerala/cong-can-win-all-20-ls-seats-in-state-chandy/article26630016.ece,25 Mar 2019,2019-03-25 00:00:00
Collector seeks details on polling stations,https://www.thehindu.com/todays-paper/tp-national/tp-kerala/collector-seeks-details-on-polling-stations/article26630027.ece,25 Mar 2019,2019-03-25 00:00:00
Emotive vignettes of native dogs,https://www.thehindu.com/todays-paper/tp-features/tp-metroplus/emotive-vignettes-of-native-dogs/article26630139.ece,25 Mar 2019,2019-03-25 00:00:00
