og_title,title,lang,url,publishedDate,dateObject
Writer's Protest: Chhattisgarhi movie Baliphool degrading Bastar's culture,Writer's Protest: Chhattisgarhi movie Baliphool degrading Bastar's culture,en,https://timesofindia.indiatimes.com/entertainment/bengali/movies/news/writers-protest-chhattisgarhi-movie-baliphool-degrading-bastars-culture/articleshow/69169355.cms,03 May 2019,2019-05-03 20:20:06
Exercise 'maximum restraint' while dealing with protesters: Cong's Mir after Shopian encounter,Exercise 'maximum restraint' while dealing with protesters: Cong's Mir after Shopian encounter,en,https://timesofindia.indiatimes.com/india/exercise-maximum-restraint-while-dealing-with-protesters-mir-after-shopian-encounter/articleshow/69162330.cms,03 May 2019,2019-05-03 13:14:30
Thousands protest again against ruling elite in Algeria,Thousands protest again against ruling elite in Algeria,en,https://timesofindia.indiatimes.com/world/rest-of-world/thousands-protest-again-against-ruling-elite-in-algeria/articleshow/69162460.cms,03 May 2019,2019-05-03 11:53:20
Student's death sparks protest in Chinhat,Student's death sparks protest in Chinhat,en,https://timesofindia.indiatimes.com/city/lucknow/students-death-sparks-protest-in-chinhat/articleshow/69158014.cms,03 May 2019,2019-05-03 07:09:39
Sudan protest leaders insist no civilian administration without rebels,Sudan protest leaders insist no civilian administration without rebels,en,https://timesofindia.indiatimes.com/world/rest-of-world/sudan-protest-leaders-insist-no-civilian-administration-without-rebels/articleshow/69151240.cms,02 May 2019,2019-05-02 17:54:52
Farmers protest against MNC’s FIRs against potato growers in Gujarat,Farmers protest against MNC’s FIRs against potato growers in Gujarat,en,https://timesofindia.indiatimes.com/city/meerut/farmers-protest-against-mncs-firs-against-potato-growers-in-gujarat/articleshow/69135579.cms,02 May 2019,2019-05-02 05:41:38
Villagers protest over death of Gujjar youth,Villagers protest over death of Gujjar youth,en,https://timesofindia.indiatimes.com/city/jaipur/villagers-protest-over-death-of-gujjar-youth/articleshow/69136561.cms,02 May 2019,2019-05-02 04:02:36
"1,000 Jet employees stage protest to demand salaries in Mumbai","1,000 Jet employees stage protest to demand salaries in Mumbai",en,https://timesofindia.indiatimes.com/city/mumbai/1000-jet-employees-stage-protest-to-demand-salaries-in-mumbai/articleshow/69138330.cms,02 May 2019,2019-05-02 03:14:50
Maduro hangs on as Venezuelan protests peter out,Maduro hangs on as Venezuelan protests peter out,en,https://timesofindia.indiatimes.com/world/rest-of-world/maduro-hangs-on-as-venezuelan-protests-peter-out/articleshow/69138235.cms,02 May 2019,2019-05-02 03:04:32
DUTA protest over age of retirement,DUTA protest over age of retirement,en,https://timesofindia.indiatimes.com/city/delhi/duta-protest-over-age-of-retirement/articleshow/69137659.cms,02 May 2019,2019-05-02 02:16:18
Chandigarh: Protest over felling of 700 trees for a flyover project,Chandigarh: Protest over felling of 700 trees for a flyover project,en,https://timesofindia.indiatimes.com/city/chandigarh/chandigarh-protest-over-felling-of-700-trees-for-a-flyover-project/articleshow/69134019.cms,01 May 2019,2019-05-01 15:38:08
"SC calls for fresh elections of archery association, president BVP Rao resigns in protest","SC calls for fresh elections of archery association, president BVP Rao resigns in protest",en,https://timesofindia.indiatimes.com/sports/more-sports/others/sc-calls-for-fresh-elections-of-archery-federation-president-bvp-rao-resigns-in-protest/articleshow/69128312.cms,01 May 2019,2019-05-01 09:51:51
Protesters ransack SP office in Arunachal Pradesh,Protesters ransack SP office in Arunachal Pradesh,en,https://timesofindia.indiatimes.com/city/itanagar/protesters-ransack-sp-office-in-arunachal-pradesh/articleshow/69126712.cms,01 May 2019,2019-05-01 07:33:04
MP: Boy injured as mobile phone bursts in Mandsaur village,MP: Boy injured as mobile phone bursts in Mandsaur village,en,https://timesofindia.indiatimes.com/city/indore/mp-boy-injured-as-mobile-phone-bursts-in-mandsaur-village/articleshow/69125754.cms,01 May 2019,2019-05-01 06:29:53
Nagpur University to reconduct engineering paper after students protest,Nagpur University to reconduct engineering paper after students protest,en,https://timesofindia.indiatimes.com/city/nagpur/university-to-reconduct-engg-paper-after-students-protest/articleshow/69120364.cms,01 May 2019,2019-05-01 05:34:11
Student protests lead to partial shutdown of HNBGU,Student protests lead to partial shutdown of HNBGU,en,https://timesofindia.indiatimes.com/city/dehradun/student-protests-lead-to-partial-shutdown-of-hnbgu/articleshow/69103098.cms,30 Apr 2019,2019-04-30 08:30:14
Bullock cart owners stage novel protest to reopen sand quarries,Bullock cart owners stage novel protest to reopen sand quarries,en,https://timesofindia.indiatimes.com/city/trichy/bullock-cart-owners-stage-novel-protest-to-reopen-sand-quarries/articleshow/69104853.cms,30 Apr 2019,2019-04-30 07:48:55
Mormugao council drivesees protest,Mormugao council drivesees protest,en,https://timesofindia.indiatimes.com/city/goa/mormugao-council-drivesees-protest/articleshow/69104787.cms,30 Apr 2019,2019-04-30 07:38:28
Satra row: Students turn up with black badges in protest,Satra row: Students turn up with black badges in protest,en,https://timesofindia.indiatimes.com/city/guwahati/satra-row-students-turn-up-with-black-badges-in-protest/articleshow/69110433.cms,30 Apr 2019,2019-04-30 07:23:02
Kolkata: Protest over patient refusal,Kolkata: Protest over patient refusal,en,https://timesofindia.indiatimes.com/city/noida/nigerian-brothers-arrested-for-trying-to-rape-woman-at-home/articleshow/69109762.cms,30 Apr 2019,2019-04-30 06:50:17
"Telangana: Police foil ‘chalo BIE’ rally, Opposition claims maha success","Telangana: Police foil ‘chalo BIE’ rally, Opposition claims maha success",en,https://timesofindia.indiatimes.com/city/hyderabad/police-foil-chalo-bie-rally-oppn-claims-maha-success/articleshow/69104335.cms,30 Apr 2019,2019-04-30 06:01:49
BJP calls for state bandh on May 2,BJP calls for state bandh on May 2,en,https://timesofindia.indiatimes.com/city/hyderabad/bjp-calls-for-state-bandh-on-may-2/articleshow/69104395.cms,30 Apr 2019,2019-04-30 04:59:28
Residents protest seeking closure of liquor outlet in their area,Residents protest seeking closure of liquor outlet in their area,en,https://timesofindia.indiatimes.com/city/mysuru/residents-protest-seeking-closure-of-liquor-outlet-in-their-area/articleshow/69102748.cms,30 Apr 2019,2019-04-30 03:52:37
Services hit as Chennai metro rail employees stage protest,Services hit as Chennai metro rail employees stage protest,en,https://timesofindia.indiatimes.com/city/chennai/services-hit-as-chennai-metro-rail-employees-stage-protest/articleshow/69105873.cms,30 Apr 2019,2019-04-30 01:15:11
"Just 15 get to enter fray, farmers protest","Just 15 get to enter fray, farmers protest",en,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/uttar-pradesh/news/just-15-get-to-enter-fray-farmers-protest/articleshow/69105682.cms,30 Apr 2019,2019-04-30 00:40:26
Parents protest outside Education officer for allotment of schools to their kin under RTE,Parents protest outside Education officer for allotment of schools to their kin under RTE,en,https://timesofindia.indiatimes.com/home/education/news/parents-protest-outside-education-officer-for-allotment-of-schools-to-their-kin-under-rte/articleshow/69103430.cms,29 Apr 2019,2019-04-29 17:48:18
"Training next month for government teachers to handle KG classes, protests persist","Training next month for government teachers to handle KG classes, protests persist",en,https://timesofindia.indiatimes.com/city/chennai/training-next-month-for-govt-teachers-to-handle-kg-classes-protests-persist/articleshow/69088269.cms,29 Apr 2019,2019-04-29 06:25:20
People protest against PMC project on Pashan hills,People protest against PMC project on Pashan hills,en,https://timesofindia.indiatimes.com/city/pune/people-protest-against-pmc-project-on-pashan-hills/articleshow/69092664.cms,29 Apr 2019,2019-04-29 06:21:32
Hyderabad: Daughter-in-law of retired HC judge demands child’s custody,Hyderabad: Daughter-in-law of retired HC judge demands child’s custody,en,https://timesofindia.indiatimes.com/city/hyderabad/daughter-in-law-of-retired-hc-judge-demands-childs-custody/articleshow/69087573.cms,29 Apr 2019,2019-04-29 05:23:35
Thousands take to Hong Kong streets to protest new extradition laws,Thousands take to Hong Kong streets to protest new extradition laws,en,https://timesofindia.indiatimes.com/world/rest-of-world/thousands-take-to-hong-kong-streets-to-protest-new-extradition-laws/articleshow/69081741.cms,28 Apr 2019,2019-04-28 09:42:46
Sector 48 shopkeepers protest against opening of liquor vends in motor market,Sector 48 shopkeepers protest against opening of liquor vends in motor market,en,https://timesofindia.indiatimes.com/city/chandigarh/sec-48-shopkeepers-protest-against-opening-of-liquor-vends-in-motor-market/articleshow/69076704.cms,28 Apr 2019,2019-04-28 07:30:16
"Congress nominee fails to answer queries, faces protest in Sangrur","Congress nominee fails to answer queries, faces protest in Sangrur",en,https://timesofindia.indiatimes.com/city/ludhiana/cong-nominee-fails-to-answer-queries-faces-protest-in-sangrur/articleshow/69077349.cms,28 Apr 2019,2019-04-28 06:00:13
