og_title,title,lang,url,publishedDate,dateObject
'Children's Park' trailer gives glimpse into the laugh riot,'Children's Park' trailer gives glimpse into the laugh riot,en,https://timesofindia.indiatimes.com/entertainment/malayalam/movies/news/childrens-park-trailer-gives-glimpse-into-the-laugh-riot/articleshow/69145260.cms,02 May 2019,2019-05-02 11:06:09
This timeless laugh riot is back on stage,This timeless laugh riot is back on stage,en,https://timesofindia.indiatimes.com/entertainment/kannada/theatre/this-timeless-laugh-riot-is-back-on-stage/articleshow/69143325.cms,02 May 2019,2019-05-02 09:19:26
Congress's Manish Tewari approaches EC over anti-Sikh riots allegations against family,Congress's Manish Tewari approaches EC over anti-Sikh riots allegations against family,en,https://timesofindia.indiatimes.com/india/congresss-manish-tewari-approaches-ec-over-anti-sikh-riots-allegations-against-family/articleshow/69143199.cms,02 May 2019,2019-05-02 08:59:29
Delhi HC had dismissed 22-year-old appeals in November,Delhi HC had dismissed 22-year-old appeals in November,en,https://timesofindia.indiatimes.com/city/delhi/hc-had-dismissed-22-yr-old-appeals-in-nov/articleshow/69121359.cms,01 May 2019,2019-05-01 02:17:27
"Supreme Court acquits 7 men convicted of arson, violence in 1984 anti-Sikh riots case","Supreme Court acquits 7 men convicted of arson, violence in 1984 anti-Sikh riots case",en,https://timesofindia.indiatimes.com/city/delhi/sc-acquits-7-men-convicted-of-arson-violence-in-1984-anti-sikh-riots-case/articleshow/69121353.cms,01 May 2019,2019-05-01 00:06:14
Peda riots accused released on bail,Peda riots accused released on bail,en,https://timesofindia.indiatimes.com/city/meerut/peda-riots-accused-released-on-bail/articleshow/69103341.cms,30 Apr 2019,2019-04-30 03:32:17
Delhi HC directs AAP govt to decide 1984 riots convict's plea for parole,Delhi HC directs AAP govt to decide 1984 riots convict's plea for parole,en,https://timesofindia.indiatimes.com/city/delhi/delhi-hc-directs-aap-govt-to-decide-1984-riots-convicts-plea-for-parole/articleshow/69101090.cms,29 Apr 2019,2019-04-29 15:16:57
Case registered against 25 Madurai prisoners for rioting,Case registered against 25 Madurai prisoners for rioting,en,https://timesofindia.indiatimes.com/city/madurai/case-registered-against-25-madurai-prisoners-for-rioting/articleshow/69033146.cms,25 Apr 2019,2019-04-25 00:00:00
Amarinder Singh stays non-committal on calling ’1984 riots act of terror,Amarinder Singh stays non-committal on calling ’1984 riots act of terror,en,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/punjab/news/amarinder-singh-stays-non-committal-on-calling-1984-riots-act-of-terror/articleshow/69000856.cms,23 Apr 2019,2019-04-23 00:00:00
"Sadhvi Pragya rakes up 1984 Sikh riots, attacks MP CM","Sadhvi Pragya rakes up 1984 Sikh riots, attacks MP CM",en,https://timesofindia.indiatimes.com/city/bhopal/pragya-rakes-up-1984-sikh-riots-attacks-mp-cm/articleshow/68972333.cms,21 Apr 2019,2019-04-21 00:00:00
