og_title,title,lang,url,publishedDate,dateObject
"Sitaram Yechury, Subramanian Swamy cross swords after Left leader says Hindu epics replete with violence","Sitaram Yechury, Subramanian Swamy cross swords after Left leader says Hindu epics replete with violence",en,https://timesofindia.indiatimes.com/india/sitaram-yechury-subramanian-swamy-cross-swords-after-left-leader-says-hindu-epics-replete-with-violence/articleshow/69169542.cms,03 May 2019,2019-05-03 22:28:32
‘Degree College’ trailer is an interesting mix of ferocious violence and bold love,‘Degree College’ trailer is an interesting mix of ferocious violence and bold love,en,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/degree-college-trailer-is-an-interesting-mix-of-ferocious-violence-and-bold-love/articleshow/69162102.cms,03 May 2019,2019-05-03 11:16:08
Gurugram: Executive accuses IPS husband of domestic violence,Gurugram: Executive accuses IPS husband of domestic violence,en,https://timesofindia.indiatimes.com/city/gurgaon/exec-accuses-ips-husband-of-domestic-violence/articleshow/69136592.cms,02 May 2019,2019-05-02 03:44:26
"Perpetrators of Gadchiroli violence will not be spared, says PM Modi","Perpetrators of Gadchiroli violence will not be spared, says PM Modi",en,https://timesofindia.indiatimes.com/india/perpetrators-of-gadchiroli-violence-will-not-be-spared-says-pm-modi/articleshow/69128400.cms,01 May 2019,2019-05-01 09:35:00
"Supreme Court acquits 7 men convicted of arson, violence in 1984 anti-Sikh riots case","Supreme Court acquits 7 men convicted of arson, violence in 1984 anti-Sikh riots case",en,https://timesofindia.indiatimes.com/city/delhi/sc-acquits-7-men-convicted-of-arson-violence-in-1984-anti-sikh-riots-case/articleshow/69121353.cms,01 May 2019,2019-05-01 00:06:14
No Domestic Violence Act relief to wife if divorce already granted: HC,No Domestic Violence Act relief to wife if divorce already granted: HC,en,https://timesofindia.indiatimes.com/city/nagpur/no-dv-act-relief-to-wife-if-divorce-already-granted-hc/articleshow/69120613.cms,01 May 2019,2019-05-01 06:43:00
Spreading the message of non-violence through toys,Spreading the message of non-violence through toys,en,https://timesofindia.indiatimes.com/city/coimbatore/spreading-the-message-of-non-violence-through-toys/articleshow/69110278.cms,30 Apr 2019,2019-04-30 07:52:30
"Large-scale violence in 4th phase poll in West Bengal, FIR against Union minister Babul Supriyo","Large-scale violence in 4th phase poll in West Bengal, FIR against Union minister Babul Supriyo",en,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/west-bengal/news/large-scale-violence-in-4th-phase-poll-in-west-bengal-fir-against-union-minister-babul-supriyo/articleshow/69101735.cms,29 Apr 2019,2019-04-29 16:34:12
"Lok Sabha elections: 64% turnout in fourth phase; violence in West Bengal, Odisha","Lok Sabha elections: 64% turnout in fourth phase; violence in West Bengal, Odisha",en,https://timesofindia.indiatimes.com/elections/news/64-per-cent-voter-turnout-in-4th-phase-of-lok-sabha-polls-ec/articleshow/69100725.cms,29 Apr 2019,2019-04-29 17:07:15
"Howrah court violence: HC directs DGP, home secy to file affidavits","Howrah court violence: HC directs DGP, home secy to file affidavits",en,https://timesofindia.indiatimes.com/city/kolkata/howrah-court-violence-hc-directs-dgp-home-secy-to-file-affidavits/articleshow/69099529.cms,29 Apr 2019,2019-04-29 13:28:28
BJP urges EC to deploy central forces in all polling booths of West Bengal,BJP urges EC to deploy central forces in all polling booths of West Bengal,en,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/west-bengal/news/bjp-urges-ec-to-deploy-central-forces-in-all-polling-booths-of-west-bengal/articleshow/69095444.cms,29 Apr 2019,2019-04-29 09:17:52
Pittsburgh synagogue: Violence 'must end. Enough is enough!',Pittsburgh synagogue: Violence 'must end. Enough is enough!',en,https://timesofindia.indiatimes.com/world/us/pittsburgh-synagogue-violence-must-end-enough-is-enough/articleshow/69078971.cms,28 Apr 2019,2019-04-28 04:24:30
Two die as police clash with protesters at Vedanta’s Odisha plant,Two die as police clash with protesters at Vedanta’s Odisha plant,en,https://timesofindia.indiatimes.com/city/bhubaneswar/two-die-as-police-clash-with-protesters-at-vedantas-odisha-plant/articleshow/68470599.cms,18 Mar 2019,2019-03-18 00:00:00
Public prosecutor accused of domestic violence,Public prosecutor accused of domestic violence,en,https://timesofindia.indiatimes.com/city/ahmedabad/public-prosecutor-accused-of-domestic-violence/articleshow/68998277.cms,23 Apr 2019,2019-04-23 00:00:00
Violence erupts at Hardik Patel’s rally in Nikol,Violence erupts at Hardik Patel’s rally in Nikol,en,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/gujarat/news/violence-erupts-at-hardiks-rally-in-nikol/articleshow/68972328.cms,21 Apr 2019,2019-04-21 00:00:00
