title,url,publishedDate,dateObject
"Murmurs of protest in BJP as party weeds out veterans, ropes in young faces",https://timesofindia.indiatimes.com/elections/news/murmurs-of-protest-in-bjp-as-party-weeds-out-veterans-ropes-in-young-faces/articleshow/68589044.cms,26 Mar 2019,2019-03-26 22:56:01
Mining dependents in Karnataka protest job losses,https://timesofindia.indiatimes.com/city/bengaluru/mining-dependents-in-karnataka-protest-job-losses/articleshow/68580224.cms,26 Mar 2019,2019-03-26 11:12:05
Supporters of Ranchi MP protest outside BJP office,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/jharkhand/news/supporters-of-ranchi-mp-protest-outside-bjp-office/articleshow/68569736.cms,26 Mar 2019,2019-03-26 08:54:21
"MDMK Erode candidate loses cool, protest outside collector chamber",https://timesofindia.indiatimes.com/city/erode/mdmk-erode-candidate-loses-cool-protest-outside-collector-chamber/articleshow/68569774.cms,26 Mar 2019,2019-03-26 08:52:20
Rajasthan: Poll officers protest low quality food at training,https://timesofindia.indiatimes.com/city/jaipur/poll-officers-protest-low-quality-food-at-training/articleshow/68569662.cms,26 Mar 2019,2019-03-26 04:12:54
"Drain constructed with ‘Ram’ bricks in UP, locals rise in protest",https://timesofindia.indiatimes.com/city/kanpur/ram-bricks-used-in-drain-construction-fir-lodged/articleshow/68569247.cms,26 Mar 2019,2019-03-26 03:46:17
"After arrest, auto protest blocks Anwar Shah Road",https://timesofindia.indiatimes.com/city/kolkata/after-arrest-auto-protest-blocks-anwar-shah-rd/articleshow/68569726.cms,26 Mar 2019,2019-03-26 02:58:03
Koganolli villagers threaten to boycott polls over demand for PHC,https://timesofindia.indiatimes.com/city/hubballi/koganolli-villagers-threaten-to-boycott-polls-over-demand-for-phc/articleshow/68568744.cms,25 Mar 2019,2019-03-25 22:49:00
"Protesting JNU students try to storm VC's residence, stopped by security",https://timesofindia.indiatimes.com/india/protesting-jnu-students-try-to-storm-vcs-residence-stopped-by-security/articleshow/68568068.cms,25 Mar 2019,2019-03-25 17:44:35
Pokhran town closed as people protest police inaction,https://timesofindia.indiatimes.com/city/jaipur/pokhran-town-closed-as-people-protest-police-inaction/articleshow/68553516.cms,25 Mar 2019,2019-03-25 06:35:20
"Sinquerim locals allege tree-felling, stage protest",https://timesofindia.indiatimes.com/city/goa/sinquerim-locals-allege-tree-felling-stage-protest/articleshow/68553691.cms,25 Mar 2019,2019-03-25 03:04:41
Bondli villagers to hold protest march today,https://timesofindia.indiatimes.com/city/ludhiana/bondli-villagers-to-hold-protest-march-today/articleshow/68552910.cms,25 Mar 2019,2019-03-25 01:43:00
"N Chandrababu Naidu warns KCR not to meddle with AP, threatens protests in Telangana",https://timesofindia.indiatimes.com/city/vijayawada/naidu-warns-kcr-not-to-meddle-with-ap-threatens-protests-in-t/articleshow/68552085.cms,25 Mar 2019,2019-03-25 01:17:01
Mumbai: JJ medical students protest 'no short skirts' diktat,https://timesofindia.indiatimes.com/city/mumbai/mumbai-jj-medical-students-protest-no-short-skirts-diktat/articleshow/68549535.cms,24 Mar 2019,2019-03-24 13:15:20
"MIT Vishwashanti Gurukul School hikes fee, parents protest",https://timesofindia.indiatimes.com/home/education/news/mit-vishwashanti-gurukul-school-hikes-fee-parents-protest/articleshow/68548087.cms,24 Mar 2019,2019-03-24 11:08:50
"MIT school hikes fee, parents protest",https://timesofindia.indiatimes.com/city/pune/mit-school-hikes-fee-parents-protest/articleshow/68542100.cms,24 Mar 2019,2019-03-24 05:35:55
Residents rally for Okhla plant closure,https://timesofindia.indiatimes.com/city/delhi/residents-rally-for-okhla-plant-closure/articleshow/68542192.cms,24 Mar 2019,2019-03-24 02:22:01
Delhi residents take out protest march against 'hazardous' Okhla waste-to-energy plant,https://timesofindia.indiatimes.com/city/delhi/delhi-residents-take-out-protest-march-against-hazardous-okhla-waste-to-energy-plant/articleshow/68538700.cms,23 Mar 2019,2019-03-23 14:27:31
'Yellow Vests' march in Paris as troops join police to prevent trouble,https://timesofindia.indiatimes.com/world/europe/yellow-vests-march-in-paris-as-troops-join-police-to-prevent-trouble/articleshow/68537619.cms,23 Mar 2019,2019-03-23 13:05:36
Locals protest against BJP’s west Uttar Pradesh candidates,https://timesofindia.indiatimes.com/city/meerut/locals-protest-against-bjps-west-up-candidates/articleshow/68529105.cms,23 Mar 2019,2019-03-23 07:53:57
Metropolitan to go on hunger strike,https://timesofindia.indiatimes.com/city/kochi/metropolitan-to-go-on-hunger-strike/articleshow/68533495.cms,23 Mar 2019,2019-03-23 06:36:01
Parents protest against shrunk Right to Education quota,https://timesofindia.indiatimes.com/city/mysuru/parents-protest-against-shrunk-rte-quota/articleshow/68514404.cms,22 Mar 2019,2019-03-22 04:10:47
"Live rooster atop Holi bonfire in SoBo, protester beaten up",https://timesofindia.indiatimes.com/city/mumbai/live-rooster-atop-holi-bonfire-in-sobo-protester-beaten-up/articleshow/68516116.cms,22 Mar 2019,2019-03-22 02:38:43
