title,url,publishedDate,dateObject
Railway official files domestic violence case,https://timesofindia.indiatimes.com/city/ahmedabad/railway-official-files-dv-case/articleshow/68553795.cms,25 Mar 2019,2019-03-25 05:29:55
Odisha: Congress workers ransack party office,https://timesofindia.indiatimes.com/city/bhubaneswar/cong-workers-ransack-party-office/articleshow/68541580.cms,24 Mar 2019,2019-03-24 09:33:42
110 herders killed in apparent ethnic attack in Mali,https://timesofindia.indiatimes.com/world/rest-of-world/60-herders-killed-in-apparent-ethnic-attack-in-mali/articleshow/68540465.cms,23 Mar 2019,2019-03-23 17:25:40
Security forces put on alert to tackle Maoist violence,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/bihar/news/security-forces-put-on-alert-to-tackle-maoist-violence/articleshow/68532145.cms,23 Mar 2019,2019-03-23 04:05:30
"Haryana: Man killed, nearly 15 injured in clash between 2 groups in Kaithal",https://timesofindia.indiatimes.com/city/gurgaon/haryana-man-killed-nearly-15-injured-in-clash-between-2-groups-in-kaithal/articleshow/68528742.cms,22 Mar 2019,2019-03-22 17:49:40
India abstains from voting on UN resolution condemning Israel over violence in Gaza,https://timesofindia.indiatimes.com/india/india-abstains-from-voting-on-un-resolution-condemning-israel-over-violence-in-gaza/articleshow/68525997.cms,22 Mar 2019,2019-03-22 14:26:43
Prime time is no crime time,https://timesofindia.indiatimes.com/city/chennai/prime-time-is-no-crime-time/articleshow/68514928.cms,22 Mar 2019,2019-03-22 07:18:18
RSS snubs RMPI’s bid to focus on CPM violence,https://timesofindia.indiatimes.com/city/kozhikode/rss-snubs-rmpis-bid-to-focus-on-cpm-violence/articleshow/68507624.cms,21 Mar 2019,2019-03-21 04:49:48
Two die as police clash with protesters at Vedanta’s Odisha plant,https://timesofindia.indiatimes.com/city/bhubaneswar/two-die-as-police-clash-with-protesters-at-vedantas-odisha-plant/articleshow/68470599.cms,18 Mar 2019,2019-03-18 00:00:00
Three more held for violence in Tilamol,https://timesofindia.indiatimes.com/city/goa/3-more-held-for-violence-in-tilamol/articleshow/68262264.cms,05 Mar 2019,2019-03-05 00:00:00
Sporadic incidents of violence mark Youth Congress hartal in Ernakulam,https://timesofindia.indiatimes.com/city/kochi/sporadic-incidents-of-violence-mark-youth-cong-hartal-in-ekm/articleshow/68054712.cms,19 Feb 2019,2019-02-19 00:00:00
Beliefs lead to violence,https://timesofindia.indiatimes.com/spirituality/beliefs-lead-to-violence/articleshow/68149667.cms,25 Feb 2019,2019-02-25 00:00:00
Violence breaks out in Fatehpura,https://timesofindia.indiatimes.com/city/vadodara/violence-breaks-out-in-fatehpura/articleshow/67823670.cms,04 Feb 2019,2019-02-04 00:00:00
14 armed groups reach peace deal in Central African Republic,https://timesofindia.indiatimes.com/world/rest-of-world/14-armed-groups-reach-peace-deal-in-central-african-republic/articleshow/67810480.cms,02 Feb 2019,2019-02-02 00:00:00
Compensation revised for violence victims,https://timesofindia.indiatimes.com/city/ahmedabad/compensation-revised-for-violence-victims/articleshow/68016891.cms,16 Feb 2019,2019-02-16 00:00:00
2 killed in violence across districts,https://timesofindia.indiatimes.com/city/kolkata/2-killed-in-violence-across-districts/articleshow/68160248.cms,26 Feb 2019,2019-02-26 00:00:00
Eight injured in Myanmar temple town violence,https://timesofindia.indiatimes.com/world/rest-of-world/eight-injured-in-myanmar-temple-town-violence/articleshow/68497076.cms,20 Mar 2019,2019-03-20 00:00:00
Arunachal govt orders judicial probe into PRC violence,https://timesofindia.indiatimes.com/city/itanagar/arunachal-govt-orders-judicial-probe-into-prc-violence/articleshow/68299750.cms,07 Mar 2019,2019-03-07 00:00:00
"In conservative Mauritania, confronting sexual violence laws",https://timesofindia.indiatimes.com/world/rest-of-world/in-conservative-mauritania-confronting-sexual-violence-laws/articleshow/68297827.cms,07 Mar 2019,2019-03-07 00:00:00
Australia bars entry of visitors with domestic violence convictions,https://timesofindia.indiatimes.com/world/rest-of-world/australia-bars-entry-of-visitors-with-domestic-violence-convictions/articleshow/68248334.cms,04 Mar 2019,2019-03-04 00:00:00
Delhi: Women raise belans against domestic violence,https://timesofindia.indiatimes.com/city/delhi/women-raise-belans-against-domestic-violence/articleshow/68237528.cms,03 Mar 2019,2019-03-03 00:00:00
Lucknow: Frame rules to curb campus violence,https://timesofindia.indiatimes.com/city/lucknow/frame-rules-to-curb-campus-violence-hc/articleshow/68225915.cms,02 Mar 2019,2019-03-02 00:00:00
Rahul Gandhi meets victims of Arunachal violence,https://timesofindia.indiatimes.com/india/rahul-gandhi-meets-victims-of-arunachal-violence/articleshow/68168705.cms,26 Feb 2019,2019-02-26 00:00:00
Uneasy calm in Arunachal Pradesh as violence subsides,https://timesofindia.indiatimes.com/city/guwahati/uneasy-calm-in-arunachal-pradesh-as-violence-subsides/articleshow/68161640.cms,26 Feb 2019,2019-02-26 00:00:00
"BHU hit by violence again, two FIRs lodged",https://timesofindia.indiatimes.com/city/varanasi/bhu-hit-by-violence-again-2-firs-lodged/articleshow/68158492.cms,26 Feb 2019,2019-02-26 00:00:00
10 companies of ITBP dispatched to violence-hit Arunachal,https://timesofindia.indiatimes.com/india/10-companies-of-itbp-dispatched-to-violence-hit-arunachal/articleshow/68139839.cms,24 Feb 2019,2019-02-24 00:00:00
Marital violence top cause why women turn homeless,https://timesofindia.indiatimes.com/india/marital-violence-top-cause-why-women-turn-homeless/articleshow/68505725.cms,21 Mar 2019,2019-03-21 03:19:51
"After Paris violence, pressure mounts on Macron's post-debate response",https://timesofindia.indiatimes.com/world/europe/after-paris-violence-pressure-mounts-on-macrons-post-debate-response/articleshow/68477651.cms,19 Mar 2019,2019-03-19 00:00:00
CPM never supports violence: Kerala CM,https://timesofindia.indiatimes.com/india/cpm-never-supports-violence-kerala-cm/articleshow/68063495.cms,19 Feb 2019,2019-02-19 00:00:00
French violence flares as yellow vest protests enter fourth month,https://timesofindia.indiatimes.com/world/europe/french-violence-flares-as-yellow-vest-protests-enter-fourth-month/articleshow/68450273.cms,17 Mar 2019,2019-03-17 00:00:00
Residents keep fingers crossed as Arjun Singh’s crossover fuels fear of violence in Barrackpore,https://timesofindia.indiatimes.com/city/kolkata/residents-keep-fingers-crossed-as-arjun-singhs-crossover-fuels-fear-of-violence-in-barrackpore/articleshow/68420313.cms,15 Mar 2019,2019-03-15 00:00:00
"Bhima-Koregaon case: Activists were mobilising Dalits to overthrow govt, says police",https://timesofindia.indiatimes.com/india/bhima-koregaon-case-activists-were-mobilising-dalits-to-overthrow-govt-says-police/articleshow/68392267.cms,13 Mar 2019,2019-03-13 00:00:00
Congress to use politics of violence as weapon against CPM,https://timesofindia.indiatimes.com/city/kochi/congress-to-use-politics-of-violence-as-weapon-against-cpm/articleshow/67986763.cms,14 Feb 2019,2019-02-14 00:00:00
"One killed in Jhunsi violence, FIR filed",https://timesofindia.indiatimes.com/city/allahabad/one-killed-in-jhunsi-violence-fir-filed/articleshow/67966842.cms,12 Feb 2019,2019-02-12 00:00:00
Evan Rachel Wood self harmed during abusive relationship,https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/evan-rachel-wood-self-harmed-during-abusive-relationship/articleshow/68392777.cms,13 Mar 2019,2019-03-13 00:00:00
"Three die in accident, mob turns violent in Samastipur",https://timesofindia.indiatimes.com/city/patna/three-die-in-accident-mob-turns-violent-in-samastipur/articleshow/68384386.cms,13 Mar 2019,2019-03-13 00:00:00
Nagpur University is now corrupted by academic terrorists: VC,https://timesofindia.indiatimes.com/city/nagpur/nu-is-now-corrupted-by-academic-terrorists-vc/articleshow/68326650.cms,09 Mar 2019,2019-03-09 00:00:00
Candlelight vigil across Australia on March 9 to honour the memory of dentist Preethi Reddy who was killed in Sydney,https://timesofindia.indiatimes.com/nri/candlelight-vigil-across-australia-on-march-9-to-honour-the-memory-of-dentist-preethi-reddy-who-was-killed-in-sydney/articleshow/68322711.cms,08 Mar 2019,2019-03-08 00:00:00
"Astronomers unlikely victims of Mexico's violence, crime",https://timesofindia.indiatimes.com/world/rest-of-world/astronomers-unlikely-victims-of-mexicos-violence-crime/articleshow/67893924.cms,08 Feb 2019,2019-02-08 00:00:00
"Ensure safety, security of people from J&K: Centre to states",https://timesofindia.indiatimes.com/india/ensure-safety-of-people-from-jk-centres-advisory-to-states/articleshow/68322439.cms,08 Mar 2019,2019-03-08 00:00:00
"Anti-encroachment drive turns violent; 10 injured, huts set on fire",https://timesofindia.indiatimes.com/city/meerut/anti-encroachment-drive-turns-violent-10-injured-huts-set-on-fire/articleshow/68299499.cms,07 Mar 2019,2019-03-07 00:00:00
Arzoo Govitrikar files police complaint against 'abusive' husband,https://timesofindia.indiatimes.com/tv/news/hindi/arzoo-govitrikar-files-police-complaint-against-abusive-husband/articleshow/68282681.cms,06 Mar 2019,2019-03-06 00:00:00
"Dowry harassment cases in Karnataka dip 34%, convictions 100%",https://timesofindia.indiatimes.com/city/bengaluru/dowry-harassment-cases-in-state-dip-34-convictions-100/articleshow/68276768.cms,06 Mar 2019,2019-03-06 00:00:00
Mumbai: Leading artistes lead rally against hate and violence,https://timesofindia.indiatimes.com/city/mumbai/mumbai-leading-artistes-lead-rally-against-hate-and-violence/articleshow/68235511.cms,02 Mar 2019,2019-03-02 00:00:00
UP police files chargesheet in Bulandshahr mob violence case,https://timesofindia.indiatimes.com/city/meerut/bulandshahr-violence-bajrang-dal-leader-yogesh-raj-charged-with-arson-rioting/articleshow/68237367.cms,03 Mar 2019,2019-03-03 00:00:00
Violence at food outlets open till late at night in Jaipur is a matter of concern for many,https://timesofindia.indiatimes.com/city/jaipur/violence-at-food-outlets-open-till-late-at-night-in-jaipur-is-a-matter-of-concern-for-many/articleshow/68233503.cms,02 Mar 2019,2019-03-02 00:00:00
"Reservation was created for an equal society, says writer",https://timesofindia.indiatimes.com/city/mysuru/reservation-was-created-for-an-equal-society-says-writer/articleshow/68191405.cms,28 Feb 2019,2019-02-28 00:00:00
AMU violence: Students to be served chargesheet within 15 days,https://timesofindia.indiatimes.com/city/agra/amu-violence-students-to-be-served-chargesheet-within-15-days/articleshow/68221920.cms,01 Mar 2019,2019-03-01 00:00:00
"Pistol goes off as man cleans it, bullet hits 2-yr-old daughter",https://timesofindia.indiatimes.com/city/noida/pistol-goes-off-as-man-cleans-it-bullet-hits-2-yr-old-daughter/articleshow/68182136.cms,27 Feb 2019,2019-02-27 00:00:00
"Koregaon-Bhima violence: No way to verify seized documents, source, Sudha Bharadwaj's lawyer tells HC",https://timesofindia.indiatimes.com/india/koregaon-bhima-violence-no-way-to-verify-seized-documents-source-sudha-bharadwajs-lawyer-tells-hc/articleshow/68206150.cms,28 Feb 2019,2019-02-28 00:00:00
SIT grills ex MLA Mantar Brar for hours in Kotkapura violence case,https://timesofindia.indiatimes.com/city/amritsar/sit-grills-ex-mla-mantar-brar-for-hours-in-kotkapura-violence-case/articleshow/68192740.cms,28 Feb 2019,2019-02-28 00:00:00
"Kochi: Now, elderly can raise alarm by ringing a bell",https://timesofindia.indiatimes.com/city/kochi/kochi-now-elderly-can-raise-alarm-by-ringing-a-bell/articleshow/68179048.cms,27 Feb 2019,2019-02-27 00:00:00
"Paranoid about affair, Ahmedabad man brands wife's private parts",https://timesofindia.indiatimes.com/city/ahmedabad/paranoid-about-affair-ahmedabad-man-brands-wifes-private-parts/articleshow/68176944.cms,27 Feb 2019,2019-02-27 00:00:00
"Learn from Guru’s teachings, shun violence, says governor",https://timesofindia.indiatimes.com/city/thiruvananthapuram/learn-from-gurus-teachings-shun-violence-says-guv/articleshow/68103191.cms,23 Feb 2019,2019-02-23 00:00:00
Arunachal govt won't accept recommendations to grant PRC to 6 communities: Rijiju,https://timesofindia.indiatimes.com/india/arunachal-govt-wont-accept-recommendations-to-grant-prc-to-6-communities-rijiju/articleshow/68140720.cms,24 Feb 2019,2019-02-24 00:00:00
Actor Satish Kaushik's 5 theatres torched in Itanagar violence,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/actor-satish-kaushiks-5-theatres-torched-in-itanagar-violence/articleshow/68131714.cms,23 Feb 2019,2019-02-23 00:00:00
J&K governor Satya Pal Malik directs cops to take strict action against those indulging in violence,https://timesofindia.indiatimes.com/india/jk-governor-satya-pal-malik-directs-cops-to-take-strict-action-against-those-indulging-in-violence/articleshow/68028439.cms,16 Feb 2019,2019-02-16 00:00:00
Three die in accident in Bithoor,https://timesofindia.indiatimes.com/city/kanpur/three-die-in-accident-in-bithoor/articleshow/67999551.cms,15 Feb 2019,2019-02-15 00:00:00
Two held for armed attack on youths,https://timesofindia.indiatimes.com/city/thiruvananthapuram/two-held-for-armed-attack-on-youths/articleshow/68016387.cms,15 Feb 2019,2019-02-15 00:00:00
Delhi: 40-year-old bludgeoned to death by neighbours,https://timesofindia.indiatimes.com/city/delhi/delhi-40-year-old-bludgeoned-to-death-by-neighbours/articleshow/67984400.cms,13 Feb 2019,2019-02-13 00:00:00
"2 hurt in violence over ‘derogatory remarks’, 10 booked",https://timesofindia.indiatimes.com/city/bareilly/2-hurt-in-violence-over-derogatory-remarks-10-booked/articleshow/67966598.cms,12 Feb 2019,2019-02-12 00:00:00
Mangaluru gets ‘One Stop Service Centre’ to help women victims,https://timesofindia.indiatimes.com/city/mangaluru/mangaluru-gets-one-stop-service-centre-to-help-women-victims/articleshow/67919994.cms,09 Feb 2019,2019-02-09 00:00:00
CPM-BJP clash: Two more arrested,https://timesofindia.indiatimes.com/city/thiruvananthapuram/cpm-bjp-clash-two-more-arrested/articleshow/67933570.cms,11 Feb 2019,2019-02-11 00:00:00
Doctors have a new condition to think about: Self defence,https://timesofindia.indiatimes.com/india/doctors-have-a-new-condition-to-think-about-self-defence/articleshow/67939647.cms,11 Feb 2019,2019-02-11 00:00:00
Patients’ kin thrash doctors,https://timesofindia.indiatimes.com/city/kanpur/patients-kin-thrash-doctors/articleshow/67907102.cms,08 Feb 2019,2019-02-08 00:00:00
"Violence in Faizabad jail, 8 injured, police restore order after 6 hours",https://timesofindia.indiatimes.com/city/lucknow/violence-in-faizabad-jail-8-injured-police-restore-order-after-6-hours/articleshow/67918857.cms,09 Feb 2019,2019-02-09 00:00:00
2 injured in clash between CPM & BJP at Kavaradi,https://timesofindia.indiatimes.com/city/thiruvananthapuram/2-injured-in-clash-between-cpm-bjp-at-kavaradi/articleshow/67891384.cms,08 Feb 2019,2019-02-08 00:00:00
"Paris stores looted, bank torched in new 'yellow vest' violence",https://timesofindia.indiatimes.com/world/europe/paris-stores-looted-bank-torched-in-new-yellow-vest-violence/articleshow/68442726.cms,16 Mar 2019,2019-03-16 00:00:00
Sabarimala issue: Village court allows Kanakadurga's entry to her husband’s house,https://timesofindia.indiatimes.com/city/kozhikode/sabarimala-issue-village-court-allows-kanakadurgas-entry-to-her-husbands-house/articleshow/67858496.cms,06 Feb 2019,2019-02-06 00:00:00
"Jat violence: Did you take SC nod to prolong trial, HC asks CBI court",https://timesofindia.indiatimes.com/city/chandigarh/jat-violence-did-you-take-sc-nod-to-prolong-trial-hc-asks-cbi-court/articleshow/67841851.cms,05 Feb 2019,2019-02-05 00:00:00
"CPM knows only violence, 'no jobs' in Kerala: Rahul Gandhi",https://timesofindia.indiatimes.com/city/kozhikode/cpm-knows-only-violence-no-jobs-in-kerala-rahul-gandhi/articleshow/68418903.cms,15 Mar 2019,2019-03-15 00:00:00
190 cases against Dean for violence during flash strike,https://timesofindia.indiatimes.com/city/kochi/190-cases-against-dean-for-violence-during-flash-strike/articleshow/68404399.cms,14 Mar 2019,2019-03-14 00:00:00
'Raise voice against those spreading misinformation',https://timesofindia.indiatimes.com/city/kochi/raise-voice-against-those-spreading-misinformation/articleshow/67813508.cms,03 Feb 2019,2019-02-03 00:00:00
Bhima Koregaon violence: Activist Anand Teltumde to approach HC for bail,https://timesofindia.indiatimes.com/city/kochi/bhima-koregaon-violence-activist-anand-teltumde-to-approach-hc-for-bail/articleshow/67797065.cms,01 Feb 2019,2019-02-01 00:00:00
"Lok Sabha poll will see more money, violence & hatred: Ex-CEC",https://timesofindia.indiatimes.com/india/ls-poll-will-see-more-money-violence-hatred-ex-cec/articleshow/68317037.cms,08 Mar 2019,2019-03-08 00:00:00
Violence against Kashmiris: PM Modi urges states to take strong action,https://timesofindia.indiatimes.com/india/violence-against-kashmiris-pm-modi-urges-states-to-take-strong-action/articleshow/68319402.cms,08 Mar 2019,2019-03-08 00:00:00
‘Women in Black’ hold lamps to take a stand against violence,https://timesofindia.indiatimes.com/city/hubballi/women-in-black-hold-lamps-to-take-a-stand-against-violence/articleshow/68293508.cms,07 Mar 2019,2019-03-07 00:00:00
Bollywood actress Arzoo Govitrikar files domestic violence complaint against husband,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/bollywood-actress-arzoo-govitrikar-files-domestic-violence-complaint-against-husband/articleshow/68297825.cms,07 Mar 2019,2019-03-07 00:00:00
HC denies bail to Dera functionary who distributed money for violence,https://timesofindia.indiatimes.com/city/gurgaon/hc-denies-bail-to-dera-functionary-who-distributed-money-for-violence/articleshow/68238086.cms,03 Mar 2019,2019-03-03 00:00:00
Students to be served chargesheet within 15 days for Aligarh Muslim University violence,https://timesofindia.indiatimes.com/city/agra/students-to-be-served-chargesheet-within-15-days-for-amu-violence/articleshow/68223848.cms,02 Mar 2019,2019-03-02 00:00:00
"Suspecting violence, section 144 imposed in sand mining areas of Chattarpur",https://timesofindia.indiatimes.com/city/bhopal/suspecting-violence-section-144-imposed-in-sand-mining-areas-of-chattarpur/articleshow/68209418.cms,28 Feb 2019,2019-02-28 00:00:00
"No fresh incidents of violence against Kashmiris since Feb 22, Centre to SC",https://timesofindia.indiatimes.com/india/no-fresh-incidents-of-violence-against-kashmiris-since-feb-22-centre-to-sc-done/articleshow/68187063.cms,27 Feb 2019,2019-02-27 00:00:00
NRI doctor files domestic violence complaint against husband,https://timesofindia.indiatimes.com/city/ahmedabad/nri-doctor-files-dv-complaint-against-husband/articleshow/68160360.cms,26 Feb 2019,2019-02-26 00:00:00
Arunachal Pradesh CM Pema Khandu blames 'forces' behind violence,https://timesofindia.indiatimes.com/india/arunachal-pradesh-cm-pema-khandu-blames-forces-behind-violence/articleshow/68157934.cms,25 Feb 2019,2019-02-25 00:00:00
"Rumour rampage: From ground zero of violence, voices of sanity",https://timesofindia.indiatimes.com/city/kolkata/rumour-rampage-from-ground-zero-of-violence-voices-of-sanity/articleshow/68143379.cms,25 Feb 2019,2019-02-25 00:00:00
Cong demands sacking of Arunachal govt for 'failure' to curb violence,https://timesofindia.indiatimes.com/india/cong-demands-sacking-of-arunachal-govt-for-failure-to-curb-violence/articleshow/68156527.cms,25 Feb 2019,2019-02-25 00:00:00
PRC 'status' to 6 communities in Arunachal Pradesh stokes violence: Top developments,https://timesofindia.indiatimes.com/india/prc-status-to-6-communities-in-arunachal-pradesh-stokes-violence-top-developments/articleshow/68147522.cms,25 Feb 2019,2019-02-25 00:00:00
"Telangana: 7,000 domestic violence victims sought help in a year",https://timesofindia.indiatimes.com/city/hyderabad/telangana-7000-domestic-violence-victims-sought-help-in-a-year/articleshow/68043280.cms,18 Feb 2019,2019-02-18 00:00:00
"Complete shutdown in Jammu, curfew imposed after sporadic violence",https://timesofindia.indiatimes.com/india/complete-shutdown-in-jammu-curfew-imposed-after-sporadic-violence/articleshow/68016023.cms,15 Feb 2019,2019-02-15 00:00:00
Gujjar violence in Sikar; another vital rail route blocked,https://timesofindia.indiatimes.com/city/jaipur/gujjar-violence-in-sikar-another-vital-rail-route-blocked/articleshow/67983271.cms,14 Feb 2019,2019-02-14 00:00:00
"Gujjars restless, Kirori Singh Bainsla holds govt responsible for Dholpur violence",https://timesofindia.indiatimes.com/city/jaipur/gujjars-restless-bainsla-holds-govt-responsible-for-dholpur-violence/articleshow/67934285.cms,11 Feb 2019,2019-02-11 00:00:00
Afghan President lashes out at Pak over state violence,https://timesofindia.indiatimes.com/world/pakistan/afghan-president-lashes-out-at-pak-over-state-violence/articleshow/67887685.cms,07 Feb 2019,2019-02-07 00:00:00
Room for leap forward in Indo-Pak trade in absence of violence: Bisaria,https://timesofindia.indiatimes.com/india/room-for-leap-forward-in-indo-pak-trade-in-absence-of-violence-bisaria/articleshow/67881884.cms,07 Feb 2019,2019-02-07 00:00:00
"Madhya Pradesh: Custodial death triggers protest, 2 injured in violence",https://timesofindia.indiatimes.com/city/bhopal/madhya-pradesh-custodial-death-triggers-protest-2-injured-in-violence/articleshow/67832608.cms,04 Feb 2019,2019-02-04 00:00:00
