data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5076370,356,IND48531,48531,"23 March 2019",2019,1,Protests,"Peaceful protest","Protesters (India)",,6,,,0,60,"Southern Asia",India,"NCT of Delhi","South Delhi",,Delhi-Okhla,28.5601,77.2919,1,"Hindustan Times (India)",National,"On 23 March, nearly 3,000 Delhi-Okhla residents held a demonstration rally assumed in Delhi-Okhla (South Delhi, NCT of Delhi) to demand the closure of a waste-to-energy plant in the area. [size=nearly 3000]",0,1553639133,IND
5076373,356,IND48534,48534,"23 March 2019",2019,1,Riots,"Mob violence","Rioters (India)","Barapokhari Communal Group (India)",5,"Rioters (India)","Bibinagar Communal Group (India)",5,55,"Southern Asia",India,Odisha,Bhadrak,Basudebpur,Basudebpur,21.1197,86.729,2,"Odisha Sun Times",Subnational,"On 23 March, to groups of villagers - from Barapokhari and Bibinagar - clashed in Basudevpur area (Bhadrak, Odisha) over a dispute involving a newly-wed woman, who had gone to her parental house at Barapokhari, not return for the night to her in-law's house at Bibinagar. The police temporarily arrested members from both sides. [size=no report]",0,1553639133,IND
5076371,356,IND48532,48532,"23 March 2019",2019,2,Riots,"Mob violence","Rioters (India)","INC: Indian National Congress",5,"Rioters (India)","INC: Indian National Congress",5,55,"Southern Asia",India,Odisha,Balasore,Nilagiri,Nilagiri,21.4615,86.758,1,"Odisha Sun Times",Subnational,"Assumed on 23 March, two groups of Congress workers clashed during a party meeting at Nilgiri (Balasore, Odisha), over the issue of ticket distribution for the upcoming assembly polls. [size=no report]",0,1553639133,IND
5076369,356,IND48530,48530,"23 March 2019",2019,2,Riots,"Mob violence","Rioters (India)",,5,"Civilians (India)",,7,57,"Southern Asia",India,Karnataka,"Bengaluru Urban",Bengaluru,Bengaluru,12.9719,77.5936,1,"Deccan Herald",Subnational,"Between 22-23 Mar, in Bengaluru (Bengaluru Urban, Karnataka), unidentified rioters pelted stones at a house of a film actor after he announced his support for an elections candidate Sumalatha Ambareesh who will be contesting against the JDS. [size=no report]",0,1553639133,IND
5076382,356,IND48544,48544,"23 March 2019",2019,1,Riots,"Mob violence","Rioters (India)",,5,"Civilians (India)",,7,57,"Southern Asia",India,Assam,Kamrup,Rangia,Rangia,26.4373,91.6197,2,Time8,Subnational,"On March 23, villagers vandalized the house of a man in Rangia area (Kamrup, Assam), after he stabbed to death another villager over a family dispute. The locals also set his car ablaze along with two motorbikes, furniture and other items in the house. [size=no report]",0,1553639133,IND
5076383,356,IND48545,48545,"23 March 2019",2019,1,Riots,"Mob violence","Rioters (India)","BJP: Bharatiya Janata Party",5,"Civilians (India)","CPI(M): Communist Party of India (Marxist)",7,57,"Southern Asia",India,Tripura,Dhalai,Kamalpur,Kamalpur,24.1969,91.8334,1,"Tripura Infoway",Subnational,"On March 23, BJP supporters attacked 10 CPI-M workers in Manikbhander area in Kamalpur city (Dhalai, Tripura), as they were conducting a meeting in the party office. [size=no report]",0,1553639133,IND
5076378,356,IND48540,48540,"23 March 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Students (India)",6,,,0,60,"Southern Asia",India,"Jammu and Kashmir",Doda,Gandoh,Gandoh,33.0322,75.9096,2,"Daily Excelsior",Subnational,"On 23 Mar, students from the government high school staged a protest in the Gandoh tehsil area (Doda, J&K) against a shortage of teachers at their school. [size=no report]",0,1553639133,IND
5076376,356,IND48537,48537,"23 March 2019",2019,1,Protests,"Protest with intervention","Protesters (India)","BKU: Bharatiya Kisan Union; Farmers (India)",6,"Police Forces of India (2014-)",,1,16,"Southern Asia",India,Punjab,Sangrur,Dhuri,Dhuri,30.3684,75.8679,1,"Chandigarh Tribune",Subnational,"On 23 March, a BKU leader and sugarcane grower who has been part of an indefinite hunger strike and ongoing agitation by farmers demanding pending dues, was forcibly removed by the police from the protest site outside the mill in Dhuri city (Sangrur, Punjab). The demonstrator was forcibly taken to hospital in an ambulance as he was unwell. [size=no report]",0,1553639133,IND
5076377,356,IND48539,48539,"23 March 2019",2019,1,Riots,"Mob violence","Rioters (India)",,5,"Police Forces of India (2014-)",,1,15,"Southern Asia",India,"Jammu and Kashmir",Baramulla,Sopore,Sopore,34.2867,74.4723,1,"Kashmir Observer",Subnational,"On 23 Mar, rioters clashed with state forces (assumed police) in Sopore town (Baramulla, J&K) following a clash between JeM militants and state forces in the nearby Warpora area. [size=no report]",0,1553639133,IND
5076372,356,IND48533,48533,"23 March 2019",2019,1,Riots,"Mob violence","Rioters (India)","Bibinagar Communal Group (India)",5,"Police Forces of India (2014-)",,1,15,"Southern Asia",India,Odisha,Bhadrak,Basudebpur,Basudebpur,21.1197,86.729,2,"Odisha Sun Times",Subnational,"On 23 March, a group of villagers from Bibinagar attacked and vandalised Kasia Marine police station in Basudevpur (Bhadrak, Odisha) alleging inaction of the cops in connection with a dispute between two families. [size=no report]",0,1553639133,IND
5076374,356,IND48535,48535,"23 March 2019",2019,2,Protests,"Peaceful protest","Protesters (India)","INC: Indian National Congress",6,,,0,60,"Southern Asia",India,Odisha,Jharsuguda,Jharsuguda,Jharsuguda,21.8543,84.0108,1,"Odisha Sun Times",Subnational,"Assumed on 23 March, Congress workers locked up the INC party office at Jharsuguda city (Odisha), protesting against the ticket distribution for the upcoming assembly polls. [size=no report]",0,1553639133,IND
5076375,356,IND48536,48536,"23 March 2019",2019,1,Riots,"Mob violence","Rioters (India)","INC: Indian National Congress",5,"Civilians (India)","INC: Indian National Congress",7,57,"Southern Asia",India,Odisha,Khordha,Bhubaneswar,Bhubaneswar,20.2724,85.8338,1,"Odisha Sun Times",Subnational,"On 23 March, Congress workers vandalised property at the Congress Bhawan in Bhubaneswar city (Odisha), expressing resentment over the ticket distribution for the upcoming assembly polls. [size=no report]",0,1553639133,IND
5076368,356,IND48529,48529,"23 March 2019",2019,1,Protests,"Peaceful protest","Protesters (India)",,6,,,0,60,"Southern Asia",India,Haryana,Panipat,Panipat,Panipat,29.3874,76.9682,1,"Chandigarh Tribune",Subnational,"On 23 March, residents of Kutana village held a dharna outside the Panipat Refinery and Petrochemical Complex in Panipat city (Haryana) after two persons died in an explosion at the factory. The demonstrators demanded compensation for the family. [size=no report]",0,1553639133,IND
5076367,356,IND48528,48528,"23 March 2019",2019,1,Riots,"Mob violence","Rioters (India)","Mukundpur Communal Group (India)",5,"Civilians (India)","JD(U): Janata Dal (United)",7,57,"Southern Asia",India,Bihar,Saran,Taraiya,Taraiya,26.0728,84.8831,2,"United News of India",National,"On 23 March, a mob attacked and beat to death a JD(U) leader and critically injured his two sons at Mukundpur village under Taraiya police station limits (Saran, Bihar). The victim was likely attacked over a land dispute. [size=no report]",1,1553639133,IND
5076354,356,IND48519,48519,"22 March 2019",2019,1,Riots,"Violent demonstration","Rioters (India)",,5,"Police Forces of India (2014-)",,1,15,"Southern Asia",India,"Jammu and Kashmir",Pulwama,Pulwama,Pulwama,33.8741,74.9001,2,"Kashmir Monitor",Subnational,"On 22 Mar, rioters clashed with state forces (assumed police) amid a shutdown in Pulwama district (J&K) in response to a CASO operation in the nearby Shopian district. [size=no report]",0,1553639133,IND
5076351,356,IND48516,48516,"22 March 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Sikh Group (India)",6,,,0,60,"Southern Asia",India,"Jammu and Kashmir",Pulwama,Awantipora,Awantipora,33.9219,75.0136,2,"Kashmir Images",Subnational,"On 22 Mar, members of the local Sikh community joined family members in staging a protest in the Awantipora area (Pulwama, J&K) against the death of a local school teacher and JIJK affiliate while in SOG custody. [size=no report]",0,1553639133,IND
5076350,356,IND48514,48514,"22 March 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India)",6,,,0,60,"Southern Asia",India,"Jammu and Kashmir",Srinagar,"Srinagar North",Srinagar,34.0857,74.8056,1,"Rising Kashmir",National,"On 22 Mar, the Jammu and Kashmir Central Contractors Coordination Committee (JKCCCC) staged a protest at the Press Enclave in Srinagar city (J&K), demanding the release of pending payments. [size=no report]",0,1553639133,IND
5076349,356,IND48513,48513,"22 March 2019",2019,1,Riots,"Mob violence","Rioters (India)",,5,"Police Forces of India (2014-)",,1,15,"Southern Asia",India,"Jammu and Kashmir",Shopian,Shopian,"Gada Pora",33.6907,74.8916,1,"Kashmir Monitor",Subnational,"On 22 Mar, rioters clashed with state forces (assumed police) at Gada Pora village (Shopian, J&K) in response to a CASO operation in the nearby Ratni Pora area. [size=massive]",0,1553639133,IND
5076348,356,IND48511,48511,"22 March 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","JKLF: Jammu and Kashmir Liberation Front; JRL: Joint Resistance Leadership",6,,,0,60,"Southern Asia",India,"Jammu and Kashmir",Srinagar,"Srinagar North",Srinagar,34.0857,74.8056,1,"Kashmir Times",National,"On 22 Mar, the JKLF staged a protest, on the call of the JRL, in the Maisuma area of Srinagar city (J&K) against the death of a local school teacher and JIJK affiliate while in SOG custody. [size=no report]",0,1553639133,IND
5076347,356,IND48509,48509,"22 March 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","APHC: All Parties Hurriyat Conference; JRL: Joint Resistance Leadership",6,,,0,60,"Southern Asia",India,"Jammu and Kashmir",Srinagar,"Srinagar North",Srinagar,34.0857,74.8056,1,"Kashmir Times",National,"On 22 Mar, the APHC staged a protest, on the call of the JRL, in the Hyderpora area of Srinagar city (J&K) against the death of a local school teacher and JIJK affiliate while in SOG custody. [size=no report]",0,1553639133,IND
5076346,356,IND48508,48508,"22 March 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","INC: Indian National Congress",6,,,0,60,"Southern Asia",India,"Uttar Pradesh",Varanasi,Varanasi,Varanasi,25.3166,83.0104,1,"Hindustan Times (India)",National,"On 22 March, INC members demonstrated in (assumed) Varanasi city (Uttar Pradesh) to oppose the alleged false rumours that were being spread by the BJP about the AICC general secretary. [size=no report]",0,1553639133,IND
5076345,356,IND48507,48507,"22 March 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","BSP: Bahujan Samaj Party",6,,,0,60,"Southern Asia",India,"Uttar Pradesh",Lucknow,Lucknow,Lucknow,26.8392,80.9231,1,"Pioneer (India)",National,"On 22 March, approximately 100 BSP members demonstrated in front of the party office in Lucknow city (Uttar Pradesh) to demand a reason for the denial of a ticket to a prospective candidate from Bijnor-Nagina seat. [size=100]",0,1553639133,IND
5076343,356,IND48505,48505,"22 March 2019",2019,1,Protests,"Protest with intervention","Protesters (India)","SFI: Students Federation of India; Students (India)",6,"Police Forces of India (2014-)",,1,16,"Southern Asia",India,Telangana,Hyderabad,Hyderabad,Hyderabad,17.384,78.4563,1,"Times of India",National,"On 22 Mar, in Hyderabad (Hyderabad, Telangana), students of University of Hyderabad and the SFI staged a protest against the varsity's decision to leverage graded autonomy, which they claim may result in enhancement of fee structure. Police escorted the vice chancellor to his residence as the protesters attempted to encircle him. [size=100]",0,1553639133,IND
5076339,356,IND48501,48501,"22 March 2019",2019,1,Riots,"Mob violence","Rioters (India)","Baramunda Communal Group (India)",5,"Baramunda Communal Militia (India)",,4,45,"Southern Asia",India,Odisha,Khordha,Bhubaneswar,Bhubaneswar,20.2724,85.8338,1,"Odisha Sun Times",Subnational,"On 22 March, eight youth were injured in a group clash during the Holi celebrations at a residential colony at Baramunda area in Bhubaneswar city (Odisha). A group of 15-20 youth attacked a group of youth with weapons while they were playing Holi. Property damage was reported. [size=over 15]",0,1553639133,IND
5076338,356,IND48500,48500,"22 March 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","BJP: Bharatiya Janata Party",6,,,0,60,"Southern Asia",India,Odisha,Khordha,Bhubaneswar,Bhubaneswar,20.2724,85.8338,1,"Orissa TV",Subnational,"On 22 March, supporters of BJP aspirant Amiya Das continued to stage protest for the second in front of the party headquarters in Bhubaneswar city (Odisha), expressing resentment over the ticket distribution to BJP candidates for the upcoming assembly polls. [size=no report]",0,1553639133,IND
