data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
4566823,12,ALG5817,5817,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Algeria)",,6,,,0,60,"Northern Africa",Algeria,Alger,"Sidi M'Hamed",,Algiers,36.7525,3.042,1,"Echourouk El Youmi (Algeria)",National,"On 31 January, 2019, some 300 residents of al-Najah cut the Raghaya National road no.5 denouncing the lack of social housing.",0,1552576405,DZA
4566824,12,ALG5818,5818,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Algeria)","Saharawi Communal Group (Algeria)",6,,,0,60,"Northern Africa",Algeria,Tindouf,Tindouf,,Tindouf,27.6711,-8.1474,1,"Morocco World News",Regional,"On 31 January, 2019, Sahrawi families participated in organized protests in Tindouf against malnutrition and lack of humanitarian aid in the area.",0,1552576405,DZA
4566825,12,ALG5819,5819,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Algeria)",,6,,,0,60,"Northern Africa",Algeria,Tindouf,Tindouf,,Tindouf,27.6711,-8.1474,1,"Morocco World News",Regional,"On 31 January, 2019, protestors styled in yellow vests patterned after the series of protests throughout France took to the streets to protest restrictions in freedom of movement in the terriroires.",0,1552576405,DZA
4566826,204,BEN194,194,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Benin)","Teachers (Benin); Labour Group (Benin)",6,,,0,60,"Western Africa",Benin,Littoral,Cotonou,,Cotonou,6.35,2.4333,1,"La Nouvelle Tribune (Benin)",National,"31 January. The Union of higher education teachers organized a sit-in at the Ministry of Higher Education and Scientific Research in Cotonou to protest against the appointment of deans of faculties and directors of schools by the government.",0,1552576405,BEN
4566829,854,BFO1426,1426,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Burkina Faso)","Students (Burkina Faso)",6,,,0,60,"Western Africa","Burkina Faso",Centre-Nord,Bam,Kongoussi,Kongoussi,13.3258,-1.5347,1,"Le Pays (Burkina Faso)",National,"On January 31, pupils in Kongoussi took to the streets to demand the resumptions of exams, they sang the national anthem in front of the office of the high commissioner and threw blank papers to express their discontent.",0,1552576405,BFA
4566830,854,BFO1427,1427,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Burkina Faso)","Students (Burkina Faso)",6,,,0,60,"Western Africa","Burkina Faso",Hauts-Bassins,Houet,Bobo-Dioulasso,Bobo-Dioulasso,11.1772,-4.2979,1,"Le Faso",National,"On January 31, students in Bobo-Dioulasso staged a protest march, demanding the resumption of exams and also announced 24-hour strike.",0,1552576405,BFA
4566831,854,BFO1428,1428,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Burkina Faso)",,6,,,0,60,"Western Africa","Burkina Faso",Centre,Kadiogo,Ouagadougou,Ouagadougou,12.3703,-1.5247,1,"Le Faso",National,"On January 31, residents in the Boulmiougou area of Ouagadougou protested in front of the mayor's office denouncing what they referred to as land grabbing or mishandling of land rights.",0,1552576405,BFA
4566832,854,BFO1429,1429,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Burkina Faso)",,6,,,0,60,"Western Africa","Burkina Faso",Nord,Yatenga,Ouahigouya,Ouahigouya,13.5828,-2.4216,1,"Faso Nord Info",Subnational,"On January 31, residents in Ouahigouya staged a protest march in support of defense and security forces and also donated money for the victims of the mass-atrocities in Yirgou and surroundings.",0,1552576405,BFA
4566845,384,CDI1804,1804,"31 January 2019",2019,1,Protests,"Protest with intervention","Police Forces of Ivory Coast (2011-)",,1,"Protesters (Ivory Coast)","PDCI: Democratic Party of Ivory Coast",6,16,"Western Africa","Ivory Coast","District Autonome D'Abidjan",Abidjan,Abidjan,Abidjan,5.3411,-4.0281,1,"Jeune Afrique; Soir Info",National-International,"On Jan 31, PDCI deputies protested in front of Abidjan Tribunal, after Police Forces prevented them to assist to Alain Lobognon's trial. Deputy Alain Lobognon was sentenced to one year of prison for publishing a tweet where he accused Ivory Coast justice of attempting to arrest PDCI Deputy Jacques Gabriel Ehouo.",0,1552576405,CIV
4566847,430,LBR1375,1375,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Liberia)",,6,,,0,60,"Western Africa",Liberia,Montserrado,"Greater Monrovia",Monrovia,Monrovia,6.31,-10.8,1,"New Dawn (Monrovia)",National,"31 January. Retirees, upset with the provision of pension payments through NASSCORP rather than the Ministry of Finance, protest in Monrovia outside the Ministry of Foreign Affairs.",0,1552576405,LBR
4566850,434,LBY7339,7339,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Libya)",,6,,,0,60,"Northern Africa",Libya,East,Benghazi,,Benghazi,32.1177,20.1293,1,Libya24,National,"On January 31, residents in Benghazi staged a protest against UN envoy Ghassan Salame.",0,1552576405,LBY
4566853,450,MAG1173,1173,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Madagascar)",,6,,,0,60,"Eastern Africa",Madagascar,"Atsimo Atsinanana",Vangaindrano,,Vangaindrano,-23.21,47.36,1,"Midi Madagasikara",National,"31 January. Civilians in Vangaindrano of Atsimo Atsinanana protest over lack of electricity in the city and poor nutrition.",0,1552576405,MDG
4566860,686,SEN1085,1085,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Senegal)",,6,,,0,60,"Western Africa",Senegal,Dakar,Dakar,"Dakar Plateau",Dakar,14.6667,-17.4441,2,"Sud Quotidien (Dakar)",National,"On 31 January, 2019, youth in the suburbs of Pikine and Guediawaye in Dakar took part in a march to mobilize the opposition.",0,1552576405,SEN
4566874,710,SAF10605,10605,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,"Southern Africa","South Africa","Western Cape","City of Cape Town","City of Cape Town","Cape Town",-33.9253,18.4239,1,"News24 (South Africa)",National,"31 January. Protesters demanded water and sanitation, electricity and basic services for their areas outside the Cape Town Civic Centre.",0,1552576405,ZAF
4566875,710,SAF10606,10606,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,"Southern Africa","South Africa",Gauteng,"City of Johannesburg","City of Johannesburg",Midrand,-25.9895,28.1284,1,CNBC,International,"31 January. Protesters gathered in front of the Vodacom Head Office demanding the compensation for a former employee for his creation of the Please Call Me Service.",0,1552576405,ZAF
4566876,710,SAF10607,10607,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,"Southern Africa","South Africa",Mpumalanga,Nkangala,Emalahleni,Emalahleni,-26.018,29.1621,1,"Citizen (South Africa)",National,"31 January. Residents protested in eMalahleni. Reasons for protest unknown.",0,1552576405,ZAF
4566877,710,SAF10608,10608,"31 January 2019",2019,2,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,"Southern Africa","South Africa",KwaZulu-Natal,eThekwini,Ethekwini,Durban,-29.8579,31.0292,1,"Mercury (South Africa)",National,"30 January, week of. City contractors protested again over payments not received for work done in December.",0,1552576405,ZAF
4566881,729,SUD11943,11943,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Sudan)",,6,,,0,60,"Northern Africa",Sudan,"El Gazira","Greater Wad Madani",,"Wad Medani",14.4004,33.5184,1,"Radio Dabanga; Sudan Tribune",Subnational-Regional,"On January 31st, protesters gathered once more in Wad Medani (El Gazira), blocking the highway (note that the source does not specify any methods used to do so; actor 1 recorded as protesters rather than rioters).",0,1552576405,SDN
4566882,729,SUD11944,11944,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Sudan)",,6,,,0,60,"Northern Africa",Sudan,Northern,Dalgo,,"Karmah an Nuzul",19.6333,30.4167,1,"Radio Dabanga; Sudan Tribune",Subnational-Regional,"On January 31st, demonstrators gathered in Karmah an Nuzul (Northern state), as part of nation-wide demonstrations.",0,1552576405,SDN
4566883,729,SUD11945,11945,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Sudan)",,6,,,0,60,"Northern Africa",Sudan,"River Nile","Ed Damer",,"Ed Damer",17.5821,33.9605,3,"Radio Dabanga; Sudan Tribune",Subnational-Regional,"On January 31st, demonstrators gathered in Tibein (River Nile state, coordinates for Ed Damer used), as part of nation-wide demonstrations.",0,1552576405,SDN
4566884,729,SUD11946,11946,"31 January 2019",2019,1,Protests,"Protest with intervention","Protesters (Sudan)",,6,"Police Forces of Sudan (1989-)",,1,16,"Northern Africa",Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,1,"Radio Dabanga; Sudan Tribune",Subnational-Regional,"On January 31st, demonstrators gathered in multiple parts of Greater Khartoum (coded as three events in Khartoum, Omdurman and Khartoum North). Security forces (recorded here as police) used tear gas, batons and cables against the protesters, and made a large number of arrests.",0,1552576405,SDN
4566885,729,SUD11947,11947,"31 January 2019",2019,1,Protests,"Protest with intervention","Protesters (Sudan)",,6,"Police Forces of Sudan (1989-)",,1,16,"Northern Africa",Sudan,Khartoum,"Umm Badda",,Omdurman,15.6447,32.4549,1,"Radio Dabanga; Sudan Tribune",Subnational-Regional,"On January 31st, demonstrators gathered in multiple parts of Greater Khartoum (coded as three events in Khartoum, Omdurman and Khartoum North). Security forces (recorded here as police) used tear gas, batons and cables against the protesters, and made a large number of arrests.",0,1552576405,SDN
4566886,729,SUD11948,11948,"31 January 2019",2019,1,Protests,"Protest with intervention","Protesters (Sudan)",,6,"Police Forces of Sudan (1989-)",,1,16,"Northern Africa",Sudan,Khartoum,"Khartoum North",,"Khartoum North",15.6365,32.5303,1,"Radio Dabanga; Sudan Tribune",Subnational-Regional,"On January 31st, demonstrators gathered in multiple parts of Greater Khartoum (coded as three events in Khartoum, Omdurman and Khartoum North). Security forces (recorded here as police) used tear gas, batons and cables against the protesters, and made a large number of arrests.",0,1552576405,SDN
4566887,729,SUD11949,11949,"31 January 2019",2019,1,Protests,"Protest with intervention","Protesters (Sudan)",,6,"Police Forces of Sudan (1989-)",,1,16,"Northern Africa",Sudan,"Red Sea","Port Sudan",,"Port Sudan",19.5896,37.2152,1,"Radio Dabanga; Sudan Tribune",Subnational-Regional,"On January 31st, demonstrators gathered once more in Port Sudan (Red Sea state). Security forces (recorded here as police) used tear gas against the protesters, and made a large number of arrests.",0,1552576405,SDN
4566888,729,SUD11950,11950,"31 January 2019",2019,1,Protests,"Protest with intervention","Protesters (Sudan)","Students (Sudan)",6,"Police Forces of Sudan (1989-)",,1,16,"Northern Africa",Sudan,Gedaref,Gedaref,,Gedaref,14.0479,35.3884,1,"Radio Dabanga; Sudan Tribune",Subnational-Regional,"On January 31st, students demonstrated at the railway station in El Gedaref (El Gedaref state). Security forces (coded as police) were reported to have been making arrests, including of an activist leader.",0,1552576405,SDN
4566889,788,TUN4780,4780,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Tunisia)","Labour Group (Tunisia)",6,,,0,60,"Northern Africa",Tunisia,Tozeur,Tozeur,,Tozeur,33.9197,8.1335,2,"Mosaique FM; Radio Tunisienne",National,"On 31 January 2019, supervisors of all educational institutions in the governorate of Tozeur organized a protest rally against the aggression against one of their colleagues by students the day before.",0,1552576405,TUN
4566890,788,TUN4781,4781,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Tunisia)","NGU: National Guard Union; Labour Group (Tunisia); Military Forces of Tunisia (2011-2014) National Guard",6,,,0,60,"Northern Africa",Tunisia,Tataouine,"Tataouine Nord",,Tataouine,32.9297,10.4518,1,Nessma,National,"On 31 January 2019, responding to the call of the regional branch of the National Guard Union, a group of national guards held a protest in front of the National Guard headquarters in Tatouine against the calling of their colleague by the administration for his trade union activities.",0,1552576405,TUN
4566891,788,TUN4782,4782,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Tunisia)","Students (Tunisia)",6,,,0,60,"Northern Africa",Tunisia,Gabes,"Gabes Medina",,Gabes,33.8815,10.0982,1,Nessma,National,"On 31 January 2019, a number of students carried out a protest in front of the University of Gabes to denounce the boycott of the exams by the university professors.",0,1552576405,TUN
4566892,788,TUN4783,4783,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Tunisia)",,6,,,0,60,"Northern Africa",Tunisia,Beja,"Beja Sud",,Beja,36.7256,9.1817,2,Nessma,National,"On 31 January 2019, a number of residents of Ain al-Sultan area closed road between Beja and Nafza to demand the construction of a road.",0,1552576405,TUN
4566893,788,TUN4784,4784,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Tunisia)","Lawyers (Tunisia); Labour Group (Tunisia)",6,,,0,60,"Northern Africa",Tunisia,Siliana,"Siliana Nord",,Siliana,36.085,9.3708,1,"Al Chourouk",National,"On 31 January 2019, a group of lawyers held a protest in front of the Court of First Instance in Siliana to demand the establishment of an appeal court in the area.",0,1552576405,TUN
4566894,788,TUN4785,4785,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Tunisia)",,6,,,0,60,"Northern Africa",Tunisia,"Sidi Bou Zid","Sidi Bouzid Est",,"Sidi Bouzid",35.0382,9.4849,1,"Radio Tunisienne",National,"On 31 January 2019, a number of residents of El Hania Abazid held a protest in front of the municipality headquarters in Sidi Bouzid, to demand better conditions of life, especially with regard to providing them with drinking water and the paving of rural roads.",0,1552576405,TUN
4566938,48,BHR1267,1267,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Northern,,,Karranah,26.2292,50.5094,1,"LuaLua TV",National,"On 31/1/2019, a Shiite crowd protested in Karranah after Bahrain's Supreme Court upheld Sheikh Ali Salman's and two other al-Wefaq members' life sentence on charges of spying for Qatar.",0,1552576405,BHR
4566939,48,BHR1268,1268,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Bahrain)","Shiite Muslim Group (Bahrain)",6,,,0,60,"Middle East",Bahrain,Capital,,,Manama,26.2279,50.5857,1,"Alwafa Party",National,"On 31/1/2019, a Shiite crowd protested in Manama after Bahrain's Supreme Court upheld Sheikh Ali Salman's and two other al-Wefaq members' life sentence on charges of spying for Qatar.",0,1552576405,BHR
4566947,364,IRN3580,3580,"31 January 2019",2019,1,Protests,"Peaceful protest","Protesters (Iran)",,6,,,0,60,"Middle East",Iran,Isfahan,Isfahan,Central,Isfahan,32.6525,51.6746,1,HRANA,International,"On 31/1/2019, a group of defrauded investors staged a protest in Isfahan.",0,1552576405,IRN
