,notes,label
0,"31 januari . the nyatura fdp ( niyonzimana faction ) abduct tortur six men field near burambo , rutshuru ( coordin approxim base ocha map ) . the victim target fail pay fee militia . one men die injuri . ",2
1,"on 31 januari , 2019 , algerian naval forc shot kill tunisian sailor fish boat boat enter algerian territori water . ",2
2,"on januari 31 , presum jnim and/or isg milit attack villag boukouma , detail provid casualti report . ",2
3,"on januari 31 , armi camp sentinel gorom-gorom shot dead individu alleg fail obey direct . ",2
4,"on januari 31 , presum jnim and/or isg milit whip sex worker kompienbiga . ",2
5,31 januari . an unidentifi arm group kill merchant kindu . ,2
6,"31 januari . unknown gunmen , believ member vigilant group invis forc , attack resid ndc candid delali berempong accra compet ayawaso west wuogon by-elect day . six peopl sustain gunshot wound . ",2
7,"31 januari . the ndc mp sam georg attack unknown gunmen accra , believ member vigilant group invis forc . he beaten chase 50 peopl . the attack relat ayawaso west wuogon by-elect day . ",2
8,31 januari . unknown gunmen storm poll station ayawaso west wuogon by-elect la bawalashi presbi accra fire shot ndc agent ,2
9,31 januari : unidentifi gunmen kill civilian mombasa ,2
10,"on januari 31 , presum iswap milit attack villag kaar commune gueskerou ( code gueskerou geoprecis 2 ) , two civilian kill one wound . ",2
11,31 januari . the convoy pdp governship candid lago came attack iba . about 40 peopl arm machet chase convoy threw stone . ,2
12,31 januari . as fighter attack civilian near koban villag . ,2
13,jan 31st : 36 year-old teacher khashm al girba taken ( along three other ) niss detent centr kassala ( coordin use ) . he die detent day later . relat victim said teacher show sign sever beat tortur . offici deni accus . ,2
14,"on januari 31st , group men assault kill two peopl katabi ( wakiso ) . the wife one victim claim attack group welder , involv disput late husband , though confirm . ",2
15,a man die result tortur asayish prison ar-raqqa provinc detain protest mansoura . asayish deni claim die heart attack . ,2
16,hts detain director agricultur offic free hama provinci council unidentifi locat hama provinc . ,2
17,ypg arrest 5 women hole idp camp southern al-hasakeh countrysid . ,2
18,unidentifi gunmen abduct former ahrar al sham member kafr nobol southern idleb countrysid . ,2
19,"on jan 31 2019 , isra forc assault famili al-sahla old town hebron south occupi west bank . they search home , beat femal member famili , destroy furnitur seiz vehicl . ",2
20,"on jan 31 2019 , isra forc raid shu'fat refuge camp jerusalem use tear gas civilian . ",2
